,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Học và Tìm hiểu về AngularJS,"Nắm vững các khái niệm của AngularJS và Javascript, thiết kế các định hượng tùy chỉnh và xây dựng một trang ứng dựng đơn.","CẬP NHẬT KHÓA HỌC NGÀY: 3/24/2015
Bao gồm cả thông tin về phiên bản tiếp theo - AngularJS 2.0!
Hiểu biết về AngularJS có thể giúp bạn kiếm được một công việc hoặc cải thiện công việc hiện tại của bạn. Đó là một kỹ năng có nhu cầu lớn trong ngành công nghiệp phát triển web hiện đại, giúp việc phát triển phần mềm web trở nên dễ dàng hơn. Đó là lý do tại sao nó trở nên thông dụng và được hỗ trợ phía sau bởi Google.
Khóa học này sẽ thức tỉnh bạn và giúp bạn tiến bộ nhanh chóng, và sẽ dạy cho bạn những kiến thức cốt lõi mà bạn cần để hiểu sâu và xây dựng các ứng dụng Angular JS. Sau đó, chúng ta sẽ xây dựng một trang ứng dựng đơn dựa trên nền tảng này.
Trong khóa học này chúng ta sẽ thiết kế các dịch vụ tùy chỉnh, xây dựng các directive tùy chỉnh, tìm hiểu về cách gắn kết hai chiều, thiết kế một ứng dụng dự báo thời tiết như một ứng dụng trang đơn lẻ, và còn nhiều hơn nữa. Cả hai mã nguồn ""khởi đầu"" và ""hoàn thiện"" sẽ được cung cấp trong khóa học.
Các đánh giá
""Khóa học hay nhất tôi từng thấy"" ""Một bài giới thiệu về AngularJS tốt nhất trên Udemy"" ""Một cách dạy mới mẻ về AngularJS"" ""Một trong những khóa học tốt nhất tại Udemy tôi từng theo học"" ""Giảng viên trực tuyến giỏi nhất tôi từng có từ trước đến giờ"" ""Tôi đã từng theo học rất nhiều khóa học Angular và tôi nghĩ đây là khóa học tốt nhất từ trước đến giờ"" ""Phong cách giảng dạy hay nhất tôi từng thấy từ trước đến giờ""
Nếu bạn chưa từng biết tới AngularJS, hoặc nếu bạn đã từng học nó nhưng đôi khi bạn vẫn cảm thấy có gì đó khó hiểu thì đây chính là khóa học AngularJS dành cho bạn. Để học về AngularJS, bạn phải hiểu nó trước đã.
Tôi đã xây dựng khóa học theo cách mà tôi muốn học khi tôi bắt đầu tìm hiểu về AngularJS: một khóa học giải thích các khái niệm và các thực hiện chúng theo trật tự tốt nhất để bạn có thể học và hiểu chúng một cách sâu sắc.
Trong khóa học này, bạn sẽ:
. Tìm hiểu về cách mà AngularJS vận hành, bao gồm các vấn đề như các định hướng (directives), DI (dependency injection), cách gắn kết dữ liệu hai chiều (data binding), vòng lặp phân loại, các theo dõi (watcher), và còn nhiều nữa.
. Tìm hiểu về các nguyên tắc Javascript và HTML cơ bản được sử dụng trong AngularJS, ví dụ như các thuộc tính tùy chỉnh, mảng, hash, và vòng lặp xử lý sự kiện.
. Lập trình các service tùy chỉnh.
. Thiết kế các directive tùy chỉnh, hiểu được các khái niệm như biên dịch (compile), đường dẫn (link), và scope.
. Xây dựng một trang ứng dựng đơn sử dụng AngularJS.
. Sử dụng phiên bản hiện tại của AngularJS - phiên bản 1.3!
. Tiếp tục với phiên bản tiếp theo AngularJS 2.0!
AngularJS không khó để học. Lỗi lớn nhất mà các khóa học lập trình mắc phải đó là hy vọng rằng người học đơn giản sẽ học được nhờ việc đọc mã nguồn của người khác. Nhưng thực sự thì không bao giờ giống như trong hướng dẫn.
Tôi tin tưởng rằng cách tốt nhất để học là phải hiểu rõ một công cụ hoạt động thế nào và những gì nó làm cho bạn, xem ví dụ và sau đó tự thực hành. Đó là cách mà khóa học này được xây dựng, với mục đích giúp các bạn học và hiểu về AngularJS.
Lưu ý: Khóa học này sẽ cung cấp cho các bạn các mã nguồn có thể tải về. Bạn sẽ được cung cấp một mã nguồn ""khởi đầu"", và từ đó bạn bắt đầu viết ra đoạn mã nguồn của bạn, và đem so sánh với mã nguồn ""kết thúc"" sau cùng.
(THÔNG BÁO: Các học viên đã đóng phí cho khóa học sẽ được giảm học phí cho khóa học AngularJS 2.0 được xuất bản vào năm 2016, và trong phần còn lại của năm 2015 sẽ nhận được các bài giảng mới miễn phí trong khóa học này, khi AngularJS 2.0 được phát triển và ra mắt!)","Một trình duyệt và một trình biên soạn.
Có kiến thức HTML và Javascript căn bản.",". Hơn 54 bài giảng và 7 tiếng nội dung.
. Học các khái niệm Javascript cơ bản khởi nguồn cho AngularJS.
. Viết mã nguồn AngularJS nhanh hơn, tốt hơn bằng bằng cách khám phá bản thân Angular JS được xây dựng như thế nào.
. Trở nên thành thạo các thuật ngữ AngularJS, ví dụ như DI (dependency injection), services, directives, transclusion,...
. Khám phá sức mạnh của DI, và cách mà AngularJS thực hiện nó.
. Thiết kế directives tùy chỉnh và tiết kiệm thời gian và công sức dễ dàng với các reusable component (các thành phần dùng lại được).
. Hiểu SPA (Single trang Application - Trang ứng dụng đơn) là gì, và cách mà chúng hoạt động.
. Xây dựng một trang ứng dụng đơn (SPA) bằng AngularJS.
. Trở thành lập trình viên AngularJS bằng cách giải thích cho người khác nữa, bởi vì bạn hiểu nó hơn những người khác.
. Có thêm các bài giảng mới miễn phí trong suốt năm 2015, tiếp tục với phát triển AngularJS 2.0, và được khuyến mãi học phí khóa học AngularJS 2.0 trong năm 2016!",". Lập trình viên Web và thiết kế viên muốn học AngularJS.
. Những ai đã học về AngularJS nhưng không hiểu rõ.
. Lập trình viên và thiết kế viên những người đã sử dụng jQuery nhưng mệt mỏi vì phải thực hiện mọi thứ bằng tay.",Phần 1: Bắt Đầu,,
,,,,,,,Giới thiệu,2:30
,,,,,,,Big Words và AngularJS,1:20
,,,,,,,Theo dõi khóa học này ở độ phân giải cao,Văn bản
,,,,,,"Phần 2: Model, View, Whatever...",,
,,,,,,,Vấn đề của AngularJS là cố gắng giải quyết mọi thứ,6:03
,,,,,,,"Mô hình, Hiển thị, Bất cứ cái gì ....",2:48
,,,,,,,HTML nói riêng: Các thuộc tính tùy chỉnh,5:23
,,,,,,,Javascript nói riêng: Các Không gian tên toàn cục (Global Namespaces),5:12
,,,,,,,Tải về Mã nguồn của khóa học này,Văn bản
