,,,,,,,,
Ngôn ngữ truy vấn mang tính cấu trúc [Structured Query Language] (SQL) trong Oracle - Từng bước với SQL,Khám phá những kỹ năng SQL thiết yếu cần thiết để biến bạn thành nhà phát triển SQL mà bạn có thể kiếm được hơn 70k đô la trong ngành công nghiệp CNTT.,"Học để trở thành nhà phát triển SQL kiếm được tiền chỉ trong 7 tuần.
Khóa học hiệu quả, dễ dàng và nhanh chóng này sẽ đưa bạn từ không có kinh nghiệm gì trong kỹ năng viết SQL có thể kiếm được tiền như một nhà phát triển SQL.
Khóa học này sẽ dạy cho bạn tất cả mọi thứ bạn cần biết, từ việc học các khái niệm cơ sở dữ liệu  khác nhau đến việc viết SQL để tương tác với cơ sở dữ liệu.
Trong suốt khóa học, tôi sẽ sử dụng các phương pháp dưới đây để giúp bạn tư duy và giúp đỡ bạn trong việc hình thành các câu lệnh SQL.
Nhu cầu kinh doanh:
Nhà quản lý yêu cầu bạn cung cấp cho bạn một báo cáo có chứa tổng khối lượng bán hàng cho tháng Một qua ngày và thành phố
Các câu hỏi trong đầu của bạn để xây dựng truy vấn của bạn
Câu hỏi      Câu trả lời
Chọn?        SELECT
Những cột gì?        DAY, CITY
Tổng?        SUM (VOLUME)
Giới từ?        FROM
Bảng nào bao gồm dữ liệu các đơn đặt hàng bán hàng?        SALES
Lọc?        WHERE SALES_DATE BETWEEN ’01-JAN-2015’ and ’31-JAN-2015’
Gộp nhóm?        GROUP BY DAY, CITY
Kết hợp các câu trả lời ở trên để tạo thành các SQL dưới đây
SELECT day, city, SUM(volume) CHỌN ngày, thành phố, TỔNG (thể tích)
TỪ việc kinh doanh
NƠI kinh doanh_ngày GIỮA ’01-JAN-2015’ VÀ ’31-JAN-2015’
NHÓM BỞI ngày, thành phố;
Trong khóa học này người tham gia sẽ học
Các khái niệm cơ sở dữ liệu quan hệ
Lấy Dữ liệu từ Cơ sở dữ liệu
Lọc Dữ liệu dựa trên những yêu cầu kinh doanh
Tạo bảng và thay đổi cấu trúc của nó
Gia nhập dữ liệu từ các bảng khác nhau
Gộp nhóm Dữ liệu và tính toán tóm tắt
Hạn chế bắt buộc trên Bảng
Nâng cao thành tích sử dụng Index
và nhiều điều thú vị hơn ..
Các phần mềm được sử dụng
Cơ sở dữ liệu Oracle 11g
Nhà phát triển SQL",Bất kỳ sinh viên có kiến thức điều khiển máy tính thì đều đủ điều kiện để hiểu khóa học này,"Hơn 111 bài giảng và 5.5 giờ nội dung!
Hiểu thuật ngữ Cơ sở dữ liệu
Đọc dữ liệu từ cơ sở dữ liệu
Tạo dữ liệu trong cơ sở dữ liệu
Giải quyết các hạn chế về kiểu dữ liệu được lưu trữ
Nâng cao thành tích sử dụng Index","Khoá học SQL này là có ý nghĩa là cho người mới, những người không quen thuộc với cú pháp SQL và / hoặc sinh viên đang tìm kiếm lớp học bồi dưỡng nhanh chóng về SQL và một số khái niệm cơ sở dữ liệu quan trọng. Kiến thức lập trình không yêu cầu phải có.",,Chào mừng!,5:45
,,,,,,,Cách để tận dụng tốt nhất chương trình,1 trang
,,,,,,Phần 1: Cài đặt phần mềm,,
,,,,,,,Cài đặt Oracle,4:07
,,,,,,,Cài đặt Java SDK,2:20
,,,,,,,Cài đặt Nhà phát triển SQL,3:21
,,,,,,,Chạy các tập lệnh cần thiết cho khóa học,2:12
,,,,,,,Các tập lệnh cho Bài tập Lab của chúng ta,4 trang
,,,,,,Phần 2: Các khái niệm Cơ sở dữ liệu,,
,,,,,,,Một Tập tin là gì?,2:05
