,,,,,Đối tượng của khóa học này là ai?,,,
Học QuickBooks Pro 2014 một cách đơn giản,Học phần mềm kế toán cho doanh nghiệp nhỏ để giúp bạn tiết kiệm thời gian và thu lợi nhuận,"Mô tả khóa học
Tiết kiệm thời gian và tiền bạc bằng việc học chương trình kế toán thông dụng
Quán lý kế toán cho doanh nghiệp nhỏ của bạn
Tạo ra Dự toán, Báo cáo và Các khoản gửi
Theo dõi các khoản thanh toán và hóa đơn
Thống nhất các báo cáo ngâng hàng","Yêu cầu của khóa học này là gì?
QuickBooks Pro 2014","Tôi sẽ nhận được gì từ khóa học này?
Hơn 75 bài giảng với 7,5 giờ nội dungTạo ra tập tin riêng cho công ty của bạnLàm việc với ưu tiên QuickBooksTạo dự toánLập biếu đồ kế toán cho doanh nghiệp của bạnlàm việc với ""Customer"" and "" Jobs""Nhập một hóa đơn thanh toánĐối chiếu báo cáo ngân hàngXử lý các khoản vaySử dụng báo cáo để cung cấp các thông tin cần thiết",Các chủ doanh nghiệp nhỏ hoặc những người quản lý QuickBooks cho một doanh nghiệp nhỏ,Phần 1: Giới thiệu,,
,,"Quản lý tài khoản của bạn bằng phần mềm phổ biến này
QuickBook là một gói phần mềm kế toán cực kỳ phổ biến, được sử dụng ở những doanh nghiệp nhỏ trên toàn thế giới.  nó được phát triển và giới thiệu bởi Intuit, và được tung ra đầu tiên vào năm 1994. Suốt lịch sử phát triển của nó, rất nhiều những tính năng tiện lợi đã được phát triển, bao gồm việc bổ sung QuickBooks trực tuyến, một dịch vụ đăng kí theo dõi mà có thể thay thế thanh toán hoàn toàn trong phầm mềm QuickBooks và QuickBooks Point of Sale. Điều này sẽ thay thế việc đăng ký có trả tiền và theo dõi các hóa đơn bán hàng. 
Nếu bạn là chủ một công ty nhỏ, hoặc một kế toán làm việc tự do, bạn có thể sử dụng QuickBooks để theo dõi các tài khoản phải trả, phải nhận, để trả hóa đơn, theo dõi các khoản thanh toán và các khoản nợ, và để duy trì tổ chức về mặt kinh doanh và tài chính cá nhân.",,,,,Giới thiệu và tổng quan,1:03
,,"Tổng quan và nội dung
Sau khóa học với 75 videos và bài giảng cũng như hơn 7 tiếng đồng hồ nội dung, hướng dẫn về QuickBooks Pro 2014 sẽ hướng dẫn cho bạn về tất cả những nguyên lý cơ bản về phần mềm kế toán phổ biến và toàn diện này. Bạn sẽ được học cách cài đặt và thiết lập phần mềm QuickBooks, bắt đầu bằng việc tạo ra một tập tin cho công ty của bạn. Với những kiến thức cơ bản này, bạn có thể tiếp tục phát triển các biểu đồ kế toán, tạo ra các dự toán và hóa đơn và sắp xếp hàng loạt các báo cáo tài chính. Khi bạn hoàn thành khóa học này, bạn sẽ trở thành một người dùng QuickBooks pro 2014 đầy kỹ năng và có thể hoàn thành phần lớn các nhiệm vụ kế toán trong một chương trình đã được hệ thống.
Lớp học này phù hợp cho các kế toán viên hoặc chủ các doanh nghiệp nhỉ, những người đang tìm kiếm một phương pháp toàn diện và có hệ thống để làm sổ sách. Khi kết thúc khóa học này, bạn sẽ được trang bị đầy đủ kỹ năng để sử dụng QuickBook pro 2014 cho tất cả các nhu cầu kế toán trong doanh nghiệp nhỏ của bạn.",,,,Phần 2: Làm quen,,
,,,,,,,"Các tính năng mới của QuickBooks 2014
",4:53
,,,,,,,Tạo tập tin cho công ty của bạn - Phần 1,11:28
,,,,,,,Tạo tập tin cho công ty của bạn - Phần 2,2:45
,,,,,,,Tổng quan về công ty của tôi,3:28
,,,,,,,Xác định các thành phần trong môi trường QuickBooks,8:03
,,,,,,,Chuyển từ phiên bản QuickBook offline sang bản online,3:12
,,,,,,Phần 3: Tùy biến môi trường QuickBooks,,
,,,,,,,"Preferences - Phần 1
",11:54
,,,,,,,Preferences - Phần 2,9:10
,,,,,,,Làm việc với Người dùng,8:16
,,,,,,,Biểu đồ kế toán - Phần 1,12:13
,,,,,,,Biểu đồ kế toán - Phần 2,10:58
,,,,,,,Phần 4: Làm việc với Customers và Jobs,
,,,,,,,Làm việc với Customers và Jobs - Phần 1,12:47
,,,,,,,Làm việc với Customers và Jobs - Phần 2,7:22
,,,,,,,Dự toán - Phần 1,11:02
,,,,,,,Dự toán - Phần 2,5:49
,,,,,,,Các hóa đơn dự toán - Phần 1,12:31
,,,,,,,Các hóa đơn dự toán - Phần 2,3:54
,,,,,,,Hóa đơn khách hàng cho sản phẩm và dịch vụ,1:24
,,,,,,,Nhận thanh toán,10:50
,,,,,,,Tạo các khoản gửi.,8:30
,,,,,,,Tạo bản ghi nhớ tín dụng.,9:31
,,,,,,,Tạo báo cáo.,3:58
,,,,,,,Theo dõi thu nhập.,5:06
,,,,,,Phần 5: Làm việc với Vendors,,
,,,,,,,"Làm việc với Vendors - Phần 1
",10:44
,,,,,,,Làm việc với Vendors - Phần 2,3:46
,,,,,,,Nhập hóa đơn,7:34
,,,,,,,Thanh toán hóa đơn,5:40
,,,,,,Phần 6: Làm việc với Items (đầu mục sản phẩm) và Inventory (hàng tồn kho),,
,,,,,,,"Làm việc với đầu mục sản phẩm - Phần 1
",10:02
,,,,,,,Làm việc với đầu mục sản phẩm - Phần 1,4:08
,,,,,,,Tạo đơn hàng thanh toán,6:05
,,,,,,,Nhận danh mục sản phẩm,5:15
,,,,,,,Tạo hóa đơn cho các danh mục sản phẩm,3:47
,,,,,,,Thanh toán sản phẩm,2:20
,,,,,,,Chỉnh sửa bằng tay các danh mục sản phầm,2:51
,,,,,,Phần 7: Làm việc với Sổ đăng ký QuickBooks,,
,,,,,,,"Ôn tập khóa học
",0:43
,,,,,,,Làm việc với mục Đăng ký - phần 1,11:46
,,,,,,,Làm việc với mục Đăng ký - phần 2,2:32
,,,,,,,Tạo sổ sách và viết séc,5:08
,,,,,,Phần 8: Đối chiếu,,
,,,,,,,Đối chiếu các báo cáo ngân hàng,9:41
,,,,,,Phần 9: Làm việc với Các khoản vay,,
,,,,,,,Tạo một khoản nợ trong biểu đồ kế toán,4:42
,,,,,,,Tạo Loan Payment (thanh toán nợ),4:18
,,,,,,,Quản lý nợ,6:28
,,,,,,Phần 10: Làm việc với Creadit Card thẻ tín dụng,,
,,,,,,,Thiết lập tài khoán thẻ tín dụng,4:57
,,,,,,,Nhập các giao dịch qua thẻ tín dụng,5:26
,,,,,,,Đối chiếu thẻ tín dụng và tạo thanh toán,3:50
,,,,,,Phần 11: Tùy biến các biểu mẫu,,
,,,,,,,Tùy biến các biểu mẫu,12:25
,,,,,,,Thiết kế giao diện - Phần 1,10:35
,,,,,,,Thiết kế giao diện - Phần 2,4:32
,,,,,,Phần 12: Báo cáo,,
,,,,,,,Báo cáo nhanh,1:55
,,,,,,,Lập báo cáo - Phần 1,11:22
,,,,,,,Lập báo cáo - Phần 2,3:47
,,,,,,,Tùy biến các báo cáo,9:29
,,,,,,Phần 13: Làm việc với doanh thu thuế,,
,,,,,,,Làm việc với doanh thu thuế - Phần 1,10:04
,,,,,,,Làm việc với doanh thu thuế - Phần 2,8:11
,,,,,,Phần 14: Lương bổng,,
,,,,,,,Tổng quan về việc sử dụng dịch vụ trả lương trên QuickBooks ,3:19
,,,,,,,Làm việc với các danh mục lương,9:07
,,,,,,,Làm việc với Employees (lao động),8:45
,,,,,,,Thanh toán lương cho lao động,6:10
,,,,,,,Thanh toán thuế thu nhập cá nhân,4:27
,,,,,,Phần 15: Trung tâm Lead,,
,,,,,,,Làm việc với Leads,8:13
,,,,,,Phần 16: Mail Merges,,
,,,,,,,Tạo một Mail Merges,5:25
,,,,,,,Tài liệu chính trong Mail Merges,4:55
,,,,,,Phần 17: Budgets (Ngân sách),,
,,,,,,,Tạo một bảng ngân sách,3:30
,,,,,,,Báo cáo ngân sách,2:13
,,,,,,Phần  18: Các tính năng khác của QuickBooks,,
,,,,,,,Tìm kiếm trong QuickBooks,6:32
,,,,,,,Nhắc nhở và Thông báo,3:16
,,,,,,,Sử dụng lịch QuickBooks,2:35
,,,,,,,Ghi nhớ giao dịch,6:22
,,,,,,,Phương tiện Mileage,2:57
,,,,,,,Các tập tin sao lưu cho doanh nghiệp,3:48
,,,,,,,Chuyển đổi từ QuickBooks PC sang Mac,2:35
,,,,,,,Nhập danh sách và một File QB mới,3:49
,,,,,,,Phiên bản Canada ,1:26
,,,,,,Phần 19: Tóm tắt,,
,,,,,,,Tổng kết,1:17
,,,,,,Phần 20: Kiểm tra đánh giá,,
,,,,,,,Trắc nghiệm,43 câu hỏi
