,,,,,,,,
Microsoft Excel 2010: Khóa học đào tạo cho người mới bắt đầu và trình độ trung cấp,Học cách khai thác sức mạnh của Microsoft Excel theo từng bước đơn giản.,"Một bằng chứng nhận hoàn thành khóa học được trao cho tất cả những học viên đã tham gia khóa học này.
Trong khóa học về Microsoft Excel 2010 này, O'reilly Media sẽ giới thiệu đến bạn phiên bản mới nhất của ứng dụng bảng tính tiêu chuẩn của Microsoft.
Trong khóa học đào tạo Excel này, bạn sẽ học bằng cách xem các tác giả thực sự thực hiện các hoạt động mà ông đang hướng dẫn, như ông giải thích từng bước làm thế nào để thực hiện các chức năng này. Việc đào tạo giải thích Microsoft Excel 2010 bắt đầu với những điều cơ bản nhất của việc tạo ra bảng tính của bạn đầu tiên. Ông chậm rãi làm việc với bạn thông qua việc học các khả năng khác nhau của chương trình rất mạnh mẽ này, và bao gồm các chủ đề cơ bản như công thức và tính năng nâng cao. Một chương về cách để kết nối với Microsoft Web Apps cũng được đề cập. Khóa học cũng cho thấy cách để sử dụng SkyDrive của bạn để lưu trữ và chia sẻ các dự án Microsoft Excel của bạn. Như là một học viên của khóa học này, bạn cũng có thể tải về các tập tin làm việc cho phép bạn làm việc cùng với các tác giả như ông dạy cho bạn cách sử dụng Microsoft Excel 2010.
Hoàn thành khóa học đào tạo trực tuyến này sẽ giúp bạn thành thạo và có khả năng làm việc với Microsoft Excel  2010 trong một môi trường thương mại.",,"Hơn 127 bài giảng và 9,5 giờ nội dung.
Được học Microsoft Excel 2010 từ một giảng viên chuyên nghiệp từ ngay tại bàn của bạn.
126 bài giảng (với 9,5 giờ nội dung) hướng dẫn bạn tất cả từ cơ bản đến nâng cao về chương trình hùng mạnh này.","Thích hợp cho người mới bắt đầu muốn sử dụng thành thạo, lý tưởng cho những người dùng có thể tiếp thu nhanh hơn khi được hướng dẫn.
Phương pháp đào tạo trực quan, giúp cho người học tăng khả năng ghi nhớ và đẩy nhanh tiến độ của việc học. 
Biến ngay cả những ứng dụng phức tạp nhất trở thành các bước cực kỳ đơn giản.",Phần 1: Làm quen,,
,,,,,,,1. Các tập tin thực hành - Tải xuống trước tiên,Văn bản
,,,,,,,2. Tổng quan về Excel 2010,6:16
,,,,,,,3. Làm thế nào để đạt được Chứng nhận hoàn thành cho khóa học về Phương tiện truyền thông O'Reilly này.,Văn bản
,,,,,,,"4. Danh sách tập tin mới trong Excel 2010
Xem trước",5:09
,,,,,,,"5. Khai thác Workbook (tập hợp các trang tính) trong Excel
Xem trước",2:25
,,,,,,,"6. Tôi có thể làm được gì sau khóa học này
Xem trước",3:53
,,,,,,,"8. Tùy biến thanh công cụ truy cập nhanh
Xem trước",2:52
,,,,,,,"7. Làm việc với thanh ribbon
Xem trước",3:46
,,,,,,,9. Cách sử dụng các tập tin đính kèm trong khóa học,0:33
,,,,,,Phần 2: Làm việc với một trang tính trong Excel ,,
,,,,,,,10. Tạo ra một workbook mới,1:36
,,,,,,,11. Lưu lại một workbook ,2:25
,,,,,,,12. Lưu trữ ở những định dạng khác,3:04
,,,,,,,13. Mở một workbook có sẵn,1:45
,,,,,,,14. Xác định một workbook excel,5:17
,,,,,,Phần 3. Chọn và nhập dữ liệu,,
,,,,,,,15. Nhập văn bản và chữ số,3:00
,,,,,,,16. Nhập số giống như một văn bản,3:47
,,,,,,,17. Nhập ngày giờ,4:03
,,,,,,,18. Chỉnh sửa nội dung trong một ô,2:08
,,,,,,,19. Sử dụng tính năng cắt dán,6:47
,,,,,,,20. Sử dụng bộ lọc,7:05
,,,,,,,21. Sử dụng undo và redo,3:03
,,,,,,,22. Đường tắt để chọn các ô,5:12
,,,,,,,"23. Chèn thêm ô, cột và hàng",5:17
,,,,,,,"24. Xóa ô, cột và hàng",3:21
,,,,,,,25. Thay đổi độ rộng của cột và chiều cao của hàng,4:06
,,,,,,,26. Ẩn và hiện một cột hoặc hàng,5:09
,,,,,,,27. Tìm một giá trị trong worksheet,5:34
,,,,,,Phần 4. Phát triển workbook,,
,,,,,,,28. Định dạng và đặt tên cho các thẻ trang tính,3:41
,,,,,,,29. Di chuyển các trang tính trong và giữa các workbook,4:49
,,,,,,,30. Sao chéo các bảng tính trong workbook,3:17
,,,,,,,31. Thêm và xóa các trang tính,3:33
,,,,,,,32. Xem nhiều hơn một trang tính ,4:34
,,,,,,,33. Ẩn và hiện các trang tính,2:02
,,,,,,Phần 5: In và thiết lập trang,,
,,,,,,,34. Sử dụng lệnh in khu vực để kiểm soát những gì excel in ra,4:03
,,,,,,,35. Căn lề giấy và hướng giấy,3:29
,,,,,,,36. Tạo ra Header và Footer,4:48
,,,,,,,37. Xem ở chế độ ngắt trang,2:55
,,,,,,,38. Đặt tiêu đề in cho những trang tính lớn,3:01
,,,,,,,"39. In đường kẻ hàng, cột và các tùy chọn liên quan khác",2:48
,,,,,,,40. Cho phép xem bố trí trang mới,3:30
,,,,,,,41. Chạy chức năng soát lỗi chính tả,3:23
,,,,,,,"42. Xem trước khi in, in toàn bộ hoặc một phần trang tính",4:03
,,,,,,Phần 6. Định dạng workbook,,
,,,,,,,"43. Thay đổi kiểu chữ, kích thước và màu sắc",6:12
,,,,,,,44. Gộp ô,2:45
,,,,,,,45. Chạy định dạng số,4:04
,,,,,,,46. Sắp xếp nộp dung trong các ô,2:02
,,,,,,,47. Thay đổi hướng chữ trong ô,3:38
,,,,,,,48. Thêm viền cho các ô và các dãy,4:43
,,,,,,,49. Thêm định dạng ngày cho một ô hoặc dãy,5:15
,,,,,,,50. Sử dụng painter định dạng,4:29
,,,,,,,51. Xóa nội dung của ô hoặc định dạng.,2:50
,,,,,,Phần 7. Thực hiện tính toán,,
,,,,,,,52. Làm quen với hàm toán học cơ bản: hàm cộng,5:23
,,,,,,,53. Làm quen với hàm toán học cơ bản: hàm trừ,3:20
,,,,,,,54. Làm quen với hàm toán học cơ bản: hàm nhân,2:45
,,,,,,,55. Làm quen với hàm toán học cơ bản: hàm chia,4:22
,,,,,,,56. Làm quen với hàm toán học cơ bản: toán hạng,2:36
,,,,,,,57. Trật tự vận hạnh với BODMAS,3:14
,,,,,,,58. Giới thiệu hàm SUM,7:46
,,,,,,,59. Sao chép các công thức và hàm,6:55
,,,,,,,60. Trình bày các công thức trên một trang tính,2:59
,,,,,,,61. Một số hàm đếm hữu ích,4:06
,,,,,,,62. Một số hàm trung bình hữu ích,4:02
,,,,,,,63. Một số hàm hữu ích để tính nhiều nhất và ít nhất,3:15
,,,,,,,64. Yêu cầu tham khảo,5:37
,,,,,,,65. Công thức giữa các trang tính,7:46
,,,,,,,66. Hàm giữa các trang tính,4:44
,,,,,,,67. Tham khảo ba chiều,6:58
,,,,,,,68. Tận dụng các ô và dãy đã được đặt tên,9:24
,,,,,,Phần 8: Định dạng nâng cao,,
,,,,,,,69. Làm nổi bật các trang tính có sử dụng chủ đề,2:40
,,,,,,,70. Làm việc với các bình luận,4:45
,,,,,,,71. Tạo ra danh sách điền tự động của bạn,5:45
,,,,,,,72. Chuyển dữ liệu thành bảng biểu để định dạng,5:32
,,,,,,Phần 9: Bảo mật,,
,,,,,,,73. Sử dụng tính năng bảo vệ trang tính,3:35
,,,,,,,74. Bảo vệ một phần của trang tính để giúp cho việc nhập liệu trở nên dễ dàng,3:59
,,,,,,,75. Kiểm soát việc truy nhập vào dãy các ô bằng mật khẩu và các tài khoản nguwoif dùng khác.,5:17
,,,,,,,76. Lưu lại một workbook bằng bảo mật mật khẩu,3:46
,,,,,,Phần 10: Sử dụng bản mẫu,,
,,,,,,,77. Tạo ra một Workbook từ một bản mẫu ,3:35
,,,,,,,78. Tạo ra bản mẫu của riêng bạn,6:16
,,,,,,Phần 11: Các hình ảnh đồ họa,,
,,,,,,,79. Chèn và chỉnh sửa thư viện ảnh,7:37
,,,,,,,80. Sử dụng đồ họa Smart Art,8:11
,,,,,,,81. Chèn hình vẽ vào một trang tính,4:48
,,,,,,,82. Chèn một hình ảnh từ ngoài vào,3:01
,,,,,,,83. Thêm hình nền cho một trang tính,2:57
,,,,,,,84. Định dạng các hỉnh ảnh đồ họa,5:02
,,,,,,,85. Kiểm soát thứ tự chồng chéo sắp xếp nhiều hình ảnh đồ họa.,6:15
,,,,,,,86. Nhóm các hình ảnh đồ họa,3:29
,,,,,,,87. Xuất kết quả của hàm trong một bong bóng thoại,5:10
,,,,,,Phần 12: Sử dụng Excel như một cơ sở dữ liệu,,
,,,,,,,88. Sửa hàng và cột trên màn hình,2:51
,,,,,,,89. Sửa hàng và cột cho việc in ấn,1:58
,,,,,,,90. Sắp xếp dữ liệu trong một trang tính,6:09
,,,,,,,91. Lọc dữ liệu trong một trang tính,7:29
,,,,,,,92. Xóa bỏ trùng lặp trong một cơ sở dữ liệu Excel,2:36
,,,,,,,93. Thêm và sử dụng tổng phụ trong cơ sở dữ liệu Excel,7:58
,,,,,,,94. Chia một cột dữ liệu thành nhiều cột,6:38
,,,,,,,95. Chia màn hình để xem nhiều phần của một trang tính.,4:28
,,,,,,,96. Gắn link tới dữ liệu ở một trang web,8:24
,,,,,,Phần 13: Sử dụng bảng biểu trong Excel,,
,,,,,,,97. Tạo một bảng biểu theo cách thông thường,5:00
,,,,,,,98. Tạo bảng biểu một cách nhanh chóng,2:28
,,,,,,,99. Chuyển biểu đồ từ Đối tượng trang sang một trang khác,2:57
,,,,,,,100. Thay đổi kiểu biểu đồ,6:30
,,,,,,,101. Thêm đường xu hướng vào một biểu đồ,5:44
,,,,,,,102. Chi tiết về biểu đồ tròn,5:24
,,,,,,Phần 14: Các công thức nâng cao,,
,,,,,,,103. Thêm hàm IF cho việc so sánh các ô,6:29
,,,,,,,104. Sử dụng hàm IF để ngăn chặn báo lỗi từ Excel,7:36
,,,,,,,105. Thao tác văn bản với các công thức phần 1,8:16
,,,,,,,106. Thao tác văn bản với các công thức phần 2,3:47
,,,,,,,107. Công thức ngày tháng trong Excel,6:37
,,,,,,,108. DATEIF hàm ẩn nhưng hiệu quả trong excel,4:28
,,,,,,,109. SUMIF COUNTIF và AVERAGEIF,12:35
,,,,,,,110. Sử dụng hàm để xếp hạng điểm số,3:24
,,,,,,Phần 15: Định dạng có điều kiện,,
,,,,,,,111. Thay đổi giao diện của ô dựa trên giá trị ,5:34
,,,,,,,112. Chỉnh sửa quy luật hàm điều kiện trong một trang tính,4:51
,,,,,,,113. Xóa bỏ quy luật hàm điều kiện,1:47
,,,,,,,114. Làm nổi các giá trị trùng lặp bằng việc sử dụng định dạng có điều kiện,3:35
,,,,,,,115. Xác định tỉ lệ phần trăm cao nhất hoặc thấp nhất của một dãy.,4:01
,,,,,,,116. Sử dụng thanh dữ liệu trong định dạng có điều kiện,4:32
,,,,,,,117. Sử dụng khoảng màu trong định dạng có điều kiện,4:04
,,,,,,,118. Áp dụng bộ biểu tượng trong định dạng có điều kiện,4:24
,,,,,,Phần 16: Ứng dụng Office và Excel trực tuyến,,
,,,,,,,119. Các ứng dụng Office trực tuyến là gì,2:47
,,,,,,,120. Đăng nhập hoặc đăng ký vào SkyDrive của bạn,3:17
,,,,,,,121. Lưu Workbook Excel vào SkyDrive của bạn,3:25
,,,,,,,122. Truy nhập và chỉnh sửa Workbooj qua SkyDrive,3:45
,,,,,,,123. Nói cho người khác biết các tài liệu công khai của bạn ở đâu,2:08
,,,,,,,124. Dẫn link trực tiếp hoặc nhúng link các tài liệu Sky Drive,2:00
,,,,,,,125. Tạo ra một cây thư mục trong SkyDrive,2:32
,,,,,,,126. Xóa tập tin trong SkyDrive,1:13
