,,,Yêu cầu của khóa học này là gì?,Tôi sẽ nhận được gì từ khóa học này?,Đối tượng của khóa học này là ai?,,,
Giới thiệu về Oracle SQL,Học về những kiến thức cơ bản về ngôn ngữ SQL trên cơ sở dữ liệu Oracle với những bải học và ví dụ dễ theo dõi.,Mô tả khóa học,Tiếp cận với cơ sở dữ liệu Oracle - một cơ sở dữ liệu thử nghiệm hoặc bất cứ đâu bạn có thể cài đặt chương trình Oracle của riêng mình. ,Hơn 37 bài giảng và 4 giờ nội dung,Những người muốn tìm hiểu về IT nói chung và cụ thể là SQL,Phần 1: Giới thiệu và cài đặt,,
,,Học cách sử dụng Oracle SQL và nhận Chứng nhận hoàn thành khóa học khi bạn hoàn thành,,"Trong khóa học này, bạn sẽ được học cách viết câu lệnh SQL cơ bản để theo dõi, chèn và cập nhật các dữ liệu sẵn có cũng như xóa dữ liệu trong một cơ sở dữ liệu.",Sinh viên đại học hoặc cao đẳng,,Giới thiệu,2:08
,,Khóa học này sẽ chỉ cho bạn những kiến thức cơ bản về ngôn ngữ SQL trên cơ sở dữ liệu Oracle ,,,Những người cần sử dụng cơ sở dữ liệu trong công việc nhưng chưa biết phải làm thế nào.,,Các công cụ và khái niệm,7:38
,,Các bài giảng video bao gồm các chủ đề sau:,,,,,Tải xuống Oracle Client,1:45
,,Thiết lập môi trường Oracle,,,,,Cài đặt Oracle Client,1:24
,,Các thuật ngữ cơ bản,,,,,Cài đặt Oracle trên Mac như thế nào,Text
,,Đọc dữ liệu bằng cách sử dụng một câu lệnh SELECT,,,,,Tải xuống Java JDK,1:10
,,Một câu lệnh SELECT có thể làm được những gì,,,,,Cài đặt Java JDK,1:20
,,Các chức năng,,,,,Tải xuống SQL Developer,2:46
,,Các loại dữ liệu,,,,,Cài đặt SQL Developer,2:15
,,"Tham gia, thiết lập vận hành, các truy vấn con",,,,,Thiết lập kết nối SQL Developer,1:11
,,"Chèn, cập nhật và xóa dữ liệu",,,,Phần 2: Xem dữ liệu,,
,,Tạo bảng,,,,,Xem dữ liệu - Câu lệnh SELECT (phần 1),2:52
,,Tài liệu cho khóa học có độ dài khoảng 4 tiếng và được chia thành nhiều phần nhỏ.,,,,,SQL Developer - Tạo ra người dùng mới,2:35
,,"Khóa học bao gồm các chương và các bài giảng đa dạng, được nhóm lại theo khu vực chức năng để giúp việc học đơn giản hơn.",,,,,SQL Developer - Tạo ra và lưu trữ bảng biểu,3:26
,,Tại sao tôi nên tham gia vào khóa học này?,,,,,Xem dữ liệu - Câu lệnh SELECT (phần 2),5:02
,,Bạn có thể xuất phát từ số không và có thể có thể viết các câu lệnh SQL trong vài tiếng đồng hồ mà không phải trả hàng nghìn đô chi phí đào tạo. Bạn cũng có thể học bất kỳ lúc nào tùy ý.,,,,,"Xem dữ liệu - Bộ điều hành, DISTINCT và NULL",13:22
,,,,,,,Các kiểu dữ liệu SQL,5:19
,,,,,,,Xem dữ liệu - Hạn chế và sắp xếp dữ liệu (phần 1),13:16
,,,,,,,Xem dữ liệu - Hạn chế và sắp xếp dữ liệu (phần 2),10:22
,,,,,,Phần 3: Chức năng,,
,,,,,,,Các chức năng - Chuỗi,11:20
,,,,,,,Các chức năng - Số,6:11
,,,,,,,Làm việc với ngày tháng và thời gian,5:27
,,,,,,,Các chức năng - Ngày tháng,4:23
,,,,,,,Các chức năng - Chuyển đổi,3:42
,,,,,,,Các chức năng tổng hợp,11:39
,,,,,,Phần 4: Các khái niệm SELECT khác,,
,,,,,,,Bảng Aliases và Joins,16:42
,,,,,,,Các loại Join - Phần 2,8:42
,,,,,,,Thiết lập vận hành,6:33
,,,,,,,"Dịch, giải mã và trường hợp",6:39
,,,,,,,Truy vấn con  - Hàng đơn,13:19
,,,,,,,Truy vấn con  - Nhiều hàng,17:12
,,,,,,Phần 5: DML - Ngôn ngữ vận hành dữ liệu,,
,,,,,,,DML - Chèn,7:13
,,,,,,,DML - Cập nhật,6:05
,,,,,,,DML - Lệnh xóa và TRUNCATE,4:25
,,,,,,Phần 6: Các đối tượng,,
,,,,,,,DDL - Các loại đối tượng,15:46
,,,,,,,DDL - Tạo bảng và những hạn chế,20:26
,,,,,,,DDL - Thay thế và thả bảng,4:48
,,,,,,Phần 7: Kết luận,,
,,,,,,,Kết luận,1:10
