,,,,,,,,
Viết thư xin tài trợ: Chìa khóa cho một lời đề nghị thành công,"Xây dựng lý lịch bản thân của bạn hay đơn giản là hành nghề tự do, học các kĩ năng viết thư xin tài trợ và khám phá những cách sáng tạo để gây quỹ cho dự án hay chương trình của bạn ","Tóm tắt khóa học 
""Làm thế nào để xây dựng một bàn đề cương hiệu quả"" là phương pháp tuyệt vời giúp bạn xây dựng hồ sơ  và học những kỹ năng quý giá. Thuê một người chuyên viết đề cương tài trợ có thể tốn đến 35 đến 150 đô la mỗi giờ. Bất kể bạn đang làm việc cho một tổ chức có nhu cầuvốn hay tìm kiếm nguồn vốn tự  mà không tốn phí chi phí , chỉ trong vòng  chính  bạn có thể học cách để soạn thảo một bản đề xuất tài trợ hiệu quả.
Khóa học tùy thuộc vào sức học của bạn và có thể thực hiện ngay tại nhà, công sở hay ngay trên đường. Khóa học bao gồm chuỗi các bài giảng ngắn , một bài kiểm tra nhỏ, tập trung vào 3 mục tiêu học tập chính;
Những nét cơ bản viết thư xin tài trợ
Làm thế nào để viết một bức thư xin tài trợ
Tìm kiếm nguồn vốn
Khóa học bao gồm những vấn đề liên quan đến việc soạn thảo đề xuất, làm thế nào để tập trung vào các nhà tài trợ, một quá trình gồm 8 bước đơn giản để phát triển bản đề xuất cảu bạn, tìm kiếm nguồn vốn từ đâu, làm thế nào để tiến hành nghiên cứu và giữ thông tin được cung cấp về các cơ hội tài trợ từ cả các cơ sở và các chương trình chính phủ. Cấp chứng chỉ hoàn thành khóa học  ","Không cần điều kiện tiên quyết, tất cả tài liệu được cung cấp.","Hơn 21 bài giảng với nội dung kéo dài  trong thời lượng 2h
Học những nguyên lý cơ bản để soạn thảo một bản đề xuất hiệu quả
Khám phá cách sử dụng các cơ sở dữ liệu và tiến hành nghiên cứu qua mạng
Học quy trình 8 bước cơ bản đề soạn thảo một bản đề xuất hiệu quả","Cho bất kì ai muốn viết đề xuất, bất kể cho một tổ chức hay một đơn vị tự do",,Chào mừng đến với khóa học!,2:58
,,,,,,Phần 1: Những nét cơ bản trong soạn thảo đề xuất,,
,,,,,,,Hệ thống,4:53
,,,,,,,Những nguyên lý cơ bản,7:01
,,,,,,,Những vấn đề liên quan đến soạn thảo : Xem trước,5:33
,,,,,,Phần 2: Làm thế nào để viết một bản đề xuất xin tài trợ,,
,,,,,,,Tổng quan - quy trình soạn thảo đề xuất,5:43
,,,,,,,Các từ viết tắt và cụm từ phổ biến,Text
,,,,,,,giới thiệu về tổ chức xin tài trợ,3:38
,,,,,,,Báo cáo vấn đề,7:51
,,,,,,,Các phương pháp,8:39
,,,,,,,Kết quả chương trình,10:08
,,,,,,,Kế hoạch đánh giá,4:35
,,,,,,,Tài trợ trong tương lai,3:19
,,,,,,,Ngân sách,14:07
,,,,,,,Viết phần tóm tắt,3:37
,,,,,,Phần 3: Tìm kiếm nguồn vốn,,
,,,,,,,Các nhà tài trợ tư nhân,10:57
,,,,,,,Qũy tài trợ từ chính phù,9:15
,,,,,,,Phương tiện truyền thông xã hội,4:24
,,,,,,,Sử dụng công cụ theo dõi Google Alerts,7:11
,,,,,,Phần 4: Kết thúc khóa học,,
,,,,,,,Bắt đầu -  viết những bàn đề xuất đầu tiên,2 trang
,,,,,,,Học được gì từ sự từ chối,1 trang
,,,,,,,Tổng quan khóa học,20 câu hỏi
