,,,,,,,,
Cách đưa ra lời phê phán chốn công sở,Những phản hồi mang tính xây dựng có thể là chìa khóa hướng đến sự phát triển tích cực cho đồng nghiệp của bạn và cả văn hóa công sở.,"Thử tưởng tượng rằng bạn đang đưa ra những nhận xét mang tính xây dựng cho nhân viên, đồng nghiệp và khách hàng ở nơi làm việc, và rồi họ nghe theo lời khuyên của bạn, thực sự cảm kích trước sự thấu hiểu ấy. Chẳng phải thật tuyệt vời khi biết rằng bạn có thể đưa ra những lời bình luận mà đồng nghiệp của bạn sẽ cân nhắc chúng một cách nghiêm túc và sau đó sẽ cảm thấy trân quý bạn hơn? 
Trong khóa học 'Cách đưa ra lời phê phán chốn công sở' này, bạn sẽ học được những điều sau:
*Làm thế nào để tránh những sai lầm ngớ ngẩn mà những người khác thường gặp khi đưa ra lời phê phán ở nơi công sở.
*Làm thể nào để xây dựng lòng tin, việc cần làm đầu tiên, với đồng nghiệp 
*Làm sao để những nhận xét của bạn trông có vẻ khách quan và đáng tin cậy
*Cách để đưa ra lời bình luận để nó thực sự có tầm ảnh hưởng.
Khóa học này được thưc hiện chủ yếu qua những bài giảng nói. Bởi kĩ năng bạn đang theo học liên quan đến kĩ năng nói nên bạn sẽ học bằng cách giao tiếp là điều dễ hiểu.
Trong khóa học này, kĩ năng bạn sẽ học không hoàn toàn là những lý thuyết suông. Nó là một kĩ năng yêu cầu những thói quen tự nhiên. Đó là lý do bạn sẽ được yêu cầu tham gia vào rất nhiều hoạt động mà ở đó bạn sẽ ghi âm những điều mình nói vào video, sau đó tự xem lại. Học các kĩ năng thuyết trình giống như học cách đi xe đạp. Bạn chỉ cần phải thực hành nó nhiều lần, rút kinh nghiệm từ những lần run sợ và thất bại cho đến khi bạn thành công.
Khóa học này bao gồm rất nhiều các bài giảng qua video cùng với một vài cuốn sách cho thư viện đào tạo của bạn.
TJ Walker đã và đang huấn luyện cho rất nhiều người về kĩ năng thuyết trình trong vòng 30 năm nay. Hiện giờ, với sức mạnh của nền tảng học trực tuyến Udemy, TJ Walker có thể cho bạn chất lượng đào tạo tương tự mà ông ấy đã đào tạo những người đã trở thành Giám đốc điều hành  CEO,  các nhân viên điều hành của công ty Fortune 500 và các vị chủ tịch nước. Bạn có thể là một phần của khóa huấn luyện với chi phí thông thường cho một khóa huấn luyện cá nhân. 
Khóa học diễn ra bao lâu là tùy thuộc ở bạn. Phần lâu nhất của khóa học đòi hỏi bạn phải nói trên video, tự nhận xét bản thân và làm đi làm lại cho đến khi bạn hài lòng. Nhưng nếu bạn hiểu đúng vấn đề rằng bạn đang chăm chút cho vẻ bề ngoài và cách truyền đạt lúc bạn đưa ra lời bình luận, nó sẽ rất xứng đáng với thời gian bạn bỏ ra.",Học viên sẽ cần phải tự ghi âm giọng nói bằng cách sử dụng điện thoại có camera hoặc webcam.,"Hơn 8 bài giảng với mỗi 31 phút một bài. 
Đưa ra được lời nhận xét nơi công sở
Hướng dẫn đồng nghiệp để cải thiện sự thể hiện của họ
Nhận xét những nhân viên để nâng cao các kĩ năng của họ 
Đưa ra những phản hồi tích cực cho đồng nghiệp trên mọi phương diện công việc ","Những người quản lý, điều hành, tư vấn viên,...những ai phải đưa ra những nhận xét cho mọi người ở nơi làm viêc.",Phần 1: Tổng quan khóa học,,
,,,,,,,Giới thiệu ,0:58
,,,,,,Phần 2: Quá trình ,,
,,,,,,,Bắt đầu với lời khen,9:53
,,,,,,,Cách ly chính xác với cái gì là sai,4:59
,,,,,,,Đưa ra những lời khuyên mang tính cụ thể cao,6:28
,,,,,,,Kết thúc bằng bối cảnh tích cực,3:26
,,,,,,,Video diễn tập,3:56
,,,,,,Phần 3: Những cảm nghĩ cuối,,
,,,,,,,Kết luận,0:50
,,,,,,,Phản hồi,1:18
