,,,,,,,,
Thiết kế Gamification Level 1 (cơ bản) + Chứng nhận,Tìm hiểu những yếu tố cơ bản trong thiết kế game và gamification cho khách hàng cũng như về sự trung thành và gắn bó của nhân viên.,"Thiết kế Gamification (Level 1) là các khóa học trực tuyến chỉ được công nhận bởi Engagement Alliance để cung cấp chứng nhận tham gia cùng chuyên gia ở mức nhập môn. Sau khi hoàn thành, bạn có thể yêu cầu chứng chỉ và viết trên hồ sơ online của mình, đơn xin việc hay trang web.
Trong khóa học này, bạn sẽ học được những điều cơ bản của gamification và khoa học về sự tương tác, làm thế nào xu hướng thiết kế mới mạnh mẽ này sẽ ảnh hưởng đến doanh nghiệp của bạn từ một quan điểm phi học thuật thiết thực. Cho dù bạn đang làm Marketing, Nhân sự, vận hành, phát triển sản phẩm hay quản lý chiến lược, bạn có thể sử dụng các nguyên tắc của Gamification để thay đổi các mối quan hệ của bạn với khách hàng và nhân viên. Khóa học được giảng dạy bởi Gabe Zichermann - chuyên gia hàng đầu thế giới về gamification và tham gia khoa học, tác giả của ba cuốn sách, chiếc ghế của GSummit và Tổng biên tập Gamification.Co.
Hoàn thành khóa học này, bạn sẽ hiểu được:
Gamification là gì
Những nguyên tắc nền tảng
Làm sao để gamification thay đổi ngành công nghiệp
Các loại hình kinh điển của gamification
Giới thiệu yếu tố then chốt về khoa học tương tác
Ví dụ có liên quan trên các ngành công nghiệp và các mô hình thiết kế
Thêm vào đó, bạn sẽ được nghe các chuyên gia giảng dạy đặc biệt, bài giảng hỗ trợ có liên quan từ bộ phim bom tấn Gamification lưu trữ và có một đoạn trích từ cuốn sách độc quyền mới của Gabe, ""The Revolution Gamification"" Cuộc cách mạng Gamification.",Khóa học giới thiệu này không yêu cầu điều kiện tiên quyết ... chỉ cần bạn quyết tâm học,"Hơn 29 bài giảng và 7 giờ giảng dạy
Hiểu được các vấn đề cơ bản của gamification
Tìm hiểu cách thay đổi tnền tảng ổ chức của bạn
Bắt đầu hình thành một tầm nhìn gamification có thể được sử dụng trong tổ chức của bạn
Nắm bắt và nghiên cứu về gamification
Giải mã các ví dụ và cách để tiếp tận nó
Có chứng chỉ khóa học","Quản trị nhân sự và nguồn vốn
Giảm đốc sản phẩm và marketing sản phẩm
Các nhà chiến lược marketing, CMO
Giám đốc IT / CIO / CTO
Những người sáng lập công ty
Chuyên gia về UX UI",Phần 1: Tại sao bạn cần Gamification - Giới thiệu,,
,,,,,,,Giới thiệu về Gamification,10:46
,,,,,,,giảng viên của bạn,2:39
,,,,,,,Bonus: Niềm vui chính là tương lai,59:22:00
,,,,,,,Bonus: Tầm nhìn,7:50
,,,,,,,Khái niệm cơ bản của Gamification,5 câu hỏi
,,,,,,,Tham gia vào thảo luận nhóm,Text
,,,,,,,Độc quyền: nhận bản sao miễn phí thiết kể của gamification,Text
,,,,,,Phần 2: khoa học về tương tác,,
,,,,,,,Khoa học về sự tương tác,10:20
,,,,,,,Tặng thêm: Michael Wu - Khoa học của Gamification,19:26
,,,,,,,Tặng thêm: Andrea Kuszewski - Tăng cường nhận thức & Gamification,19:28
,,,,,,,Tặng thêm: Csikszentmihalyi,18:56
,,,,,,,Khoa học về tương tác,4 câu hỏi
,,,,,,Phần 3: Thực hành Gamification: Các kiểu mẫu và ví dụ quan trọng ,,
,,,,,,,Các ví dụ về Gamification - Marketing,8:45
,,,,,,,Tặng thêm: Susan Bonds và The Dark Knight,33:59:00
,,,,,,,Các ví dụ về Gamification  -  Nhân sự và Doanh nghiệp,11:21
,,,,,,,Tặng thêm: JP Rangaswami và doanh nghiệp tương lai,23:10
,,,,,,,Các ví dụ về Gamification - Khởi nghiệp và sản phẩm,5:53
,,,,,,,Tặng thêm: Dan Porter trong Draw Something,24:41:00
,,,,,,,Tặng thêm: Klout's Chris Makarsky trong Influence,17:35
,,,,,,,Các ví dụ về Gamification,13:59
,,,,,,,Tặng thêm: Kevin Richardson - Speed Camera Lottery,26:04:00
,,,,,,,Tặng thêm: Sam Skey - Recyclebank Games for Good,19:55
,,,,,,,Tặng thêm: Jane McGonigal at GSummit,48:50:00
,,,,,,,Hiểu sâu hơn về các ví dụ,Text
,,,,,,,Tìm hiểu về các ví dụ Gamification ,4 câu hỏi
,,,,,,Phần 4: Gamification khác biệt như thế nào?,,
,,,,,,,Sự khác biệt từ các loại game khác,4:48
,,,,,,,"Gamification khác biệt theo độ tuổi, địa lý và giới tính như thế nào?",5:29
,,,,,,,"Phản ảnh: Tuổi, Giới tính, Địa lý",Text
,,,,,,,Sự khác biệt trong Gamification,4 câu hỏi
,,,,,,Phần 5: Các loại hình Gamification,,
,,,,,,,Bài giảng tặng thêm: Một phân loại của Gamification,15:26
,,,,,,,Sách tặng thêm: Các cuộc cách mạng Gamification,12 trang
,,,,,,Phần 6: Chứng nhận tham gia khóa học,,
,,,,,,,Chứng nhận tham gia khóa học,Text
,,,,,,,Tổng kết - Thiết kế Gamification Level 1,8:36
