,,,,,,,,
Viết Với Sự tinh tế: Cách Để Trở thành Một Nhà văn Đặc biệt,"Nguyên lý và chiến chuật để làm blog, bài luận và bài viết kinh doanh của bạn sắc sảo","MỘT TRONG CÁC KHÓA HỌC UDEMY BÁN CHẠY NHẤT VỚI HƠN 17,000 SINH VIÊN VÀ 145 ĐÁNH GIÁ NĂM-SAO
""Nếu bạn đang tìm kiếm một khóa học viết nổi bật, không cần tìm thêm nữa..."" -- MATT SPRENGER, HỌC VIÊN UDEMY
""Tốt hơn bất kỳ khóa học nào tôi học ở trường đại học..."" -- ANNA TIERNEY, HỌC VIÊN UDEMY 
""Lớp học hoàn toàn ngạc nhiên..."" -- SONIE SANDHU, HỌC VIÊN UDEMY 
""Sẵn sàng cho một vài điều khai ngộ..."" -- MARTIN TONEVSKI, HỌC VIÊN UDEMY
""Giúp tinh chỉnh bài viết của bạn và đem nó lên một cấp độ khác..."" - NISHANT BHIDE, HỌC VIÊN UDEMY""
""Khóa học viết tốt nhất mà tôi từng học. Đáng giá mười lần giá thành, dễ..."" -- HARBANS, HỌC VIÊN UDEMY
""Shani viết ra nhanh và dễ dàng ở công viên với khóa học này..."" -- JOHN MICHAEL BARNETT, HỌC VIÊN UDEMY
""Giữa những cái hữu dụng nhất tôi từng có là quyền được học..."" -- FRANS DU PLESSIS, HỌC VIÊN UDEMY     
""Đã cải thiện bài viết của tôi theo cách không thể nói bằng lời..."" -- REMCO BOERMA, HỌC VIÊN UDEMY                                                                                                                                                                                                                                   'Đã ngừng viết theo kiểu tẻ nhạt...'' -- VENKAT DINAVAH, HỌC VIÊN UDEMY
'Một luồng gió mới cho văn phong của tôi...''  -- DARRYL, HỌC VIEN UDEMY
''Cách truyền tải và diễn đạt ý đã thực sự hoàn hảo...'' -- CHRISTOPHER, HỌC VIÊN UDEMY
''Sẽ cải thiện kĩ năng viết của bạn dù chỉ là viết một bản ghi chú...'' --  HECTOR RUBIO, HỌC VIÊN UDEMY
''Đã thúc đẩy sự chuyển biến từ phong cách viết luận dài dòng của tôi sang kiểu viết bóng bẩy như trên web...'' -- ANDREA DAWES, HỌC VIÊN UDEMY""

Bạn sẽ thích trở thành một nhà văn đáng ngạc nhiên mà tác phẩm nổi bật so với các tác phẩm khác trong công ty của bạn và giữa các doanh nghiệp đối thủ?
Và để học từ một giảng viên dạy các nhà báo hàng đầu cách cải thiện bài viết của họ và đã làm việc cho các tổ chức tin tức lớn nhất của thế giới, bao gồm Báo Kinh Tế Gia, Thời Báo Tài Chính và Tin Bloomberg?
Viết không chỉ là một kỹ năng khác. Nó là một trong những cái quan trọng nhất bạn cần để chuyền tải một hình ảnh chuyên nghiệp và leo thang nghề nghiệp.
Nhưng trong khi nhiều người có thể viết, rất ít người thành thạo ngón nghề viết với phong cách và sự tinh tế. Các nhà báo hàng đầu nằm trong những người đó. Họ viết hàng đống mánh khóe, chiến thuật và nguyên lý để khiến bài viết của họ nổi bật gây chú ý từ đám đông.
Tôi sẽ tiết lộ những bí mật viết cho bạn ở đây. Một khi bạn học nó, bạn sẽ nhận ra nó luôn dễ như hiểu một vài nguyên lý chủ chốt và sau đó áp dụng chúng.
Cuối cùng, bạn sẽ biết chính xác cách đưa cho bài viết của bạn một lợi thế to lớn hơn tác phẩm của đồng nghiệp hay đối thủ cạnh tranh của bạn.

""Các kỹ năng xuất sắc này sẽ giúp:
Làm cho bài viết kinh doanh của bạn sáng hơn bài viết của bạn bè
Làm cho khách hàng tương lai của bạn ngay lập tức 'đón nhận' sản phẩm của bạn
Thu hút nhiều người đọc trung thành blog của bạn hơn
Nhận nhiều kích chuột (và chuyển đổi) trên trang web của bạn
Đưa Lý lịch Việc làm của bạn lên đầu nhiều cuộc phỏng vấn phải xem
Làm cho bài luận của bạn mượt mà nhất trong lớp""
Viết thông minh là một kỹ năng bạn hoàn toàn phải gây ấn tượng mạnh trong bất kỳ lĩnh vực gì bạn làm. Có khả năng viết với sự rõ ràng, chính xác và trang nhã cũng sẽ giúp bạn tiến xa hơn trong cuộc sống. Trái lại, bài viết tồi có thể kìm sự nghiệp của bạn hàng thập niên và làm nhơ hình ảnh của công ty bạn.
Rất ít người có thẻ viết với sự trang nhã mà các nhà báo hàng đầu dành nhiều năm nhận được đào tạo quân cách để giúp họ rũ bỏ điều sai lầm từ bài viết của họ, làm cho nó mượt mà đẹp đẽ, và thể hiện bản thân với sự rõ ràng như pha lê.
Đây là một cơ hội hiếm hoi để khám phá cách họ làm điều họ say mê và làm cho bài viết kinh doanh của bạn sắc sảo bởi bao hàm các chiến thuật của họ.
Các kỹ thuật xuất sắc sẽ tăng cường các thư xin việc, thông cáo báo chí, bản sao tiếp thị và thư điện tử bán hàng của bạn. Blog của bạn sẽ trông rõ ràng và sắc sảo một ngàn lần.
Nhiều người không nhận ra rằng viết với phong cách và sự tinh tế và một ngón nghề mà bạn có thể học dễ dàng với người thầy đúng, hơn là một kỹ năng mà bạn cần có từ thiên bẩm.
Do vậy, tham gia cùng hàng ngàn sinh viên người mà đã đầu tư vào việc khám phá bí mật viết bài nâng cao từ một biên tập viên mà dạy một vài nhà báo tốt nhất của thế giới cách viết. Bạn cũng sẽ nhận ra:
""Cách siêu-tiết-kiệm từ
Cách tránh lặp lại bạn thân một cách thừa thãi
Cách ngừng việc làm cho các ý tưởng đơn giản nghe phức tạp
Cách viết tiếng Anh đơn giản
Cách nói xem khi nào bạn nói nhiều quá
Cách tránh những từ yếu hay thừa
Cách giữ câu chủ động và thể hiện ý tưởng mạnh mẽ hơn
Cách cắt mảnh câu hỗn loạn
Cách tránh biệt ngữ và lời nói sáo""
""Cách tạo sự phân biệt sắc nét giữa các ý tưởng đối lập
Cách tránh xáo trộn các yếu tố thời gian
Cách sử dụng một cách chiến lược các từ như """"nó"""" và """"họ"""" và """"đây"""" và """"đó""""
Cách thêm như nhất quán sử dụng các kỹ thuật nhà báo gọi là phong cách nhà nghề
Cách trình bày bài viết siêu chuyên nghiệp
Cách tránh những gì nhà báo gọi là sự lặp từ
Cách giữ ý tưởng gọn gàng và song song
Cách tạo ra một cấu trúc kể chuyện súc tích""
Chỉ có một vài thủ thuật viết bài mà làm cho bài báo vĩ đại rất mượt mà. Bạn cũng sẽ được học chúng - trong ít ngày nếu bạn chọn đầu tư vào sự nghiệp của bạn hôm nay.
""Tôi đã tìm mọi nơi những cách làm sắc sảo bài viết của mình. Tôi đã mua sách, tham quan các trang web, xem các vi-đê-ô và dần dần cải thiện nhưng không đủ. Bài viết của tối thiếu sự tinh tế. Khóa học của Shani đang truyền sự tự tin. Tôi rời đi với nhiều nguyên lý và phương pháp cho phép tôi nhìn thấy điểm yếu trong tác phẩm của tôi và rồi cải thiện ngay lập tức. Tôi đã học các bài học và cải thiện tác phẩm của mình nhiều. Những gì là tác phẩm trước đây giờ thật thú vị. Tôi có một thế giới quan mới về viết bài..."" -- HARBANS, HỌC VIÊN UDEMY
""Tôi đã đọc nhiều cuốn sách về viết, ngồi hàng giờ vô tận phân tích bài sửa mực dỏ của giáo sư của tôi, đọc nhiều bài khóa nổi tiếng, và bài viết của tôi vẫn tiến bộ rất ít. Không hơn. Lớp học này cho tôi tâm mắt đại bàng để hiểu chi tiết, bức tranh lớn và hiểu quá trình. Tôi thực sự tin rằng lớp học này sẽ đưa các bài viết của tôi lên một cấp độ cao hơn..."" - ROBERTO1, HỌC VIÊN UDEMY
Đối với nhiều, nhiều nghìn người đã đăng ký khóa giới thiệu của tôi, NƯỚC SỐT BÍ MẬT CỦA BÀI VIẾT VĨ ĐẠI, và có một kinh nghiệm ngắn về hệ thống viết bài mới rất hiệu quả của tôi, khóa này được đóng gói với tất cả các chiến thuật tự tin bắn vọt bạn lên đường cong nhận thức.
Cái thậm chí tốt hơn là không có đảm bảo hoàn tiền ban đầu phi rủi ro - không có câu hỏi nào. Do đó bạn có thể chắc chắn một cách thoải mái rằng cái bạn nhận được là giá trị hàng đầu.
""Ngắn, thỏa mãn và diễn đạt đơn giản, mỗi từ đáng giá trọng lượng vàng!..."" - HỌC VIÊN UDEMY
""Có nhiều khoảnh khắc ""Ah!! Tôi làm điều đó!"" mà đã buộc tôi quay trở lại bài đăng blog trước đó và viết lại chúng..."" -- HỌC VIÊN UDEMY
""Tôi đã được đào tạo như một nhà báo cách đây 12 năm và tôi ước khóa học này đã có sẵn từ lúc đó. Tiến bộ trò chơi này hơn người khác, khóa học này sẽ giúp bạn tỏa sáng!..."" -- HỌC VIÊN UDEMY
Bài viết mượt mà chuyển đổi tiếp thị chán ngắt thành một bài nêu ý tưởng bán hàng thuyết phục...
Nó chuyển đổi khách hàng tương lai do dự thành khách hàng có cam kết...
Nó chuyển bài viết kinh doanh, bài luận và blog tầm thường thành nội dụng chất lượng tốt, phải đọc...
Cái quan trọng hơn là nó khiến bạn - nhà văn - trông siêu tài tình và phức tạp. Chỉ cần một khoảnh khắc để tưởng tượng cái mà bạn có thể làm cho doanh nghiệp hay sự nghiệp của bạn.
Trong khóa học này, tôi sẽ dạy bạn cách tăng trưởng nhanh chóng đường cong nhận thức về bài viết vĩ đại.
Bạn sẽ không chỉ học quy tắc. Bạn sẽ bắt đầu luyện tập áp dụng chúng thông qua bài phụ đạo trên màn hình, để nó đều ngấm sâu vào tiềm thức của bạn.
Vào lúc bạn học, bạn sẽ nhận thấy một sự khác biệt gây ấn tượng trong chất lượng bài viết của bạn. Đọc giả của bạn cũng vậy.
Tôi sẽ hưởng dụng rất nhiều việc sử dụng biển trời giàu có Khối kiến thức được cung cấp trong khi thắt chặt nó thành kỹ năng thực hành."" - HỌC VIÊN UDEMY
""Shani giảng mỗi nguyên lý của anh ấy trong một định dạng thật ra ko có sai lầm. Anh ấy sẽ dạy bạn cách cắt giảm béo trong bài viết và làm cho lối truyền thông của bạn trong như tinh thể..."" - HỌC VIÊN UDEMY
""Khóa học này cải thiệt bài viết của tôi theo cách không thể thể hiện ra được! Tôi chuẩn bị cho bản thân một bài nói chán ngắt về từ nào dùng thay cho từ khác nhưng tôi đã phải luyện tập triệt để trong viết bài. Tôi bây giờ tạo ra các blog ngắn hơn, câu cách ít phức tạp hơn, chọn từ tốt hơn và nhìn thấy nhiều cải thiện khác. Văn bản của tôi dễ đọc và nắm bắt, cảm thấy dứt khoát và tươi mới. Bạn đề cập các khóa khác và tôi không thể chờ mình mó tay vào nó."" -- HỌC VIÊN UDEMY
Bạn sẽ khám phá ra các nguyên lý này từ một nhà biên tập, tác giả của khóa học ''BÍ MẬT THÚ VỊ VỀ CÁCH VIẾT TUYỆT VỜI'', với gần 20000 học viên , là một trong số những khóa học tốt nhất và bán chạy nhất tại Udemy
Ở trường học các cấp và ở đại học, chúng ta được dạy theo một cách viết khuôn mẫu, lặp đi lặp lại đến nỗi nhàm chán. Cách đào tạo kém chất lượng này chính là nguyên nhân khiến các bài viết tập thể hoặc chính thống rất khó khăn để hoàn thành. 
Sẽ thế nào nếu bạn đã biết cách đi đường vòng để tránh những vấn đề không hoàn hảo ấy và ngay lập tức viết cho tờ  báo hay tạp chí bạn yêu thích theo kiểu viết tinh tế như một nhà văn thực thụ?
Những nhà báo thành công biết được cả tá những mẹo hay ho khiến bài viết của họ nổi bật trên trang báo, chạm đến người đọc và thu hút sự chú ý của họ đến chữ cuối cùng.
Lần đầu tiên, tôi hé lộ chính xác cụ thể những chi tiết  làm sao mà những nhà báo đó đạt được hiệu ứng thôi miên như vậy.
Khám phá những chiến thuật nâng cao từ một nhà báo hàng đầu để khiến một bài viết trở nên lung linh. 
Nếu bạn đã trải nghiệm khóa học ''BÍ MẬT THÚ VỊ VỀ CÁCH VIẾT TUYỆT VỜI'' của tôi và thích nó, thì đây chính là cái mà bạn có thể gọi là bữa chính.
Một sự khám phá sâu hơn của các nguyên lý về sự đơn giản, sự rõ ràng và sự tinh tế mà tôi đã giới thiệu với các bạn.
Viết Với Sự tinh tế: Cách Để Trở thành Một Nhà văn Đặc Biệt sẽ đưa bạn tiến thêm một bước vĩ đại đến với cách viết phi thường. Vậy nên hãy nắm lấy những chiến thuật này và khiến sự cạnh tranh của bạn thêm nổi bật. 
Bạn sẽ chạm đến gần cả tá chiến thuật mà tôi đã đang nắm vững bằng cách gặp gỡ một vài những nhà báo tuyệt nhất trên thế giới và học hỏi các phương pháp của họ một cách ti mỉ.
Nhưững chiến thuật có hiệu nghiệm này, được đưa ra như là nguyên lý chính 'dễ tiêu hóa' cùng với những bài luyện tập chiến thuật, sẽ giúp bạn trở thành một nhà văn đầy quyền lực một cách nhanh chóng
Bạn sẽ được hỗ trợ mãi mãi với những nguyên lý mà có thể biến bất cứ một bài viết tầm thường nào thành một thứ thú vị và đáng nhớ.
'Hầu hết những nhà giáo vĩ đại không thể viết và hầu hết những nhà văn vĩ đại không thể dạy. Shani Raja là một trong số rất ít người xuất sắc được cả hai. Tôi đã quản lý hàng tá những phóng viên và biên tập viên trong suốt 12 năm sự nghiệp tại Bloomberg News, bao gồm cả Shani. Giờ đây anh ấy là người mà tôi nghĩ đến khi tôi cần giúp đỡ về bài viết của mình''. NICOLAS JOHNSON, Nguyên biên tập viên BLOOMBERG AND GLOBE AND MAIL, và là Nguyên ứng cử viên cho Quốc hội của Ontario, Canada.
"" Là một phóng viên trẻ, văn xuôi của tôi có thể cứng nhắc và đầy những biệt ngữ nếu không dưới con mắt thận trọng của Shani và sự chú ý đến lợi ích của con người, thì quả là khó nắm bắt câu chuyện đằng sau vẻ bề ngoài là kỹ thuật ấy. Ngoài những kỹ năng báo cáo chuẩn - như độ chính xác , rõ ràng và toàn vẹn - Tôi cũng học được cách sàng lọc , làm thế nào để chịu được áp lực từ phía những miệng lưỡi độc địa và những lời chỉ trích cay độc mà tự nhiên được tạo nên từ sự không cùng nhịp . Shani sẽ dạy bạn làm thế nào để viết tốt , và với thái độ lịch thiệp. "" HAWA ALLAN , nhà báo và nhà văn viết truyện viễn tưởng .
Bạn gặp khó khăn trong việc viết rõ ràng và đầy uy lực ? Bạn đã tự hỏi liệu việc không đạt tiêu chuẩn văn bản có thể giữ lại sự nghiệp hoặc doanh nghiệp của bạn ? Bạn có cho rằng bạn có thể có nó hay không cũng được, và do đó không cần cố gắng để cải thiện ?
Tôi ở đay để nói cho bạn rằng bạn có thể cải thiện --- và nhanh hơn là bạn có thể tưởng tưởng!
'BÍ MẬT THÚ VỊ VỀ CÁCH VIẾT TUYỆT VỜI'' này đã giới thiệu cho bạn công thức viết lách đặc biệt của tôi. Đây là một số điều mà các học viên ở Udemy nói về khóa học:
""Tôi đã xem toàn bộ khóa học của bạn và luôn cảm thấy ngạc nhiên trong suốt thời gian xem. Những ngôn từ của bạn quả là sâu sắc ... Bây giờ tôi hiểu được chất lượng công việc của mình , và làm thế nào để khiến nó đặc biệt . ""
"" Rất mạnh mẽ và chính xác . Tôi đã học được rất nhiều trong một thời gian rất ngắn ... Tôi khuyên bạn nên tham gia khóa học này, bất cứ ai phải viết tại nơi làm việc . ""
'Cái cần phải học. Một khóa học tuyệt vời. Giờ đây tôi đã biết cái tôi đã làm sai đối vwois bài viết của mình''
Vâng, tất nhiên khóa học mới này được xây dựng trên khuôn khổ  đem lại cho bạn những chiến thuật chính xác cho việc thúc đẩy mỗi một trong ba phẩm chất quan trọng , đơn giản , rõ ràng và tinh tế, đến mức độ cao nhất .
Trong VIẾT VỚI SỰ TINH TẾ, tôi phá vỡ nó một cách chính xác . Các Khối kiến thức vô giá, cái mà đã được đặt ra trong quá trình này rất dễ dàng để làm theo, sẽ nhanh chóng đưa văn bản của bạn đến một không gian khác mà không lãng phí thời gian vào các loại ngữ pháp tối nghĩa mà còn tạo nên sự khác biệt không đáng kể .
Tôi sẽ đưa ra tất cả các quy tắc và kỹ thuật mà bạn có thể ngay lập tức bắt đầu áp dụng vào cho việc chỉnh sửa những lời sáo rỗng của bạn .
Bạn sẽ nhận thấy sự cải thiện nhanh chóng - cho dù bạn đang viết một bài luận, bao gồm thư , luận văn , báo cáo ,bản ghi nhớ , thông cáo báo chí , blog , sách quảng cáo , email bán hàng, cuốn sách hay thậm chí chỉ là một bản cập nhật Facebook .
Tôi sẽ đi từng bước một qua các nguyên tắc chính mà tôi đã chọn làm việc trong các tổ chức tin tức hàng đầu để bạn có thể tăng tốc văn bản của bạn trong ít nhất là vài ngày hoặc vài tuần .","1 quyển sổ ghi chép và 1 cái bút, hoặc máy tính cho các bài viết luyện tập","Hơn 31 bài thuyết giảng và 3.5 tiếng nội dung
Bạn sẽ cải thiện đáng kể chất lượng bài viết của mình trong ít nhất vài ngày hoặc vài tuần
Bài viết của bạn sẽ nổi bật hơn những bạn bè đồng trang lứa, đồng nghiệp và cả các đối thủ
Các trang mạng cá nhân của bạn trông sẽ mượt mà và chuyên nghiệp hơn","Các nhà văn viết chung
chuyên gia truyền thông
giám đốc điều hành tiếp thị
Cơ quan chính phủ và phi chính phủ
sinh viên đại học và cao đẳng
nhà văn Blog
Người tìm việc
Các nhà báo
Các doanh nghiệp nhỏ , vừa và lớn
Nguười viết sách
Những blogger",Phần 1 : Giới thiệu,,
,,,,,,,Thế giới viết của Elite,3:35
,,,,,,,Bií mật thú vị của sự tinh tế,11:35
,,,,,,Phần 2 : Sự đơn giản,,
,,,,,,,Kinh tế,20:43
,,,,,,,Sự lặp lại,7:17
,,,,,,,Việt qua những thứ phức tạp,9:25
,,,,,,,Giản dị hơn sẽ tốt hơn,4:12
,,,,,,,Quá Nhiều Thông Tin,3:49
,,,,,,,Suự giảm tải các từ,9:20
