,,,,,,,,
Khóa học Freelancer của Seth Godin,"Trở nên vượt trội, tìm kiếm được những khách hàng tốt hơn và làm nên chuyện.","Nội dung và tổng quan
Khóa học này mở đầu bằng việc giới thiệu ý nghĩa của việc trở thành một freelancer, bất kể bạn đang làm việc trong ngành nghề nào.
Bạn sẽ nhận ra rằng bạn có cơ hội kiểm soát sự nghiệp của mình, không liên quan đến kinh nghiệm trước kia của bạn, bằng việc quan sát thế giới từ quan điểm khách hàng của bạn.
Seth sẽ dẫn dắt bạn cách để chọn lọc khách hàng và làm cách nào để tìm được họ đúng lúc đúng chỗ. Bằng việc tự thúc đẩy bản thân để tạo ra những công trình xuất sắc, khách hàng sẽ bắt đầu tìm tới bạn.
Mỗi bài giảng ngắn và tập trung (và đôi khi rất hài hước) giúp bạn tìm ra các cách để xây dựng danh tiếng và xúc tiến doanh nghiệp của bạn để bạn có thể bước ra khỏi sự vô hình. Bạn sẽ làm cho công trình của bạn có giá trị hơn, và bạn sẽ biết cách định giá công trình của bạn để thu hút và giữ chân khách hàng.
Bạn có cơ hội để trở thành một chuyên gia nổi tiếng trong lĩnh vực của bạn. Bạn sẽ học được các nền tảng để luôn tạo ra các đầu mối khách hàng, giúp bạn vươn tới thu nhập tự do cao hơn.
Cũng bao gồm: các đáp án sâu sát đối với các câu hỏi thường gặp (Frequently Asked Questions) mà Seth đã thu thập từ người học của anh ấy trong việc chuẩn bị cho khóa học này. Các câu hỏi thường gặp sẽ giúp làm rõ mối bận tâm chung mà những người hành nghề tự do có, cũng như giúp bạn hiểu thấu cách để vượt qua các thách thức hằng ngày.
Trong toàn bộ thời gian của khóa học, bạn sẽ có cơ hội hoàn thành các bài tập giúp bạn hình thành nên một lối đi dễ theo. Bạn sẽ nhận được nhiều từ khóa học này khi bạn chọn bỏ thời gian và nỗ lực cho nó.
Vào cuối khóa học, bạn sẽ biết cái mà bạn cần làm để chuẩn bị cho một nghề nghiệp tự do có lợi và vừa ý hơn. Bạn sẽ đủ tự tin làm người chủ của riêng bạn, và bạn sẽ biết cách vận hành các mục tiêu của bạn. 
Dù bạn có hiện làm nghề tự do toàn thời gian hay bạn bị mắc kẹt trong một công việc mà bạn muốn thoát khỏi, Seth chỉ cho bạn những gì cần để làm một người hành nghề tự do hoàn hảo - hay, như anh ấy gọi là ""một chiến binh không có vua"".",Không có yêu cầu nào! Duy chỉ động lực làm người chủ của riêng bạn và làm ra kết quả xuất sắc là quan trọng.,"Hơn 87 bài giảng và 3 giờ nội dung!
Thành thạo cách làm ra một kết quả độc đáo, tạo ra một thương hiệu nổi tiếng, tìm ra khách hàng, và tăng nhu cầu cho sản phẩm và dịch vụ
Hiểu những gì cần để làm tốt hơn những người hành nghề tự do trung bình
Trở nên chuyên nghiệp, cũng như cam kết tìm ra các khách hàng tốt hơn và làm ra kết quả tốt hơn","Những người hành nghề tự do hiện nay mà muốn xây dựng và làm khác biệt hóa doanh nghiệp của họ
Bất cứ ai quan tâm đến việc trở thành một người hành nghề tự do chuyên nghiệp
Đây không phải là một khóa học cho những người tìm kiếm đường tắt, kết quả được đảm bảo trước hay một con đường dễ dàng",Phần 1: Cách tiến lên,,
,,,,,,,1. Tại sao lại là một người hành nghề tự do,2:34
,,,,,,,2. Một chiến binh không có vua,2:32
,,,,,,,3. Thăng tiến,1:26
,,,,,,,4. Thăng tiến,1:04
,,,,,,,5. Bài tập - Bạn là ai,3 pages
,,,,,,,6. 5 loại nghề tự do,4:24
,,,,,,,7. Bạn có đáng tin cậy?,1:03
,,,,,,,8. Bài tập - Bạn cung cấp gì,1 page
,,,,,,Phần 2: Xây dựng tài sản,,
