,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Khóa đào tạo cơ sở Prince2,"Giá trị tốt nhất của tiền với khóa học đào tạo cơ sở Prince 2, được công nhận bởi PEOPLECERT","Khóa học này chuẩn bị cho các học viên biết được rõ ràng Kỳ thi Cơ sở của Prince2. Được phát triển bời GreyCampus, tổ chức đào tạo được chứng nhận bởi PEOPLECERT. Nội dung khóa học bao gồm
Những bài giảng dạng tiếng và dạng video ở tất cả các nội dung.
4 bài kiểm tra toàn thời gian đầy đủ
1 bộ gồm 195 thẻ thông tin như là bộ nhớ
Đăng ký với chúng tôi để tham gia bài Kiểm tra Cơ sở Prince 2 PEOPLECERT để biết thêm chi tiết về bài giảng video số 1
Học tập vui vẻ!",Không có bất kỳ yêu câu nào để tham gia kỳ thi Cơ sở PRINCE2,"Hơn 59 bài giảng và 10.5 giờ nội dung!
Thể hiện sự hiểu biết vững chắc về kỹ thuật và kiến thức khái quát chung được kỳ vọng từ Chứng chỉ Prince2
Đạt được sự chuẩn bị vững chắc để vượt qua kỳ thi Cơ sở và Hành nghề PRINCE2",Các chuyên gia trong lĩnh vực Quản lý Dự án muốn trở thành một người có chứng chỉ Cơ sở Prince2,Phần 1: Giới thiệu,,
,,,,,,,Giới thiệu - Phần khái quát và mục tiêu,11:02
,,,,,,,Giới thiệu - Các quy trình của Prince2,12:18
,,,,,,,Phụ lục và chú giải,8:47
,,,,,,Phần 2: Kiến thức cơ bản,,
,,,,,,,Kiến thức cơ bản - Khái quát và mục tiêu,11:02
,,,,,,,Kiến thức cơ bản - Các bước quản lý ,11:30
,,,,,,Phần 3: Giới thiệu về đề tài Prince2,,
,,,,,,,Giới thiệu về đề tài Prince2,5:52
,,,,,,Phần 4: Trường hợp kinh doanh,,
,,,,,,,Tình huống nghiên cứu - Tổng quan và mục tiêu,12:15
,,,,,,,Tình huống nghiên cứu - Phát triển,9:56
,,,,,,,Tình huống nghiên cứu - Thích nghi,7:48
,,,,,,,Tình huống nghiên cứu- Lợi ích kỳ vọng,11:36
,,,,,,Phần 5: Tổ chức,,
,,,,,,,Tổ chức - Định nghĩa,11:38
,,,,,,,Tổ chức - Các cấp độ của tổ chức,11:48
,,,,,,,Tổ chức - Bảo đảm dự án,12:29
,,,,,,,Tổ chức - Hỗ trợ dự án,12:10
,,,,,,,Tổ chức - Quản lý nghiệp vụ,12:29
,,,,,,Phần 6: Chất lượng,,
,,,,,,,Chất lượng - Khái quát và mục tiêu,12:10
,,,,,,,Chất lượng - Mục đích thiết lập kế hoạch,12:18
,,,,,,,Chất lượng - Chiến lược quản lý,12:17
,,,,,,,Chất lượng - Kiểm soát,11:33
,,,,,,Phần 7: Kế hoạch,,
,,,,,,,Kế hoạch - Mục đích của chủ đề kế hoạch,12:28
,,,,,,,Kế hoạch - Tiếp cận kế hoạch,7:10
,,,,,,,Kế hoạch - Định nghĩa và phân tích sản phẩm,12:29
,,,,,,,Kế hoạch - Các hoạt động định dạng và tín nhiệm,12:25
,,,,,,Phần 8: Rủi ro,,
,,,,,,,Rủi ro - Khái quát và mục tiêu,8:13
,,,,,,,Rủi ro - Tiếp cận rủi ro,9:26
,,,,,,,Rủi ro - Thủ tục,12:30
,,,,,,,Rủi ro - Ước lượng,10:55
,,,,,,,Rủi ro - Lên kế hoạch,7:33
,,,,,,,Rủi ro - Áp dụng,8:24
,,,,,,,Phần 9: Thay đổi,
,,,,,,,Thay đổi -  Mục đích,8:58
,,,,,,,Thay đổi - Thành lập các kiểm soát,12:29
,,,,,,,Thay đổi -  Thủ tục kiểm soát,12:19
,,,,,,Phần 10: Tiến độ,,
,,,,,,,Tiến độ - Mục đích,9:02
,,,,,,,Tiến độ - Tiếp cận,12:29
,,,,,,,Tiến độ - Lập trình sự kiện và Kiểm soát thời gian,12:21
,,,,,,Phần 11: Giới thiệu chung các quy trình,,
,,,,,,,Giới thiệu chung các quy trình - Bước khởi đầu,11:59
,,,,,,,Giới thiệu chung các quy trình - Mẫu quá trình,11:04
,,,,,,Phần 12: Khởi đầu dự án,,
,,,,,,,Khởi đầu dự án - Mục đích,12:10
,,,,,,,Khởi đầu dự án - Bổ nhiệm giám đốc điều hành và quản lý dự án,12:11
,,,,,,,Khởi đầu dự án - Thiết kế và thành lập nhóm quản lý dự án,11:38
,,,,,,Phần 13: Tiếp cận trực tiếp dự án,,
,,,,,,,Tiếp cận trực tiếp dự án -  Mục đích,7:12
,,,,,,,Tiếp cận trực tiếp dự án -  Bước đầu cấp phép,12:07
,,,,,,Phần 14: Tiến hành dự án,,
,,,,,,,Tiến hành dự án - Mục đích,6:55
,,,,,,,Tiến hành dự án - Các hoạt động,12:28
,,,,,,,Tiến hành dự án - Thiết lập các kiểm soát dự án,12:14
,,,,,,Phần 15: Kiểm soát giai đoạn,,
,,,,,,,Kiểm soát giai đoạn -  Mục đích,7:14
,,,,,,,Kiểm soát giai đoạn - Được Ủy quyền làm việc trọn gói,9:01
,,,,,,,Kiểm soát giai đoạn - Rà soát tình hình giai đoạn,12:11
,,,,,,Phần 16: Quản lý vận chuyển sản phẩm,,
,,,,,,,Quản lý vận chuyển sản phẩm -  Mục đích,5:46
,,,,,,,Quản lý vận chuyển sản phẩm - Đồng ý làm việc trọn gói,7:28
,,,,,,Phần 17: Quản lý đường biên quy trình,,
,,,,,,,Quản lý đường biên quy trình - Khái quát và mục tiêu,6:16
,,,,,,,Quản lý đường biên quy trình - Lên kế hoạch cho quy trình tiếp theo,11:51
,,,,,,Phần 18: Kết thúc dự án,,
,,,,,,,Kết thúc dự án -  Mục đích,6:42
,,,,,,,Kết thúc dự án - Chuẩn bị kết thúc kế hoạch,9:39
,,,,,,Phần 19: Ứng dụng PRINCE2 vào môi trường dự án,,
,,,,,,,Áp dụng PRINCE 2 vào môi trường dự án - Đó là cái gì?,11:25
,,,,,,,Áp dụng PRINCE 2 vào môi trường dự án - Những ví dụ,12:21
,,,,,,,Áp dụng PRINCE 2 vào môi trường dự án - Sự án cơ bản,7:53
,,,,,,,Áp dụng PRINCE 2 vào môi trường dự án - Khách hàng thương mại,12:19
,,,,,,,Áp dụng PRINCE 2 vào môi trường dự án - các dự án đa tổ chức,12:28
