,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
100 cách để Vượt qua Hóa học Regents,"100 ngắn, video thông tin bao gồm các khái niệm đơn giản nhất và thường gặp nhất trong Hóa học Regents!","100 bài học ngắn, video thông tin bao gồm các câu hỏi dễ nhất và thường gặp nhất trong Regents Hóa học với tổng hơn 3,5 giờ video!
Hơn 450 lựa chọn và câu trả lời ngắn gọn được chia nhỏ theo chủ đề để được quan tâm nhất!
Nhiều video được kèm theo các câu đố có chứa nhiều sự lựa chọn và trả lời ngắn gọn từ câu hỏi thực tế về Hóa học Regents hơn những thể hiện trong các đoạn video thử nghiệm để xem bạn có thực sự nắm khái niệm hay không!
Bạn cũng sẽ tìm hiểu làm thế nào để sử dụng các bảng tham khảo một cách chính xác!",Sách Hóa học tham khảo bản in 2011,"Hơn 106 bài giảng và 3,5 giờ nội dung!
Sau khi xem những đoạn phim này, bạn sẽ có một cơ hội tuyệt vời để thi qua kì thi Hóa học Regents!",Học sinh cấp 3 ở bang New York dự kiến ​​sẽ thi qua Hóa học Regents,,"Giới thiệu về 100 cách để Vượt qua Hóa học Regents
Aperçu ",2:11
,,,,,,,"Điều khoản sử dụng
Tổng quan",0:24
,,,,,,Bài 1: Bổ sung những điều cần thiết,,
,,,,,,,"Xem lại các trang, Hướng dẫn học và kì thi Hóa học Regents",4 trang
,,,,,,Bài 2: An toàn,,
,,,,,,,Cách # 1 An toàn trong phòng thí nghiệm,1:33
,,,,,,Bài 3: Vật chất,,
,,,,,,,"Cách # 2 Vật chất
",2:44
,,,,,,,Cách # 2 Vật chất,1 câu hỏi
,,,,,,,Way # 2 Hướng dẫn học,2  trang
,,,,,,,"Way # 3 Bảo tồn vật chất
Aperçu ",0:45
,,,,,,,"Way # 4 Tính chất hóa học
Aperçu ",1:56
,,,,,,,"Way # 5 Không thể chia nhỏ (phân hủy)
Aperçu ",2:12
,,,,,,,Way # 5 Không thể chia nhỏ (phân hủy),1 câu hỏi
,,,,,,,"Way # 6 Chưng cất
Aperçu ",1:15
,,,,,,,Way # 6 Chưng cất,1 câu hỏi
,,,,,,,"Way # 7 Dạng thù hình (O2, O3, kim cương, than chì)
Aperçu ",1:35
,,,,,,,"Way # 7 Dạng thù hình (O2, O3, kim cương, than chì)",1 câu hỏi
,,,,,,"Bài 4: Rắn, Lỏng, Khí (5 video)",,
,,,,,,,"Way # 8 Lý thuyết động lực học phân tử
Aperçu ",1:46
,,,,,,,Way # 8 Lý thuyết động lực học phân tử,1 câu hỏi
,,,,,,,"Way # 9 Khái niệm khí
Aperçu ",1:14
,,,,,,,Way # 9 Khái niệm khí,1 câu hỏi
,,,,,,,"Way # 10 Entropy
Aperçu ",2:20
,,,,,,,Way # 10 Entropy,1 câu hỏi
,,,,,,,Way # 11 Giả thuyết của Avogadro,2:09
,,,,,,,Way # 12 Áp suất hơi,1:27
,,,,,,,Way # 12 Áp suất hơi,1 câu hỏi
,,,,,,Bài 5: Nóng chảy (5 video),,
,,,,,,,Way # 13 Nhiệt độ,1:38
,,,,,,,Way # 13 Nhiệt độ,1 câu hỏi
,,,,,,,Way # 14 Nhiệt độ nóng chảy,2:44
,,,,,,,Way # 14 Nhiệt độ nóng chảy,1 câu hỏi
,,,,,,,Way # 15 K = ◦C + 273,1:13
,,,,,,,Way # 15 K = ° C + 273,1 câu hỏi
,,,,,,,Way # 16 Điểm nóng chảy,0:59
,,,,,,,Way # 17 Thăng hoa,1:13
,,,,,,,Way # 17 Thăng hoa,1 câu hỏi
,,,,,,Bài 6: Nguyên tử (10 video),,
,,,,,,,Way # 18 Qũy đạo,0:21
,,,,,,,Way # 18 Qũy đạo,1 câu hỏi
,,,,,,,Way # 19 Tích điện hạch hạt nhân,1:52
,,,,,,,Way # 19 Tích điện hạch hạt nhân,1 câu hỏi
,,,,,,,Way # 20 Sub-nguyên tử hạt điện tích,1:21
,,,,,,,Way # 20 Sub-nguyên tử hạt điện tích,1 câu hỏi
,,,,,,,Way # 21 Khối lượng hạy Sub-nguyên tử,1:59
,,,,,,,Way # 21 Khối lượng hạy Sub-nguyên tử,1 câu hỏi
,,,,,,,Way # 22 Tất cả các nguyên tử trung hòa điện,1:49
,,,,,,,Way # 22 Tất cả các nguyên tử trung hòa điện,1 câu hỏi
,,,,,,,Way # 23 Đồng vị,1:31
,,,,,,,Way # 23 Đồng vị,1 câu hỏi
,,,,,,,Way # 24 Khối lượng nguyên tử,2:38
,,,,,,,Way # 25 Cấu hình Electron,3:13
,,,,,,,Way # 25 Cấu hình Electron,1 câu hỏi
,,,,,,,Way # 26 Sự chuyển động Electron,2:25
,,,,,,,Way # 26 Sự chuyển động Electron,1 câu hỏi
,,,,,,,Way # 27 Dải quang phổ,1:12
,,,,,,,Way # 27 Dải quang phổ,1 câu hỏi
,,,,,,Bài 7: Hạt nhân (6 video),,
,,,,,,,Way # 28 Sự chuyển hóa,1:53
,,,,,,,Way # 28 Sự chuyển hóa,1 câu hỏi
,,,,,,,Way # 29 Chế độ phân rã,2:23
,,,,,,,Way # 29 Chế độ phân rã,1 câu hỏi
,,,,,,,Way # 30 Sự nóng chảy,2:04
,,,,,,,Way # 30 Sự nóng chảy,1 câu hỏi
,,,,,,,Way # 31 Phân hạch hạt nhân,1:15
,,,,,,,Way # 31 Phân hạch hạt nhân,1 câu hỏi
,,,,,,,Way # 32 Đồng vị phóng xạ,1:07
,,,,,,,Way # 32 Đồng vị phóng xạ,1 câu hỏi
,,,,,,,Way # 33 Rủi ro/lợi ích của hạt nhân,1:32
,,,,,,Bài 8: Bảng tuần hoàn (9 video),,
,,,,,,,Way # 34 Bố trí bảng tuần hoàn,0:33
,,,,,,,Way # 35 Các tính chất của kim loại / phi kim,1:47
,,,,,,,Way # 35 Các tính chất của kim loại / phi kim,1 câu hỏi
,,,,,,,Way # 36 Hóa trị electron,2:15
,,,,,,,Way # 37 Loại và vị trí Nguyên tố,2:33
,,,,,,,Way # 37 Loại và vị trí Nguyên tố,1 câu hỏi
,,,,,,,Way # 38 Tính chất tương tự,1:35
,,,,,,,Way # 38 Tính chất tương tự,1 câu hỏi
,,,,,,,Way # 39 Phóng xa nguyên tử/ phóng xạ ion,2:54
,,,,,,,Way # 39 Phóng xa nguyên tử/ phóng xạ ion,1 câu hỏi
,,,,,,,Way # 40 Điện tích âm,1:51
,,,,,,,Way # 40 Điện tích âm,1 câu hỏi
,,,,,,,Way # 41 Năng lượng ion ,0:54
,,,,,,,Way # 42 Xu hướng,3:35
,,,,,,,Way # 42 Xu hướng,1 câu hỏi
,,,,,,Bài 9: Liên kết (2 video),,
,,,,,,,Way # 43 Phá một liên kết / Hình thành một liên kết,0:57
,,,,,,,Way # 43 Phá một liên kết / Hình thành một liên kết,1 câu hỏi
,,,,,,,Way # 44 Liên kết Ion,1:46
,,,,,,,Way # 45 Liên kết hóa trị,2:09
,,,,,,,Way # 45 Liên kết hóa trị,1 câu hỏi
,,,,,,,Way # 46 Liên kết hóa trị không cực,1:25
,,,,,,,Way # 47 Ionic & liên kết hóa trị,1:40
,,,,,,,Way # 47 Ionic & liên kết hóa trị,1 câu hỏi
,,,,,,,Way # 48 Các hợp chất,1:27
,,,,,,,Way # 48 Các hợp chất,1 câu hỏi
,,,,,,,Way # 49 Ổn định bát tử,1:51
,,,,,,,Way # 49 Ổn định bát tử,1 câu hỏi
,,,,,,,Way # 50 Biểu đồ chấm tròn,4:01
,,,,,,,Way # 50 Biểu đồ chấm tròn,1 câu hỏi
,,,,,,,Way # 51 Liên kết vùng cực,2:33
,,,,,,,Way # 51 Liên kết vùng cực,1 câu hỏi
,,,,,,,Way # 52 phân tử phân cực,2:31
,,,,,,,Way # 52 phân tử phân cực,1 câu hỏi
,,,,,,,Way # 53 Nhiệt độ sôi cao,2:00
,,,,,,,Way # 54 Liên kết Hydro,0:40
,,,,,,,Way # 54 Liên kết Hydro,1 câu hỏi
,,,,,,Bài 10: Viết công thức (5 video),,
,,,,,,,Way # 55 Từ Công thức phân tử Công thức thực nghiệm,2:34
,,,,,,,Way # 55 Từ Công thức phân tử Công thức thực nghiệm,1 câu hỏi
,,,,,,,Way # 56 Các loại phản ứng: Tổng hợp / phân hủy,1:35
,,,,,,,Way # 56 Các loại phản ứng: Tổng hợp / phân hủy,1 câu hỏi
,,,,,,,Way # 57 Các loại phản ứng: Sự thay thế đơn,1:33
,,,,,,,Way # 58 Formula Viết,3:52
,,,,,,,Way # 58 Formula Viết,1 câu hỏi
,,,,,,,Way # 59 Phương pháp chéo,2:12
,,,,,,,Way # 59 Phương pháp chéo,1 câu hỏi
,,,,,,Bài 11: Hóa toán (7 video),,
,,,,,,,Way # 60 Graphing,3:00
,,,,,,,Way # 61 Mật độ,3:16
,,,,,,,Way # 62 Định luật bảo toàn khối lượng,2:42
,,,,,,,Way # 63 Công thức tính khổi lượng,3:15
,,,,,,,Way # 63 Công thức tính khổi lượng,1 câu hỏi
,,,,,,,Way # 64% Thành phần,4:08
,,,,,,,Way # 64% Thành phần,1 câu hỏi
,,,,,,,Way # 65% Khối lượng,2:25
,,,,,,,Way # 66 Tính Mol,2:12
,,,,,,,Way # 66 Tính Mol,1 câu hỏi
,,,,,,Bài 12: Bảng tính tan,,
,,,,,,,Way # 67 Bảng F,2:41
,,,,,,,Way # 67 Bảng F,1 câu hỏi
,,,,,,,Way # 68 Độ hòa tan so với nhiệt độ,1:08
,,,,,,,Way # 69 Bảng G,2:57
,,,,,,,Way # 69 Bảng G,1 câu hỏi
,,,,,,,Way # 70 nồng độ mol,2:07
,,,,,,,Way # 70 nồng độ mol,1 câu hỏi
,,,,,,,Way # 71 phần triệu,3:23
,,,,,,,Way # 71 phần triệu,1 câu hỏi
,,,,,,,Way # 72 Điểm sôi và điểm đóng bắng,3:30
,,,,,,Bài 13: Động lực học/ tính cân bằng,,
,,,,,,,Way # 73 Phản ứng hóa học / Tốc độ phản ứng nhanh,1:14
,,,,,,,Way # 73 Phản ứng hóa học / Tốc độ phản ứng nhanh,1 câu hỏi
