,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Công phá mức điểm 800 cho môn Toán SAT,Gồm các video và chương trình chuẩn bị cho bạn dễ dàng chinh phục môn toán của kỳ thi SAT,"Khóa học này tất cả những gì bạn cần để chuẩn bị cho phần toán học của SAT. Tôi đã dành gần hết một năm nghiên cứu và phân loại tất cả các vấn đề toán học của SAT được đưa ra trong Hướng dẫn ôn thi SAT từ Hội đồng các trường Đại học. Từ các phân tích thu thập được, tôi đã tạo ra một khóa học được thiết kế đặc biệt nhằm ôn luyện cho học sinh của tôi ở mọi khía cạnh trong phần toán SAT.
Điều khiến khóa học này khác với tất cả các khóa học khác là do nó là ""dựa trên tần suất."" Điều này có nghĩa là gì? Bạn có thể lựa chọn các chủ đề dựa trên tần suất chúng được sử dụng trong kỳ thi. Ví dụ, sau xem xong video của 2 mục đầu tiên trên tổng số 31 mục, ""Tam giác"" và ""Đồ thị và Tọa độ"", bạn sẽ có thể ghi nhớ lượng kiến thức chiếm tới 20% dung lượng thi! Dưới đây là những nội dung được cung cấp:
Tất cả các quy tắc và các hoạt động cần thiết được tổng kết trong bài giảng ""Giới thiệu"" chỉ với 2 tiếng
Lượng tài liệu gói trong 7 tiếng, bao gồm cả giải thích các quy tắc cùng với hướng dẫn chi tiết giải quyết các vấn đề thực hành 
Các tệp PDF về vị trí của tất cả các vấn đề then chốt trong Hướng dẫn học thi SAT cho mỗi thể loại (có thể được tìm thấy dưới phần ""tài nguyên"" trong các video giời thiệu cho mỗi thể loại)",Vui lòng mua Hướng dẫn ôn thi SAT của College Board.,"Hơn 122 bài giảng và 7 giờ nội dung!
Trả lời mọi loại câu hỏi toán học trong kỳ thi SAT
Hiểu tất cả các khái niệm đã được thi
Phương pháp tiếp cận từng vấn đề một cách hệ thống và có tính toán","Khóa học này dành cho bất cứ ai mong muốn tăng điểm thi môn toán học SAT. Không giống như phần thi nói của kỳ thi, bạn có thể tìm hiểu và nắm vững tất cả các khái niệm toán học có liên quan trong một thời gian tương đối ngắn. Đối với những sinh viên không còn nhiều thời gian ôn luyện, khóa học này đặc biệt phù hơp vì nó được thiết kế dựa trên tần suất. Ví dụ, 25% đầu tiên của khóa học cung cấp tất cả các thông tin cần thiết để trả lời hơn một nửa phần toán học SAT.","Phần 1: tam giác - 9,26%",,
,,,,,,,Tam giác: Các khái niệm quan trọng,7:06
,,,,,,,Tam giác: Bài tập thực hành - mức dễ,2:39
,,,,,,,Tam giác: Bài tập thực hành - mức trung bình,4:05
,,,,,,,Tam giác: Bài tập thực hành - mức nâng cao,5:19
,,,,,,"Phần 2: Đồ thị và Tọa độ - 9,26%",,
,,,,,,,Đồ thị và Tọa độ: Các khái niệm quan trọng,9:30
,,,,,,,Đồ thị và Tọa độ: Bài tập thực hành - mức dễ,3:44
,,,,,,,Đồ thị và Tọa độ: Bài tập thực hành - mức trung bình,3:42
,,,,,,,Đồ thị và Tọa độ: Bài tập thực hành - mức nâng cao,4:02
,,,,,,"Phần 3: Phân tích dữ liệu - 6,30%",,
,,,,,,,Phân tích dữ liệu: Các khái niệm quan trọng,1:47
,,,,,,,Phân tích dữ liệu: Bài tập thực hành - mức dễ,2:08
,,,,,,,Phân tích dữ liệu: Bài tập thực hành - mức trung bình,3:25
,,,,,,,Phân tích dữ liệu: Bài tập thực hành - mức nâng cao,5:01
,,,,,,"Phần 4: Tỷ lệ phần trăm, phân số, tỷ số, và tỷ lệ thức - 5,37%",,
,,,,,,,Tỷ lệ: Các khái niệm quan trọng,6:17
,,,,,,,Tỷ lệ: Bài tập thực hành - mức dễ,2:34
,,,,,,,Tỷ lệ: Bài tập thực hành - mức trung bình,3:23
,,,,,,,Tỷ lệ: Bài tập thực hành - mức nâng cao,2:57
,,,,,,Phần 5: Hình tròn - 5.00%,,
,,,,,,,HÌnh tròn: Các khái niệm quan trọng,4:29
,,,,,,,Hình tròn: Bài tập thực hành- mức dễ,3:38
,,,,,,,Hình tròn: Bài tập thực hành- mức trung,4:20
,,,,,,,Hình tròn: Bài tập thực hành- mức nâng cao,3:31
,,,,,,Phần 6: Phương trình đa biến - 5.00%,,
,,,,,,,Phương trình đa biến: Các khái niệm quan trọng,4:16
,,,,,,,Phương trình đa biến: Bài tập thực hành- mức dễ,2:49
,,,,,,,Phương trình đa biến: Bài tập thực hành- mức trung bình,4:35
,,,,,,,Phương trình đa biến: Bài tập thực hành- mức nâng cao,2:46
,,,,,,Phần 7: Phương trình đơn biến - 5.00%,,
,,,,,,,Phương trình đơn thức: Các khái niệm quan trọng,4:40
,,,,,,,Phương trình đơn biến: Bài tập thực hành- mức dễ,1:21
,,,,,,,Phương trình đơn biến: Bài tập thực hành- Mức trung bình,2:09
,,,,,,,Phương trình đơn biến: Bài tập thực hành- Khó,4:12
,,,,,,Phần 8: Thuộc tính số - 5.00%,,
,,,,,,,Thuộc tính số: Các khái niệm quan trọng,4:59
,,,,,,,Thuộc tính số: Bài tập thực hành- mức dễ,3:12
,,,,,,,Thuộc tính số: Bài tập thực hành - mức trung,4:48
,,,,,,,Thuộc tính Số: Bài tập thực hành - mức nâng cao,4:16
,,,,,,"Phần 9: Xác suất, Tổ hợp số, Nhóm, Thứ tự, và số đếm - 4,26%",,
,,,,,,,Xác suất: Các khái niệm quan trọng,12:32
,,,,,,,Xác suất: Bài tập thực hành- mức dễ,2:01
,,,,,,,Xác suất: Bài tập thực hành - mức trung,2:38
,,,,,,,Xác suất: Bài tập thực hành - mức nâng cao,6:05
,,,,,,"Phần 10: Trung bình cộng, Trung tuyến, và Phương pháp - 3.70%",,
,,,,,,,"Trung bình cộng, Trung tuyến, và Phương pháp : Các khái niệm quan trọng",2:15
,,,,,,,"Trung bình cộng, Trung tuyến, và Phương pháp : Bài tập thực hành- mức dễ",3:37
,,,,,,,"Trung bình cộng, Trung tuyến, và Phương pháp : Bài tập thực hành - mức trung",4:04
,,,,,,,"Trung bình cộng, Trung tuyến, và Phương pháp : Bài tập thực hành - mức nâng cao",2:40
,,,,,,Phần 11: Góc - 3.70%,,
,,,,,,,Góc: Các khái niệm quan trọng,4:30
,,,,,,,Góc: Bài tập thực hành- mức dễ,2:21
,,,,,,,Góc: Bài tập thực hành - mức trung,2:41
,,,,,,,Góc: Bài tập thực hành - mức nâng cao,4:30
,,,,,,"Phần 12: Suy luận ra công thức - 3,33%",,
