,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Google Analytics cho người mới sử dụng,học cách dùng Google Analytics nhằm phát hiện các dữ liệu có thể sử dụng và phát triển việc kinh doanh online,"bạn có biết khách hàng tiềm năng của mình đến từ đâu và làm sao để tìm ra họ? Và làm sao để nhận biết những cơ hội chưa được khai thác với khách hàng mới?
không ư?
Dưới đây là khóa học dành cho bạn. Sau khi tham gia khóa học này bạn sẽ nhanh chóng đạt được kỹ năng cần thiết để trở thành người dùng Google Analytics thông minh
Google Analytics cho người mới bắt đầu sẽ giới thiệu tới bạn tất cả các báo cáo tìm thấy trên tài khoản Google Analytics của bạn. Chúng ta sẽ nghiên cứu kỹ càng vấn đề này trong khi tôi giải thích từng mẫu báo cáo thật chi tiết và cho bạn thấy cách sử dụng thông tin đó để phát triển việc kinh doanh của mình
Đây là khóa học ""cầm tay chỉ việc"" - sử dụng hình ảnh của tài khoản Google Analytics vẫn hoạt động, từ đó bạn có thể theo dõi liên tục tài khoản của mình. Đây không phải 1 Phần học dài và buồn chán trên powerpoint, mỗi Phần học rất đơn giản và nhấn mạnh vào trọng điểm.
vậy bạn sẽ học được gì?
ai - khách hàng bao gồm nhân chủng học, sở thích và thiết bị mà họ sử dụng
cái gì? - họ thích xem phần nào trên web bạn và họ sẽ mua gì (hoặc không)
Khi nào - lần thăm đầu tiên của họ và khi nào họ quay lại
Ở đâu - họ đến từ đâu và sử dụng ngôn ngữ gì
Làm thế nào -  họ đến web của bạn bằng cách nào? ( truyền thông xã hội, từ website khác hay từ tìm kiếm google
nếu bạn có câu hỏi nào về khóa học, bạn có thể gửi email cho tôi bất cứ lúc nào",có tài khoản Google Analytics,"Hơn 44 Phần giảng với nội dung kéo dài 3 giờ
Trở thành người sử dụng tốt Google Analytics
Học cách tạo 1 báo cáo phân tích
Học cách tạo đưa ra quyết định định hướng dữ liệu.","doanh nghiệp
chuyên viên marketing
sinh viên
bất cứ ai muốn học về Google Analytics",,,
,,,,,,,giới thiệu,0:39
,,,,,,Phần 2: trình quản lý google Analytics,,
,,,,,,,cài đặt tài khoản,5:14
,,,,,,,cài đặt các thuộc tính,7:43
,,,,,,,cài đặt phần xem phân tích,10:36
,,,,,,Phần 3 sử dụng báo cáo GA,,
,,,,,,,báo cáo hàng ngày,1:35
,,,,,,,xuất dữ liệu,1:07
,,,,,,,tổng quan về biểu đồ,1:36
,,,,,,,thay đổi thời gian xem,1:02
,,,,,,,tạo chú thích cho báo cáo,1:40
,,,,,,,xem báo cáo đầy đủ,2:14
,,,,,,,sử dụng tab mở rộng,1:10
,,,,,,,biểu đồ dữ liệu,1:57
,,,,,,,Báo cáo dạng biểu đồ tròn,1:14
,,,,,,,hiệu suất đồ thị,1:19
,,,,,,,biểu đồ trung bình trang web,1:41
,,,,,,,Bảng Pivot,2:34
,,,,,,,báo cáo tìm kiếm và phân loại,2:29
,,,,,,Phần 4: Toàn bộ về Báo cáo,,
,,,,,,,Tạo và chỉnh sửa bảng điều khiến,4:35
,,,,,,,thêm các phím tắt vào báo cáo,2:08
,,,,,,,sử dụng sự kiện thông minh,3:15
,,,,,,,Phần 5: Toàn bộ về báo cáo khách hàng,
,,,,,,,báo cáo về Nhân khẩu học và sở thích,5:20
,,,,,,,báo cáo về địa lý ( ngôn ngữ và địa điểm),6:38
,,,,,,,báo cáo hành vi,4:22
,,,,,,,Báo cáo về công nghệ và di động,7:09
,,,,,,,Báo cáo lưu lượng người dùng,3:38
,,,,,,Phần 6: Toàn bộ về Báo cáo nghiệm thu,,
,,,,,,,Tổng quan về kênh và lượt truy cập,4:26
,,,,,,,Báo cáo giới thiệu và báo cáo chiến dịch,5:03
,,,,,,,Báo cáo từ khóa,4:03
,,,,,,,Báo cáo Adwords,7:54
,,,,,,,Báo cáo kênh xã hội,3:59
,,,,,,,Báo cáo SEO (Tối ưu hóa các công cụ tìm kiếm),5:45
,,,,,,,Công cụ google webmaster,3:43
,,,,,,Phần 7: Toàn bộ về Báo cáo hành vi,,
,,,,,,,tổng quan về báo cáo dòng hành vi,2:46
,,,,,,,Báo cáo nội dung trang,8:55
,,,,,,,Báo cáo tốc độ trang,5:14
,,,,,,,Báo cáo tìm kiếm và sự kiện trang,3:39
,,,,,,,Phân tích Adsense và in-page,4:57
,,,,,,Phần 8: Toàn bộ về Báo cáo chuyển đổi,,
,,,,,,,Mục tiêu,4:13
,,,,,,,Thương mại điện tử,7:29
,,,,,,,Kênh multilchanel,6:54
,,,,,,,Chỉ định,6:37
,,,,,,Phần 9: Toàn bộ về báo các khách hàng,,
,,,,,,,Thêm và chỉnh sửa báo cáo khách hàng,7:42
,,,,,,Phần 10: Tổng kết,,
,,,,,,,Tổng kết,1:06
,,,,,,,Gắn thẻ URL,3:47
