,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Kế hoạch phát hành trên Kindle: $1400 trong 30 ngày và vị trí Amazon Bestseller,Khám phá một quy trình đã được chứng minh tính hiệu quả: Làm thế nào để đưa một cuốn sách Non-fiction (không - giả - tưởng) từ ý tưởng đến vị trí đầu bảng của Amazon.,"Bạn luôn mơ ước viết được một quyển sách bán chạy nhất? Đó chính là cách tốt nhất để  bạn có thể lan truyền thông điệp của mình, giúp đỡ người khác, gây dựng uy tín trong ngành và thậm chí thu được phí bản quyền để bù đắp cho những nỗ lực mà bạn đã bỏ ra. 
Nhưng đối với rất nhiều người, điều đó giống như một giấc mơ vậy. Nó sẽ kết thúc và khi thức dậy, họ lại trở về với cuộc sống thực tế đầy khó khăn của mình.
Họ không biết phải bắt đầu từ đâu, làm thế nào để xuất bản được tác phẩm của mình, làm cách nào để họ có thể thu hút sự chú ý trong biển 3 triệu đầu sách đang cạnh tranh ngoài kia.
Khóa học này sẽ giúp bạn giải quyết triệt để những câu hỏi trên và chia sẻ cho bạn một cách làm mang tính hệ thống đã được chứng minh hiệu quả. Đây là cách để có thể đưa một cuốn sách từ ý tưởng trở thành một cuốn sách bán chạy nhất trên Amazon. 
Tôi đã tự biến ước mơ của mình thành hiện thực - với một quyển sách mà tôi còn không dùng bất cứ kỹ thuật đặc biệt nào để viết. Vì vậy, tôi tin rằng bạn cũng có thể thực hiện được ước mơ của chính mình. Cuốn sách này đã đem lại cho tôi hơn $1400 tiền bản quyền tác giả trong tháng đầu tiên và tiếp tục tạo nên doanh số bán hàng mỗi ngày sau đó!
Chúng tôi sẽ hướng dẫn bạn từng bước để đưa cuốn sách của bạn lên top bảng xếp hạng Amazon, khởi đầu từ vị trí thấp nhất và từng bước thăng hạng.
Khóa học này đặc biệt dành cho những người KHÔNG CÓ ""khán giả"" sẵn trong danh sách email đăng ký hoặc KHÔNG CÓ số lượng lớn người theo dõi trên các phương tiện truyền thông.
Bạn sẽ học cách làm thế nào để:
Nghiên cứu đối thủ cạnh tranh
Lựa chọn từ khóa và danh mục để hiển thị tại vị trí bán tốt nhất
Tạo buzz - ""tin đồn"" cho sự kiện ra mắt và chiêu mộ đội ngũ đại sứ sách.
Tạo trang bìa, trang mô tả sách, trang danh sách trang, trang về tác giả.
""Hack"" nội dung cuốn sách của bạn để đứng đầu trong các tìm kiếm trên Amazon và chiếm được các khách hàng lâu dài.
Định dạng cuốn sách của bạn thật chuyên nghiệp, đăng tải lên Amazon và tạo ra phiên bản bìa mềm (miễn phí)!
""Định giá cuốn sách của bạn để tối ưu hoá doanh số, lợi nhuận và giá trị cảm nhận*.
Giá trị cảm nhận là: là phương pháp định giá sản phẩm dựa trên mức giá mà khách hàng sẵn sàng chi trả hơn là dựa trên chi phí sản xuất .""
Sử dụng tầm ảnh hưởng khổng lồ và hoạt động nội bộ của Amazon để quảng bá cuốn sách của bạn.
Kêu gọi độc giả để lại lời bình luận về cuốn sách.
Tạo đòn bẩy từ các gian bán hàng miễn phí để lan toả nội dung cuốn sách.
Tối đa hoá độ phủ sóng của bạn với các mạng xã hội như Facebook, LinkedIn, Twitter,..
Giữ đà của cuộc khai trương sau những cú đẩy khuyến mại lớn
95% các tác giả Kindle khác không biết hoặc không thực hiện các chiến thuật trên, vì vậy bạn sẽ có một lợi thế vô cùng lớn và có thể giành được vị trí đầu bảng - đi cùng với đó sẽ là sức ảnh hưởng và thu nhập.
Bạn đã sẵn sàng để bắt đầu cuộc hành trình đến với danh hiệu ""Bestseller""? Bắt đầu ngay thôi!","Nếu bạn đã có ý tưởng về cuốn sách trong đầu, tôi sẽ chỉ cho bạn thấy làm thế nào để biến nó thành cuốn sách bán chạy nhất.","Hơn 36 Phần giảng và 3.5 giờ nội dung
Cách ra mắt một ""Cuốn sách bán chạy nhất trên Amazon"".","Khóa học này dành cho những tác giả Kindle không-viết-thể-loại-giả-tưởng, những người không có một nền tảng khách hàng lớn để bán nhưng vẫn muốn sách của họ có tầm ảnh hưởng, sự nổi tiếng và lượng tiêu thụ tối đa.
Các tiểu thuyết gia và những tác giả đã có vô số fan hâm mộ nhưng không thu được nhiều lợi nhuận.",Phần 1: Tiền khai trương: Đặt nền tảng,,
,,,,,,,"Tại sao lại là Amazon? Thiết lập một gian hàng trong cửa hàng lớn nhất thế giới
(Bản xem trước)",2:39
,,,,,,,"Các bước lập kế hoạch: Không lập kế hoạch chính là lập kế hoạch cho thất bại
(Bản xem trước)",1:21
,,,,,,,"Tìm hiểu thị trường: Thông tin về Cung, Cầu, và Cơ hội
(Bản xem trước)",2:32
,,,,,,,"Tìm hiểu về những tiêu đề có tính cạnh tranh: Những điểm tốt, xấu",3:09
,,,,,,,Viết một cuốn sách: Tìm một quá trình viết lách có hiệu quả,5:23
,,,,,,,Họ là khách hàng của bạn hay của Amazon? Phần thưởng thêm cho người đọc,6:49
,,,,,,,Các thủ thuật về nội dung để tăng sự xuất hiện trên Amazon,2:47
,,,,,,,"Xây dựng tin đồn: Dự đoán, Đại sứ và Tình thần trách nhiệm ",2:50
,,,,,,,Hiệu đính và biên tập: Xây dụng một sản phẩm hoàn thiện chuyên nghiệp,3:18
