,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Lớp học tổng thể về thủ thuật phát triển: Trở thành sát thủ marketing trong kỉ nguyên số,"Học về phân tích web tinh gon, thiết kế phễu digital, mạng xã hội, lan tỏa, email, marketing nội dung, SEO, PR, Adwords và nhiều hơn thế nữa","Khóa học tiêu biểu về thủ thuật phát triển // phiên bản 2.2 ra mắt tháng 6 năm 2015
Học cách phân tích các chỉ số quan trọng, ma trận phân tích lưu lượng truy cập trang web, phễu chuyển đổi trực tuyến (digital conversion funnels), cách tính toán giá trị vòng đời & chi phí để có một khách hàng, truyền thông xã hội (social media), viral marketing, PR, SEO, inbound marketing, email marketing, và mua lại để tăng trưởng nhanh
Bộ công cụ marketing trong kỉ nguyên số trong tầm tay của bạn
Học cách nghĩ và làm marketing như những growth hacker tại các công ty lớn ở thung lũng Silicon. Một khi bạn đã sở hữu những kĩ năng này, bạn sẽ có đủ kiến thức để trở thành một nhà tiếp thị nổi bật trong thời đại số hóa. Cùng với sự phát triển của internet, nhu cầu về tiếp thị số ngày càng gia tăng, và một khi bạn đã nắm rõ cách thức để thu hút và giữ chân khách hàng qua internet, bạn sẽ trở thành một phần quan trọng trong bất cứ tổ chức nào mà bạn tham gia.
Khóa học tiêu biểu này đã được phát triển cùng với sự hỗ trợ của những nhà thiết kế giảng dạy hàng đầu. Bạn sẽ áp dụng các khái niệm trong quá trình học, đọc về thủ thuật tăng trưởng nhanh, và học từ những phần được hoạt hóa rất đẹp, được thiết kế bởi đội ngũ thiết kế hoạt họa của chúng tôi (hoàn toàn không có những slide powerpoint nhàm chán ở đây!)
Gói học phần hoàn chỉnh cho tiếp thị kỹ thuật số dành cho growth hacker
Mở đầu khóa học, bạn sẽ được học một vài khái niệm ở trình độ MBA về marketing như sự phù hợp giữa sản phẩm/thị trường, sự phân mảng về đặc tính khách hàng và ""trung tâm mua bán"" khách hàng. Sau đó khóa học phát triển từng kỹ năng marketing kỹ thuật số cần thiết và biến chúng theo lối tư duy của một growth hacker.
Trong nửa đầu của khóa học, bạn sẽ phát triển các kỹ năng phân tích cho phép bạn hiểu cái gì có hiệu quả, kênh nó phát huy hiệu quả, và những gì cần phải được thay đổi. Bạn sẽ bắt đầu với một chương về phân tích tinh gọn trước khi chuyển sang phân tích lưu lượng truy cập web. Sau đó bạn sẽ phát triển khả năng thiết kế và theo dõi kênh chuyển đổi kỹ thuật số mà khi kết hợp với giá trị vòng đời khách hàng (LTV) và giá mua của khách hàng (CAC), bạn sẽ có thể tìm cơ hội để mang tới khách hàng mới vào hệ sinh thái của mình trên một cơ sở thu nhập dương.
Trong nửa thứ hai của khóa học, bạn sẽ phát triển một bước tiếp cận với người dùng làm trung tâm để làm marketing. Bạn sẽ bắt đầu với một phần của môi trường marketing trên mạng xã hội mới, sau đó chuyển sang marketing lan truyền và quan hệ công chúng. Sau đó, bạn sẽ nhận được một khóa học cấp tốc về SEO cho các trang web trực tuyến cũng như marketing nội dung để bạn có thể đảm bảo rằng nội dung của bạn sẽ tìm được trên web. Phần tiếp thị email sẽ giới thiệu bạn với các chiến lược tiếp thị email tự động cũng như phát triển khả năng của bạn để sử dụng các nền tảng tiếp thị email nhằm quản lý nhóm đăng ký danh sách email. Khóa học kết thúc với một phần vào việc mua lại và quảng cáo trực tuyến để khi bạn có một ngân sách dành cho quảng cáo, bạn sẽ biết làm thế nào để sử dụng nó.
Ghi chú của phiên bản 2.0:
Khóa học có những phần giwosi thiệu hoàn toàn mới. Chúng tôi đã ghi hình lại phần giới thiệu khóa học, giới thiệu các chương, và kết luận để đưa vào những tài liệu mới.
Bây giờ bạn có thể thu thập ngôi sao về marketing tăng trưởng xuyên suốt khóa học. Nếu bạn hoàn thành khóa đào tạo, bạn sẽ kiếm được ngôi sao siêu cấp cho phép bạn tải về hình nền ngôi sao siêu cấp như một sự ghi nhớ thưởng xuyên về kĩ năng sử dụng các thủ thuật tăng trưởng của bạn.
Bạn được truy cập gần hai giờ đồng hồ vào SideBySides để học những kĩ năng kỹ thuật sau đây.
Phân tích thị trường mục tiêu
Sử dụng dữ liệu google để công khai truy cập Nhân khẩu học thống kê.
Sử dụng những giải pháp phân tích của thư viện google.
Thiết kế các kênh phân tích dễ theo dõi.
Sử dụng các kênh công cụ hình ảnh hóa.
Nghiên cứu nhà báo, những người viết những câu chuyện tương tự nhau.
Tạo ra những đoạn danh sách Email khách hàng có phân khúc
Tích hợp email tự động
Chiến dịch gửi email tiếp thị tự động
thiết lập nhóm và chiến dịch Adwords ( là một dịch vụ thương mại của Google cho phép khách hàng mua những quảng cáo bằng chữ hoặc hình ảnh tại các kết quả tìm kiếm hoặc các trang web do các đối tác Google Adsense cung cấp)
thiết lập một danh sách những người đã truy cập vào truy cập vào trang web bán hàng của bạn nhưng ko có động thái gì trên Adwords
Thiếp lập danh sách Facebook Remarketing
Thiết lập tái tiếp thị hình ảnh sôi động bằng adwords
Chúng tôi đã bổ sung định dạng pdf trong Yahoo! với khả năng miêu tả tính cách người dùng Yahoo! đang tìm việc để làm giàu kho tài nguyên cho Phần giảng về Phát triển Lý lịch tâm lý học khách hàng
Tài khoản Linkedln và twitter của một vài chuyên gia về các vấn đề trong khóa học. Kết nối với họ ngay!
Cập nhật phiên bản 2.1
Bây giờ bạn đã sở hữu tổng kết cuộc phỏng vấn với chuyên gia Brian Taylor, James Kenler và Reva Minkoff! Hãy học lập trường của họ ngay!
Cập nhật phiên bản 2.2.1 
Có một cuộc phỏng vấn mới trong chương cuối khóa học với Antonio Carella, một nhà phát triển di động và giáo viên phát triển phần mềm. Nội dung xoay quanh việc sử dụng APIs và đăng nhập xã hội trong marketing phát triển
Cập nhật phiên bản 2.2.2 
Chỉnh sửa một Phần tập về hành động để cải thiện cột mốc của số liệu. Cám ơn Luka!","Học viên cần có những kĩ năng điều hướng trực tuyến vững chắc và sự hiểu biết về những khái niệm này là gì ( ví dụ như SEO, Truyền thông xã hội, quảng cáo trực tuyến, email marketing). Họ không nhất thiết phải là chuyên gia trong những lĩnh vực này, nhưng khóa học không phải khóa học cho người mới bắt đầu về marketing trên công nghệ web.","Hơn 115 Phần giảng và 7 giờ.giảng dạy
Hiểu được cách văn hóa marketing phát triển đã ảnh hưởng tới thế giới marketing nhường nào và cách tạo ra một cuộc cách mạng marketing bằng công nghệ
Cách các doanh nghiệp và tổ chức phát hiện ra cách tối ưu hóa lợi nhuận từ đầu tư vào các tổ chức marketing phát triển
làm thế nào để sử dụng những kênh hành động khách hàng, thực hành với các chỉ số, và sự phát triển những quyết định thông minh hơn liên quan đến đặc tính của khách hàng mục tiêu.
Cách kể các câu chuyện hay hơn, viết nội dung marketing hấp dẫn và nâng tầm mạng xã hội để đạt được tăng lợi nhuận lẫn tiết kiệm chi phí
Biết được điều gì khiến một chiến dịch trở nên lan truyền trên mạng và cách các tổ chức biến những điều nhen nhóm trở thành phổ biến, biến chúng thành một sự thành công nổi tiếng
Cách sử dụng hệ thống chiến lược email tiếp thị tự động và bất thường trong việc khách hàng và cầm chân họ
Cách áp dụng LTV, CAC và tỉ lệ hủy đăng ký trong trường hợp tăng khách hàng tự nhiên và khách hàng mua được","Khóa học này lý tưởng cho người muốn phát triển kho người dùng sẵn có hoặc khách hàng quen thuộc, phát triển kỹ năng cần thiết để bắt đầu sự nghiệp về marketing số, hay tìm kiếm cách thêm khía cạnh số cho bộ kỹ năng marketing có sẵn",Phần 1: Giới thiệu khóa học,,
,,,,,,,"Bạn có thể trở thành một nhà marketing phát triển
Xem trước",6:10
,,,,,,,SideBYSide: cách chiếm ưu thế từ các nền tảng,3:33
,,,,,,,Growth hackers là lãnh đạo ngành marketing của tương lai,1:59
,,,,,,Phần 2: trau dồi tư duy marketing phát triển của bạn,,
,,,,,,,Giới thiệu về phần 2,1:43
,,,,,,,Sự phù hợp giữa sản phẩm/ Thị trường phù hợp và thời điểm cho marketing phát triển,1:53
,,,,,,,Cách sử dụng 3 khái niệm marketing MBA trong marketing phát triển,3:57
,,,,,,,Ai là trung tâm mua sắm của bạn?,Văn bản
,,,,,,,Cách cải thiện Lý lịch tâm lý học khách hàng,3:33
