,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Hội thảo về Xác suất thông kê,Hội thảo này sẽ nói với bạn về cơ sở của thống kê để từ đó dẫn dắt bạn vào những công việc trong trường học,"Hội thảo được thiết kế để giúp đỡ bạn nhận thức về xác suất thống thê cơ bản với những giải thích dễ hiểu về các môn học quan trọng liên quan. Dù bạn mới bắt đầu hay bạn đã từng học về thống kê và phải vật lộn với những bài tập và sách giáo khoa hay tài liệu bài giảng, hội thảo này sẽ xây dựng cho bạn tất cả.","kiến thức cơ bản về đại số
microsoft excel","hơn 65 bài giảng và 20.5 giờ nội dung
cuối buổi hội thảo, bạn sẽ có thể hoàn thành mọi khóa học về thống kê cơ bản
hội thảo này sẽ cung cấp cho bạn kiến thức về xác suất, lấy mẫu, hồi qui và phân tích","Sinh viên đang hoặc sẽ học về thống kê cơ bản tại nhà
Những người làm kinh doanh muốn có một sự thấu hiểu sâu hơn về xác suất thông kê",Phần 1: xác suất và các thuật ngữ cơ bản,,
,,,,,,,Giới thiệu bài giảng,9:49
,,,,,,,cơ sở của xavs suất,7:52
,,,,,,,Biến cố và phần bù,7:55
,,,,,,,giao và hợp,18:19
,,,,,,,thống kê mô tả,29:17:00
,,,,,,,Bài tập 1 ,2 trang
,,,,,,,Bài tập 1- giải,25:01:00
,,,,,,Phần 2: xác suất gộp và có điều kiện,,
,,,,,,,xác suất gộp và các biến cố độc lập,18:58
,,,,,,,xác suất có điều kiện 1,15:41
,,,,,,,xác suất có điều kiện 2,15:53
,,,,,,,xác suất gộp và xác suất cận biên,23:01
,,,,,,,Bài tập 2,3 trang
,,,,,,,Bài tập 2-giải,17:34
,,,,,,Phần 3: Định luật Bayes và biến rời rạc,,
,,,,,,,Hoán vị và cộng gộp,12:00
,,,,,,,thuyết Bayes,12:49
,,,,,,,câu hỏi về xác suất có điều kiện,17:36
,,,,,,,biến ngẫu nhiên và phân phối xác suất,10:16
,,,,,,,giá trị ước lượng,15:44
,,,,,,,Bài tập 3,3 trang
,,,,,,,Bài tập 3- giải,27:27:00
,,,,,,Phần 4: Hoán vị ,,
,,,,,,,hoán vị nhị thức,31:42:00
,,,,,,,vai trò của biến ngẫu nhiên,13:32
,,,,,,,biểu đồ hoán vị nhị thức,9:27
,,,,,,,Bài tập 4,3 trang
,,,,,,,bài tập 4-giải,29:06:00
,,,,,,Phần 5: hoán vị thông thường,,
,,,,,,,hoán vị thông thường,29:27:00
,,,,,,,điểm Z,27:21:00
,,,,,,,điểm Z và ví dụ về hoán vị thông thường,25:15:00
,,,,,,,bài tập 5,3 trang
,,,,,,,bài tập 5- giải,35:03:00
,,,,,,phần 6: biến ngẫu nhiên,,
,,,,,,,độ tin cậy,14:03
,,,,,,,hiệp phương sai và tướng quan của biến ngẫu nhiên,24:55:00
,,,,,,,phân tích đầu tư,16:18
,,,,,,,biến ngẫu nhiên và ví dụ,18:38
,,,,,,,bài tập 6,3 trang
,,,,,,,giải bài tập 6,29:19:00
,,,,,,Phần 7: chọn mẫu,,
,,,,,,,chọn mẫu,20:27
,,,,,,,chọn mẫu phân phối,18:59
,,,,,,,số liệu mẫu,12:11
,,,,,,,phân phối t,20:09
,,,,,,,bài tập 7,3 trang
,,,,,,,giải bài tập 7,43:15:00
,,,,,,Phần 8: kiểm định giả thiết,,
,,,,,,,"chọn mẫu và độ tin cậy, ví dụ",19:54
,,,,,,,kiểm định giả thiết,38:55:00
,,,,,,,bài tập 8,3 trang
,,,,,,,giải bài tập 8,39:58:00
,,,,,,Phần 9: hồi qui tuyến tình đơn giản,,
,,,,,,,hồi qui tuyến tính đơn giản,18:59
,,,,,,,phân tích kết quả hồi qui,34:48:00
,,,,,,,bổ sung điều kiện hồi qui,15:45
,,,,,,,dự báo và độ tin cậy trong hồi qui,17:13
,,,,,,,hồi qui tổng,12:31
,,,,,,,bài tập 9,3 trang
,,,,,,,giải bài tập 9,33:53:00
,,,,,,Phần 10: hồi qui tích,,
,,,,,,,hồi qui tích,32:23:00
,,,,,,,biến giả và biến trễ,13:45
,,,,,,,các phép biến đổi,9:39
,,,,,,,bài tập hồi qui tích,23:39
,,,,,,,phân tích phương sai,19:19
,,,,,,,bài tập 10,5 trang
,,,,,,,giải bài tập 10,28:57:00
,,,,,,Phần 11: phân tích quyết định,,
,,,,,,,phân tích quyết định 1: cây ra quyết định,18:37
,,,,,,,phân tích quyết định 2: giá trị thông tin,17:15
,,,,,,,bài tập 11,5 trang
,,,,,,,giải bài tập 11,1:25:16
,,,,,,,tổng kế bài giảng,17:38
,,,,,,Tiểu sử người hướng dẫn,,
