,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Tâm lý học nhập môn - Sách giáo khoa video,Những video theo chủ đề để hỗ trợ nguyên liệu cho mọi khởi đầu của các khóa học tâm lý học,"Các video cho khóa học Tâm lý học nhập môn là công cụ học tập lý tưởng cho các khóa học AP, CLEP, bài kiểm tra tâm lý học nhập môn và mọi khóa học nhập môn tâm lý học trình độ đại học. Chúng bao gồm một số vấn đề cốt lõi trong việc nghiên cứu tâm lý học và miêu tả một số cơ cấu lý thuyết giải thích về cái gì trong bạn thúc đẩy bạn làm điều mà bạn làm. Chọn lọc ra từ những video tôi sử dụng trong khóa học của mình, chúng được sử dụng để cung cấp nguyên liệu mà bạn có thể tìm được từ chính khóa học tâm lý học ở đại học (hay cấp 3) của bạn. Những video khác có thể được tìm thấy ở các khóa học Tâm lý học xã hội, học tập và nhân cách ở Udemy
Hãy đăng ký cho khóa học nhập môn tâm lý học này và học những điều cơ bản của tâm lý học",,"Hơn 22 bài giảng và 3 tiếng nội dung
Giải thích lý do nhà tâm lý học nghiên cứu hành động của con người
Giải thích cơ cấu để hiểu được những vấn đề cốt lõi trong tâm lý học
Tập trung vào giải thích khái niệm hiện tương và giả thuyết","Bất kỳ ai đang học (hoặc chuẩn bị học) các khóa học như Tâm lý học nhập môn, nhân cách, khả năng học, động lực và các chủ đề liên quan
Bất kỳ ai hứng thú với hiểu biết về cái gì thúc đẩy hành động của con người",Phần 1: những điều cơ bản ,,
,,,,,,,Tâm lý học là gì?,7:40
,,,,,,,Nghiên cứu thử nghiệm,11:17
,,,,,,,Nghiên cứu sự tương quan,11:03
,,,,,,Phần 2: Cách chúng ta kết nối. Bộ genes/ Thể chất/ Sinh học,,
,,,,,,,Hành vi theo genes,5:12
,,,,,,,Sự di truyền là gì,3:55
,,,,,,,Sự di truyền không phải là gi,5:59
,,,,,,,Cách vận hành của tiến hóa,4:30
,,,,,,Phần 3: Thứ ta muốn. Và không muốn,,
,,,,,,,Sự kiên định,9:46
,,,,,,,Giả thuyết 2 yếu tố và sự truyền cảm xúc kích động,6:23
,,,,,,Phần 4: Suy nghĩ và giải quyết vấn đề,,
,,,,,,,Phẩm chất,13:14
,,,,,,,Xu hướng của phẩm chất,5:27
,,,,,,,Sự khám phá: Quyết định mà bạn không nên làm,14:04
,,,,,,Phần 5: động lực tâm lý nội tại thúc đẩy,,
,,,,,,,Giới thiệu về phân tích tâm lý,8:55
,,,,,,,Bạn có nhu cầu. Và bạn có sự lựa chọn,10:40
,,,,,,,Sự sợ hãi là một người bạn rất tồi và dai dẳng,6:24
,,,,,,,Khẩu hiệu của Sharpsteen,3:04
,,,,,,Phần 6: Xu hướng của sự kích thích,,
,,,,,,,Trang thái cổ điển - Những nét cơ bản,9:09
,,,,,,,Trạng thái cổ điển - Nghịch ngợm với sự kích thích,8:12
,,,,,,,Trạng thái đo được - Những nét cơ bản,8:34
,,,,,,Phần 7: Hành vi của những người khác,,
,,,,,,,Giả thuyết con người gắn liền với nhau,9:30
,,,,,,,Những cách gắn liền,11:18
,,,,,,Phần 8: Thêm video tâm lý học trên Udemy,,
,,,,,,,"Tâm lý học xã hội, Nhân cách và khóa học với giảm giá lớn!",Văn bản
