,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Những điều thú vị về tiếng Bồ Đào Nha của người Brazil,"Học tiếng Bồ Đào Nha thông dụng của người Brazil trong các buổi học ngắn, thú vị!"," Những điều thú vị về tiếng Bồ Đào Nha của người Brazil sẽ dạy bạn những cấu trúc và từ vựng mà bạn cần biết để có thể giao tiếp trong các tình huống thực tế ở Brazil. Bạn sẽ học các chiêu thức để nói chuyện một cách tự nhiên và tự tin hơn và cũng như cách để hiểu người Brazil giao tiếp trong các cuộc trò chuyện thân mật hàng ngày như thế nào.
Khóa học này dành cho:
Những người đến Brazil vào kỳ nghỉ hoặc đi công tác và cần học những kiến thức cơ bản để có thể hiểu các tình huống hằng ngày.
Những người sẽ được đi đến Brazil dự World Cup 2014 và / hoặc Thế vận hội Olympic Mùa hè vào năm 2016, hoặc đến xem hoặc đến để làm việc trong những sự kiện này, tuy nhiên lại không có kiến ​​thức về ngôn ngữ.
Những người có các đối tác / gia đình / bạn bè là người Brazil và muốn có khả năng nói tiếng Bồ Đào Nha với họ.
Những người yêu tất cả mọi thứ của người Brazil và sẽ yêu thích việc học ngôn ngữ!
Những người đã có sẵn một số kiến ​​thức về tiếng Bồ Đào Nha của người Brazil, nhưng muốn ôn tập lại các cấu trúc và từ vựng phổ biến nhất cho các tình huống hằng ngày.
","Khóa học này không dành cho:
Những người có kiến ​​thức trung cấp/ nâng cao về tiếng Bồ Đào Nha. Bạn có thể nhận thấy khóa học này quá dễ!
Những người chỉ quan tâm đến tiếng Bồ Đào Nha trang trọng.
Những người chỉ quan tâm đến việc học ngữ pháp tiếng Bồ Đào Nha.
** Khóa học này CÓ THỂ tải về! **
Nếu kết nối internet của bạn chậm, hoặc bạn muốn tham dự khoá học này với bạn trên máy tính xách tay, điện thoại thông minh của bạn hoặc thiết bị cầm tay khác, đăng ký và tải về tất cả các video ngay bây giờ!","Hơn 99 bài giảng và 8 giờ nội dung!
CHÀO HỎI
HỎI AI ĐÓ NHƯ THẾ NÀO
GIỚI THIỆU BẢN THÂN
GIỚI THIỆU GIA ĐÌNH CỦA BẠN
NÓI BẠN ĐẾN TỪ ĐÂU
NÓI VỀ NGÔN NGỮ
NÓI VỀ CÔNG VIỆC CỦA BẠN
THÍCH VÀ KHÔNG THÍCH
THU HÚT SỰ CHỨ Ý CỦA AI ĐÓ
HỎI CÁCH ĐÁNH VẦN VÀ PHÁT ÂM MỘT TỪ
CHẮC CHẮN RẰNG BẠN HIỂU NHỮNG GÌ BẠN ĐANG NÓI
CHỈ RA RẰNG BẠN ĐANG NGHE
DUY TRÌ CÁC CUỘC HỘI THOẠI
XIN LỖI
BÀY TỎ SỰ BIẾT ƠN
BÀY TỎ MONG MUỐN
NÓI TẠM BIỆT
BẢNG CHỮ CÁI
HƯỚNG DẪN PHÁT ÂM
SỐ ĐẾM
NGÀY TRONG TUẦN, THÁNG VÀ MÙA
NÓI VỀ THỜI GIAN
LÀM THỦ TỤC TẠI SÂN BAY
GIAO THÔNG CÔNG CỘNG
BẮT TAXI
ĐẶT PHÒNG KHÁCH SẠN
PHÀN NÀN TẠI KHÁCH SẠN
HỎI ĐƯỜNG
NÓI VỀ NHỮNG GÌ BẠN SẼ LÀM
MỜI AI ĐÓ LÀM GÌ
GỌI MÓN ĂN VÀ ĐỒ UỐNG
MUA SẮM
TIỀN TỆ CỦA NGƯỜI BRAZIL / CÁCH ĐỔI TIỀN
CÁC TRƯỜNG HỢP KHẨN CẤP VỀ SỨC KHỎE
TRÊN BÃI BIỂN
THAM QUAN
GIẢI TRÍ
TÁN TỈNH","Những người đến Brazil vì công việc.
Những người đi du lịch đến Brazil vào kỳ nghỉ.
Những người muốn học những kiến thức cơ bản để có thể giao tiếp với các đối tác / bạn bè người Brazil của họ.
Những người có một số kiến ​​thức về ngôn ngữ người muốn ôn lại các cấu trúc và từ vựng cơ bản để được áp dụng cho các tình huống thực tế.
Những người muốn học tiếng Bồ Đào Nha chỉ để cho vui!",,"GIỚI THIỆU
Xem trước",2:01
,,,,,,,"CÁCH SỬ DỤNG KHÓA HỌC NÀY
Xem trước",Văn bản
,,,,,,Phần 1: TẠO MỐI QUAN HỆ XÃ HỘI,,
,,,,,,,"CHÀO HỎI
Xem trước ",9:49
,,,,,,,GHI CHÚ,4 trang
,,,,,,,"HỎI AI ĐÓ NHƯ THẾ NÀO (PHẦN 1)
Xem trước ",5:54
,,,,,,,GHI CHÚ,1 trang
,,,,,,,ĐẠI TỪ NHÂN XƯNG LÀM CHỦ NGỮ,7:01
,,,,,,,GHI CHÚ,2 trang
,,,,,,,HỎI AI ĐÓ NHƯ THẾ NÀO (PHẦN 2),4:09
,,,,,,,GHI CHÚ,1 trang
,,,,,,Phần 2: HỎI VÀ ĐƯA THÔNG TIN CÁ NHÂN,,
,,,,,,,GIỚI THIỆU BẢN THÂN,4:27
,,,,,,,GHI CHÚ,3 trang
,,,,,,,GIỚI THIỆU GIA ĐÌNH CỦA BẠN,7:41
,,,,,,,GHI CHÚ,5 trang
,,,,,,,NÓI VỀ QUỐC TỊCH CỦA BẠN,10:06
,,,,,,,GHI CHÚ,2 trang
,,,,,,,NÓI BẠN ĐẾN TỪ ĐÂU,6:10
,,,,,,,GHI CHÚ,3 trang
,,,,,,,NÓI VỀ BẠN SỐNG Ở ĐÂU,4:32
,,,,,,,GHI CHÚ,3 trang
,,,,,,,NÓI VỀ NGÔN NGỮ,4:10
,,,,,,,GHI CHÚ,3 trang
,,,,,,,NÓI VỀ CÔNG VIỆC CỦA BẠN,7:39
,,,,,,,GHI CHÚ,3 trang
,,,,,,,THÍCH VÀ KHÔNG THÍCH,8:53
,,,,,,,GHI CHÚ,5 trang
,,,,,,Phần 3: CHIẾN LƯỢC CƠ BẢN ĐỂ GIAO TIẾP,,
,,,,,,,THU HÚT SỰ CHÚ Ý CỦA AI ĐÓ,6:12
,,,,,,,GHI CHÚ,1 trang
,,,,,,,HỎI CÁCH ĐÁNH VẦN VÀ PHÁT ÂM MỘT TỪ,4:10
,,,,,,,GHI CHÚ,1 trang
,,,,,,,CHẮC CHẮN RẰNG BẠN HIỂU NHỮNG GÌ BẠN ĐANG NÓI,4:32
,,,,,,,GHI CHÚ,1 trang
,,,,,,,CHỈ RA RẰNG BẠN ĐANG NGHE,11:28
,,,,,,,GHI CHÚ,1 trang
,,,,,,,DUY TRÌ CÁC CUỘC HỘI THOẠI,9:27
,,,,,,,GHI CHÚ,1 trang
,,,,,,,XIN LỖI,4:37
,,,,,,,GHI CHÚ,1 trang
,,,,,,,BÀY TỎ SỰ BIẾT ƠN,8:24
,,,,,,,GHI CHÚ,2 trang
,,,,,,,BÀY TỎ MONG MUỐN,4:51
,,,,,,,GHI CHÚ,1 trang
,,,,,,,NÓI TẠM BIỆT,5:31
,,,,,,,GHI CHÚ,2 trang
,,,,,,Phần 4: PHA TRỘN,,
,,,,,,,BẢNG CHỮ CÁI,4:46
,,,,,,,GHI CHÚ,1 trang
,,,,,,,CÁCH PHÁT ÂM CỦA NGUYÊN ÂM,10:17
,,,,,,,GHI CHÚ,2 trang
,,,,,,,CÁCH PHÁT ÂM CỦA PHỤ ÂM,14:23
,,,,,,,GHI CHÚ,3 trang
,,,,,,,SỐ ĐẾM,8:31
,,,,,,,GHI CHÚ,1 trang
,,,,,,,"NGÀY TRONG TUẦN, THÁNG, MÙA",3:22
,,,,,,,GHI CHÚ,3 trang
,,,,,,,NÓI VỀ THỜI GIAN (PHẦN 1),10:21
,,,,,,,NÓI VỂ THỜI GIAN (PHẦN 2),9:56
,,,,,,,GHI CHÚ,3 trang
,,,,,,Phần 5: PHƯƠNG TIỆN ĐI LẠI,,
,,,,,,,LÀM THỦ TỤC TẠI SÂN BAY,8:04
,,,,,,,GHI CHÚ,1 trang
,,,,,,,HÌNH THỨC GIAO THÔNG VẬN TẢI,5:15
,,,,,,,GHI CHÚ,1 trang
,,,,,,,GIAO THÔNG CÔNG CỘNG,9:53
,,,,,,,GHI CHÚ,2 trang
,,,,,,,BẮT TAXI,5:40
,,,,,,,GHI CHÚ,1 trang
,,,,,,Phần 6: ĐIỀU KIỆN VẬT CHẤT,,
,,,,,,,ĐẶT PHÒNG KHÁCH SẠN,9:35
,,,,,,,GHI CHÚ,2 trang
,,,,,,,PHÀN NÀN TẠI KHÁCH SẠN,10:54
,,,,,,,GHI CHÚ,2 trang
,,,,,,"Mục 7: GIỚI TỪ ""NGOÀI"" VÀ ""VỀ""",,
,,,,,,,HỎI ĐƯỜNG,11:53
,,,,,,,GHI CHÚ,3 trang
,,,,,,,NÓI BẠN SẼ LÀM GÌ (Phần 1),15:58
,,,,,,,GHI CHÚ,3 trang
,,,,,,,NÓI BẠN SẼ LÀM GÌ (Phần 2),8:43
,,,,,,,GHI CHÚ,3 trang
,,,,,,,MỜI AI ĐÓ LÀM GÌ,4:52
,,,,,,,GHI CHÚ,2 trang
,,,,,,,MÓN ĂN VÀ ĐỒ UỐNG (Phần 1),12:54
,,,,,,,GHI CHÚ,3 trang
,,,,,,,MÓN ĂN VÀ ĐỒ UỐNG (Phần 2),9:30
,,,,,,,GHI CHÚ,3 trang
,,,,,,,GỌI MÓN VÀ ĐỒ UỐNG,13:48
,,,,,,,GHI CHÚ,3 trang
,,,,,,,MUA SẮM,13:34
,,,,,,,GHI CHÚ,2 trang
,,,,,,,TIỀN TỆ CỦA NGƯỜI BRAZIL / CÁCH ĐỔI TIỀN,5:28
,,,,,,,GHI CHÚ,3 trang
,,,,,,,ĐỔI TIỀN,5:50
,,,,,,,GHI CHÚ,1 trang
,,,,,,,CÁC TRƯỜNG HỢP KHẨN CẤP VỀ SỨC KHỎE,6:39
,,,,,,,GHI CHÚ,1 trang
,,,,,,,TRÊN BÃI BIỂN,7:05
,,,,,,,GHI CHÚ,2 trang
,,,,,,,THAM QUAN,6:26
,,,,,,,GHI CHÚ,1 trang
,,,,,,,GIẢI TRÍ,8:33
,,,,,,,GHI CHÚ,2 trang
,,,,,,,TÁN TỈNH,5:24
,,,,,,,GHI CHÚ,1 trang
,,,,,,Chương trình giảng dạy đầy đủ,,
,,,,,,Lý lịch giảng viên,,
