,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
"Học để phát âm, đọc và viết tiếng Ý trong chưa đầy 3 giờ",Hãy nói tiếng Ý như một người Ý! Hãy học cách để phát âm tiếng Ý đúng cách!,"Khóa học đã được cập nhật : Các buổi thuyết trình hỏi đáp trực tuyến đã được bổ sung ( câu hỏi của bạn có thể đã được trả lời!) Hơn 1000 học viên đã tham gia khóa học này! Đánh giá ở mức 5 sao!
Bạn có muốn mình có thể phát âm tiếng ý tốt như một người Ý và gây ấn tượng với bạn bè mình?
Bạn có muốn mình có thể đọc chuẩn xác  bất kỳ thứ gì liên quan đến tiếng Ý với đúng ngữ điệu? 
Với khóa học này, bạn sẽ học học điều đó một cách chính xác!
Nếu bạn : 
thích ăn trong các nhà hàng Ý
đang có kế hoạch có một kỳ nghỉ ở Ý
hiện là một sinh viên chuyên ngành tiếng Ý hay có ý định bắt đầu học nó sớm
bạn là một ca sĩ opera hay một nhạc sĩ
yêu mến mọi thứ liên quan đến nước Ý
khóa học này sẽ giúp bạn!
Đây là khóa học toàn diện nhất được tạo ra dạy phát âm Tiếng Ý. Mọi chi tiết đều được đưa ra và chỉ trong vòng 3h bạn sẽ có thể:
đọc bất kỳ từ tiếng Ý nào một cách chính xác
phát âm tuyệt vời
viết bất kì từ tiếng Ý nào mà bạn biết hoặc nghe thấy
Chúng ta hãy bắt đầu với những hiểu biết điều gì để phát âm tiếng Ý dễ dàng và lý do bạn bị lừa bởi một số yếu tố khi phát âm tiếng Ý!
Sau đó ta sẽ xem xét kỹ 2 yếu tố quan trọng nhât để có thể phát âm tiếng Ý tuyệt vời
Tiếp đến là phần thực hành tất cả các âm trong tiếng Ý để giúp bạn phát âm thành thạo
Chúng ta cũng xem xét chi tiết những tình huống khó phát âm , xóa bỏ mọi nghi ngờ khi phát âm các từ chẳng hạn như 'bruschetta', 'prosciutto', 'gnocchi' và một số từ khác.
Và khi kết thúc cần hiểu được vị trí trọng âm của mỗi từ ( Tiếng Ý không có một quy luật nào nhưng tối sẽ chía ẻ cho bạn một số thủ thuật!) ; làm thế nào để nói những câu hoàn chỉnh đúng ngữ điệu và đúng nhịp
Sau khi kết thúc, bạn sẽ nhận được một chứng chỉ hoàn thành khóa học
Khóa học gồm những gì
Khóa học bao gồm 44 bài giảng xoay quanh 18 bài học trọng tâm
Với mỗi bài học , bạn sẽ được tiếp cận với :
Video hướng dẫn ( hình ảnh tôi và bảng trắng qua camera)
Bản mp3 bài học mà bạn có thể tải về 
Bản PDF những điều cần chú ý trong bài học, danh mục từ vựng có thể tải về
Video thực hành ( trình chiếu slide tương tác với phần phát âm chuẩn của hơn 200 từ)
Bản PDF về các Video thực hành có thể tải về
Chắc chắn rằng mọi hoài nghi của bạn sẽ được xóa bỏ sau khi hoàn thành khóa học. Nếu không , bạn luôn luôn có thể hỏi tôi trong mục Q&A ( hỏi đáp) 
Tôi luôn ở đó để giúp đỡ bạn
Thân,
Manu
Và đừng quên, bạn được đảm bảo hoàn trả tiền trong 30 này đầu tiên, do vậy hãy tự tin thử tham dự khóa học.",Biết tiếng anh ( các phần hướng dẫn sẽ được đưa ra bằng tiếng Anh),"Hơn 48 bài giảng với thời lượng video kiến thức trong 6.5h!
Có thể phát âm bất cứ từ tiếng Ý nào
Có thể đọc và viết bất cứ từ tiếng Ý nào
Có thể nói tiếng Ý chuẩn ngữ điệu và đúng nhịp","Những nguwoif thích đồ ăn trong cá nhà hàng Ý
Những người đang có ý định có một kỳ nghỉ tại Ý
Sinh viên học tiếng Ý
Các ca sĩ opera
Những người yêu thích, quan tâm đến mọi thứ của người Ý",Phần 1 : Bắt đầu,,
,,,,,,,Giới thiệu,1:25
,,,,,,,Làm thế nào để sử dụng khóa học này,9 trang
,,,,,,,Các ghi chú về bài giảng,21 trang
,,,,,,,Các khái niệm cơ bản,6:55
,,,,,,Phần 2 : Những bí quyết để phát âm như người Ý,,
,,,,,,,Làm thế nào để nói như một người Ý : Bí quyết #1 ( Phần I),5:30
,,,,,,,Làm thế nào để nói như một người Ý : Bí quyết #1 ( Phần II),7:16
,,,,,,,Làm thế nào để nói như một người Ý : Bí quyết #1 ( Phần III),8:03
,,,,,,,Thực hành : Các nguyên âm,4:32
,,,,,,,Làm thế nào để nói như một người Ý : Bí quyết #2,9:48
,,,,,,,Thực hành : Các âm tiết,3:25
,,,,,,Phần 3 : Đối phó với những âm khó,,
,,,,,,,Phát âm chuẩn âm C,9:56
,,,,,,,Thực hành : C,6:15
,,,,,,,Phát âm chuẩn âm G,5:47
,,,,,,,Thực hành : G,3:11
,,,,,,Phần 4 : Các âm dễ trong tiếng Ý,,
,,,,,,,"Phát âm các âm B, F, V",3:02
,,,,,,,"Thực hành : B, F, V",2:47
,,,,,,,"Phát âm : L, M, N",5:35
,,,,,,,"Thực hành : L, M , N",2:27
,,,,,,,Đừng bị lừa bởi âm H (Phần I),2:43
,,,,,,,Đừng bị lừa bởi âm H (Phần II),4:44
,,,,,,,Thực hành : H,2:29
,,,,,,,"Phát âm : D, P, T",5:50
,,,,,,,"Thực hành  : D, P, T",3:10
,,,,,,,Có vấn đề gì với Q?,2:46
,,,,,,,Thực hành :Q,1:58
,,,,,,Phần 5 : Những âm khó,,
,,,,,,,R- Uốn lưỡi hay không uốn lưỡi ( Phần I),9:23
,,,,,,,R- Uốn lưỡi hay không uốn lưỡi ( Phần II),4:45
,,,,,,,Thực hành : R,3:24
,,,,,,,"Nói thành thạo các âm khó : GLI, GN",8:48
,,,,,,,"Thực hành : GLI, GN",4:38
,,,,,,,Làm gì với âm S,11:00
,,,,,,,Thực hành : S,5:10
,,,,,,,"Nói thành thạo các âm khó : STU, STR, AU",5:34
,,,,,,,Thực hành các âm khó,3:25
,,,,,,,Làm gì với âm Z,4:58
,,,,,,,Thực hành : Z,4:23
,,,,,,Phần 6 : Phần nội dung nâng cao,,
,,,,,,,Làm thế nào để đánh trọng âm mỗi từ ( Phần I),7:53
,,,,,,,Làm thế nào để đánh trọng âm mỗi từ ( Phần II),6:24
,,,,,,,Thực hành : đánh trọng âm,4:04
,,,,,,,Tạo các âm kép,8:13
,,,,,,,Thực hành : Các âm kép,6:47
,,,,,,,Làm thế nào để phát âm như người Ý,9:30
,,,,,,,Thực hành : Ngữ điệu,6:19
,,,,,,Phần 7 : Tổng kết,,
,,,,,,,Tổng kết,2:07
,,,,,,,Các nguồn học liệu,văn bản
,,,,,,Phần 8 : Tặng kèm,,
,,,,,,,Tặng kèm : Bài thuyết trình giải đáp trực tuyến trực tiếp #1,1:14:01
,,,,,,,Tặng kèm : Bài thuyết trình giải đáp trực tuyến trực tiếp #2,1:12:35
,,,,,,,Hãy bắt đầu học tiếng Ý -  Chuỗi tài liệu miễn phí,Văn bản
