,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Các bài giảng kèm theo các chương 1-15 trong sách dạy tiếng Latin của Wheelock,Hỗ trợ các học viên mới sử dụng cuốn sách ngữ pháp chính thống của Wheelock,"Qua nhiều năm giảng dạy tiếng Latin từ cuốn giáo trình chính thống nổi tiếng : Wheelock's Latin"", Tôi đã và đang tạo ra chuỗi các bài giảng thiết kế nhằm giúp các sinh viên học tiếng Latin trực tuyến và tiếp thu được hầu hết nội dung từ cuốn sách này. Trong đó bạn sẽ tìm thấy những hướng dẫn về một số khái niệm khó hiểu về ngữ pháp --Tiếng Anh và tiếng Latin -- là rào cản gây khó khăn trong quá trình tiếp thu tiếng Latin mà học viên ngày nay thường gặp. Các bài học không dùng để thay thế cuốn giáo khoa của Wheelock. Tôi hi vọng, chúng sẽ chỉ giúp bạn học cuốn sách này dễ dàng hơn. Các bài giảng sẽ bám sát nội dung các chương trong giáo trình và cung cấp cho bạn "" nội dung đặc biệt"" giúp bạn khi cần
Sẽ không có lời giải cho bài tập hay bất cứ bài giải nào đã được nhà xuất bản của sách Wheelck đăng ký bản quyền. Để có thể thu được những ích lợi của bài giảng này, bạn bắt buộc phải có giáo trình của Wheelock
Một lớp học trình độ đại học điển hình sẽ bao gồm 15 chương đầu trong học kỳ đầu, Lớp học trình độ trung học sẽ dạy chúng trong năm đầu tiên
Tham gia khóa học tiếng Latin trực tuyến ngay bây giờ và học các chương 1-15 trong cuốn giáo trình Latin của Wheelock
Chúc bạn may mắn!",Giáo trình Wheelock ( bản đã sửa đổi lần 6 hoặc 7),"Hơn 91 bài giảng với thời lượng nội dung 17.5h
Nắm vững ngữ pháp Latin sơ cấp
Hiểu biết sâu sắc hơn về từ vựng và ngữ pháp tiếng Anh","Dành cho những người tự học hoặc học tại nhà
Sinh viên các trường trung học hay đại học mô hình học thuật truyền thống cần giúp đỡ",Phần 1 : Những điều đầu tiên cần biết,,
,,,,,,,Những ghi chú về Phát âm tiếng Latinh cổ,19:36
,,,,,,,bổ sung dấu thanh cho các nguyên âm trong từ nhanh chóng,2:35
,,,,,,,Làm thế nào để học tiếng Latin,14:55
,,,,,,"Phần 2 : Chương 1 : Những nét cơ bản về động từ , liên từ đầu tiên",,
,,,,,,,Bài 1 : Nét cơ bản về động từ,29:08:00
,,,,,,,Bài 2 : Các gốc động từ và hậu tố đi kèm,26:47:00
,,,,,,,Bài 3 : Ôn tập về động từ,11:26
,,,,,,,Bài 4 : Ôn tập hình thái từ và các khái niệm,3 trang
,,,,,,,Bài 5 : Trang từ vựng,3 trang
,,,,,,,Bài 6 : Thảo luận bài tập tự luyện,15:57
,,,,,,,"Bài 7 : Phần đọc các câu tự luyện
Xem trước",5:23
,,,,,,"Phần 3 : Chương 2 : Các danh từ, ngữ cảnh và ngôi  thứ nhất",,
,,,,,,,,51:19:00
,,,,,,,Bài 1 : Các ngữ cảnh và ngôi thứ nhất,3 trang
,,,,,,,Bài 2 : Từ vựng,3 trang
,,,,,,,Bài 4 : Thảo luận bài tập tự luyện ,18:21
,,,,,,,"Bài 5 : Tự luyện đọc các câu  tiếng Latin
Xem trước",6:00
,,,,,,"Phần 4 : Chương 3 : Ngôi thứ 2, hiểu hơn về các tính từ; phần chêm, ghi chú về trật tự từ",,
,,,,,,,Bài 1 : ngôi thứ 2,15:36
,,,,,,,Bài 2 : Tìm hiểu bổ sung về các tính từ,5:51
,,,,,,,Bài 3 : Ôn tập tài liệu mới,8:42
,,,,,,,Bài 4 : Trang ôn tập,2 trang
,,,,,,,Bài 5 : Trang từ vựng,3 trang
,,,,,,,Bài 6 : Thảo luận bài tập tự luyện,22:05
,,,,,,,Bài 7 : Các câu tự luyện cho phần Đọc,4:36
,,,,,,"Phần 5 : Chương 4 : Các giống của biến cách, các tính từ, trợ động từ Sum, cụm chủ vị, danh từ ",,
,,,,,,,Bài  1 : Động từ trung lập ngôi thứ 2,16:20
,,,,,,,Bài  2 : Các động từ cùng gốc,6:18
,,,,,,,Bài 3 : Trợ Động từ To be,5:37
,,,,,,,Bài 4 : Tính chất danh từ của các tính từ,4:16
,,,,,,,Bài 5 : Trang ôn tập,3 trang
,,,,,,,Bài 6 : Trang từ vựng,3 trang
,,,,,,,Chương 4 : Thảo luận tự học,7:26
,,,,,,,Chương 4 : Đọc các câu tự luyện,4:24
,,,,,,"Phần 6 : Chương 5 : Chia động từ ngôi  thứ nhất và ngôi thứ 2 , Tương lai và khứ lai, Các tính từ in -er",,
,,,,,,,Bài 1 : Các thì tương lai và khứ lai,24:11:00
,,,,,,,Bài 2 : Thu tính từ,11:19
,,,,,,,Bài 3 : Trang ôn tập,3 trang
,,,,,,,Bài 4 : Trang từ vựng,3 trang
,,,,,,,Chương 5 : Tự thảo luận có hướng dẫn,8:17
,,,,,,,Chương 5 : Các câu tự đọc có hướng dẫn,4:17
,,,,,,"Phần 7: Chương 6 : Động từ sum và chi, túc từ",,
,,,,,,,"Bài 1 : Động từ Sum, chi và các túc từ",18:14
,,,,,,,Bài 2 : Trang ôn tập,3 trang
,,,,,,,Bài 3 : Trang từ vựng,3 trang
,,,,,,,Chương 6 : Tự thảo luận có hướng dẫn,8:26
,,,,,,,Chương 6 : Các câu tự đọc có hướng dẫn,5:15
,,,,,,Phần 8 : Chương 7 : Các danh từ ngôi thứ 3,,
,,,,,,,Bài 1 : Các danh từ ngôi thứ 3,26:57:00
,,,,,,,Bài 2 : Trang ôn tập,2 trang
,,,,,,,Bài 3 : Trang từ vựng,3 trang
,,,,,,,Chương 7 : Tự thảo luận có hướng dẫn,10:01
,,,,,,,Chương 7 : Các câu tự đọc có hướng dẫn,5:56
,,,,,,Phần 9: Chương 7 : Các câu tự đọc có hướng dẫn,,
,,,,,,,Bài 1 : Chia động từ ngôi thứ 3,14:55
,,,,,,,Bài 2 : Trang ôn tập,2 trang
,,,,,,,Bài 3 : Trang từ vựng,3 trang
,,,,,,,Chương 8 : Thảo luận có hướng dẫn,47:18:00
,,,,,,,Chương 8 : Các câu luyện phần đọc có hướng dẫn,5:00
,,,,,,"Phần 10 : Chương 9 : Chỉ từ với đuôi Hic, Ille, Iste; các tác tính từ đặc biệt",,
,,,,,,,"Bài 1 : Chỉ từ
Xem trước",39:10:00
,,,,,,,Bài 2 : Trang ôn tập,4 trang
,,,,,,,Bài 3 : Trang từ vựng,3 trang
,,,,,,,Chương 9 : Thảo luận có hướng dẫn,12:02
,,,,,,,Chương 9 : Các câu luyện phần đọc có hướng dẫn,4:42
,,,,,,"Phần 11 : Chương 10 : Chia động từ tác động mẫu  4, động từ ngôi thứ 3",,
,,,,,,,Bài 1 : Chia động từ gốc -i ngôi thứ 3 và 4,24:11:00
,,,,,,,Bài 2 : Trang ôn tập,2 trang
,,,,,,,Bài 3 : Trang từ vựng,3 trang
,,,,,,,Chương 10 : Thảo luận có hướng dẫn,2:02
