,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Ngôn ngữ và văn học Nga,Một khóa học tương tác trực tuyến dành cho sinh viên muốn học tiếng Nga như một khóa học tại trường đại học,"Tóm tắt khóa học
Học tiếng Nga không chỉ mở ra cánh cửa tới một ngôn ngữ mới mà còn là một nền văn hóa đa dạng và sôi nổi với một lịch sử hào hùng và di sản văn hóa. Khóa học này đi theo mô hình các văn bằng ngôn ngữ của nhiều trường đại học vằng việc cung cấp lời giới thiệu bảng ngôn ngữ và bảng chữ cái tiếng Nga, kết hợp với một bài thảo luận về văn học Nga, tâp trung vào nhiều nhà văn nổi tiếng như Pushkin, Tolstoy và Dostoyevsky
Khóa học bắt đầu với ngôn ngữ Nga bằng việc giới thiệu học viên với bảng chữ cái Cyrillic, nó chỉ có 1 ít khác biệt với bảng chữ cái La Mã cổ, và cách các chữ được phát âm. Một vài từ và cụm từ được giới thiệu cùng với một vài cách chia động từ đơn giản, học viên được khuyến khích học cách đọc những từ, cụm từ này to với phát âm chính xác. Mục tiêu của chúng tôi là trang bị cho học viên với sự tự tin họ cần có để học tiến Nga ở trường đại học. Phần thứ 2 của khóa học sẽ nhìn vào văn học thế kỷ 19 và 20 lần lượt, khám phá một vài tác giả lớn của thời kỳ này và tác phẩm của họ. Học viên sẽ được khuyến khích để xem xét sự khác biệt giữa 2 thế kỷ - mà đều được coi là  cột mốc chuyển giao xã hội và chính trị thời đầu thế kỷ 20 trước thềm Cách mạng Nga
Mục tiêu chung của khóa học là cung cấp một chút hương vị của người Nga - văn hóa, ngôn ngữ, văn học, chính trị, và nhiều hơn nữa - tới học viên không quen thuộc với sự khổng lồ và đa dạng của đất nước này, và giúp họ tìm ra con đường học vấn cao hơn ở đại học và hơn nữa
Bao gồm những gì?
Khóa học này bao gồm 4 bài giảng qua mạng - ghi âm đi kèm với giấy tờ thuyết trình - mỗi thứ chiếm 1 tiếng đồng hồ để hoàn thiện. Hệ thống phân phát độc nhất, tương tác và theo nhu cầu của chúng tôi giúp học viên có thể bắt đầu ngay lập tức và làm việc qua thiết bị với tốc độ của họ. Cấu trúc tương tác đảm bảo rằng quá trình học hấp dẫn và thoải mái, với các câu hỏi nhỏ và bài kiếm tra cho học viên theo dõi được quá trình học của mình. Khóa học này có thể bắt đầu ngay lập tức một cách tương tác qua mạng thông qua Udemy - một khi bạn đã chọn khóa mình muốn, bạn có thể bắt đầu ngay
Nó hoạt động thế nào?
Khóa học được chia ra các phần hướng dẫn, với một bài thuyết trình tương tác đi kèm bài giảng ghi âm cần 1 tiếng để hoàn thành. Mỗi phần hướng dẫn lại chia thành topic lớn, chương, điều khiển qua các tab ở đầu màn hình. Điều này đảm bảo khóa học được chia ra thành các phần dễ học va mang tính giáo dục, dễ dàng học 
Tại sao chọn khóa này?
Khóa học này lý tưởng chuẩn bị học viên chuẩn bị học tiếng Nga ở đại học và những người chưa từng học nó ở trường, cung cấp một chút hương vị của tiếng Nga, văn học và văn hóa.","trình độ tiếng Anh trung bình/nâng cao
Nhiệt huyết học ngôn ngữ và học hỏi văn hóa khác
Học viên nên ghi chép lại khi học qua để giúp họ hiểu và ghi nhớ","5 bài giảng và 50 phút nội dung
nắm bắt được bảng chữ cái Cyrillic và một số từ và cụm từ tiếng Nga cơ bản 
Biết được kiến thức chủ chốt của xã hội Nga và văn hóa, và gốc rễ lịch sử của nền văn hóa này
Đạt được sự trân trọng với tác phẩm của các tác gia lớn người Nga của thế kỷ 19 và 20 ","Cho học viên có hứng thú với với tiếng Nga ở trường đại học
Cho bất kỳ ai có hứng thú với  với ngôn ngữ, văn học và văn hóa
Cho bất kỳ ai có hứng thú với  với văn học quốc tế",Phần 1: Giới thiệu và hướng dẫn,,
,,,,,,,Cách để tham gia khóa học này,SCORM
,,,,,,Phần 2: Tại sao học tiếng Nga?,,
,,,,,,,Tại sao  học tiếng Nga,SCORM
,,,,,,,Bài kiểm tra hướng dẫn 1,9 câu hỏi
,,,,,,Phần 3: cải thiện tiếng Nga của bạn,,
,,,,,,,Cải thiện vốn tiếng Nga của bạn,SCORM
,,,,,,,Bài kiểm tra hướng dẫn 2,10 câu hỏi
,,,,,,Phần 4: văn học Nga thế kỷ 19  ,,
,,,,,,,Văn học Nga thế kỷ 19,SCORM
,,,,,,,Bài kiểm tra hướng dẫn 3,10 câu hỏi
,,,,,,Phần 5: văn học Nga thế kỷ 20,,
,,,,,,,Văn học Nga thế kỷ 20,SCORM
,,,,,,,Bài kiểm tra hướng dẫn 4,10 câu hỏi
,,,,,,Phần 6: Kiểm tra cuối,,
,,,,,,,Bài kiểm tra cuối kỳ,15 câu hỏi
,,,,,,Lý lịch giáo viên,,
