,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Học Nói: Tiếng Pháp đối thoại - Khóa học đầy đủ,Học để Nói tiếng Pháp cực chuyên nghiệp khi tập trung vào ngôn ngữ nói và không quá quan trọng về sự chặt chẽ của ngữ pháp nên bạn không cần lo lắng gì cả.,"Khóa học được thiết kế để giúp tất cả mọi người từ giai đoạn mới bắt đầu - những người chưa bao giờ học tiếng Pháp trước đó - đến những người muốn ôn lại để chuẩn bị cho một kỳ nghỉ dau đấy hoặc sắp đi công tác. Khóa học được phát âm bởi một người nói song ngữ (chính là tôi) và sẽ có bản dịch trên màn hình để học dễ hơn.  Ngoài ra còn có hướng dẫn từ vựng có thể in ra để bạn có thể dùng nó bất cứ nơi nào!
Cập nhật mới nhất: Tháng Tư, năm 2015
Trên 5,200 học sinh đã ghi danh và nhận được sự giúp đỡ từ khóa học này!
-----------------------------------------------------------------------------------------------------------------
Hãy xem những học viên của tôi nói gì !
Mỗi bài giảng đều rất chi tiết mà không quá áp lực. Nó thực sự là một khóa phải học để có được một nền tảng tốt và vững chắc về tiếng Pháp giao tiếp! Khóa học giúp bạn nắm bắt tốt các học phần khác nhau.  Trình bày rất tốt, giáo viên dễ mến, dễ dàng để theo dõi khóa học trực tuyến. 5/5! Mạnh Chiến nói
Vào Đại học học tiếng Pháp và tốn nhiều tiền vào sách vở, khóa học này thì được coi là khóa từ xa dễ học hơn cả. Định hướng học trực tuyến vừa thú vị vừa đơn giản. Cảm ơn rất nhiều, đây đúng là sự giúp đỡ tôi cần .' Xuân Thành.
Điều TỐT NHẤT về khóa học này (ngoài việc nó đang trở nên thực sự hữu ích!) là nội dung được cập nhật và hiện đại. Các lớp học của tôi (Tôi là một giáo viên tiếng Pháp) đôi khi phải học từ sách vở đã lỗi thời nhưng ngôn ngữ trong khóa học thì rất hiện đại, tươi mới và trên hết nó là HỮU DỤNG! Cảm ơn sự làm việc tận tình của bạn! ' La Đăng
Khóa học này đã làm cho việc học tiếng Pháp trở nên dễ tiếp cận và dễ dàng hơn, quả thực tôi có thể cảm thấy bản thân mình tiến bộ. Thành thật mà nói, bạn sẽ không hối tiếc khi đăng ký học đâu! ' Tuấn Linh
-----------------------------------------------------------------------------------------------------------------
Khóa học này như là một sự kết nối dễ dàng vào thế giới của tiếng Pháp và học sinh có thể theo được ở tốc độ của riêng họ. Bạn sẽ được đảm bảo hoàn trả lại tiền trong 30 ngày, vì vậy nếu bạn không thích khóa học thì sau đó bạn có thể lấy lại tiền mà không phải trả lời bất cứ câu hỏi nào cả!
Nếu bạn bị thu hút bởi một thứ ngôn ngữ khác và muốn theo đuổi nó vì yêu thích, hoặc đơn giản do bạn cần ôn lại tiếng Pháp giao tiếp trước khi bắt đầu một chuyến du lịch, khóa học này sẽ giúp bạn đạt được mục tiêu của mình và mở ra những con đường, những trải nghiệm cho khoảng thời gian sắp tới!",Không cần có bất cứ kinh nghiệm gì về tiếng Pháp. Đối với các tài liệu bổ sung thêm trình đọc PDF như Adobe Reader thì sẽ được yêu cầu. Và mặc dù có thể sử dụng ứng dụng trực tuyến như Google Docs để đọc các bài giảng PowerPoint nhưng nếu có một phiên bản của phần mềm Microsoft PowerPoint hoặc tương đương thì sẽ tốt  hơn.,"Hơn 26 bài giảng và 4 giờ nội dung!
Kết thúc khóa học này, bạn sẽ có thể tạo ra được một đoạn hội thoại cơ bản với người nói tiếng Pháp bản xứ.
Trong khóa học này, bạn sẽ học cách giới thiệu bản thân, hỏi đường đến những địa điểm quan trọng và đặt món ăn và đồ uống.",Khóa học này phù hợp cho người chưa hề có kiến thức về tiếng Pháp trước đó,Phần 1: Tại sao lại chọn học một ngôn ngữ khác?,,
,,,,,,,Lợi ích của việc học ngôn ngữ khác,3:10
,,,,,,,"Ngôn ngữ Pháp
Xem trước",4:50
,,,,,,,Bí quyết chuyên nghiệp để nâng cao việc học của bạn!,Văn bản
,,,,,,Phần 2: Chào hỏi và Lý lịch bản thân,,
,,,,,,,"Không chỉ là nói Bonjour!
Xem trước",11:35
,,,,,,,Bí quyết Pro: Có bao nhiêu nụ hôn?,Văn bản
,,,,,,,"Tuổi, địa điểm và bạn đến từ đâu.",14:34
,,,,,,,"Thích, không thích và sở thích.",17:09
,,,,,,,Câu hỏi trắc nghiệm về Lý lịch bản thân và Chào hỏi.,10 câu hỏi
,,,,,,Phần 3: Dạo quanh Thị trấn,,
,,,,,,,Hướng và điểm mốc.,16:09
,,,,,,,Các quốc gia trên thế giới.,6:52
,,,,,,,Phương tiện và Thời gian.,14:24
,,,,,,,Câu hỏi trắc nghiệm,10 câu hỏi
,,,,,,Phần 4: Đời sống xã hội và Ăn uống.,,
,,,,,,,Gặp gỡ bạn bè.,15:35
,,,,,,,Gọi món: Au café (Ở quán cà phê),16:42
,,,,,,,Câu hỏi trắc nghiệm,10 câu hỏi
,,,,,,Phần 5: Bộ phận cơ thể và Bệnh.,,
,,,,,,,Bộ phận cơ thể và các Bệnh phổ biến,16:42
,,,,,,,Câu hỏi trắc nghiệm,5 câu hỏi
,,,,,,Phần 6: Kết luận,,
,,,,,,,Kết luận và Bài học tiếp theo,3:58
,,,,,,,Phần 7: Phần phụ bổ sung (hữu ích) - Từ vựng với phiên âm đơn giản.,
,,,,,,,"Être and Avoir: Các động từ ""Être"" và ""Avoir"" - RẤT QUAN TRỌNG",Văn bản
,,,,,,,Các từ nối hữu ích,1 slide
,,,,,,,Số đếm từ 1 đến 1000.,3 slides
