,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Tiếng Tây Ban Nha đối thoại đơn giản,"Tiếng Tây Ban Nha đàm thoại mà bạn có thể sử dụng trong những tình huống thực tế thường gặp, cả khi ở nhà và trong khi đi du lịch.","Những điểm nổi bật của khóa học:
Khóa học được thiết kế cẩn thận với các cụm từ và từ vựng được sử dụng rộng rãi nhất trong các tình huống thực tế thường gặp.

Hơn 80 bài học về Tiếng Tây Ban Nha đàm thoại (hơn 4 giờ video và file PDF)

Các câu hỏi trắc nghiệm và video thực hành giúp bạn kiểm tra kỹ năng nghe và viết của bạn.

Các kịch bản hội thoại giới thiệu các âm sắc từ 6 quốc gia khác nhau nói tiếng Tây Ban Nha.

Kết nối trực tiếp tới giáo viên của bạn khi có câu hỏi hoặc mở rộng nhiều chủ đề.

Nội dung:
Bạn sẽ học tiếng Tây Ban Nha đàm thoại thiết yếu trong các tình huống thực tế khác nhau như:
Hỏi và làm theo hướng dẫn
Đặt đồ ăn tại một nhà hàng
Đi du lịch bằng phương tiện công cộng hoặc bằng taxi
Trả tiền
Đặt phòng khách sạn
và nhiều hơn nữa

Phương pháp giảng dạy khóa học
Khóa học này nhắm vào từ vựng thiết yếu trong các tình huống thực tế, vì vậy bạn sẽ thoải mái với các từ khóa được dùng bởi người nói tiếng Tây Ban Nha bản xứ trong các tình huống đa dạng.
Đầu tiên, bạn sẽ được học các từ vựng mục tiêu. Sau đó bạn sẽ xem và nghe các từ vựng đó được sử dụng trong một cuộc hội thoại thực tế giữa 2 hoặc nhiều người nói tiếng Tây Ban Nha với nhau.
Cuối cùng, bạn có thể kiểm tra khả năng tiếng Tây Ban Nha của bạn qua Câu hỏi trắc nghiệm hoặc ""Video Thời gian - Thực hành"" ở cuối mỗi chủ đề.

Tổng quan
Qua 88 bài giảng Video và hơn 4 giờ nội dung, bạn sẽ học được tiếng Tây Ban Nha đàm thoại cần thiết trong một số tình huống thông thường. Bắt đầu với vốn từ vựng đơn giản mà bạn có thể sử dụng khi gặp gỡ mọi người, đến các từ vựng phức tạp hơn và các cụm từ, nhờ đó bạn có thể đặt món ăn, làm theo các chỉ dẫn và các kỹ năng quan trọng khác rất cần thiết để giao tiếp thành công với người nói tiếng Tây Ban Nha.
Ngoài các bài giảng video, video thực hành và trắc nghiệm; bạn sẽ có quyền truy cập vào các tập tin PDF in được. Bạn có thể xem lại trong thời gian rảnh rỗi để nâng cao kỹ năng đàm thoại tiếng Tây Ban Nha của mình.
Nhờ tham gia vào cộng đồng của hơn 2000 sinh viên ham học tiếng Tây Ban Nha, nếu bạn có câu hỏi nào chỉ cần hỏi. Và hãy nhớ: Tất cả các khóa học đều đảm bảo hoàn lại tiền trong 30 ngày. Hẹn gặp các bạn trong khóa học.",Không có kiến thức về tiếng Tây Ban Nha trước đó.,"Hơn 89 bài giảng và 4.5 giờ nội dung!
Kết thúc khóa học này, bạn có thể hỏi các câu hỏi và đặt câu trong các tình huống thực tế. Từ việc gặp gỡ những người mới, đến việc đặt món ăn, hỏi/làm theo chỉ dẫn, sử dụng phương tiện công cộng để đi lại và nhiều hơn nữa!",Được thiết kế cho cả người mới bắt đầu và trình độ trung cấp,Phần 1: Giới thiệu,,
,,,,,,,"Giới thiệu
Xem trước",2:00
,,,,,,,"Mẹo: Nhớ nhấp vào nút ""HD"" để có trải nghiệm xem hình tốt hơn",Văn bản
,,,,,,Phần 2: Hướng dẫn phát âm và các khái niệm cơ bản,,
,,,,,,,Hướng dẫn Phát âm Phần 1 - Nguyên âm,2:40
,,,,,,,"Hướng dẫn Phát âm Phần 2 - Phụ âm
Xem trước",7:13
,,,,,,,Các khái niệm cơ bản - Giới tính/ Số,3:30
,,,,,,,Phần 3: Gặp gỡ Mọi người,
,,,,,,,Gặp gỡ Mọi người - Từ vựng,3:02
,,,,,,,Gặp gỡ Mọi người - Hội thoại,2:10
