,,,,,,,,
Chụp ảnh hoang dã: làm sao để tới gần,"Những đối tượng không có ý thức, cơ hội vô tình những những địa điểm vùn sâu vùng xa- vượt qua những trở ngại để có được những shoot hình chất lượng cao về cuộc sống hoang dã","Nhiếp ảnh về cuộc sống hoang dã là một trong những thử thách lớn nhất. Để đạt được kết quả tốt nhất, nó diễn ra ở những địa điểm và điều kiện hoàn dã, đối mặt với những đối tượng ngại ngùng, không có cơ hội cho người chụp và đối tượng giao tiếp với nhau hay điều khiển và hiếm khi cho phép ""lên lịch"" cho điều kiện chụp tốt nhất. Kể cả như vậy, nó không chỉ đơn giản là ngẫu nhiên; những kiến thức hữu ích giúp bạn đạt được thành công trong công cuộc theo đuổi được đánh giá cao này
Khóa học này giới thiệu cả chụp ảnh tĩnh và làm video làm sao để tới gần các sinh vật sống, những đối tượng hoang dã sống trong môi trường sống tự nhiên. 35 năm kinh nghiệp trong lĩnh vực chụp ảnh môi trường hoang dã một cách chuyên nghiệp của tác giả được chia ra thành những cách đơn giản và ít tốn kém để giúp bạn bắt đầu sự đầu tư đầy thú vị của bạn. Bạn sẽ học cách tìm những địa điểm ở các vùng hoang dã, làm sao để tạo nên và sử dụng những điểm mù tự nhiên hay di động; làm sao để sử dụng các giác quan của động vật và hành động của chúng trở thành lợi thế khi chụp ảnh; kĩ thuật gọi; và làm sao để sử dụng sự di cư và vòng đời của động thực vật để có được những bức ảnh tốt nhất. Bạn sẽ học được mẹo để cho ra kết quả mĩ mãn ngay lập tức
Đây không phải là một lớp học dạy sử dụng máy ảnh, dù những dụng cụ đó là cần thiết. Lớp học này độc đáo vì cung cấp những mẹo thiết thực để gắn bó với thế giới tự nhiên. Bạn sẽ nhanh chóng khám phá ra những kiến thức này có giá trị vượt xa những thiết bị đắt tiền. Trên thực tế, sử dụng những thông tin này sẽ cho ra những bức ảnh tốt tới bất ngời kể cả với máy ảnh du lịch
Dù cho mối quan tâm của bạn là kiếm tiền từ xuất bản, chia sẻ qua chương trình, hay đơn giản là thỏa mãn sở thích cá nhân, khóa học chụp ảnh hoang dã này còn giá trị hơn thế. Hãy tham gia và cho ra những bức ảnh về cuộc sống hoang dã của chính bạn","Máy ảnh và kiến thức về chụp ảnh cơ bản
SLR, DSLR hay máy quay là lợi thế; có khả năng zoom xa 200mm hoặc hơn thì càng tốt","hơn 14 bài giảng và 2.5 giờ nội dung
hiểu được các thiết bị cần thiết và cơ bản
nâng cao hiểu biết về các dấu hiệu hoang dã, giác quan, cảm nhận, địa bàn sinh sống và tập tính
học được cách setup để tạo ra những bức ảnh đẹp nhất
học những kĩ thuật và phương pháp để tới gần (gọi, đồ ăn và nước, máy ảnh trượt vv...)
biết được các nguồn để tăng vốn hiểu biết về cuộc sống hoang dã
mục tiêu: các nhiếp ảnh gia chụp được những bức ảnh tuyệt vời về thế giới hoang dã","Nhiếp ảnh gia về thế giới hoang dã hoặc thiên nhiên, các nhà làm phim, quan sát chim hay những người có hứng thú về thế giới hoang dã",Phần 1: giới thiệu và tổng quan,,
,,,,,,,Giới thiệu: chụp ảnh hoang dã rất thử thách và độc đáo,11:49
,,,,,,,Nội dung chính của chương trình và tổng quan,5 trang
,,,,,,Phần 2: những điều cơ bản về chụp ảnh hoang dã,,
,,,,,,,Bài 1: Những thiết bị cơ bản- máy ảnh và ống kính,10:54
,,,,,,,Bài 2: các thiết bị phụ trợ và các công cụ đặc biệt,9:35
,,,,,,,Bài 3: Điều khiển cuộc sống hoàn dã,11:30
,,,,,,,Bài 4: các giác quan của động vật,11:55
,,,,,,,Bài 5: các hoạt động của động vật và dấu hiệu,10:23
,,,,,,Phần 3: các phương pháp và mẹo chuyên ngành cho chụp ảnh hoang dã,,
,,,,,,,Bài 6: các điểm mù và công dụng,15:42
,,,,,,,Bài 7: nhử mồi để quay phim,9:31
,,,,,,,Bài 8: cách gọi,11:47
,,,,,,,Bài 9: đánh bẫy,7:39
,,,,,,,Bài 10: cộng đồng hoang dã,4:50
,,,,,,,Bài 11: máy ảnh trượt và máy ảnh chuyên dụng,11:20
,,,,,,Phần 4: tổng kết và các mẹo cuối,,
,,,,,,,Bài 12: tổng kết,3:32
