,,,,,,,,
Nghệ thuật nhiếp ảnh đen trắng,Học cách tạo ra những bức ảnh đen trắng đầy kịch tính và lôi cuốn sử dụng một số công cụ Photoshop hiệu quả.,"Rất nhiều những bức ảnh với hiệu ứng mạnh, đáng nhớ và hiệu quả đều là ảnh đen trắng. Với công nghệ kỹ thuật số, bạn không còn phải chụp một bức ảnh đen trắng thật đỉnh mà bạn có thể tạo ra một bức ảnh bằng cách sử dụng những kỹ thuật nhiếp ảnh đen trăng được chỉ dẫn trong khóa học này. Vì vậy, nếu bạn còn đang bối rối về việc dùng phương pháp nào để chuyển ảnh thành đen trắng, còn không chắc chắn trong việc làm thế nào để tinh chỉnh phạm vi màu và sự cân bằng màu trong bức ảnh đen trắng của bạn bằng curves và masks, hay nếu bạn muốn học về cách chỉnh tông màu cho ảnh, khóa học này chính là dành cho bạn. Bạn sẽ được học hững kỹ thuật nhiếp ảnh đen trắng nào đây?
Bạn sẽ được học một loạt các kỹ thuật chuyển ảnh đen trắng linh hoạt và không làm giảm chất lượng ảnh. Bạn sẽ được học những thứ hữu ích và hiệu quả nhất như Channel Mixer và công cụ Đen trắng khi mà chỉ cần sử dụng một công cụ cũng hiệu quả hơn những công cụ khác và cần tránh những công cụ nào (và tại sao?). 
Bạn sẽ được học cách đánh giá phạm vi tông màu và sự cân bằng tông màu trong một bức ảnh, sau đó sẽ được học các tạo nên một sự thay đổi toàn bộ hoặc cục bộ sử dụng Adjustment, Layers selections, Masks và công cụ Curves: 4 trong số những công cụ và kỹ thuật hiệu quả nhất trong Photoshop.
Bạn sẽ được học cách sử dụng những công cụ và kỹ thuật này để vượt qua những vấn đề khó khăn mà bạn sẽ gặp phải trong việc chuyển bức ảnh chân dung của bạn thành ảnh đen trắng bao gồm việc làm nổi bật chủ thể khỏi phông nền hay xử lý tông màu da để tối đa hóa các chi tiết và làm mịn da của đối tượng và nhấn mạnh vào mắt đổi tượng.
Bạn cũng sẽ học cách thêm những tông màu độc đáo và phức tạp, điều này sẽ mang bức ảnh đen tắng của bạn vào cuộc sống.
Bạn sẽ học cách áp dụng những tất cả các công cụ và ký thuật này vào một quy trình làm việc linh hoạt, hiệu quả và có thể lặp lại.
Nhưng nó không phải là một khóa học và sản phẩm hậy kỳ và Photoshop: mỗi video cũng cho phép bạn phát triển những ký năng của mình và mang đến cho bạn những mẹo về nhiếp ảnh đen trắng cần thiết cho bạn để tạo ra những bức ảnh không chỉ tối ưu về mặt kỹ thuật mà còn nổi bật về mặt thẩm mỹ.
Nhấn nút chụp chỉ là bước đầu tiên trong quá trình tạo ra một bức ảnh đen trăng. Hãy đăng ký khóa học Nghệ thuật trong Nhiếp ảnh đen trắng và bắt đầu bước tiếp theo. Khóa học này còn cho phép bạn tải về.","Lý tưởng nhất là Photoshop CS3 hoặc cao hơn
Nếu bạn đang sử dụng một phiên bản Photoshop cũ hơn (CS2), bạn sẽ có thể làm việc với đa số các công cụ và kỹ thuật được giới thiệu trong khóa học chứ không chỉ là các công cụ làm ảnh đen trắng trong CS3
Không cần kiến thức nền về Photoshop. Bạn sẽ học một số kỹ thuật hiệu quả và đôi khi cũng khá phức tạp nhưng chúng ta sẽ làm từng bước một.","20 bài giảng và hơn 6,5 giờ nội dung.
Làm thế nào để tạo ra những bức ảnh đen trắng tối ưu về mặt kỹ thuật và nổi bật về mặt thẩm mỹ trong Photoshop
Làm thế nào để xây dựng một quy trình xử lý ảnh đen trắng hiệu quả và mạnh mẽ.
Làm thế nào để sử dụng một chuỗi các kỹ thuật chuyển đổi ảnh đen trắng để có thể khiến bức ảnh trở nên ấn tượng nhất
Làm thế nào để xác định được phạm vi màu và độ cân bằng màu sắc trong một bức ảnh để tạo nên sự thay đổi cần thiết trong quá trình xử lý hậu kỳ
Làm thế nào để sử dụng hiệu quả Biểu đồ tần số
Làm thế nào để tạo các Lớp tinh chỉnh
Làm thế nào để sử dụng mặt nạ để kết hợp liền mạch hai hoặc nhiều lớp điều chỉnh
Làm thế nào để sử dụng công cụ Curves, công cụ hiệu quả nhất trong Photoshop, để tạo sự thay đổi toàn diện lẫn cục bộ cho tông màu và cân bằng màu trong ảnh
Làm thế nào để kết hợp nhiều kỹ thuật trong một bức ảnh
Làm tông màu da mịn, một kỹ thuật đặc biệt hữu ích trong chụp chân dung phụ nữ và trẻ em.
Làm nổi phần mắt của đối tượng
Làm thế nào để tối đa hóa các chi tiết trên mặt chủ thể, đặc biệt phù hợp đối với chụp chân dung nam
Làm thế nào để tạo tông màu độc đáo và nổi bật, khiến bức ảnh của bạn trở nên thật sự sống động",Bất cứ ai muốn tạo ra những bức ảnh đen trắng tối ưu về mặt kỹ thuật và nổi bật về mặt thẩm mỹ.,Phần 1: Làm quen,,
,,,,,,,Video giới thiệu,2:49
,,,,,,,Các slide bài giảng,31 slides
,,,,,,,Ảnh sử dụng cho bài giảng (28 ảnh),92 MB
,,,,,,Phần 2: Kỹ thuật xử lý ảnh đen trắng - Phần 1,,
,,,,,,,Giới thiệu Kỹ thuật xử lý ảnh đen trắng,17:01
,,,,,,,Phương chuyển đổi song song với Hue và Saturation,13:44
,,,,,,Phần 3: Kỹ thuật xử lý ảnh đen trắng - Những ký thuật nâng cao,,
,,,,,,,Chuyển ảnh đen trắng sử dụng Channel Mixer,22:08
,,,,,,,Chuyển ảnh đen trắng sử dụng Caculations,5:33
