,,,,,,,,
Bắt đầu với nhiếp ảnh: Chụp ảnh chân dung gia đình chuyên nghiệp,Biến những bức ảnh gia đình tẻ nhạt trở thành những bức ảnh tuyệt đẹp. Con bạn sẽ thích thú chụp ảnh cho bạn khi chúng nhìn thấy những tấm ảnh này.,"Hơn 1600 học viên đăng kí và để lại hơn 36 lượt đánh giá 5 sao
Sau khi tham gia khóa học những đứa trẻ 
Bạn sẽ học những gì
Làm thế nào để xác định được ánh sáng tốt nhất cho đối tượng khi ở trong nhà và ngoài trời
Đưa ra ý tưởng cho phụ nữ, nam giới, thanh thiếu niên và trẻ em.
Cài đặt chế độ máy ảnh để cho ra những bức ảnh chân dung hấp dẫn và chuyên nghiệp
Ống kính tốt nhất cho chụp ảnh chân dung (cho người dùng DSLR).
Ý tưởng cho phông nền
Khóa học sẽ chỉ cho bạn để có một bức ảnh chân dung tuyệt vời sử dụng ánh sáng có sẵn chứ không cần dùng đến ánh sáng thiết lập. Bạn sẽ tìm hiểu vị trí nào là có ánh sáng tốt nhất khi ở ngoài trời.  Bạn cũng sẽ nhận được chỉ dẫn về chụp chân dung trong nhà mà không cần sử dụng đèn flash của bạn.
Bạn sẽ được học cách cài đặt máy ảnh để chụp chân dung tốt hơn. Bạn cũng sẽ hiểu biết thêm về khẩu độ , tốc độ màn chập và ISO
Tất cả chúng ta đã chụp những bức ảnh mà nền trông rất tuyệt nhưng khuôn mặt đối tượng của bạn là quá tối và bạn muốn biết làm thế nào để làm mờ tất cả các đối tượng phía sau trong bức chân dung. Nhiều người sử dụng máy ảnh DSLR nhưng không biết bắt đầu từ đâu. Đó là chế độ tự động là rất hấp dẫn và dễ dàng. Nhưng thoát ra khỏi chế độ Auto sẽ mở ra cánh cửa để sáng tạo hơn, hình ảnh chuyên nghiệp hơn cho những đứa trẻ của bạn.
Đây là một khóa học khá đơn giản, nó không dạy bạn nhiều về kĩ thuật, Nó tạo ra nhắm mục đích dạy cho cha mẹ có thêm kiến thức về chụp ảnh chân dung tốt hơn và những bức hình về gia đình khi bạn không có nhiều thiết bị 
Bạn có thể tiến một bước xa hơn trong việc chỉnh sửa hình ảnh trong photoshop và lightroom. Lightroom là một phần mềm tương đối đơn giản được thiết kế cho những nhiếp ảnh gia. Nếu thích chụp ảnh bạn có thể quan tâm đến phần mềm này. Bạn có thể dùng thử miễn phí tại Adobe
Với khóa học này bạn sẽ nhận được
Hơn 1600 sinh viên đã đăng kí khóa học này
Rất nhiều người đã bình chọn 5 sao
Không giới hạn truy cập, không mất thêm chi phí
Miễn phí tất cả bài giảng và tài liệu bổ sung
Không điều kiện, không thắc mắc, cam kết trả lại tiền trong 30 ngày
Con của bạn đang lớn rất nhanh. Bạn không muốn một ngày nữa trôi qua mà không chụp lại ảnh đáng nhớ của bé, không phải từ những chiếc điện thoại thông minh và nhanh chóng","Một máy ảnh DSLR được khuyến khích, nhưng bất kỳ máy ảnh nào có khả năng điều chỉnh các thiết lập bằng tay đều có thẻ sử dụng. Phần lớn những gì được bao phủ sẽ áp dụng cho bất kỳ máy ảnh, chẳng hạn như ánh sáng và tạo dáng. Adobe Photoshop Lightroom là hữu ích cho việc chỉnh sửa hình ảnh của bạn. Bạn có thể tải về dùng thử 30 ngày miễn phí tại adobe.","Hơn 36 bài giảng và 2,5h nội dung
Dễ dàng làm theo
Thoải mái trong phong cách dạy
Sự hiểu biết tốt nhất về những ống kính dành riêng cho chân dung
Cài đặt máy ảnh nói chung trong việc chụp chân dung
Học cách hiệu chỉnh độ sâu trường ảnh
Những ý tưởng giúp cho việc chụp hình trẻ em trở nên thú vị hơn
Học cách làm thế nào để đưa hình ảnh và chỉnh sửa đơn giản cho hình ảnh của bạn trong Adobe Photoshop, Lightroom.","Bước khởi đầu cho những người đam mê, phụ huynh và những ai muốn tìm hiểu làm thế nào để có những bức chân dung mà không cần thiết lập ánh sáng phức tạp hoặc thiết bị bổ sung. Những người sở hữu máy DSLR nhưng chưa biết sử dụng chế độ cài đặt bằng tay.",Phần 1: Máy ảnh và Ông kính cơ bản,,
,,,,,,,Giới thiệu,3:12
,,,,,,,Máy ảnh,2:31
,,,,,,,Bài 1: Tổng quan ống kính  (đối với các máy DSLR),2:00
,,,,,,,Bài 2: Các yếu tố crop (với DSLRs),1:56
,,,,,,,Bài 3: Ống kính chụp chân dung (với DLSRs),3:22
,,,,,,,Máy ảnh và ống kính,5 questions
,,,,,,Phần 2: Nhiếp ảnh cơ bản,,
,,,,,,,Góc tiếp xúc,4:56
,,,,,,,Sử dụng Khẩu độ và độ sâu trường ảnh,2:39
