,,,,,,,,
Nhiếp ảnh đường phố: Tôi đã tiếp cận với con người trên các con phố như thế nào,"Học cách vượt qua nỗi sợ hãi, làm thế nào để tiếp cận với con người và làm thế nào để cải thiện khả năng sáng tạo và chất lượng của các bức ảnh của bạn.","Hơn 2400 học viên/ các đánh giá chủ yếu xếp hạng 5 sao/ giảng viên giàu kinh nghiệm
""Nhiếp ảnh đường phố có thể được thực hiện bởi bất kì ai có một chiếc máy ảnh. Nó phù hợp mọi lúc mọi nơi cho tất cả mọi người. 

Nhưng điều đó không có nghĩa là nó đơn giản. Bạn vừa phải là một nhiếp ảnh gia nắm vững các kĩ thuật nhiếp ảnh nhưng cũng phải có cả kiến thức và cảm nhận về con người. Bạn phải thấy trước được cả những sự vật hiện tượng để có thể luôn sẵn sàng trong những khoảnh khắc quyết định.""
Trong khóa đào tạo này, tôi sẽ giúp các bạn biết được những điều quan trọng khi chúng ta thực hiện các bức ảnh trên các con đường. Bạn có thể học hỏi từ kinh nghiệm của tôi - được xây dựng từ 5 năm chụp ảnh tại các thành phố lớn trên thế giới và các hội thảo chia sẻ nghề nghiệp
""- Bạn sẽ được học những cách tiếp cận người lạ 
- Bạn sẽ được biết tôi làm thế nào trong các video thực tế
- Bạn sẽ được học về các thiếp lập máy ảnh theo chuẩn 
- Bạn sẽ được biết về việc sẽ phải làm gì để cải thiện khả năng thành công của truyền thông xã hội""
Tất cả được trình bày bằng rất nhiều hình ảnh và ví dụ từ các kinh nghiệm thực tế
""Bạn có thể xem một số videos dưới dạng xem trước và bạn có quyền thực hiện Chế độ bảo hành 30 ngày hoàn trả tiền. Thế nên không có rủi ro nào khi học khóa này.

Hãy đăng ký khóa học tuyệt vời về nhiếp ảnh đường phố này.""","Có 1 chiếc máy ảnh bạn có thể sử dụng
Hiểu rõ về chiếc máy ảnh của bạn
Nắm được các kiến thức cơ bản về máy ảnh (khẩu độ, tốc độ màn trập, ISO)
Nắm được kiến thức cơ bản về cơ chế của ánh sáng khi chụp ảnh
Có thời gian rảnh rỗi để luyện tập Nhiếp ảnh đời thường
Có một tư tưởng cởi mở về việc chụp ảnh người lạ bất ngờ ở nơi công cộng
Chuẩn bị sẵn sàng cho việc nhiếp ảnh sẽ thay đổi cuộc đời bạn","Hơn 48 bài học và 9.5 tiếng nội dung.
Bạn sẽ học được cách tiếp cận người khác trên đường
Bạn sẽ nhận ra được bạn có thể vượt qua được những nỗi sợ hãi
Bạn có thể thấy rằng máy ảnh không phải là một thứ quá quan trọng
Tôi sẽ giải thích về việc tôi đã chụp ảnh như thế nào và tại sao tôi lại làm như thế","Những người mới bắt đầu chụp ảnh đời thường
Những nghệ sĩ chụp ảnh đời thường chuyên nghiệp",Phần 1: Giới thiệu về tôi và Khóa học,,
,,,,,,,Giới thiệu - Tôi sẽ dạy các bạn những gì,2:02
,,,,,,,Con đường nhiếp ảnh của tôi,4:30
,,,,,,Phần 2: Giới thiệu về Nhiếp ảnh đời thường,,
,,,,,,,Nhiếp ảnh đời thường là gì?,4:43
,,,,,,,Các quy tắc chung,6:45
,,,,,,Phần 3: Máy ảnh và Cơ chế thiết lập,,
,,,,,,,Các loại máy ảnh nào mà tôi cần?,10:29
,,,,,,,Các loại thiết lập tôi sử dụng?,7:54
,,,,,,,Tôi cần mang gì trong túi dụng cụ của tôi?,3:57
,,,,,,"Phần 4: Các kỹ năng, những nỗi sợ và các khó khăn khác",,
,,,,,,,Các kỹ năng nào quan trọng?,8:26
,,,,,,,Tôi mặc như thế nào trên đường?,2:07
,,,,,,,Tôi tiếp cận với đối tượng như thế nào?,14:08
