,,,,,,,,
Làm video chuẩn - Học cách làm video trị giá hơn $15K,Học bí mật của các hãng và xưởng phim cao cấp - Cách bạn có thể luôn giành lấy các khách hàng lớn với hàng nghìn đô. ,"Sự khác biệt giữa người tập video tự do được trả 20 đô la/ giờ và một người chuyên nghiệp có thể kiếm 5,000 đô la chỉ sau 15 giây đăng tải video là gì?
Gợi ý: Nó KHÔNG phải là các kỹ năng biên tập/ chỉnh sửa của họ.
Trong khoá học này tôi sẽ chỉ cho bạn thấy làm thế nào để tạo ra các video khiến các công ty lớn sẽ phải trả bạn hàng nghìn đô cho... những video mà bạn đã bạn đã tạo ra nhờ những kỹ năng của mình.
Đặc biệt hơn, tôi sẽ giải thích chi tiết cho bạn về cách thức CHÍNH XÁC mà tôi đã từng:
Giành được dự án video với Dish Network, American Express, Humana, The Home Depot, Whisper, United Way và nhiều hãng khác nữa.
Chiến thắng với giải thưởng là chiếc Mini Cooper Countryman trong một cuộc thi làm video do Dairy Queen tổ chức
Tôi sản xuất một video cho Kickstarter tại một dự án, đạt được 600% so với kế hoạch ban đầu (%115,000)
Lọt vào top trên bảng xếp hạng Youtube, một trong số những video của tôi đạt tới hơn 132,000 lượt xem
Cung cấp lời khuyên cho một thi sinh trong cuộc thi tạo video cấp quốc gia và đã giúp chàng trai mang về một triệu đô la.  
Bạn có thể đang nghĩ: "" Này Logan, mọi thứ nghe rất tuyệt vời! Nhưng làm thế nào tôi có thể thực chất làm những điều trên?"" 
Tôi rất vui vì bạn đã hỏi :-)
Đây là một vài phương pháp đã được kiểm chứng bạn sẽ được học trong khoá học này
Cách dừng việc khách hàng cằn nhằn về bạn và tôn trọng bạn như là một chuyên gia
Quá trình chính xác tôi sử dụng để vượt qua nhưng yêu cầu không rõ ràng của khách hàng để truyền đạt kết quả khiến khuấy động trí não của họ và giúp tôi có thêm lời giới thiệu một cách đều đặn. 
Từng bước một hướng dẫn làm cách nào để dùng cùng một quá trình mà các hãng lớn như Denny's và Dominoes Pizza sử dụng để phát triển quảng cáo.
Nguồn cấp Liên lạc mà bạn có thể sử dụng cho bất cứ video nào để giúp cho video ấy thể hiện tốt hơn trên thị trường
Thủ thuật thực hành giúp cho video của bạn được xem nhiều
Chuyên sâu hơn về Youtube SEO
Đây là phần hay nhất: Bạn không cần khả năng chỉnh sửa quá vượt trội, hay địa chỉ liên hệ với các khác hàng hiện tại và trong nền công nghiệp. Chiến thuật được dạy trong khoá học này sẽ đảm bảo gia tăng thu nhập từ việc sản xuất video của bạn cho dù bạn là người kỳ cực hay chỉ mới bắt đầu.
Đọc những gì học viên nói: 
""Khoá học này cho đến giờ là khoá học tốt nhất tôi từng học tại UDEMY. Sản phẩm siêu chuyên nghiệp, nôi dụng vô cùng hấp dẫn và lôi kéo. Logan làm chủ khoá học với sự hoà quyện của sự chuyên nghiệp và phảng phất sự hài hước."" - Christian
""Khoá học làm video tuyệt vời nhất từ trước đến nay! Tôi sẽ cho nó 6 sao!!!!"" - Syed
""Làm Video Đúng sẽ thật sự dạy bạn những thứ mà bạn không biết! Nếu như bạn là nhiếp ảnh gia, nhà thiết kế, hay bất kể làm gì liên quan đến tính sáng tạo, khoá học này sẽ giúp bạn vì trọng tâm không chỉ về cách đúng để làm video mà còn về cách làm một video đúng"" - Aaron
Nếu như bạn sẵn sàng để đưa sự nghiệp của mình lên một tầm cao mới bẳng những kỹ thuật cực kỳ chọn lọc được sử dụng bởi các hãng và công ty tư vấn hàng ngày, thì đây sẽ là thời điểm để bắt đầu!
- Logan Bean, Chuyên gia sản xuất video và Người sáng lập ra MakeTheRightVideo","điều kiện trước mặt, mạnh mẽ, đi đôi (kết hợp) với khoá học này cả, tuy nhiên thông tin của khoá học trở nên mạnh mẽ nhất khi đi đôi với hiểu biết về việc sản xuất video
""Nhưng tôi chỉ là người mới trong Sản xuất Video, liệu tôi có nên tham gia khoá học?"" Thông tin trong khoá học này là thứ mà tất cả những người đam mê chế tạo video nên hiểu được. học khóa học này sớm sẽ mang lại cho bạn một lợi thế khổng lồ hơn các đối thủ.","Hơn 40 bài giảng và 1.5 giờ nội dung
Các tài liệu in ra được như là poster, mẫu văn bản, hay công cụ bạn có thể sử dụng để ghi nhớ những nguyên tắc quan trọng và áp dụng chúng trong dự án mới!
Đến cuối của khoá học, bạn sẽ hiểu tại sao một số video lại bị lờ đi tuyệt đối, trong khi những cái khác đang tạo nên hàng nghìn đô la, cũng như bạn sẽ có thể tạo ra các video khiến khách hàng phải trả một số tiền nghiêm túc cho bạn.
Bạn sẽ có xu hướng tập trung vào các nguyên lý và kỹ thuật cái sẽ có thể giúp bạn tạo videos mà bạn biết rằng sẽ đem lại kết quả tốt về.
Khoá học này sẽ đưa toàn bộ các yếu tố chỉ dựa vào dự đoán hay mắn ra khỏi một video thành công, giúp bạn sáng tỏ và tự tin hơn rằng bạn có thể làm ra một video mà bản thân nó sẽ thực hiên những gì bạn dự tính trong đầu.
Thời gian là vàng bạc - Và khoá học này sẽ không gây lãng phí thời gian của bạn! Hầu hết các khoá học trực tuyến khác cần 10 phút chỉ để giải thích một khái niệm nhỏ. Khoá học này được ""nhồi nhét"" với rất nhiều giá trị trong đó. Tôi đã thiết kế khoá học để giới thiệu các thông tin theo một cách chỉnh chu và tiết kiệm thời gian. Đây không phải là những video sáo rỗng. Đây thực sự là một trải nghiệm đào đạo mật độ cao. ","Người làm phim và video với sự thấu hiểu đáng kể về giá trị của sản xuất nhưng vẫn chưa chắc chắn vì sao sản phẩm của họ lại không được trân trọng như những gì nó xứng đáng được nhận.
Thành viên của Cách mạng DSLR (Hội phim Dân chủ) học được cách tạo nên một video đẹp mắt nhưng muốn học cách tạo ra video mà thật sự mang lại lợi ích",Phần 1: Làm một video đúng - Giới thiệu và Khung chương trình,,
,,,,,,,Khoá học này sẽ bao gồm những gì (Bản xem trước),1:43
,,,,,,,Thiết kế cho việc tiêu thụ (Bản xem trước),1:41
,,,,,,,Quy tắc 80-20,1:07
,,,,,,,Điều gì độc nhất ở khoá học này,1:31
,,,,,,,Tôi là ai,0:47
,,,,,,,Làm điều đúng,1:26
,,,,,,,Hiểu được Vòng truyền thông,1:24
,,,,,,,3C,1:19
,,,,,,,Câu hỏi trắc nghiệm quá trình MTRV,2 câu hỏi
