Name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Khám phá chủ đề hạnh phúc cùng Elisha Goldstein,Tìm hiểu làm sao để làm chống lại sự trầm cảm của não bộ và khám phá hạnh phúc thực sự lâu dài,"Trong vòng 15 năm qua, đổi mới tiên tiến trong khoa học thần kinh đã dẫn đến một trong những hiểu biết mạnh mẽ nhất trong lịch sử loài người rằng trong mỗi người chúng ta đề có tiềm năng sinh học tự nhiên đối với hạnh phúc thực sự. Trong khóa học này, bạn sẽ tìm hiểu xem làm thế nào để kiếm chế trầm cảm và bộc lộ tiềm năng thực sự của bạn
Giảng viên của các bạn:
Tôi là Elisha Goldstein, tác giả cuốn ""the now Effect and most recently Uncovering Happiness:  Overcoming Depression with Mindfulness and Self- Compassion"" Hơn 15 năm qua, tôi đã học tập và giảng dạy tâm lý học, thần kinh học và luyện tập bộc lộ hạnh phúc trong cuộc sống mỗi ngày
Trong quá trình đó tôi đã đào sâu vào một loạt các môn học và phát hiện ra mổ số thành phần tự nhiên chống trầm cảm :
Giảm những suy nghĩ tiêu cực lại
Hạn chế căng thẳng
Nâng cao trạng thái vui vẻ và 
Giữ lấy sự cân bằng đó và tự tin rằng chúng ta có thể tìm hiểu và đạt được điều đó
Đây là kinh nghiệm của tôi, kinh nghiệm của hàng ngàn người đã làm việc cùng với tôi và nó cũng đã được chứng minh bởi khoa học gần đây nhất
Về chuyên đề này
Chuyên đề bộc lộ hạnh phúc là một dự án rất cá nhân đối với tôi. Nó là công việc cuộc sống của tôi là khám phá ra tiềm năng trong mỗi chúng ta và tôi rất vui mừng được mang dự án này tới các bạn ngay bây giờ 
Trong dự án này bạn sẽ tìm hiểu
Chìa khóa của hạnh phúc bền lâu
Làm thế nào để mang chúng tới cuộc sống hàng ngày của bạn
Và làm thế nào để bạn thay đổi suy nghĩ tốt hơn?
Cuối cùng bạn sẽ tìm hiễu xem làm thế nào để quay trở lại để kiểm soát tâm trí, tâm trạng và cuộc sống của bạn, gieo mầm cho hạnh phúc dài lâu thực sự
về cuộc phỏng vấn của chúng ta
Tôi đã phỏng vấn một vài người trong số những nhà khoa học, nhà thần kinh học, nhà nghiên cứu và nhà hành nghề hàng đầu trong lĩnh vực hạnh phúc và cư xử đúng mực cho chuyên đề này. Bạn sẽ nghe từ Byron Katie Tara Brach, Kelly McGonigal, Sharon Salzberg, Dan Harris, Jack Kornfield và những người khác- Kiểm tra ở chương trình học dưới đây
Họ là những người đến từ Harvard, UCLA và nhiều người trong số họ đã từng viết những bài bán chạy nhất về hạnh phúc cho tạp chí New York times. Thêm vào đó, như một phần thưởng dành cho bạn tôi đã hỏi những người phát ngôn đưa ra cho bạn những bài tập luyện tập để tạo ra hạnh phúc thiết thực ngay bây giờ. Bạn sẽ có hơn 20 bài luyện tập để sử dụng ở nhà và khi làm việc. Những bài luyện tập này sẽ giúp bạn :
Tạo ra một chất chống trầm cảm tự nhiên trong não bộ
Giảm căng thẳng và lo lắng 
Có những mối quan hệ tốt đẹp hơn
Vượt qua những thói quen xấu trong việc ăn uống và
Tạo ra sự tự tin ở nhà và trong công việc
Tôi muốn tuyên truyền về khả năng tiềm ẩn để có được hạnh phúc trên toàn thế giới nên bạn có thể nghe những cuộc phỏng vấn này một cách miễn phí vì nó được phát ngay tại đây- Và sau "" chuyên đề ảo"" bạn sẽ có cơ hội để sở hữu toàn bộ những điều này với chi phí thấp gần như là ai cũng có thể có
Tham gia ngay hôm nay và tìm hiểu xem làm sao để thắng được những suy nghĩ trầm cảm trong não bộ và khám phá ra hạnh phúc bền vững thực sự trong cuộc sống của bạn","Chỉ là những yêu cầu cơ bản của Udemy, không cần thêm tài liệu nào khác
Không nhất thiết phải có kiến thức nền
","Hơn 48 bài giảng với 12.5 giờ giảng dạy
Mở khóa những tiềm năng của bạn cho hạnh phúc bền lâu
Biết làm thế nào để sử dụng suy nghĩ thay đổi tư duy trong cuộc sống
Ap dụng những chánh niệm, lòng nhân ái và kỹ thuật tự tin sẽ mang tới hạnh phúc trong cuộc sống hàng ngày của bạn
Tìm hiểu sự quan trọng của niềm vui và việc tự yêu quý bản thân mình.
Khám phá ra những chất chống trầm cảm tự nhiên và khả năng quản lý căng thẳng
Hiểu được việc lựa chọn thực phẩm và phong cách sống của chúng ta ảnh hưởng như thế nào tới hạnh phúc và dẫn tới những cư xử vô ích 
Hiểu được việc tại sao việc tìm hiểu tư suy lại giúp bạn có được nhiều thứ hơn trong cuộc sống cùng với giác quan nhạy bén hơn
Phát triển bộ công cụ lớn hơn và chỉ dẫn khôn ngoan để khám phá hạnh phúc ở ngay đây trong cuộc sống hàng ngày ","Bất cứ ai quan tâm đến việc được hạnh phúc
Bất cứ ai tò mò về việc họ có thể làm gì để cải thiện cách hành xử tốt của mình
Bất cứ ai muốn mở rộng những công cụ của mình với những bài tập đơn giản và đáng tin cậy để tăng hạnh phúc trong cuộc sống hàng ngày",Phần 1: Chào mừng bạn đến với Chủ đề Khám phá hạnh phúc,,
,,,,,,,Chào mừng và giới thiệu,2:16
,,,,,,Phần 2: Lòng trắc ẩn,,
,,,,,,,"Sharon Salzberg Phần 1: "" Tìm kiếm hạnh phúc thực sự """,17:01
,,,,,,,"Sharon Salzberg Phần 2: "" Tìm kiếm hạnh phúc thực sự """,15:14
,,,,,,,"Rick Hanson Phần 1 : "" Kéo dài hạnh phúc""",17:10
,,,,,,,"Rick Hanson Phần 2 : "" Kéo dài hạnh phúc""",17:44
,,,,,,,"Jack Kornfield Phần 1: "" Lòng trắc ẩn, sự vị tha và niềm vui bùng cháy""",18:33
,,,,,,,"Jack Kornfield Phần 2: "" Lòng trắc ẩn, sự vị tha và niềm vui bùng cháy""",10:28
,,,,,,Phần 3: Tự yêu thương bản thân,,
,,,,,,,"Tara Brach Part 1 “sức mạnh của sự tổn thương""",19:22
,,,,,,,"Tara Brach Part 2 “sức mạnh của sự tổn thương""",12:41
,,,,,,,"Kristin Neff Phần 1: "" Sức mạnh của Sự tự yêu quý bản thân""",20:11
,,,,,,,"Kristin Neff Phần 2: ""Sức mạnh của Sự tự yêu quý bản thân""",16:44
,,,,,,Phần 4: Chánh niệm,,
,,,,,,,"Dan Harris Phần 1: ""Tự giúp mình thật sự rất hiệu quả""",17:25
,,,,,,,"Dan Harris Phần 2: ""Tự giúp mình thật sự rất hiệu quả""",16:33
,,,,,,,"Zindel Segal Phấn 1: "" Sức mạnh của MBCT"" (Phương pháp trị liệu dựa trên sự chánh niệm""",19:42
,,,,,,,"Zindel Segal Phấn 2: "" Sức mạnh của MBCT""",18:40
,,,,,,,"Alex Tew phần 1: "" Chánh niệm trong thời đại số""",16:45
,,,,,,,"Alex Tew phần 2: ""Chánh niệm trong thời đại số""",15:48
,,,,,,,Christiane Wolf Phần 1: Hạnh phúc và nỗi đau liệu có cùng tồn tại? Phần 2,18:07
,,,,,,,Christiane Wolf Phần 2: Hạnh phúc và nỗi đau liệu có cùng tồn tại? Phần 2,15:04
,,,,,,Phần 5: Vui chơi,,
,,,,,,,Ruby Wax Phần 1: Sổ tay cho lối sống Saner,18:05
,,,,,,,Ruby Wax Phần 2: Sổ tay cho lối sống Saner,16:15
,,,,,,,Christine Carter Phần 1: Tìm ra thói quen của bạn ở nhà và trong công việc,19:41
,,,,,,,Christine Carter Phần 2: Tìm ra thói quen của bạn ở nhà và trong công việc,15:18
,,,,,,,"ImprovHQ Phần 1:"" Chơi đùa cùng với sự tự tin""",19:36
,,,,,,,"ImprovHQ Phần 2:""Chơi đùa với sự tự tin""",13:32
,,,,,,,Ellen Langer Phần 1: Tìm kiếm suối nguồn tuổi trẻ,16:48
,,,,,,,Ellen Langer Phần 2: Tìm kiếm suối nguồn tuổi trẻ,13:21
,,,,,,"Phần 6: Mục đich, ý nghĩa và thói quen sức khỏe",,
,,,,,,,"Byron Katie Phần 1:"" bốn câu hỏi về Hạnh Phúc""",19:54
,,,,,,,"Byron Katie Phần 2:"" bốn câu hỏi về Hạnh Phúc""",18:58
,,,,,,,"Kelly MacGonigal phần 1: "" Tại sao căng thẳng lại là tốt và cách để hòa hợp với nó",16:23
,,,,,,,"Kelly MacGonigal phần 1: "" Tại sao căng thẳng lại là tốt và cách để hòa hợp với nó",13:49
,,,,,,,"Pilar Gerasimo Phần 1: "" nghệ thuật để trở nên khỏe mạnh""",17:54
,,,,,,,"Pilar Gerasimo Phần 2: "" nghệ thuật để trở nên khỏe mạnh""",16:03
,,,,,,,"Pilar Gerasimo Phần 3: "" nghệ thuật để trở nên khỏe mạnh""",7:39
,,,,,,,"Tristan Harris Phần 1 “nhận thức về việc sử dụng thời gian""",15:22
,,,,,,,"Tristan Harris Phần 2 : “nhận thức về việc sử dụng thời gian""",21:49
,,,,,,,Dan Siegel Phần 1: Sức mạnh và mục đich của các mối quan hệ,21:32
,,,,,,,Dan Siegel Phần 2: Sức mạnh và mục đich của các mối quan hệ,15:16
,,,,,,Phần 7: Gia đình và thực phẩm,,
,,,,,,,"Tim Ryal Phần 1: "" Cuộc cách mạng về thực phẩm thật""",16:23
,,,,,,,"Tim Ryal Phần 2: "" Cuộc cách mạng về thực phẩm thật""",7:40
,,,,,,,"Susan Albert Phần 1: ""Phá vỡ những thói quen xấu""",17:35
,,,,,,,"Susan Albert Phần 2: ""Phá vỡ những thói quen xấu""",7:57
,,,,,,,"Susan Stiffelman Phần 1: "" Nuôi dạy con bằng sự hiện diện""",18:07
,,,,,,,"Susan Stiffelman Phần 2: "" Nuôi dạy con bằng sự hiện diện""",12:20
,,,,,,,"Bonnie Goldstein Phần 1: "" Tìm ra ý nghĩa và mục đích của tuổi trưởng thành""",15:15
,,,,,,,"Bonnie Goldstein Phần 2: "" Tìm ra ý nghĩa và mục đích của tuổi trưởng thành""",11:00
,,,,,,Phần 8: Phỏng vấn Elisha Goldstein _ Khám phá hạnh phúc,,
,,,,,,,Lời kết của Elisha Goldstein Phần 1: Lời cảm ơn,11:05
,,,,,,,Lời kết của Elisha Goldstein Phần 1: Lời cảm ơn,7:31
