name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng của khóa học này là ai?,Chương trình học,,
Tâm Thể đồng nhất - Thích Nhất Hạnh,Khóa đào tạo trực tuyến về Chánh niệm của thiền sư Thích Nhất Hạnh,"Khi cơ thể và tâm trí bạn hợp nhất làm một, sự hiện diện của bạn sẽ trở nên trọn vẹn và thuận tự nhiên trong đời sống hiện tại. Bây là bản chất của việc thực hành Chánh niệm. Tâm Thể đồng nhất : Bài giảng trực tuyến về Chánh niệm sẽ mang đến cho bạn một khóa học chưa từng có từ trước đến nay trong 8 tuần cùng thiền sư Thích Nhất Hạnh đáng kính, người đã thực hành, chia sẻ và trải nghiệm với triết lý uyên thâm này trong hơn 7 thập kỉ qua
Hơi thở : Cầu nối giữa cơ thể và tâm trí
Trong thế giới hiện đại bận rộ, nhiều người trong chúng ta đang cố chạy đua từ đích này sang đích khác, đặt kế hoạch nọ rồi lo lắng về việc kia. Chúng ta thường héo hon bới những suy nghĩ và thói quen trong vô thức,chúng khiến chúng ta trở nên vô cảm với những trải nghiệm của bản thân - và với những nối đau mà chúng ta gây ra cho mình và những người xung quanh
Hai ngàn sáu trăm năm trước đây, Đức Phật đã đưa ra những chỉ dẫn về việc phá vỡ cái vòng luẩn quẩn này và trở về với cơ thể chúng ta- về với sự diệu kỳ của cuộc sống chỉ tìm thấy trong hiện tại. Hơi thở của bạn chính là chìa khóa 
Trong bài giảng""Tâm Thể Đồng nhất"", thiền sư Thích Nhất Hạnhc sẽ đích thân hướng dẫn bạn từng bước một trong những bài tập truyền lại từ Đức Phật giúp điều hòa hơi thở của bạn nhằm chấm dứt những xung đột bên trong, giải tỏa căng thẳng và lo lắng, giúp bạn nhận thức được về những điều cần làm để đạt được tự do và hạnh phúc
Cùng tham gia với thiền Sư Thích Nhất Hạnh trong chuyến tu tập này
Được thu lại trực tiếp từ chuyến tu tập kéo dài 6 ngày ở làng Rocky Mountain tại công viên Estes, khóa học Tâm Thể đồng nhất sẽ mang đến cơ hội học tập cùng thiền sư Thích NHất Hạnh và cộng đồng sư sãi và những người tu tập. Không chỉ là một khóa học về Chánh niệm, Tâm Thể đồng nhất còn là nơi vị thiền sư đáng kính này giác ngộ và giáo hóa  về Phật pháp nhằm giúp người nghe có được một cuộc sống viên mãn
Trong khóa học này bạn sẽ học về:
Nguồn năng lượng có thể thay đối cuộc sống từ Chánh niệm, sự tập trung tư tưởng và giác ngộ
Sự hiện diện của bạn, món quà tuyệt vời nhất bạn có thể trao cho thế gian.
Sống trong hiện tại : Mục đích đầu tiên của thiền
Công thức thần kỳ cho hạnh phúc tức thì
Ý nghĩa yên thâm của ""tương tức""
Sự thật về Vô thường
 Bát Chánh Đạo và Tứ Diệu Đế trong Phật Giáo.
Ý nghĩa của tính Không
Dharma (Pháp) với việc tu tập
Chạm vào Phật tính trong bạn.
Vượt lên sự kì thị, nỗi sợ hãi, cơn giận dữ và những phiền não khác trong tâm
Nhân quả với tư cách là hành động của suy nghĩ, lời nói và cơ thể
7 bài tập của đạo Phật về hơi thở Chánh niệm.
Cách nuôi dưỡng hạt giống bao dung và vị tha trong tâm hồn bạn
5 bài tập Chánh Niệm - một phương thức khám phá nhân quả từ hành động của chúng ta
Sự kỳ diệu vĩ đại nhất
""Thông qua Chánh Niệm"", theo lời thiền sư Thích Nhất Hạnh, ""chúng ta có thể nhận ra nhiệm màu của việc được sống trên đời, và đó chính là điều kỳ diệu vĩ đại nhất"". Tâm Thể đồng nhất chào đón bạn đến với trải nghiệm về sự uyên thâm và sự hiện diện của vị thầy giáo vô song khi bạn nghe theo từng nhịp thở mà thầy hướng dẫn bạn đến với ""Cõi Trong sạch của đức Phật, cõi thiên giới của chư thần, nơi hiện hữu ở ngay lúc này và ngay chốn này""","7 tiếng đồng hồ với các video hướng dẫn chất lượng cao của thiền sư Thich NHất Hạnh, có thể xem bất cứ lúc nào bạn thích
2 buổi giảng trực tiếp trả lời câu hỏi từ học viên của sư cô Lăng Nghiêm và sư thầy Pháp Hải, 2 học trò lâu năm của thầy Thích Nhất Hạnh
Một nhật ký cá nhân để bạn tự chiêm nghiệm về các trải nghiệm của bản thân
Các bài tập được đề cử theo tuần","hơn 53 bài giảng là 10.5 tiếng đồng hồ nội dung
Tóm tắt về bày bài tập của đạo Phật dùng để điều hoa hơi thở Chánh Niệm nhằm tiêu tan các xung đột nội tại, giải tỏa căng thẳng và lo lắng, giúp bạn nhận thức được về những điều cần làm để đạt được tự do và hạnh phúc
Đàm đạo về tính Không, tính Vô và tính Bất tuyệt với tư cách là cánh cửa dẫn tới sự giải thoát và cũng là ý nghĩa nguyên sơ của ""tương tức""
Đàm đạo về Dharma (Pháp) trong việc tu tập và chiêm nghiệm về năng lượng thay đổi cuộc sống của Chánh Niệm, sự tập trung và giác ngộ
Luyện tập việc chạm vào Phật tính trong bạn-- Cách nuôi dưỡng hạt giống bao dung và vị tha trong tâm hồn bạn
Xác định 5 bài tập Chánh Niệm như một phương thức khám phá nhân quả từ hành động của chúng ta
DĐàm đạo về việc vượt lên sự kì thị, nỗi sợ hãi, cơn giận dữ và những phiền não khác trong tâm--- nhập thể vào sự hiện diện của bạn- món quà tuyệt vời nhất bạn có thể trao cho thế gian.","Bất cứ ai muôn tiêu tan các xung đột nội tại, giải tỏa căng thẳng và lo lắng, nhận thức được về những điều cần làm để đạt được tự do và hạnh phúc
Bất cứ ai muốn có cơ hội học tập cùng thiền sư Thích NHất Hạnh và cộng đồng sư sãi và những người tu tập",,Giới thiệu,Văn bản
,,,,,,Phần 1: Sức mạnh của đạo Phật,,
,,,,,,,NHập môn về Sức mạnh của đạo Phật,Văn bản
,,,,,,,Kết nối với nỗi đau trong tâm bạn,11:08
,,,,,,,Niệm kinh Quán Thế Âm Bồ Tát,22:22
,,,,,,,Đưa Tâm trí nhập lại Thân thể,11:18
,,,,,,,"Chánh Niệm, Sự tập trung và Giác ngộ",9:47
,,,,,,Phần 2: Giác ngộ về sự kết hợp,,
,,,,,,,Nhập môn về Giác ngộ sự Kết hợp,Văn bản
,,,,,,,Hướng dẫn thiền tập,3:18
