name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng của khóa học này là ai?,Chương trình học,,
Trở thành một superlearner: Luyện đọc nhanh và trí nhớ tốt,Học nhanh hơn và hiệu quả hơn bằng cách khai thác kĩ năng của những ngưởi đọc nhanh nhất thế giới và những bộ lưu trữ dữ liệu,"Mới được lựa chọn trở thành lựa chọn số 1 của nhân viên của Ceo Udemy, Dennis Yang và cập nhật vào năm 2015, khóa học này sẽ dạy bạn cách để tăng tốc học tập, đọc và kĩ năng ghi nhớ, tạo động lực để học bất cứ thứ gì một cách nhanh hơn và hiêu quả hơn
Dù bạn là sinh viên, chuyên viên hay chỉ đơn giản là mới bắt đầu 1 sở thích, bạn bắt buộc phải vật lộn với từng tí thông tin và kiến thức. Trên thực tế, người ta cho rằng thông tin ở New York Times trong 1 tuần nhiều thông tin hơn cả của tất cả mọi người 100 năm trước trong cả cuộc đời họ. Chúng ta đều đã từng trả qua sự chán nản của việc số lượng tài liệu cần đọc cứ nhiều lên, vật lộn để học ngoại ngữ mới hay quên đi những điều đã học kể cả khi đó là những môn bạn đã từng yêu thích
Mọi người đều có thể nâng cao kĩ năng Super-Learning
Khóa học này nói về việc phát triển khả năng của bạn để học những kĩ năng mắc hay tiếp nhận các thông tin mới 1 cách nhanh chóng và hiệu quả. Chúng ra đi xa khỏi giới hạn của việc ""đọc nhanh"" (hay đọc chọn lọc) mà bạn có thể đã từng thử, đi sâu vào những yếu tố liên quan tới nhận thức và ý thức logic mà giúp cho việc học trở nên hiệu quả hơn. Chúng tôi cũng cung cấp cho bạn những kĩ năng nhớ nâng cao để xử lí với khối lượng thông tin khổng lồ mà bạn có thể xử lí
bạn sẽ được học cách tiếp nhận và lưu giữu thông tin bằng 1 cách hoàn toàn mới- nhanh hơn và tốt hơn
điều cốt lõi của khóa học  Superlearning bao gồm 3 ""siêu kĩ năng""
dđọc nhanh với độ hiểu và bao quát cao (80%)
kĩ thuật nhớ để lưu giữ và nhớ lại khối lượng thông tin lớn nhanh chóng và chính xác
phát triển cơ sở xử lí để hỗ trợ cho dòng thông tin mới này trong dài hạn
Tuy nhiên, các kĩ năng Superlearning trong khóa học này sẽ có thể được áp dụng trong rất nhiều những mặt khác trong cuộc sống của bạn, từ nhớ số điện thoại tới học những kĩ năng mới hay cả nói ngôn ngữ mới
Cách chúng tôi sẽ dạy bạn về Superlearning và kĩ thuật ghi nhớ nâng cao
Điều đáng buồn là để học các kĩ năng này cũng như những kĩ thuật ghi nhớ trong quá khứ, bạn phải đọc rất nhiều sách và bài báo về tâm lí học. Hay bạn phải thuê 1 gia sư đắt tiền, người mà chuyên về superlearning, điều mà chính tôi đã từng làm. Và điều đó đã thay đổi cuộc sống của tôi
Thật may mắn, những người hướng dẫn của tôi (các chuyên gia về superlearning, kĩ thuật ghi nhớ và đọc  tốc độ) đã đồng ý giúp tôi thay đổi các tài liệu của họ thành một khóa học trực tuyết đầu tiên
Chúng tôi thiết kế ra 1 khóa học dựa nhiều trên các bài giảng video và một lượng lớn bài tập về nhà. Các phần của bài giảng chỉ là phần nhỏ trong khóa học superlearning này- bạn sẽ phải thực hành rất nhiều bài tập và bài luận trên 1 khung chương trình thường xuyên. Khóa học cần 2-3 1 tuần để tiếng luyện tập ghi nhớ và đọc nhanh và đào tạo và kéo dài trong khoảng 4-6 tuần. Sẽ không dễ dàng nhưng nếu bạn áp dụng trong công việc, chắc rằng bạn sẽ thành công.
Thêm vào đó, có thêm 1.5 tiếng dành cho các video bổ sung từ TED, youtube và một số nguồn khác nằm trong 1 phần của khung chương trình
""superlearner là 1 trong những điểm sáng của Jonathan Levi","Học viên cần có khả năng đọc trôi chảy với ngôn ngữ của họ và tiếng Anh. Mặc dù những kĩ năng này có thể áp dụng được với bất kì ngôn ngữ nào, những tài liệu sẽ đều bằng tiếng Anh
Sẵn sàng phúc đẩy bản thân, phá bỏ thói quen cũ và khát khao thành công
Học viên bị khuyết tật: liện hệ với người hướng dẫn trước khi mua khóa học để chúng tôi có thẻm đảm bảo hiệu quả đối với bạn","Hơn 39 bài giảng và 2 tiếng nội dung
1.5 tiếng dành cho các video bổ sung
Bài tập, bài luận về nhà, trò chơi và tài liệu bổ sung thường xuyên
Cuối khóa, bạn sẽ có thể đọc nhanh ít nhất 3 lần những sinh viên bình thường và khả năng hiểu cao hơn mức trung bình
Bạn còn có thể học những kĩ năng mà dùng để chiến thắng giải World Championships in Memorization- những kĩ năng có thể dạy bạn ghi nhớ hàng nghìn thông tin theo thứ tự
Bạn sẽ học được cách để xử lí và tiếp thu thông tin một cách hiệu quả cao và áp dụng đẻ học bất cứ kĩ năng nào khác
Một hệ quả khác của khóa học là mang lại cho bạn công cụ để học tập bất cứ thứ gì nhanh hơn và hiệu quả hơn ","Tất cả những ai muốn học tập hiệu quả hơn
Những người thích học
Sinh viên
Các chuyên gia
Những người yêu thích và quan tâm",Phần 1: giới thiệu,,
,,,,,,,Về chúng tôi: Cái nhìn tổng quan về khóa học,4:44
,,,,,,,Chương trình học và tổng quan--mới được nâng cấp vào tháng 4 -2015,2:28
,,,,,,,Học cách Học,1:39
,,,,,,,Superlearner là gì?,2:29
,,,,,,,Tổng quát: bạn sẽ học gì,3:01
,,,,,,,Chúng ta đang đi chung hướng chứ?,5 câu hỏi
,,,,,,Phần 2: Cải thiện trí nhớ của bạn: Xây dựng cơ sở ban đầu dành cho Super-Learning,,
,,,,,,,Khả năng đọc nhanh và hiểu hiện tại của bạn đến đâu?,8 câu hỏi
,,,,,,,sự nhận thức sai - phần 1,5 câu hỏi
,,,,,,,tại sao chúng ta phải nâng cao khả năng ghi nhớ trước,2:41
,,,,,,,chúng ta lưu trữ thông tin như thế nào: giải thích ngắn gọn,2:40
,,,,,,,tại sao các hình ảnh là cách để ghi nhớ tốt nhất,4:10
,,,,,,,những hình ảnh nào đến với bạn tự nhiên nhất?,2:22
,,,,,,,lí thuyết hành động: học một điều mới,1:41
,,,,,,,chúng ta có hiểu cách để nâng cao khả năng ghi nhớ?,5 câu hỏi
,,,,,, Phần 3: Sử dụng Mental Markers cho việc học,,
,,,,,,,sự nhận thức sai - phần 2,3 câu hỏi
,,,,,,,tranh ảnh có tác động gì tới đọc?,3:04
,,,,,,,tạo ra sự nổi bật để ghi nhớ tốt hơn,5:59
,,,,,,,hướng dẫn: tạo ra sự nổi bật khi đọc,6:30
,,,,,,,kết nỗi những điểm nổi bật,7:33
,,,,,,,thử áp dụng các kĩ năng của bạn,1:35
,,,,,,,chúng ta hiểu về những điểm nổi bật tới đâu?,4 câu hỏi
,,,,,,Phần 4: Trước khi đọc và sự chuẩn bị,,
,,,,,,,sự nhận thức sai phần 3,4 câu hỏi
,,,,,,,trước khi đọc,2:32
,,,,,,,tạo sự hứng thú và tò mò,3:25
,,,,,,,chúng ta đã rõ về những điều cần làm trước khi đọc?,3 câu hỏi
,,,,,,"Phần 5: Đọc bằng mắt, không tạo ra Âm thanh",,
,,,,,,,đọc nhanh và bài kiểm tra về đọc hiểu - phần 2,8 câu hỏi
,,,,,,,sự nhận thức sai phần 4,5 câu hỏi
,,,,,,,phần lớn mọi người đọc như thế nào:  một cách đọc,2:56
,,,,,,,sự đảo mắt: sử dụng mắt hiệu quả nhất có thể,4:02
