Name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Nhân ba các cuộc phỏng vấn xin việc của bạn - Bí mật lớn về phỏng vấn xin việc của tôi,"Vào 2015, có từ 3 - 6 cuộc phỏng vấn trong một tuần sẽ khá dễ dàng nếu bạn sự dụng Linkedln để vượt qua ban tuyển dụng và nộp đơn trực tiếp cho quản lý tuyển dụng","Khóa học được cập nhật đầy đủ vào 6/3/2015
Năm 2015, có việc chưa bao giờ lại dễ dàng hơn thế, và tôi ở đây để chỉ cho các bạn làm thế nào để có được từ 3 tới 6  cuộc phỏng vấn trong một tuần
Hầu hết mọi người tìm kiếm việc làm bằng cách nộp đơn qua mạng - cách tệ nhất có thể để kiếm tìm một công việc. Nhưng đó là tất cả những gì mọi người biết bởi vì đơn giản là chúng ra không bao giờ được dạy những tay săn việc hàng đầu tìm kiếm việc làm như thế nào.
Sau khi tôi tốt nghiệp đại học , tôi không thể tin được rằng kiếm việc lại khó khăn đến như thế. Tôi dành hàng giờ đồng hồ mỗi ngày để nộp đơn xin việc, viết mail, chỉnh thư giới thiệu và chả có mấy kết quả
Nhưng sau khi một người quen nói với tôi một điều tuyệt vời "" người tìm được những công việc tốt nhất không nhất thiết là người thông minh nhất, có bằng cấp tốt nhất, học là những người biết săn việc như thế nào thì có kết quả tốt nhất"" Họ đã đúng, và câu nói đó đã hoàn toàn thay đổi cuộc đời tôi
Tôi dành nhiều năm trong mảng tuyển dụng và nhân sự, làm việc với những trợ giảng nghề nghiệp, đọc tất cả những cuốn sách nổi tiếng về tìm kiếm việc làm và nghiên cứu mọi thứ tôi có trong tay. Tôi phát triển một vài chiến lược tìm việc độc đáo tuyệt vời và chúng hoạt động khá tốt, nhưng một chiến lược đặc biệt có kết quả bất ngờ. Hầu hết học viên từng làm việc với tôi, dù có nền tảng như thế nào đi chăng nữa, đều có thể thực hiện 3- 6 cuộc phỏng vấn trong vòng 72 giờ nếu như họ làm theo các bước trong chiến lược này.
Toàn bộ khóa học này về chiến lược tìm kiếm việc làm có những kết quả đáng kinh ngạc
Nó liên quan đến việc vượt qua vòng sơ loại, tạo ra ấn tượng mạnh mẽ đầu tiên bằng việc sử dụng các thiết bị số đa dạng và nộp đơn trực tiếp tới người chịu trách nhiệm tuyển dụng
Bạn sẽ được tham gia 3 - 6 cuộc phỏng vấn một tuần sau khi bạn tham gia khóa học này, đơn giản là bạn sẽ không thể thất bại vì nó thực sự rất đơn giản và hiệu quả. Để đảm bảo sự thành công của bạn, tôi ở đây vì bạn, bạn không phải thực hiện nó một mình. Mua khóa học này và tôi sẽ đưa bạn số điện thoại của tôi để bạn có thể gọi nói chuyện với tôi bất cứ lúc nào. Bạn cũng có thể gửi email cho tôi và tôi sẽ trả lời mail của bạn trong vòng 24 tiếng hoặc chúng ta có thể thiết lập một ứng dụng gọi video qua Google
Tôi dành ra 30 tiếng một tuần để trả lời email và nói chuyện điện thoại với học sinh của mình. Tôi giúp đỡ mọi người cùng với kiến thức chuyên môn của mình và tạo ra khác biệt. Tôi yêu thích những gì tôi làm và tôi sẽ làm mọi thứ có thể, tôi trao cho các bạn mọi thứ tôi có để đảm bảo các bạn sẽ thành công 
Chúc bạn có một ngày tuyệt vời",Học viên cần phải có tình thần sẵn sàng học hỏi và cảm thấy thoải mái khi sử dụng Linkedln,"Có 3 - 6 cuộc phỏng vấn mỗi tuần cùng với sự thoải mái và tự tin
Và một cuộc phỏng vấn ở bất cứ công ty nào bạn muốn, bất cứ công ty nào","Khóa học này dành cho bất cứ ai đang tìm kiếm một công việc
khóa học này dành cho bất cứ ai đang gặp khó khăn với việc có được 3-6 cuộc phỏng vấn trên tuần","Phần 1: Làm thế nào để có một bản sơ yếu lý lịch đẹp, gây được sự chú ý",,
,,,,,,,Làm sao để theo dõi được những video với chất lượng tốt nhất,Văn bản
,,,,,,,"Chào đón bạn đến với khóa học, đây là những gì chúng ta sẽ học",2:29
,,,,,,,Sơ yếu lý lịch nghiệp dư,0:54
,,,,,,,Sơ yếu lý lịch cơ bản thông thường,0:38
,,,,,,,Sơ yếu lý lịch chuyên nghiệp,2:42
,,,,,,,Cách làm dễ đến kinh ngạc để có một bản sơ yếu lý lịch chuyên nghiệp,Văn bản
,,,,,,,Những vấn đề và các nguồn thay thế để có một bản sơ yếu lý lịch chuyên nghiệp,2:58
,,,,,,,Một số các nguồn tham khảo hỗ trợ bạn,Văn bản
,,,,,,Phần 2: Làm một hồ sơ Linkedln ấn tượng tạo sự ấn tượng đầu tiên mạnh mẽ ,,
