Name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Sức mạnh của việc dễ bị tổn thương - Brene Brown,"Brené Brown giảng dạy về kết nối con người - khả năng của chúng ta đối với việc đồng cảm, hành động một cách chân thực,sự thuộc về, tình yêu và thậm chỉ cả sự tủi nhục","Xuất hiện và để bạn được nhận thấy.
Dễ bị tổn thương có giống với yếu đuối không? Tiến sĩ Brene Brown nói "" Theo văn hóa của chúng ta, chúng ta kết hợp sự dễ tổn thương với những cảm xúc chúng ta muốn tránh như sợ hãi, tủi hổ, và không kiên định. Nhưng chúng ta cũng thường quên mất sự thật rắng việc dễ bị tổn thương cũng là nơi mà niềm vui, cảm giác thuộc về, sự sáng tạo, tính thiết thực và tình yêu xuất hiện"" . Bài giảng ""Sức mạnh của việc dễ tổn thương "" của Brene Brown đưa ra một lời mời và một lời hứa- Rằng khi chúng ta dám thoát ra khỏi cái vỏ bọc bảo vệ chúng ta khỏi sự tổn thương, chúng ta sẽ mở rộng tâm hồn để trải nghiệm những điều sẽ mang lại mục đích và ý nghĩa tới cuộc đời chúng ta. Trong video này, tìm hiểu khóa học, tiến sĩ Brown xua tan đi quan niệm hoang đường rằng dễ tổn thương là điểm yếu và bật mí rằng nó thật ra là thước đo chính xác nhất về lòng dũng cảm của chúng ta.
""Khóa học ""sức mạnh của sự tổn thương cùng với Brené Brown"" là một dự án cá nhân đối với tôi"" Brene Brown giải thích.""Nó là nơi đầu tiên tổng hợp mà nghiên cứu của tôi thành hình. Khóa học trực tuyến này xuất phát từ ba cuốn sách của tôi- nó là đỉnh cao của những gì tôi đã học trong hơn 12 năm qua. Tôi rất vui mừng tổng hợp tất cả vào trong một bài giảng để chỉ cho cách bạn thấy rằng những phát hiện và hiểu biết có ý nghĩa thế nào trong cuộc đời của chúng ta
Hơn 12 năm qua, tiến sĩ Brene Brown đã phỏng vấn hàng trăm người trong nghiên cứu về sự tổn thương. Cô nói ""Nghiên cứu chỉ ra rằng, chúng ta cố gắng để tránh sự thất vọng bởi một cái khiên của sự hoài nghi, xấu hổ và sự tê liệt bản thân để chống lại niềm vui và trốn tránh nỗi đau bởi việc không sẵn sàng yêu thương."" Khi chúng ta nhận thức về những vấn đề này, chúng ta bắt đầu trở nên có ý thức về việc chúng ta đã hy sinh nhiều như thế nào khi tiếp tục tìm cách tự vệ - và cuộc sống của chúng ta sẽ phong phú hơn biết bao nếu chúng ta để bản thân mình chấp nhận những thương tổn
Tiến sĩ Brown nói "" Trong nghiên cứu của tôi, ngôn từ tôi sử dụng để miêu tả những người có thể sống ở một nơi đầy những tổn thương là "" những người tâm huyết""""  Trở nên tâm huyết là một bài thực hành mà chúng ta có thể chọn lựa để tu dưỡng dựa vào sự nhiệt tình,lòng biết ơn, và sự nhận thức của chúng ta về sự tổn thương. Hãy tham gia với bà khi bà mang đến những điểm nhìn sâu sắc về cách kết nối với đủ khía cạnh của cảm xúc - từ đó, chúng ta có thể để bản thân mình được nhìn thấy một cách chân thực nhất.","Không cần những kiến thức sẵn có từ trước
Chỉ cần có web hoặc các nền tảng di động, không cần thêm tài liệu nào 
Bạn có thể tải về các câu hỏi bài tập trong phần tài liệu bổ sung.","Hơn 7 giờ học bằng video - Tiến sĩ Brown đưa ra sáu chương, với mỗi chương dài một tiếng (được cắt ra thành những bài giảng ngắn hơn) về kiến thức cốt lõi và bài thực hành để vượt qua nỗi sợ hãi trong việc trở nên dễ bị tổn thương và sống một cuộc đời nhiệt thành. Ngoài ra, khóa học đưa thêm 2 phần hỏi và đáp với Tiến sĩ Brown, ghi âm với những người tham gia khóa học trực tuyến.
Các bài hướng dẫn -Tiến sĩ Brown mang đến cho bạn những câu hỏi mấu chốt cho việc phản ánh sâu hơn để giúp bạn khám phá, khơi dậy, và phát triển sự nhạy cảm với những cảm xúc xung quanh
Tất cả những tài liệu có thể tải được của khóa học - Toàn bộ khóa học là của bạn. Bạn có thể tùy ý giữ và sử dụng ",Bất cứ ai quan tâm tới việc tìm hiểu nhiều hơn về việc dễ bị tổn thương và làm thế nào để sống tận tâm,,Lời mở đầu,Văn bản
,,,,,,Phần 1: Tại sao chúng ta lại loay hoay,,
,,,,,,,"Việc ""phải làm gì"" không có ý nghĩa gì
Xem trước",14:27
,,,,,,,Ba thành tố trong văn hóa của sự khan hiếm và ràng buộc,9:25
,,,,,,,Yêu và được yêu là nhu cầu tối thiểu,10:21
,,,,,,,Rào cản cơ bản của sự gần gũi.,5:57
,,,,,,,Tin rằng bạn xứng đáng yêu và được yêu.,8:59
,,,,,,,Chấp nhận việc dễ bị tổn thương.,18:58
,,,,,,Phần 2: Những điều gây nên sự xấu hổ,,
,,,,,,,Nỗi sợ hãi giả tưởng,10:20
