,,,,,,,,
Đào tạo Agile Scrum và chứng chỉ scrum,"Tổng quan về quản lý dự án Scrum Agile, những câu hỏi phổ biến và các mẹo để vượt qua Scrum/ Chứng chỉ thành thạo Scrum online","Khóa học Scrum thành công và toàn diện nhất với sự tham gia của hàng ngàn học sinh 
Khóa học đào tạo scrum và cấp chứng chỉ scrum tiết kiệm cho bạn đến hàng trăm nếu không phải hàng ngàn đô la.

3 lý do để đăng ký khóa học ngay lập tức!
Những lý do nổi bật/khác biệt của khóa học này:
Tổng quan đầy đủ, ngắn gọn và đáng tin cậy về Scrum. Tổng quan Scrum - Bạn sẽ tự tin rằng bạn đã học Scrum như những người sáng lập dự định bởi tôi chỉ dạy chính xác từ giáo trình quy tắc của Scrum
Tự tin hoàn thành Chứng chỉ Scrum - Tôi dạy cho bạn mọi thứ bạn cần để đạt được sự tự tin trong các kỳ thi và sau đó hướng dẫn bạn làm cách nào để có được chứng nhận trực tuyến mà không đi đến một lớp học hoặc bỏ ra $ 1000. Tôi gửi cho bạn BẢN ĐÁNH GIÁ MỞ SCRUM, do đó bạn có thể thực hành trước khi đưa ra xác nhận cuối cùng.
Bạn có thể hỏi tôi những câu hỏi và xem cách tôi trả lời từng câu hỏi đó một cách chu đáo!
Bao gồm bài tường thuật từ Ted R.Brown
Scrum là gì?
Agile Scrum là một phương pháp đơn giản để quản lý và hoàn thành ngay cả những dự án phức tạp nhất. Dựa trên kinh nghiệm của tôi, nó cũng là lý do số một tại sao các dự án được giao/hoàn thành đúng thời hạn!
Ai nên đăng ký khóa học này?
Cho dù bạn là người thành thạo scrum, chủ sở hữu sản phẩm, thành viên nhóm nghiên cứu, cổ đông doanh nghiệp hay đơn giản là một người muốn hiểu những gì tạo nên scrum giây lát. Đây chính là nơi để bắt đầu. Nếu bạn đang chuẩn bị cho một chứng chỉ thành thạo scrum hoặc chứng chỉ scrum khác, khóa học này là dành cho bạn.
Tôi sẽ học gì?
Trong khóa học này này, bạn sẽ học:
Tổng quan ngắn gọn về Scrum - Các sự kiện chính xác, vai trò, quy tắc và các đồ tạo tác được sử dụng để cung cấp một dự án sử dụng scrum cùng với lịch sử của Scrum. Điều này bao gồm các bài giảng về các nguyên tắc cơ bản của Kế hoạch Sprint, The Daily Scrum, Sprint Review, Sprint Retrospective, Scrum Chiếm làng và nhiều hơn nữa.
Các sự kiện dựa trên Hướng dẫn Scrum - Các thuật ngữ chính xác và sử dụng Scrum là điều cần thiết để thành thạo nó. Scrum Guide là cuốn sách quy tắc về Scrum và nhiều người không sử dụng nó hay biết điều đó.
Sự chuẩn bị chứng chỉ Scrum - Một bản tóm tắt các câu hỏi thường gặp (FAQs) và các ý thường xuyên bị hiểu lầm xung quanh Scrum xảy ra  trong kỳ thi vừa qua đánh giá mở.
Chứng chỉ Scrum - Sau đó tôi sẽ nói với bạn làm thé nào để chuân bị cho chứng chỉ Scrum và làm thế nào học online tiết kiệm đến hàng trăm nếu không phải hàng ngàn đô la.
Khóa học này dựa trên video và không cần tài liệu hỗ trợ cần thiết. Tôi sẽ đi qua từng chìa khóa gotchas từ cuốn hướng dẫn scrum
Khóa học này được cấu trúc như thế nào?
Mỗi phần có một cái nhìn tổng quan về một khía cạnh cụ thể của Scrum như Scrum Vai trò, Sự kiện, hoặc món vật tạo tác, tiếp theo là một bản tóm tắt của các điểm thi chính và những hiểu lầm thường gặp trong ngành công nghiệp. Tất cả được dựa trên hướng dẫn scrum để bạn biết rằng bạn đang học thực tiễn

Lấy cảm hứng từ Thiên Chúa, Kinh Thánh, Ken Schwaber, Jeff Sutherland",Không có yêu cầu trước cho khóa học này. Tôi giải thích mọi thứ từ nền tảng cơ bản nhất.,"Hơn 30 giảng viên với 3 giờ nội dung!
Tìm hiểu scrum là gì và tại sao nó ó ảnh hưởng mạnh đến việc thực hiện các dự án, ngay cả những dự án phức tạp nhất đúng hạn
Cảm thấy tự tin khi học đánh giá thử scrum trước khi học chứng chỉ scrum
Học cách lấy chứng chỉ SCrum mà không cần phải trả hàng ngàn đô la
Giải thích Scrum thực hành là gì
Hiểu được kỹ thuật để thực hiện dự án đúng hạn
Giải thích sự khác biệt giữa Agile và Scrum
Giải thích Mô hình Waterfall là gì và tại sao nó kém linh hoạt hơn Agile
Hiểu Agile và sự khác biệt giữa Agile và Scrum
Giải thích sự khác biệt giữa vai trò, sự kiện, đồ tạo tác
Hiểu được cái gì đã được cập nhật trong bản hướng dẫn Scrum 2013","Bất kỳ ai muốn có một cái nhìn toàn diện về Scrum và chắc chắn rằng họ hiểu về thực tiễn
Thí sinh chuẩn bị cho chứng chỉ Scrum
Thí sinh muốn có câu trả lời cho những câu hỏi thường xuyên bị hiểu lầm với Scrum
Thí sinh chuyên nghiệp muốn làm mới scrum ngắn gọn và nhanh chóng",Phần 1: Giới thiệu,,
,,,,,,,Chào mừng đến với Scrum Power - Nền tảng Scrum và sự chuẩn bị chứng chỉ,2:00
,,,,,,,Cài đặt: Cài đặt Scrum,16 trang 
,,,,,,Phần 2: Thế giới trước khi có Agile và Scrum,,
,,,,,,,Mục tiêu khóa học: Thế giới trước khi có Agile và Scrum,0:20
,,,,,,,Mô hình Waterfall,4:55
,,,,,,,Sự ra đời của Agile,3:08
,,,,,,Phần 3: Giới thiệu Scrum,,
,,,,,,,Mục tiêu khóa học: Giới thiệu scrum,0:20
,,,,,,,Lý thuyết và khung chương trình Scrum,4:41
