Name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Những bí mật về hội họa,Một khóa học video và ebook toàn diện được thiết kế cho những người muốn tìm hiểu các khái niệm cốt lõi của hội họa,"Vẽ tranh là một kỹ năng có thể học và phát triển và video khóa học này được thiết kế để cung cấp cho bạn những kiến thức bạn cần để vẽ tốt hơn. Bất cứ ai cũng có thể tìm hiểu làm thế nào để vẽ tranh. Mỗi sự xuất hiện của bản vẽ được chia thành 2 kiểu, đó là ""dễ làm theo"" và ""dễ hiểu"" phân đoạn đầy đủ với sự giải thích và bình luận. Tất cả các bài học được trình bày với độ nét cao! Có tổng cộng 28 HD video với hơn 500 phút giảng dạy mỹ thuật. Khóa học bao gồm 26 ebooks kết hợp với 178 trang với 498 hình ảnh minh họa màu.
Khóa học bao gồm ...
Video 1 - lời mở đầu - mở đầu "" Bí mật về hội họa"" với hàng loạt video
Video 2 - ""Đường nét"" - Một cái nhìn về các yếu tố nghệ thuật, đường nét liên quan đến mĩ thuật. Ý tưởng bao trùm đường viền, chất lượng đường viền 
Video 3 - "" Hình dạng"" - Một cách nhìn vào hình dạng có thể được sử dụng để vẽ bất cứ điều gì. Ý tưởng bao trùm các hình dạng hình học và có kết cấu, sử dụng hình dạng để vẽ các đối tượng.
Video 4 - ""Mẫu"" -. Tìm hiểu cách để hình dung được mẫu trên không gian 2 chiều. Ý tưởng bao trùm biến các hình khối thành các hình thức, sử dụng bóng để phát triển ảo ảnh. 
Video 5 - ""Giá trị""- Video này đưa đến cái nhìn về yếu tố nghệ thuật và các giá trị liên quan đến mỹ thuật. Ý tưởng bao trùm sắc thái màu, sắc thái, nổi bật và bóng tối, và tạo ra những ảo ảnh của một nguồn sáng.
Video 6 - "" Không gian"" - Video này đưa đến cái nhìn về làm cách nào để hình dung về không gian tại diện tích bề mặt. Ý tưởng bao trùm sự chồng chéo, kích thước, giá trị / màu sắc, chi tiết, vị trí trên giấy, và đường nét toàn cảnh
Video 7 - "" một điểm nhìn"" - không gian được khám phá sâu hơn trong video này thông qua điểm nhìn. Ý tưởng bao trùm đường chân trời, điểm biến mất, điểm nhìn
Video 8 - "" 2 điểm nhìn"" - Cái nhìn về làm cách nào sử dụng được 2 điểm nhìn để tạo ra ảo ảnh của không gian khi vẽ nên. Ý tưởng bao trùm đường chân trời, điểm biến mất và 2 điểm nhìn
Video 9 - "" 3 điểm nhìn"" - Cái nhìn về làm cách nào sử dụng được 3 điểm nhìn để tạo ra ảo ảnh của không gian khi vẽ nên. Ý tưởng bao trùm đường chân trời, điểm biến mất và 2 điểm nhìn
Video 10 - ""Vẽ kĩ thuật""- cái nhìn cơ bản về vẽ kĩ thuật và gợi ý về phương tiện truyền thông. Ý tương bao gồm phương tiện truyền đạt, đường gạch bóng, blenđơ, bản dịch, dòng ngẫu nhiên, cách vẽ bằng dấu chấm
Video 11-"" vẽ từ cuộc sống"" - lời khuyên về việc vẽ từ cuộc sống. Ý tưởng bao gồm ánh sáng cuộc sống, sử dụng tầm nhìn và sighting techniques
Video 12- "" vẽ từ ảnh"" - lời khuyên về việc vẽ từ ảnh. Ý tưởng bao gồm cắt ảnh, chỉnh sửa ảnh, tạo ra các đường kẻ ô, vẽ nên nhờ sự tương trợ của các đường kẻ ô
Video 13 - ""Thành phần"" -. Làm thế nào để tạo ra tác phẩm thành công trong bản vẽ. Ý tưởng bao gồm các hình thu nhỏ bức phác họa, không gian tích cực và tiêu cực, Plato's rule, The Rule of Thirds, The Golden Mean, mắt chuyển động, và làm thế nào để tạo điểm nhấn.
Video 14 - ""Than chì"" - mô tả và đặc điểm và tính chất của vật liệu than chì. Các khái niệm được giải thích bao gồm lớp than chì, đặc điểm, hình thức, và kỹ thuật..
Video 15: Than chì - Tìm hiểu về vật liệu than. Bao gồm các khái niệm về các loại than chì và cách sử dụng.
Video 16 - ""Vẽ bằng mực."" - Một thăm dò của vẽ chung với mực. Ý tưởng bao gồm rửa mực in, chọn mực, bút và mực in ứng dụng đúng với một cây bút ngòi.
Video 17 - ""Màu"" - Một cái nhìn ba phần của lý thuyết màu sắc và nó ảnh hưởng đến sự lựa chọn màu sắc trong bản vẽ của chúng tôi. Ý tưởng bao gồm: bánh xe màu, tiểu học, đại học, các giá trị màu sắc, cường độ màu sắc, hiệu ứng tâm lý học của màu sắc , chủ đề màu đơn sắc, bổ sung, Tam hoàng màu, màu sắc, tương tự, ấm áp, mát mẻ, chia bổ sung.
Video 18-""Bút chì màu"" - làm thế nào để sử dụng bút chì màu. Các khái niệm được giới thiệu gồm: kẻ đường viền , pha trộn, xây dựng màu sắc, đánh bóng, và thêm chi tiết.
Video 19 - ""Sơn dầu."" - Khám phá về chất liệu vẽ tranh sơn dầu. Các khái niệm được giới thiệu bao gồm việc kẻ đường viền, trộn, và phong cảnh vẽ bằng sơn dầu.
Video 20 - ""Soft pastels"" - Một cái nhìn sâu sắc về việc sử dụng phấn màu mềm mại trong việc tạo ra viễn cảnh biển bao phủ bao gồm việc sử dụng đúng phấn màu mềm bao gồm sự nhòe cảnh và đường viền màu 
Video 21 - ""Tỷ lệ mặt."" - Tìm hiểu về tỷ lệ khuôn mặt cơ bản từ góc nhìn trực diện và cá nhân. Ý tưởng bao trùm các đặc điểm chung của khuôn mặt và các mối quan hệ 
Video 22 -"" Đôi mắt""- Một cái nhìn sâu sắc về cách vẽ con mắt của con người.
Video 23 - "" Mũi và miệng"" -Cái nhìn về việc vẽ mũi và miệng
Video 24 - "" Tai"" - Cái nhìn về việc vẽ tai người với gra- phít
Video 25 - "" Tóc""- Cái nhìn về việc vẽ tóc với gra-phít
Video 26 - ""vẽ chân dung cơ bản"" - vẽ chân dung cơ bản bao gồm 4 bước lý thuyết vẽ
Video 27-""Rút gọn"" - vẽ hình trong bối cảnh
Video 28 - ""Kết luận"" - Cái nhìn toàn thể về khóa học và kế hoạch phát triển ",Không ưu tiên đã có kiến thức,"Hơn 28 bài giảng và 5,5 giờ giảng dạy!
Đến cuối khóa học này, học sinh sẽ có một sự hiểu biết sâu rộng về các khái niệm cốt lõi của việc vẽ tranh bao gồm cả vật liệu, quy trình, và các thiết bị.",Khóa học này được thiết kế cho những ai muốn nâng cao kỹ năng vẽ của bản thân,Bài 1 : Mở đầu,,
,,,,,,,Mở đầu                                                                                                                                       ,5:02
,,,,,,Bài 2: Các yếu tố nghệ thuật - phần 1,,
,,,,,,,Đường,14:25
,,,,,,,Bóng ,8:19
,,,,,,,Hình dạng,12:50
,,,,,,,Giá trị,11:59
,,,,,,,Không gian,6:13
,,,,,,Bài 3 :Phối cảnh tuyến tính,,
,,,,,,,Luật phối cảnh một điểm,12:57
,,,,,,,Luật phối cảnh hai điểm,12:13
