Name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Trát tường một cách chuyên nghiệp,Hãy để cố vấn cải thiện nhà Steve Maxwell cho bạn thấy làm thế nào để hoàn thành việc sửa chữa vách thạch cao đơn giản trước khi sơn.,"Vá vách thạch cao và che tường là nền tảng cần thiết cho bất kỳ công việc sơn nội thất nào, và tự mình làm điều này là một cách tuyệt vời để tiết kiệm tiền. Cựu huấn luyện cải thiện nhà Steve Maxwell sẽ cho bạn thấy làm thế nào để thành công dễ dàng.
Kỹ năng vá và chuẩn bị tường không chỉ cho những người làm công việc sơn của riêng mình. Bạn có kế hoạch để thuê một thợ sơn chuyên nghiệp?Chuẩn bị tường đúng trước tiên vẫn là điều nên làm vì nó giúp tiết kiệm thời gian và rắc rối, đồng nghĩa với việc tiết kiệm tiền.
Chuẩn bị sơn tưởng là một trong những bước khiến bạn bực bội nếu như không biết được các mẹo., nhưng dễ dàng khi bạn hiểu những điều cơ bản. Đó là đích mà khóa học này hướng đến. Steve cho bạn thấy chính xác làm thế nào để đạt được kết quả cấp chuyên nghiệp với wallprep và lớp chắn, thậm chí là bạn chưa từng thực hiện nó trước đây.
Sau khi tham gia khóa học của Steve bạn sẽ biết làm thế nào để:
Chọn những công cụ cần thiết cho bộ kit vá tường của bạn.
Vá những lỗ khoan và đinh vít phiền phức trong ba bước nhanh chóng
Sửa lại những vách thạch cao hay đinh ốc bị bung ra ít nhất cũng tốt như những thợ trát tường chuyên nghiệp.
Thông hiểu về hỗn hợp hỗn hợp thạch cao, Spackle và các hợp chất trong tường .
Vá lỗ chỉ  vớihai công cụ cầm tay, hợp chất Spackle và một miếng bọt chà nhám
Sửa chữa các khu vực bị thiệt hại lớn hơn bằng cách sử dụng dải gỗ như một công cụ hỗ trợ.
Áp dụng bước tinh chỉnh quan trọng cho các khu vực vá trước khi sơn lại
Chọn băng chắn thích hợp cho mỗi ứng dụng khác nhau
Áp dụng các dải băng, do đó bạn có thể có được kết quả sơn siêu sắc nét giống như một thợ chuyên nghiêpj
Sử dụng băng dán để trát xung quanh bồn tắm, cửa sổ một cách gọn gàng. - bất cứ nơi nào",Điều duy nhất bạn cần để bắt đầu là sẵn sàng để trở thành một chủ nhà tự lập.,"Hơn 10 bài giảng và 38 phút lý thuyết!
Chọn công cụ cần thiết cho một bộ kit vá tường.
Vá những lỗ đinh khoan phiền phức trong ba bước nhanh chóng
Sửa lại những vách thạch cao hay đinh ốc bị bung ra ít nhất cũng tốt như những thợ trát tường chuyên nghiệp.
Thông hiểu về hỗn hợp vách thạch cao, vách spackle và các hợp chất trong tường .
Vá lỗ chỉ vớihai công cụ cầm tay, hợp chất spackle và một miếng bọt chà nhám
Sửa chữa các khu vực bị thiệt hại lớn hơn bằng cách sử dụng thanh gỗ như một công cụ hỗ trợ
Áp dụng các bước tinh chỉnh nghiêm ngặt để tát những khu vực đã được sơn trước đó.
Chọn băng mặt nạ thích hợp cho các ứng dụng khác nhau
Áp dụng bước tinh chỉnh quan trọng cho các khu vực vá trước khi sơn lại để đạt được thành quả chuyên nghiệm.
Sử dụng băng chắn trong khi hàn để đảm bảo kết quả hoàn toàn sắc nét xung quanh bồn tắm, cửa sổ, cửa ra vào và bất cứ nơi nào khác","Khóa học này dành cho những ai muốn sửa chữa những lỗ đinh, vít và những lỗ lớn trong vách thạch cao.",Phần 1: Bắt đầu,,
,,,,,,,Giới thiệu,2:46
,,,,,,Phần 2: Lắp ráp bộ công cụ trát thạch cao của bạn,,
,,,,,,,Lắp ráp bộ công cụ trát vách thạch cao của bạn,5:21
,,,,,,,Kiểm tra kiến thức về bộ công cụ trát vách thạch cao,4 questions
,,,,,,Phần 3: Vá vách thạch cao,,
,,,,,,,Vá những lỗ đinh cũ trong vách thạch cao,6:35
,,,,,,,Vá những lỗ vít trong vách thạch cao,5:15
,,,,,,,Vá những lỗ to cỡ hạt dẻ,4:46
,,,,,,,Vá những lỗ to hơn cỡ hạt dẻ,3:36
,,,,,,,Kiểm tra kiến ​​thức sửa chữa tường của bạn,5 questions
,,,,,,"Phần 4: Sơn điểm, tấm chắn và mẹo bít lỗ 1 cách gọn gang",,
,,,,,,,Sơn lại các vùng được vá,2:47
,,,,,,,Trước khi sơn lại tấm chắn,5:07
,,,,,,,Che chắn gọn gàng với băng dán,1:33
,,,,,,,Kiểm tra kiến thức sơn các điểm và che chắn,4 questions
,,,,,,Phần 5: Một vài Mẹo cuối cùng,,
,,,,,,,Một vài Mẹo cuối cùng,0:46
