Name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Chiến thuật Poker cần thiết để chơi Holdem không giới hạn số tiền cược (No Limit Holdem),Những chiến thuật cơ bản và dễ dàng học được trong No Limit Hold'em mà bạn cần biết.,"Phản hồi sinh viên 
Một khóa học xuất sắc, phương pháp dạy tuyệt vời ""Đối với những ai không biết về chiến thuật của trò Poker, nó đơn giản chỉ giống như bạn  đang dự đoán những gì bạn sắp làm. Tôi thường tự hỏi có bao nhiêu cách tính toán có liên quan đến Poker nhưng chưa bao giờ bận tâm đến việc tìm hiểu sâu về nó. Khi tôi nhìn thấy khóa học này tôi lập tức nghĩ rằng đó là một điều tất yếu vì tôi đã từng là một trong những người chơi Poker theo cách phỏng đoán. Sau khi đã xem rất nhiều poker trên nhiều kênh truyền hình ở Anh Một số trong số họ đã nói rằng, ""bạn không cần phải biết nhiều về toán để chơi ổn."" Vì vậy, tôi đã xem một vài tập từ chương tình đó, trong đó bao gồm các kiến thức thô nhưng giờ đây, khi xem khóa học này tôi nhận ra rằng tôi thậm chí có thể chơi với cả hai tay bị trói sau lưng. Bây giờ tôi đang nóng lòng muốn làm nhiều hơn nữa ở các khóa học của Altons và sau đó có thể nhận được một số tiền học phí từ anh ấy trong tương lai rất gần. Quả là một khóa học hàng đầu, Alton! ""- Keith
TÍNH TOÁN TRONG POKER RẤT DỄ HỌC
Biết cách tính toán trong Poker là một khía cạnh tối quan trọng đối với No Limit Hold'em, nhưng nó thường bị bỏ qua hoặc chỉ đơn giản là không được sử dụng vì nhiều người chơi Poker sợ nó quá khó để học. Tôi ở đây để cho các bạn biết nó không như thế. Trong thực tế, tính toán cơ bản trong Poker rất dễ hiểu. Quan trọng hơn, nó có thể mang lại nhiều lợi nhuận cho bạn tại bàn poker. Nếu không sử dụng phép toán đơn giản tại bàn poker, bạn chỉ đơn thuần đang chơi một trò chơi phỏng đoán.
Sử dụng những phép toán cơ bản tại bàn chơi Poker và tăng khả năng thắng cuộc
Trong khóa học này, tôi sẽ dạy bạn làm thế nào để sử dụng số học đơn giản tại bàn poker để đạt được một lợi thế kĩ năng lớn so với các đối thủ của bạn, điều sẽ cho phép bạn giành chiến thắng nhiều hơn và mất ít hơn. Người chơi poker mà không sử dụng toán học đơn giản chỉ là đang đoán và bạn sẽ tìm hiểu về cách để không đơn thuần chỉ là đoán nữa và còn biết thực hiện một bước đi đầy tính toán học ngay tại bàn poker. Những khái niệm toán học đơn giản mà tôi sẽ dạy cho bạn sẽ giúp bạn cải thiện đáng kể trò chơi poker của bạn và cho phép bạn thực hiện các quyết định mang lại nhiều lợi nhuận nhất tại poker.
Các nội dung và tổng quan
Trước tiên, bạn sẽ được giới thiệu một số khái niệm cơ bản bao quát về Poker được áp dụng cho chiến thuật trong Poker. Sau đó, chúng ta sẽ bắt đầu cuộc hành trình với tính toán trong Poker, nơi bạn sẽ tìm hiểu về xác suất và tỷ lệ (probabilities and odds), tỷ lệ giữa số tiền có thể thắng và chi phí (pot odds) và tỷ lệ giữa khả năng thắng và số tiền bỏ ra để theo bài (implied odds), khả năng thắng tính được trong từng vòng (pot equity), và giá trị mong đợi (expected value). Sau đó, bạn sẽ tìm hiểu làm thế nào để nhanh chóng ước tính khả năng thắng của bạn tại bàn poker bằng cách sử dụng quy tắc 2 & 4. Hơn nữa, bạn sẽ tìm hiểu xem việc theo (call) ván bài đó (drawing hand) là lợi nhuận hay không. Chúng tôi cũng sẽ hướng dẫn làm thế nào để cược số tiền để được ván bài tốt nhất và dạy bạn sử dụng đánh lừa và theo khi nghĩ đối thủ đang lừa mình (hero calls) để sinh lợi. Cuối cùng, chúng tôi sẽ cho bạn thấy làm thế nào để thực hiện tính toán EV và hiểu rõ hơn về kết hợp thẻ bài.
Hiểu biết sâu và tối ưu hóa những thủ thuật Poker cần thiết
Phát triển một cách hiểu toàn diện về xác suất và tỷ lệ
Học cách tính toán nhanh chóng Pot Odds và Implied Odds tại bàn chơi Poker
Sử dụng hiệu quả Pot Equity và các quy tắc 2&4 để xác định cách chơi Poker đúng
Hiểu về cách sử dụng giá trị mong đợi (EV) trong và ngoài bàn chơi để phân tích đối thủ của bạn
Học tất cả những cách tính toán quan trọng đằng sau Bluffs và Hero Calls để giúp bạn có một lợi thế về kĩ năng hơn hẳn các đối thủ khác.
Học cách kết hợp những thẻ bài để cải thiện hơn nữa khả năng đoán bài của bạn.
Và còn nhiều những chủ đề thú vị khác nữa...
Bạn sẽ đạt được gì qua khóa học?
Thích hợp cho cả người mới bắt đầu và cả người có kinh nghiệm chơi poker, cùng với 22 bài giảng, trong đó bao gồm bài tập kèm theo và hơn 3 giờ nội dung, bạn sẽ học được nhiều khái niệm toán cơ bản cần thiết về Poker, điều sẽ giúp bạn cải thiện mạnh mẽ trò chơi poker của bạn.
Sau khi tham gia khóa học này, bạn sẽ làm chủ được nền tảng toán học trong No Limit Hold'em. Bạn sẽ có được một lợi thế rất lớn về kỹ năng so với đối thủ của bạn và bạn có thể nhanh chóng sử dụng hiệu quả toán học tại bàn poker để luôn tạo nên những bước di chuyển mang lại lợi nhuận cao nhất. Quan trọng nhất, bạn sẽ trở thành một người chơi poker tốt hơn và có lợi nhuận!
Thêm những đánh giá tuyệt vời của các học viên
Đơn giản chỉ là tuyệt vời! ""Khóa học giải thích các khái niệm toán học trong poker mà không được nói đến nhiều trong các khóa học khác. Người hướng dẫn giải thích nó theo cách mà bất cứ ai cũng có thể dễ dàng hiểu được. Toán học là một môn học khô khan nhưng Alton làm cho nó thú vị và hữu ích cho các trò chơi của bạn. Tôi sẽ tham gia nhiều hơn vào các khóa học từ người hướng dẫn này. ""- Ella
Rất đáng để học. ""Nếu bạn thật sự không biết làm thế nào để tìm ra tỷ lệ phần trăm cơ hội của bạn có thể giành chiến thắng trong một ván bài bạn đã được chia thì bạn nhất định cần khóa học này. Nó bao gồm tất cả mọi thứ từ giá trị mong đợi (EV), đến tỷ lệ cược, những lá bài tốt (outs), tỷ lệ phần trăm, tỷ lệ và thậm chí còn đi vào những gì bạn thực sự cần phải biết về equity so với phạm vi. Nếu bạn không biết những thứ đó là gì thì bạn nên tham gia vào khóa học này. Chắc chắn rất đáng để học! ""- Charles
Vậy thì bạn còn chần chờ gì nữa? Hãy tham gia cùng với hơn 1150 học viên đang học cách cải thiện nhanh chóng trò chơi Poker của họ thông qua chiến thuật poker rất dễ để học này.
Tham gia ngay hôm nay, bạn không mạo hiểm chút nào với 30 ngày ở khóa học này, nếu không sẽ hoàn lại tiền ngay lập tức!  
1 tiếng xem trước cùng với 6 bài giảng miễn phí, kéo xuống phía dưới và nhấn vào nút xem trước (màu  xanh nước biển)","Hiểu biết cơ bản về No Limit Hold'em Poker
Khả năng toán học cơ bản
Một mong muốn trở thành một người chơi poker chiến thắng","Hơn 45 bài giảng và 5,5 giờ nội dung!
Hiểu được tầm quan trọng của toán học trong poker
Học một cách hiệu quả về cách tính toán Poker
Áp dụng thành công toán học vào trò chơi poker 
Sử dụng toán học poker để trở thành một người chơi poker tốt hơn",Khóa học này được thiết kế cho người chơi poker tìm hiểu rõ hơn về toán học Poker cơ bản. Điều này bao gồm những người chơi poker mới hoặc người chơi poker theo giải đấu mà chưa áp dụng toán học vào trò chơi poker của họ.,Phần 1: Giới thiệu khóa học,,
,,,,,,,Chào mừng đến với khóa học,0:39
,,,,,,,Tổng quan,6:45
,,,,,,,Những khóa học khác về Poker,5:16
,,,,,,,Thu nhập của người hướng dẫn trong Poker 2015 - Cập nhật ngày 13 tháng 6 năm 2015,10:54
,,,,,,,Hướng dẫn chơi Poker cho học viên của tôi,6:02
,,,,,,,Bạn có thể giúp tôi không?,1:26
,,,,,,,Diễn đàn thảo luận về bài tập,Văn bản
,,,,,,Phần 2: Những đánh giá rò rỉ từ học viên,,
,,,,,,,Làm thế nào để có được một đánh giá miễn phí Leak Finder,1:00
