Name,Sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Thiết kế ứng dụng Di động trong Sketch 3: thiết kế UX và UI từ những bước đầu tiên,"Thiết kế ứng dụng Di động từ những bước đầu tiên bằng cách sử dụng Sketch 3. Nắm rõ được Sketch 3, phương pháp UX, thiết kế biểu tượng và thiết kế giao diện người dùng.","---------- CẬP NHẬT 2015/04/14 ---------------------------------- ----------------------------
Rob Percival sẽ đưa bạn đến với Xcode và dạy bạn làm thế nào để thực hiện thiết kế thực tế trong x-code. Bạn sẽ tiến một bước gần hơn để trở thành một front end designer!

Tìm hiểu các vấn đề cơ bản về UX, thiết kế ứng dụng và các công cụ bạn cần phải có để xây dựng các ứng dụng di động thân thiện nhất và đẹp nhất trên app store hoặc google play store với việc sử dụng Sketch 3.
Xây dựng một nền tảng vững chắc trong Sketch 3 và thiết kế trải nghiệm người dùng với bản hướng dẫn này cho người mới bắt đầu.
Sketch 3: Giới thiệu & Công cụ
Sketch School 101: Một nghiên cứu kĩ về Sketch 3
Nghiên cứu và thiết kế UX với thực hành tốt nhất.
Xây dựng một trong những ứng dụng thân thiện và đẹp nhất của người dùng trên cửa hàng ứng dụng.
Học một kỹ năng mới có thể thay đổi cuộc sống của bạn.
Sketch 3 giúp mọi người có khả năng xây dựng các thiết kế chuyên nghiệp dù chưa có kinh nghiệm gì. Bạn phải có một Macbook, hoặc đang chạy môi trường OS X trên máy tính của bạn. Sketch 3 miễn phí trong 30 ngày.
Bạn sẽ trở thành một nhà thiết kế cứng tay về ứng dụng di động vào cuối của khóa học này, và sẽ có những kỹ năng để thiết kế bất cứ cái gì. Bạn thậm chí sẽ có thể ứng dụng được điều này vào thực hiện phát triển ứng dụng di động thực sự.
Nhà thiết kế ứng dụng di động kiếm được trung bình trên 100k$/ năm (số US)
Nội dung và Tổng quan
Khóa học này rất hữu ích cho những người chưa hề có kinh nghiệm thiết kế, hoặc các nhà thiết kế có kinh nghiệm mà muốn học và nắm vững được Sketch 3. Với nội dung hơn hẳn các khóa Sketch khác, bạn sẽ tìm hiểu được nguyên tắc cơ bản trong thiết kế ứng dụng và hiểu được rõ các khái niệm thiết kế mà người dùng là trọng tâm (UCD)-User centered design). Nguồn dữ liệu luôn được bổ sung, các câu hỏi và các bài tập sẽ được đưa ra thông qua khóa học để liên tục kiểm tra kiến ​​thức của bạn.
Bắt đầu với một giới thiệu về giao diện Sketch 3, chúng ta sẽ nhanh chóng tiến đến học thiết kế về màn hình ứng dụng di động đầu tiên. Vừa học vừa làm, bạn sẽ hiểu rõ được các tính năng cơ bản và các công cụ phác thảo.
Khi bạn đã làm chủ được những vấn đề cơ bản này, khóa học sẽ tiếp tục đưa bạn tới Sketch School 101 và UX School 101. Trong các phần này, bạn sẽ được học mọi thứ để có thể nắm rõ Sketch 3 cũng như các nguyên tắc cơ bản về nghiên cứu trải nghiệm người dùng và ứng dụng.
Sau đó là lúc áp dụng kiến ​​thức và kỹ năng mới học được để tạo ra các ứng dụng riêng của chúng ta, từ ý tưởng, để nghiên cứu, để giả định, để thiết kế, và cuối cùng là tạo mẫu và triển khai cho lập trình viên.
Người học hoàn thành khóa học sẽ biết cách tạo ra các ứng dụng tuyệt đẹp và có thể sử dụng, mang lại cho mọi người một nụ cười trên khuôn mặt.
Bằng cách hoàn thành việc tải hình ảnh và các tập tin sketch, bạn có thể làm việc cùng với tác giả như khi bạn hoàn thành từng bước để nhận được một giấy chứng nhận hoàn thành khi kết thúc khóa học.","Bạn cần có Mac để chạy Sketch 3
Nếu sử dụng một máy tính hệ điều hành Windows, bạn cần phải chắc chắn rằng bạn đang chạy môi trường ảo OS X","Hơn 94 bài giảng và 10,5 giờ nội dung!
Tạo ra được các thiết kế ứng dụng di động từ đầu
Phương pháp tiếp cận thiết kế ứng dụng với UX
Biết cách làm tốt nhất để nghiên cứu UX
Nắm vững các chương trình mới nhất cho các nhà thiết kế đồ họa, Sketch 3
Tạo tùy chỉnh các gói biểu tượng
Bắt đầu một sự nghiệp mới là một nhà thiết kế UI / UX","Khóa học này được dành cho người mới trong thiết kế đồ họa, tất cả các con đường lên để các chuyên gia mà muốn học sketch 3",Phần 1: Giới thiệu,,
,,,,,,,Giới thiệu,2:44
,,,,,,Phần 2: Tại sao lại chọn Sketch 3?,,
,,,,,,,Photoshop VS Sketch 3,9:04
,,,,,,,Sự khác biệt lớn nhất giữa Sketch 3 và Adobe Photoshop là gì?,1 câu hỏi
,,,,,,Phần 3: Bắt đầu với Sketch 3,,
,,,,,,,Thử học để biết với Sketch 3,14:11
,,,,,,,Một vài Sketch khác,9:00
,,,,,,,Nguồn Sketch 3,4:11
,,,,,,,Khái niệm cơ bản về Sketch,3 câu hỏi
