Name,Sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Chuyên sâu về After Effect (Một ứng dụng trong nhiếp ảnh): Xây dựng hoạt cảnh phẳng,Hướng dẫn nhanh giúp bạn tự tin thực hành các hiệu ứng chuyển động đồ họa trong After Efect để dựng các cảnh hoạt hình 2D,"After Effects là một chương trình tuyệt vời có thể giúp bạn xây dựng các đồ họa động, hiệu ứng hình ảnh, và các hiệu ứng khác khiến cho những video của bạn trở nên hoàn hảo và hấp dẫn hơn, mặc dù vậy nó cũng đòi hỏi một thời gian làm quen và trải nghiệm. Trong khóa học 45 phút này, bạn sẽ tìm hiểu làm thế nào để trình bày các đối tượng một cách hài hòa đẹp mắt trong các projects của After Efdect. Biết cách tạo chuyển động cho từng chi tiết nhỏ một cách tự nhiên qua đó nâng cao kĩ năng After Efects của mình. Hãy làm theo các hướng dẫn của tôi để có được sản phẩm của mình dễ như chụp một tấm ảnh polaroid vậy.
Lớp học này là điểm đến hoàn hảo cho những người sản xuất video, các nhà thiết kế và tất cả những ai muốn tìm hiểu After Effect theo một cách gần gũi, không đao to búa lớn. Nếu bạn là người mới bắt đầu, chúng tôi khuyến khích bạn tìm hiểu khóa học Afer Efect chuyên sâu: Kiến Thức Cơ Bản Và Cách Làm Việc Với Keyframes. Chúng tôi tin rằng khi hoàn thành khóa học, bạn sẽ biết xây dựng các chuyển động đa dạng và phức tạp cho sản phẩm video của mình.","Học sinh không cần có kinh nghiệm về efter Efect nhưng nên tham khảo trước 2 khóa học của After Efect chuyên sâu( Tìm hiểu Cơ bản, và Chuyển động với Keyframes.)","Hơn 9 bài giảng và 43 phút nội dung
Thiết kế kế một đối tượng trên Adobe Illustrator
Chuẩn bị các bản thiết kế trên adobe Illustrator cho hiệu ứng chuyển động trên after Efect
Chuyển động với phong cách xây dựng phẳng
Xuất ra sản phẩm hoàn thiện","Bất kì ai muốn học cách tạo nên những video chuyển động đồ họa vui vẻ
Bất kì ai không biết gì hay biết rất ít về After Efect
Bất kì ai biết Adobe Illustrator và muốn thêm các chuyển động vào thiết kế của mình",Chương 1: Giới thiệu khóa học,,
,,,,,,,Tổng quan về khóa học,8:03
,,,,,,Chương 2: Xây dựng các hoạt cảnh phẳng - Thiết kế và Chuyển động,,
,,,,,,,Giới thiệu chương,11:34
,,,,,,,Thiết kế Đối tượng của bạn trên Adobe Illustrator,7:55
,,,,,,,Chuẩn bị file tranh minh họa cho After Efects,1:26
,,,,,,,Chuyển động trong After Efects,9:27
,,,,,,,Làm thể nào đảo ngược nhanh một chuyển động trong After Effect,5:19
,,,,,,,Tổng kết chương,
,,,,,,Chương 3: Tổng kết khóa học,,
,,,,,,,Xuất và đăng một lớp dự án,1:21
,,,,,,,Lời cảm ơn,
