Name,Sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Hướng dẫn tổng thể  : Làm thế nào để trở thành một nhà thiết kế,Tìm kiếm câu trả lời cho mọi câu hỏi của bạn và giúp bạn theo đuổi đam mê của mình. Học mọi thứ bạn cần biết để trở thành một nhà thiết kế,"Về khóa học :
đây là khóa học đầu tiên và duy nhất cung video hướng dẫn đầy đủ về : Làm thế nào để trở thành một nhà thiết kế. Bạn sẽ có hiểu biết nhiều hơn về ngành công nghiệp sáng tạo này và tìm ra cách tốt nhất để bắt đầu công việc của một nhà thiết kế. Khóa học sẽ  giúp bạn trả lời một số câu hỏi như :
- Như thế đã đủ sáng tạo để trở thành một nhà thiết kế chưa?
- Hành nghề tự do hay làm việc toàn thời gian thì tốt hơn?
- Bạn sẽ kiếm được bao nhiêu nếu trở thành một nhà thiết kế?
- Làm thế nào để tìm kiếm công việc trong ngành công nghiệp sáng tạo này?
- Những lĩnh vực thiết kế nào được gợi ý cho bạn?
- Làm thế nào để tham gia và giật giải các cuộc thi về thiết kế và nhiều hơn nữa
Đến với Martin và học hỏi từ kinh nghiệm qua nhiều năm của anh ấy trong ngành công nghiệp sáng tạo này. Khóa học sẽ cung cấp những hướng dẫn có hệ thống và tỉ mỉ cho bất kì ai đang có kế hoạc bước chân vào ngành công nghiệp sáng tạo này.

Khóa học bao gồm :
56 video hướng dẫn giảng dạy
Bản PDF những ký năng cần thiết của các nhà thiết kế và hướng nghiệp
Bản PDF các thuật ngữ trong lĩnh vực thiết kế
Bản PDF về phím tắt hữu ích
Bản PDFBộ sưu tập các trang web hữu ích  cho các nhà thiết kế 

Khóa học sẽ kéo dài bao lâu?
Hoàn thành chỉ trong 2h, khóa học sẽ giúp bạn tiết kiệm thời gian để có được mọi điều cần biết để trở thành một nhà thiết kế

Khóa học có cấu trúc như thế nào?
Khóa học bao gồm 56 video, mỗi video giải thích về một chủ đề cụ thể quan trọng cho mỗi nhà thiết kế. Bạn nên xem các video theo thứ tự nhưng bạn cũng có thể xem chúng một cách độc lập nếu muốn

Tại sao lại tham gia khóa học này?
Khóa học sẽ giúp bạn rất nhiều nếu bạn đang xem xét trở thành một nhà thiết kế để bạn quyết định xem mình có thích hợp với ngành thiết kế này không đồng thời tìm ra con đường thích hợp để bước chân vào ngành công nghiệp sáng tạo này","Không có điều kiện tiên quyết
Không yêu cầu về tài liệu","Hơn 60 bài giảng với thời lượng 2h mỗi video
Khóa học sẽ hướng dẫn bạn lộ trình để trở thành một nhà thiêt kế
Tìm ra câu trả lời cho mọi câu hỏi của bạn để trở thành một nhà thiết kế
Bạn có thể học được những thông tin và kiến thức vô giá về ngành công nghiệp sáng tạo này
Khóa học sẽ giúp bạn bước những bước đầu tiên theo đuổi đam mê của mình","Khóa học thích hợp cho bất kỳ ai có kế hoạch trở thành một nhà thiết kế nhưng vẫn còn hoài nghi về khả năng của mình, không biết phải bắt đầu từ đâu hay đang tìm kiếm nguồn hướng dẫn",Phần 1,,
,,,,,,,Tôi cần những gì để trở thành một nhà thiết kế?,4:41
,,,,,,,Công việc của một nhà thiết kế sẽ như thế nào ?,1:56
,,,,,,,Trở thành một nhà thiết kế sẽ kiếm được bao nhiêu?,2:58
,,,,,,,Chi phí để trở thành một nhà thiết kế,4:32
,,,,,,,Hành nghề tự do và một công việc toàn thời gian,3:50
,,,,,,,Tôi nên làm việc ở đâu?,4:06
,,,,,,,Học tập trọn đời,2:02
,,,,,,Phần 2 : Không gian làm việc ,,
,,,,,,,Ghế,1:53
,,,,,,,Bàn làm việc,2:42
,,,,,,,Giá sách,1:03
,,,,,,,Bảng ghim,1:03
,,,,,,,Máy tính để bàn,0:56
,,,,,,Phần 3: Các công cụ,,
,,,,,,,Máy tính và màn hình,1:37
,,,,,,,Bộ sao lưu vào lưu trữ,1:10
,,,,,,,Máy tính bảng Wacom và bút cảm ứng,3:05
,,,,,,,Máy ảnh,0:49
,,,,,,,Điện thoại di động và máy tính bảng,1:07
,,,,,,Phần 4 :Ứng dụng,,
,,,,,,,Phần mềm photoshop,4:56
,,,,,,,Phần mềm đồ họa,1:07
,,,,,,,Ứn dụng thiết kế Indesign,1:31
,,,,,,,Ứng dụng đọc file Acrobat,1:17
,,,,,,,Ứng dụng làm màu lightroom,0:45
,,,,,,,ứng dụng kết nối Bridge,0:35
,,,,,,Phần 5 : Các kĩ năng cần thiết,,
,,,,,,,Giới thiệu,1:27
,,,,,,,Thành phần và bố cục,2:00
,,,,,,,Lý thuyết số hình ảnh,3:25
,,,,,,,Quản lý tập tin,2:15
,,,,,,,Các lớp,1:44
,,,,,,,Màu sắc,1:59
,,,,,,,Sự chọn lựa,1:48
,,,,,,,Hóa trang,1:12
,,,,,,,Công cụ trang trí,1:32
,,,,,,,Điều chỉnh,1:07
,,,,,,,Chỉnh sửa hình ảnh và bộ lọc,1:53
,,,,,,,Công cụ vẽ,1:19
,,,,,,,Trình bày bản in,1:40
,,,,,,,Hình ảnh trong ứng dụng Indesign,1:14
,,,,,,,Truy tìm hình ảnh,1:19
,,,,,,,Máy quay gốc,2:43
,,,,,,Phần 6 : Chuyên ngành,,
,,,,,,,Giới thiệu,0:36
,,,,,,,Thiết kế in ấn,2:01
,,,,,,,"Thiết kế web, máy tính bảng và điện thoại",1:56
,,,,,,,Chỉnh sửa ảnh,1:05
,,,,,,,Nghệ thuật số,1:37
,,,,,,Phần 7 : Công nhận thực lực,,
,,,,,,,Tiến cử,0:40
,,,,,,,Nắm bắt cảm hứng,4:05
,,,,,,,tiếp tục các nhiệm vụ của bạn,1:47
,,,,,,,Tìm cảm hứng từ đám đông và các cuộc thi,2:49
,,,,,,,Chia sẻ công việc,1:22
,,,,,,,Quay video màn hình Screencast và viết blog,2:01
,,,,,,,Tạo lập danh mục,3:33
,,,,,,,Thực tập,1:34
,,,,,,,Được chứng nhận,1:46
,,,,,,, CV ( lí lịch cá nhân) sáng tạo,1:43
,,,,,,,Nộp đơn xin việc và tham gia các buổi phỏng vấn,3:21
,,,,,,,Phần 8 : Tổng kết,
,,,,,,,Điều gì tiếp theo?,2:12
,,,,,,,Phần 9: Các nguồn tài liệu hữu ích cho các nhà thiết kế,
,,,,,,,Các kỹ năng cần thiét,1 trang
,,,,,,,Các thuật ngữ hữu ích,7 trang
,,,,,,,Những trang web hữu dụng cho các nhà thiết kế,1 trang
,,,,,,,Các phím tắt,5 trang 
