Name,Sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Nghệ thuật pixel cho trò chơi điện tử,"Khóa học cần thiết để tạo ra những tác phẩm đồ họa pixel hoành tráng cho trò chơi điện tử hoặc thiết kế phong cách, minh họa.","Tưởng tượng trò chơi của bạn sẽ tuyệt thế nào khi ở dạng pixel! Dừng tưởng tượng ngay!
Khóa học có đặc trưng với một bộ phận mới làm việc với Isometric Pixel. Khuyến cáo là bạn nên học hết 4 phần đầu của khóa học. Ngoài ra khóa học sẽ tăng giá bắt đầu từ tuần sau, vì vậy hãy nói với các bạn của bạn đi!
Trong khóa học này tôi sẽ dùng hơn 10 năm kinh nghiệm để dạy bạn tất cả những điều bạn cần biết về cách tạo ra tác phẩm pixel của riêng bạn. Bạn sẽ đi từ con số 0 đến tốc độ cao nhất trong một khoảng thời gian ngắn và nó sẽ dạy bạn những điều cốt lõi cùng với khái niệm nâng cao, giúp bạn tạo ra sản phẩm pixel với một hình ảnh chuyên nghiệp
Đi kèm 6 tiếng thời lượng phim, bạn sẽ có thể bước từng bước một khi tôi cho bạn thấy được những sáng tạo khá ngầu trong dạng pixel!
Bạn sẽ học được:
Điều chỉnh photoshop để vẽ pixel
Vẽ đường thẳng và hình mượt mà, như hình tròn
Đổ bóng và họa tiết
Công dụng của viền 
Và khi bạn đã nắm được những nội dung này, bạn sẽ học được:
Tạo ra ô vuông vẽ và thêm chi tiết cho hình ảnh dạng ô vuông vẽ
Tạo ra sprite khi sử dụng mảng
Tạo ô vuông phong cách trên xuống cho game RPG
Bạn cũng se:
tạo ra một NHÂN VẬT
và làm nó sống lên trong vài phút!
cập nhật
Một phần mới đã được thêm vào sẽ dạy cho bạn cách tạo ô vuông địa hình phong cách cổ điển trong game nhập vai
Thêm vào bạn sẽ có cơ hội tạo ra một dự án thống nhất và được thật sự thấy nhân vật của mình di chuyển, nhảy nhót xung quanh màn hình như là trong trò chơi điện tử.
Hãy đăng ký khóa học này và kỹ năng vẽ pixel của bạn sẽ tiến bộ nhanh kinh khủng",Hiểu biết cơ bản về photoshop là điểm cộng,"Hơn 73 bài giảng và 8 tiếng nội dung
Học kỹ năng căn bản để thiết kế mọi thứ trong dạng pixel
Vẽ đường thẳng chắc chắn và đổ bóng tuyệt vời
Học cách tạo ra trò chơi điện tử ăn theo trò chơi của bạn
Tạo ra nhân vật và biến nó có sức sống trong vài phút
Tạo ô vuông phong cách trên xuống cho game RPG
Vẽ pixel Isometric như game RTS","Lập trình viên muốn tạo ra hình ảnh cho trò chơi điện tử của họ
Nghệ sĩ và nhà thiết kế yêu thích phong cách pixel
Họa sĩ trò chơi muốn mở rộng kỹ năng với nghệ thuật pixel",Phần 1: giới thiệu,,
,,,,,,,Video giới thiệu,1:43
,,,,,,,Vẽ pixel và hạn chế của nó,5:22
,,,,,,Phần 2: Tạo pixel - nghệ thuật vẽ đường thẳng,,
,,,,,,,Làm việc với photoshop,9:47
,,,,,,,Tinh chỉnh dụng cụ vẽ pixel,8:19
,,,,,,,Tạo đường thẳng,5:10
,,,,,,,Tạo hình tròn,5:28
,,,,,,,Tạo hình pixel đường thẳng,5 câu hỏi
,,,,,,,Vẽ sprite đầu tiên của bạn - thanh gươm,5:41
,,,,,,,Luyện tập - vẽ lại hình một quyển sách,31.4 KB
,,,,,,,Kết luật phần 2,0:51
,,,,,,Phần 3: Vẽ pixel - Đổ bóng,,
,,,,,,,Đổ bóng trong đời thật,2:03
,,,,,,,Đổ bóng hình cầu và hình hộp,8:14
,,,,,,,Đổ bóng kim tự tháp và ống rỗng,5:14
,,,,,,,Tạo hình sprite 1 quả táo - Đánh bóng,8:40
,,,,,,,Tạo hình sprite 1 quả táo - Viền,6:04
,,,,,,,Tạo hình sprite 1 quả táo - Chi tiết,3:25
,,,,,,,Tạo hình sprite 1 quả táo - Ánh sáng hắt lên,4:17
,,,,,,,Đổ bóng,5 câu hỏi
,,,,,,,Xem lại sprite thanh gươm - vẽ thêm đổ bóng và viền,7:58
,,,,,,,Bài tập - đánh bóng một cái chén,1 trang
,,,,,,,Kết luận phần 3,1:26
,,,,,,Phần 4: Làm việc với ô vuông vẽ,,
,,,,,,,Khái niệm cơ bản về ô vuông vẽ,9:56
,,,,,,,Tạo ô vuông vẽ cơ bản,9:29
,,,,,,,Tạo nền cơ bản và điều chỉnh màu sắc,6:38
,,,,,,,Kết luận phần 4,0:27
,,,,,,Phần 5: cải thiện môi trường,,
,,,,,,,Thêm ô vuông vẽ để đa dạng hóa,10:47
,,,,,,,Ô vuông vẽ trang trí,8:37
,,,,,,,Vẽ một cây thông,8:31
,,,,,,,Vẽ lại phông nền,10:08
,,,,,,,Bài tập - Vẽ bức tường,1 trang
,,,,,,,Kết luận phần 5,0:51
,,,,,,Phần 6: Tạo một nhân vật,,
,,,,,,,Tạo đầu,10:15
,,,,,,,Tạo thân hình,7:06
,,,,,,,Chi tiết thân hình,5:22
,,,,,,,Thêm viền,4:38
,,,,,,,Kết luận phần 6,0:36
,,,,,,Phần 7: chuyển động của nhân vật,,
,,,,,,,Công cụ và kỹ năng cơ bản,7:53
,,,,,,,Tạo nền cho chuyển động nhân vật,7:53
,,,,,,,Thổi sức sống vào nhân vật với chuyển động thứ 2,5:20
,,,,,,,Chuyển động vòng tròn khi chạy,8:13
,,,,,,,Hoàn thành cuộc chạy,4:16
,,,,,,,Chuyển động tấn công,5:09
,,,,,,,Luyện tập - Nhân vật,1 trang
,,,,,,,Kết luận phần 7,1:34
,,,,,,Phần 8: phần phụ - chuyển thành một thể thống nhất,,
,,,,,,,Nhập sprites thành thống nhất,6:20
,,,,,,,Tạo lại các chuyển động thành thống nhất,6:07
,,,,,,,Làm cho nó tương tác với kịch bản tự do,5:02
,,,,,,Phần 9: ô vuông vẽ trên xuống,,
,,,,,,,Góc nhìn trên xuống là gì?,5:50
,,,,,,,Các thể loại kỹ năng,7:42
,,,,,,,Tạo ô vuông vẽ đường đi - xây dựng từng phần một,10:15
,,,,,,,Tạo ô vuông vẽ đường đi - xây dựng một xu hướng sử dụng được,7:04
,,,,,,,Tạo ô  vuông vẽ đường đi - thêm đổ bóng vào ô vẽ,10:02
,,,,,,,Tạo ô vuông vẽ đường đi - Thử từng ô vuông vẽ,4:57
,,,,,,,Dùng ô vuông vẽ để vá - Hiểu được xu hướng,8:21
,,,,,,,Dùng ô vuông vẽ để vá - tạo nền cỏ,9:39
,,,,,,,Dùng ô vuông vẽ để vá - cải thiện nền cỏ,11:36
,,,,,,,Dùng ô vuông vẽ để vá - tạo nền đất,7:01
,,,,,,,Dùng ô vuông vẽ để vá - tạo xu hướng vẽ,10:38
,,,,,,,Ô vuông vẽ hình hộp - Vách núi,6:10
,,,,,,,Ô vuông vẽ hình hộp - tạo sự chuyển đổi,8:23
,,,,,,,Ô vuông vẽ hình hộp - đổ bóng,7:07
,,,,,,,Ô vuông vẽ hình hộp - thử sử dụng xu hướng,7:39
,,,,,,,Bài tập - Xu hướng của sông,1 trang
,,,,,,Phần 10: Học viên chỉnh sửa,,
,,,,,,,Alan Pauley - Đổ bóng cái chén,12:13
,,,,,,,Jason Brennan - Cá và nến,14:26
,,,,,,,Phần 11: Isometric pixel,
,,,,,,,Hiểu được góc nhìn isometric,9:01
,,,,,,,Tạo một khu vực isometric,7:16
,,,,,,,Tạo dòng kẻ cho tòa nhà isometric,7:46
,,,,,,,Tạo dòng kẻ và hoàn tất chi tiết đường thẳng,10:20
,,,,,,,Vẽ dòng kẻ xây dựng cho phần còn lại của tòa nhà,12:42
,,,,,,,Đổ bóng tòa tháp,10:53
,,,,,,,Thêm bóng cho Barrac's ,10:13
,,,,,,,Các hình thù khác trong góc nhìn isometric,9:45
,,,,,,,Vẽ thêm chi tiết cho cảnh,9:01
,,,,,,,Bài tập - vẽ Iso cottage,1 trang
