Name,Sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Kiến thức về bê tông cốt thép dự ứng lực (BTCT DUL)  cho các nhà quản lý xây dựng,Nâng cao giá trị của bạn trên cương vị  một nhà quản lý xây dựng bằng cách tăng thêm những kiến thức quan trọng về bê tông cốt thép dự ứng lực ,"Bê tông là loại vật liệu xây dựng được sử dụng nhiều nhất trên thế giới. Ngoài những hiểu biết cụ thể, một chuyên gia trong lĩnh vực xây dựng ngày nay cần phải hiểu được những nguyên lý cơ bản của bê tông cốt thép cốt thép dự ứng lực hoạt động như thế nào. BTCT DUL bao gồm bê tông dự ứng lực căng trước thường được sản xuất tại nhà máy hoặc bãi đúc, và bê tông dự ứng lực căng sau được đúc tại hiện trường. Bê tông dự ứng lực căng sau đang được sử dụng này càng rộng rãi trên khắp thế giới để xây dựng các công trình kiến trúc đa tầng; kết cấu bản sàn đặt trên đất và các cây cầu trong khi bê tông dự ứng lực trước tiếp tục được sử dụng trong những công trình xây dựng nhanh chón như các gara đỗ xe. Hãy tìm hiểu một công trình bê tông cốt thép dự ứng lức sẽ hoạt động ra sao và như thế nào.
Có được  hiểu biết tốt hơn về nguyên  lý và lý thuyết phía sau bê tông cốt thép dự ứng lực để giúp bạn trở thành một chuyên gia quản lý xây dựng toàn diện hơn
Sau khi hoàn thành khóa học, bạn có thể...
giải thích được sự khác nhau giữa gia cố thép chủ động với bị động và danh sách các bản mẫu của mỗi loại
Thảo luận về ảnh hưởng của việc cho thêm yếu tố cốt thép thanh vào bê tông
giải thích khi thay đổi vị trí của cốt thép thanh trong bê tông sẽ ảnh hưởng đến sự chịu nén của bê tông
Liệt kê những ưu điểm của bê tông dự ứng lực trước
Miêu tả sự khác biệt giữa cốt thép dự ứng lực trước và sau
Miêu tả quá trình bê tông đúc sẵn
giải thích sự hoạt động của bê tông cốt thẹp dự ứng lực sau
Liệt kê các mẫu thông dụng của các kết cấu bê tông dự ứng lực trước
Học từ một chuyên gia
Các khóa học của tôi được tạo ra như một nơi để tất cả mọi người, dù bạn là một chuyên gia dày dạn kinh nghiệm, một kĩ sư dự án trẻ tuổi, một người mới bước chân vào thương trường hay một công nhân lành nghề, bạn đều có thể tham gia khóa học để biết được nhiều hơn về ngành xây duwngnj mà chúng ta đã chọn để đi sâu nghiên cứu. Đó là những gì khóa học hướng tới. Tham gia khóa học là cách để bạn tăng thêm kiến thức về ngành xây dựng thông qua các chủ đề sâu sắc đa dạng từ bê tông cốt thép đặc , rỗng cho đến các hệ thống quản lý chất lượng. Đây không phải khóa học dạy bạn cách đề lắp đặt thép thanh hay lõi thép dữ ứng lực. Khóa học là nơi để bạn tìm câu trả lời tại sao chúng ta lại gia cố bê tông và nguyên lý hoạt động của chúng. Đó là những thông tin mà bạn cần như một chuyên gia xây dựng để hướng dẫn cho các nhà thiết kế, chủ công trình hay các nhà thầu phụ.
Tham gia khóa học là cách tuyệt vời giúp bạn mở rộng kiến thức về bê tông cốt thép dự ứng lực","Bạn nên có sự hiểu biết cơ bản về bê tông và cách sử dụng nó như một loại vật liệu xây dựng
Khóa học thảo luận cụ thể chi tiết về bê tông và các thuộc tính liên quan đến cốt thép, nhưng nếu bạn cần một hiểu biết rộng hơn về bê tông, bạn có thể thử khóa học tìm hiểu về bê tông tại đây trên trang web Udemy
Bạn cần có một chương trình hay một ứng dụng cho phép xem các tải định dạng PDF để đọc các tài liệu và giáo trình cho phép bạn tải về.","Hơn 19 bài giảng với thời lượng 1.5h mỗi nội dung
giải thích sự khác nhau giữa gia cố chủ động và bị động
Liệt kê những bản mẫu về gia cố chủ động và thụ động
Thảo luận về ảnh hưởng của việc cho thêm yếu tố cốt thép thanh vào bê tông
Lý giải ảnh hưởng của việc thay đổi vị trí thanh thép trong bê tông sẽ ảnh hưởng đến độ chịu nén của nó như thế nào
Liệt kê những ưu điểm của bê tông dự ứng lực trước
Miêu tả sự khác biệt giữa cốt thép dự ứng lực trước và sau
Miêu tả quá trình bê tông đúc sẵn
giải thích xem bê tông dự ứng lực sau hoạt động như thế nào
Liệt kê các mẫu thông dụng của các kết cấu bê tông dự ứng lực trước","Khóa học thích hợp cho bất kì ai đảm nhiệm vị trí như một nhà chuyên môn về quản lý xây dựng. Khóa học sẽ giúp bạn hiểu được những nguyên lý và lý thuyết đằng sau bê tông cốt thép dự ứng lực và giúp bạn làm quen với những thuật ngữ được các chuyên gia và các nhà chuyên môn sử dụng trong xây dựng. Khóa học rất lý tưởng cho các chuyên gia xây dựng chưa trải qua đào tạo chính quy về gia cố thép dự ứng lực. Khóa học cũng lý tưởng cho bất kì ai bắt đầu bước chân vào ngành xây dựng hay muốn đến sau khi có những hiểu biết cơ bản về bê tông cốt thép và muốn tăng thêm hiểu biết để có thể giao tiếp với các nhà thiết kế, nhà sản xuất và các nhà chuyên môn khác
Nếu bạn làm việc hay quản lý các dự án sử dụng bê tông cốt thép dự ứng lực ( trước hoặc sau) thì khóa học này rất phù hợp với bạn
Nếu bạn đã trải qua khóa học đạt chứng chỉ của PTI hay các khóa học nghề dành cho công nhân cơ khí, bạn có lẽ đã có những hiểu biết khá tốt về loại vật liệu trong khóa học này",Phần 1 : Giới thiệu,,
,,,,,,,Giới thiệu,2:31
,,,,,,,Hiện tại bạn đã biết được bao nhiêu rồi?,10 câu hỏi
,,,,,,,Tiếp thu tốt nhất từ khóa học này,3:08
,,,,,,,Mục đích và mục tiêu khá hcj,2:41
,,,,,,,Tài liệu tham khảo,Văn bản
,,,,,,Phần 2 : Giới thiệu về bê tông như một loại vật liệu xây dựng,,
,,,,,,,Các kiến thức cơ bản,Văn bản
,,,,,,,Bê tông là gì ,8:31
,,,,,,"Phần 3 : Các áp lực ảnh hưởng đến bê tông - Độ nén, sức căng và việc cắt bê tông",,
,,,,,,,Sức nén so với lực căng của bê tông,3:08
,,,,,,,Đâu là nguyên nhân gây ra các vết rạn nứt?,9:33
,,,,,,Phần 4 : Gia có bê tông chủ động,,
,,,,,,,Quản lý vết nứt bê tông,14:48
,,,,,,,Gia cố bê tông thụ động,4:45
,,,,,,,Kiểm tra kiến thức của bạn #1,3 câu hỏi
,,,,,,Phần 5 : Gia cố bê tông chủ động,,
,,,,,,,Gia cố chủ động,9:39
,,,,,,,Lợi ích của dự ứng lực,12:03
,,,,,,,Xem xét tất cả trong một tổng thể,2:53
,,,,,,,Các ví dụ về kết cấu bê tông dự ứng lực,2:29
,,,,,,,Kết cấu và độ căng,6:03
,,,,,,,An toàn dự ứng lực,2:38
,,,,,,,Kiểm tra kiến thức của bạn #2,5 câu hỏi
,,,,,,Phần 6 : Ưu điểm của các vật liệu,,
,,,,,,,Tổng hợp về thuộc tính sử dụng,1:02
,,,,,,,"Điểm mạnh, lợi ích và các hạn chế",8:14
,,,,,,Phần 7 : Tổng kết,,
,,,,,,,Kiểm tra kiến thức của bạn #3,5 câu hỏi
,,,,,,,Tóm tắt và tổng kết,3:22
