Name,Sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Làm thế nào để thiết kế Logo - khóa học cho người mới bắt đầu,Tìm hiểu cách thiết kế một logo từ khi có yêu cầu của khách hàng đến khi thiết kế xong.,"Thiết kế ra logo không phải là điều dễ dàng, đặc biệt là khi làm việc với các khách hàng cụ thể. Và với biết bao nhiêu nhà thiết kế hiện nay thì khá là khó khăn để bạn có thể tự khẳng định mình.
Khóa học biết cách giúp bạn vạch ra những ý tưởng của bạn sao cho có hiệu quả. Nó sẽ là nền tảng để bạn có thể vẽ ra các logo thật đặc biệt và mang lại sự mới mẻ mà khách hàng không thể từ chối. Đâychính  là cách bạn làm cho khách hàng hài lòng, chú ý đến bạn, xây dựng được cơ sở khách hàng của bạn và giúp bạn có khả năng kiếm được nhiều tiền hơn.
Tìm hiểu Làm thế nào để thiết kế logo sao cho luôn bắt mắt và có hiệu quả
Tạo ra và Thiết kế Ý tưởng thật Nhanh chóng
Phông chữ và định vị văn bản
Màu sắc và lựa chọn định dạng
Sử dụng Adobe Illustrator để tạo Logo
Trình bày Ý tưởng thiết kế và làm việc với khách hàng
Hãy làm khách hàng nào cũng cảm thấy hạnh phúc bằng cách thiết kế ra một logo tuyệt vời
Phần khó nhất trong công việc của một nhà thiết kế là có thể tạo ra một biểu tượng mà khách hàng sẽ hài lòng về nó. Điều quan trọng là biết làm thế nào để hiểu được mong đợi của khách hàng, và sử dụng các công cụ thích hợp để phác ra các ý tưởng thật nhanh chóng. Là một nhà thiết kế, bạn cũng nên biết làm thế nào để xác định đúng vị trí văn bản và chọn đúng màu sắc và phông chữ. Chúng thể hiện bộ mặt của doanh nghiệp một cách tốt nhất và chính xác nhất.
Nội dung và Tổng quan
Khóa học này chứa hơn 42 bài giảng và 2,5 giờ nội dung, cung cấp từng bước các hướng dẫn về thiết kế logo. Bạn phải chưa có kinh nghiệm gì về thiết kế logo. Tuy nhiên, bạn cũng nên có một phiên bản dùng thử đầy đủ hoặc miễn phí của Adobe Illustrator ngay cả khi bạn không cần có kiến ​​thức trước khi làm việc với chương trình này.
Bạn sẽ nhận được một eBook 61 trang dạy làm thế nào để thiết kế logo, cũng như cách làm thế nào để nhận được một yêu cầu thiết kế logo từ khách hàng. Sau đó, bạn sẽ tìm hiểu cách tìm tài liệu tham khảo và hình ảnh phác thảo ý tưởng.

Sau khi hoàn thành khóa học này, bạn sẽ hiểu được cách vẽ ra bản đồ tư duy (mind map) và mood board. Bạn sẽ biết làm thế nào để tạo ra các biểu tượng độc đáo, thêm các yếu tố vào một từ, sử dụng các hình dạng hình học và chữ viết tắt, và đặt văn bản vào đúng vị trí hợp lý.
Người học sẽ nắm được các vấn đề cơ bản của Illustrator, biết chỗ để tìm thấy phông chữ miễn phí và tạo logo với màu đen trắng, theo các định dạng khác nhau. Bạn cũng sẽ nhận được bí quyết khi gửi ý tưởng cho khách hàng, thay đổi và hoàn thiện logo, và định giá cho công việc của bạn. Tất cả những kỹ năng này sẽ làm bạn trở thành một nhà thiết kế được dánh giá cao hoặc cho phép bạn sử dụng sự sáng tạo của mình để tạo logo cho riêng bạn.","Máy tính, một phiên bản dùng thử đầy đủ hoặc miễn phí của Adobe Illustrator cho phần sau của khóa học (không yêu cầu phải có kiến thức trước)","Hơn 42 bài giảng và 2,5 giờ nội dung!
Khóa học dạy từng bước tìm hiểu cách thiết kế logo",Những người muốn tìm hiểu về thiết kế logo để bán như là một dịch vụ hoặc để thiết kế logo riêng của mình,Phần 1: Giới thiệu,,
,,,,,,,Giới thiệu về quá trình thiết kế logo,1:04
,,,,,,Phần 2: Tặng thêm cho bạn,,
,,,,,,,61 trang Ebook - Làm thế nào để thiết kế một Logo,16.45 MB
,,,,,,Phần 3: Nhận yêu cầu thiết kế logo từ khách hàng,,
,,,,,,,Yêu cầu thiết kế logo từ khách hàng,17:45
,,,,,,,Ghi chú: Tóm tắt yêu cầu thiết kế logo,48.15 KB
,,,,,,,Câu hỏi về thiết kế mẫu logo,43.43 KB
,,,,,,"Phần 4: Tài liệu tham khảo, Moodboards và bản đồ tư duy",,
,,,,,,,Cùng đi tìm tài liệu tham khảo,1:36
