Name,Sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Hệ thống phong cách thời trang dành cho nam giới,Tìm hiểu về tất cả các nguyên tắc bạn cần để mặc một cách tự tin.,"Để giữ đầu óc luôn nhẹ nhàng, điều giản đơn nhất bạn cần có đó là khiếu thời trang.
Và, tôi không đề cập đến những ""mẫu thời trang mới nhất"" hay những chiếc quần jeans của các nhãn hiệu đắt tiền mà các tạp chí thời trang vẫn hay gán mác là ""phải có"" (must have) - những thứ đó có thể quá mắc và sẽ không hợp với bạn. Điều mà tôi nói đến ở đây đó là cách tạo nên sự khác biệt nhờ vào khiếu thời trang mà không phải tốn sức hay bỏ nhiều tiền vào đó.
Nói tôi nghe, có James Bond nào trong lịch sử lại không biết cách ăn mặc? Có điều gì ở những nam diễn viên đó mà phụ nữ (hay ngay cả đàn ông) đều phát cuồng?
Thực tế là, đây là một thế giời đầy tính cạnh tranh. Biết được cách ăn mặc sẽ giúp bạn nổi bật vào đúng thời điểm - bất kể khi ở môi trường làm việc chuyên nghiệp hay chỉ đơn giản là trong một cuộc hẹn.
Trong khóa học này, chúng ta sẽ làm quen với các nguyên tắc - các đường cắt, các chất vải và một số điều quan trong giúp bạn có thể kiểm soát tủ đồ của bạn.
Chi phí bạn muốn cho điều này là bao nhiêu?
Điểm mấu chốt ở đây là: điều mà một fashionista sẽ không làm đó nó tiêu tốn hàng tấn tiền vào quần áo để mặc đẹp.
Sau 6 năm làm công việc tư vấn cho hàng nghìn nam giới, cũng như xuất hiện trên các kênh truyền hình ABC, VH1, NBC và Askmen.com, tôi xây dựng một hệ thống giúp bạn có thể ăn mặc đẹp như bạn muốn.
Tronng chương trình này, Tôi sẽ chỉ cho bạn:
Những lỗi sai cơ bản rất nhiều nam giới mắc phải về phong cách cá nhân của họ.
Một checklist tủ đồ bao gồm những bộ đồ chủ yếu như giầy, quần, áo, complê và khoác ngoài.
Trình tự chọn lựa mỗi thứ bạn có và kết hợp chúng lại cho phù hợp - một trình tự mà bạn có thể tốn hàng nghìn đô la nếu nhờ một nhà tư vấn phong cách chuyên nghiệp hướng dẫn.
Hệ thống này có thể giúp bạn không cần phải tiêu tốn hàng nghìn đô la vào dịch vụ tư vấn phong cách, nhưng vẫn biến bạn thành phiên bản tuyệt vời nhất của chính mình. Bạn sẽ không còn phải hỏi những câu hỏi như ""Cái gì hợp với chiếc áo này?""
Một vài tâm sự của các học viên cũ của tôi:
Cảm on Aaron, bây giờ tôi cảm thấy tự tin lựa chọn phong cách cho mình. Nghe theo những điều tư vấn của Aaron để giúp tôi trông bảnh bao hơn là một những quyết định sáng suốt nhất của tôi. -Albert P.Atlanta, Georgia
Nó thực sự rất thú vị khi bước xuống phố và thấy các bạn gái xinh đẹp để ý đến bạn...Bạn sẽ không bị thất vọng đâu. -Nabil K.
Hôm nay đã có một bạn gái lạ mặt tiến tới gần tôi ở bến tàu điện và nói, ""Anh thật sự mặc đẹp đấy."" Đó là lần đầu tiên có người nói thế với tôi -Ted L.
Tôi đã kết hợp lời khuyên về phong cách từ Aaron và những mẹo chải chuốt vào đời sống hàng ngày của mình.....thành quả thật là quá tuyệt! Anh ấy đúng là một chuyên gia. Cảm ơn Aaron . - Srinivas G.
Một lần nữa cảm ơn về những lời tư vấn chuyên môn của bạn...Tôi có lẽ trông hoàn toàn ngốc nghếch thảm hại nếu không dành thời gian lắng nghe những tư vấn từ bạn. - Chris M ., Alaska
Bây giờ chính là lúc bạn tìm hiểu về những ảnh hưởng hiệu quả đến cuộc sống cá nhân và công việc của bạn chỉ bằng một chút thay đổi trong tủ đồ.
Mong rằng sẽ được gặp bạn trong khóa học này.
Hẹn gặp lại, 
Aaron Marino
Tái bút : Tôi biết đây là một khóa học mới, và 49 đô la là giá ban đầu được đưa ra để thu hút học viên và nhận được phản hồi tích cực. Đăng ký ngay để cs được mức giá ưu đãi này và bắt đầu xây dựng phong cách thời trang cho riêng mình ngay bây giờ
Tái tái bút: Bởi tôi là một anh chàng tốt bụng nên toi đã bổ sung thêm các tài liệu tặng kèm trong một số phần để giúp bạn trông cao hơn và thon thả hơn. Chúng ta sẽ bắt đầu ngay chứ?",Khát vọng muốn cải thiện bản thân,"Hơn 52 bài giảng và 2.5 giờ nội dung!
Cảm thấy thật sự tự tin với cách ăn mặc mới của bạn
Biết được cách vận dụng tốt nhất với mỗi món đồ trong tủ quần áo của bạn.
Học cách ""xây"" tủ quần áo của bạn.
Học cách sao chép mọi loại trang phục bạn nhìn thấy.","Nam giới
Những người phụ nữ muốn làm cho người đàn ông của mình đẹp hơn",Phần 1: Giới Thiệu,,
,,,,,,,Giới thiệu về Hệ thống phong cách,4:32
,,,,,,,Tầm quan trọng của sự phù hợp,1:59
,,,,,,,Thương hiệu quan trọng đến mức nào?,2:28
,,,,,,,Checklist Tủ đồ,1:47
,,,,,,,Phân công: In ra và theo dõi Checklist,3 trang
,,,,,,Phần 2: Giày,,
,,,,,,,Giới thiệu về Giày,1:13
,,,,,,,Những đôi Giày đen,3:01
,,,,,,,Những đôi Giày nâu,2:46
,,,,,,,Những đôi Giày Non-Athletic thường ngày,2:33
,,,,,,,Thời trang giày thể thao,1:51
,,,,,,,Giày mùa hè,2:32
,,,,,,,Bảo quản Giày như thế nào?,5:07
,,,,,,Phần 3: Phần Dưới,,
,,,,,,,Quần Jeans - phần 1,7:49
,,,,,,,Quần Jeans - phần 2,1:43
,,,,,,,Quần dài,1:44
,,,,,,,Quần Kaki Cotton thường ngày,3:19
,,,,,,,Quần lửng màu xám,1:55
,,,,,,,Quần âu công sở,2:38
,,,,,,,Quần short,3:31
,,,,,,,Đồ bơi,3:26
,,,,,,Phần 4: Phần Trên,,
,,,,,,,Áo sơ mi công sở,7:08
,,,,,,,Áo sơ mi công sở thiết yếu,2:57
,,,,,,,Áo sơ mi thường ngày,2:12
,,,,,,,Áo sơ mi có cúc thông thường,2:34
,,,,,,,Áo phông cổ V,3:30
,,,,,,,Áo phông dài tay,1:24
,,,,,,,Áo len cổ V,2:34
,,,,,,Phần 5: Complê và Khoác ngoài,,
,,,,,,,Complê,4:21
,,,,,,,Áo khoác ngoài,0:33
,,,,,,,Áo khoác thể thao,4:18
,,,,,,,Áo khoác da,1:27
,,,,,,,Áo dạ Xám,1:45
,,,,,,,Áo khoác nhẹ thường ngày,1:21
,,,,,,Phần 6: Phụ Kiện,,
,,,,,,,Giới thiệu về các phụ kiện,1:21
,,,,,,,Thắt lưng,3:44
,,,,,,,Đồng hồ đeo tay,1:10
,,,,,,,Khuy măng sét,1:12
,,,,,,,Ví,1:15
,,,,,,,Cà vạt,1:18
,,,,,,,White Pocket Square,2:35
,,,,,,,Kính râm,1:29
,,,,,,,Tất,1:44
,,,,,,,Đồ lót đen,2:19
,,,,,,,Nước hoa,2:15
,,,,,,Phần 7: Kết hợp,,
,,,,,,,Chúc mừng,2:03
,,,,,,,Gallery quần jean,0:49
,,,,,,,Gallery quần dài,0:49
,,,,,,,Gallery Complê,0:30
,,,,,,,Gallery quần ngắn,1:05
,,,,,,,Phong cách đặc trưng,0:12
,,,,,,Phần 8: Tài liệu tham khảo,,
,,,,,,,Mặc để cao hơn,9:19
,,,,,,,Mặc để mảnh mai hơn,11:51
