Name,Sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Cơ sở thiết kế trải nghiệm người dùng,Thiết kế trang web và ứng dụng di động mà người dùng cùa bạn yêu thích và dùng đi dùng lại với chuyên gia UX Joe Natoli,"Tỷ lệ chuyển đổi trên trang web của bạn thấp? Bạn có biết liệu trang web của bạn có hiệu quả trong đáp ứng mục tiêu của bạn? Liệu người sử dụng có bị ""mắc kẹt"" và không thể làm điều mà họ muốn? Đơn từ của bạn có hiệu quả? Cách nào để ứng dụng điện thoại di động của bạn có thể được cải thiện? 

Thiết kế trang web và ứng dụng di động đang càng ngày trở nên dễ dàng hơn -- nhưng lại khó khăn hơn để đo lường sự hiệu quả của các ứng dụng này. Trong khóa học được thiết kế cẩn thận của Joe Natoli về cơ sở thiết kế trải nghiệm người dùng bạn sẽ học được cách làm thế nào để tạo ra các trang web hiệu quả, các trang web điện thoại di động và các ứng dụng di động khuyến khích sự chuyển đổi
và làm người dùng muốn nhiều hơn nữa.

Chỉ có trang web thôi là không đủ - nó phải có sức sống và nó phải hiệu quả để thành công. Trong khóa học vô cùng năng động này Joe sẽ hướng dẫn bạn qua các yếu tố quan trọng trong trải nghiệm người dùng - chiến lược , phạm vi , cơ cấu , cốt lõi và bề mặt .Khi học bạn sẽ có thể áp dụng những kiến thức Joe dạy trong các bài tập ở phòng thí nghiệm năng động -- và sau đó áp dụng vào việc riêng của bạn như phát triển hoặc thiết kế. 

Nếu bạn là một nhà thiết kế muốn tiến sâu vào thế giới kỹ thuật số phức tạp hơn hoặc là một nhà phát triển đôi khi hoạt động như một nhà thiết kế , khóa học này là dành cho bạn. Bạn sẽ cảm thấy tự tin hơn khi bạn thực hiện các hành động liên quan đến thiết kế về bố cục, màu sắc, thông tin, thiết kế và kiểu chữ sau khi hoàn thành khóa học thú vị này.",Máy tính với kết nối internet và trình duyệt web,"Hơn 58 bài giảng và 11 giờ nội dung
Hiểu cách thiết kế trải nghiệm người dùng và lý do tại sao nó quan trọng 
Hiểu được các yếu tố của trải nghiệm người dùng
Hiểu được các yếu tố của trải nghiệm người dùng hoạt động với nhau thế nào
Hiểu được chiến lược là một yếu tố trong trải nghiệm người dùng
Hiểu được quá trình nghiên cứu
Xác định mục tiêu kinh doanh và nhu cầu người dùng
Hiểu được cơ hội là một yếu tố của trải nghiệm người dùng
Tính thông số kỹ thuật hoạt động được
Học cách phát triển yêu cầu nội dung
Học cách ưu tiên thông số kỹ thuật và yêu cầu 
Hiểu được kết cấu là một yếu tố của trải nghiệm người dùng
Thiết kế thông tin hiệu quả
Hiểu được cách sắp đặt các yếu tố chính cho phương tiện truyền thông số
Hiểu được khung xương cốt lõi là một yếu tố của trải nghiệm người dùng
Hiểu được cách thiết kế tương tác trên trang web
Tạo ra một thiết kế thông tin hiệu quả
Học cách thiết kế wireframes
Hiểu được bề mặt là một yếu tố của trải nghiệm người dùng
Học cách thiết kế các nét chính của đồ họa
Hiểu độ tương phản và đồng nhất
Học cách sử dụng tốt nhất màu sắc và phông chữ
Hiểu quy trình thử A/B
Biết được các tài nguyên nào mình có để sử dụng trong quá trình thiết kế trải nghiệm","Nhà thiết kế web
Nhà thiết kế di động
Nhà phát triển web
Kỹ sư
Doanh nghiệp
Nhà kinh doanh
Học sinh
Bất kỳ ai muốn tạo ra trang web và web di động hiệu quả ",Phần 1: Thiết kế trải nghiệm người dùng là gì?,,
,,,,,,,Giới thiệu: Khái niệm về thiết kế trải nghiệm người dùng ,4:24
,,,,,,,Thiết kế trải nghiệm người dùng không phải là gi,18:06
,,,,,,,Thiết kế trải nghiệm người dùng  là gì,17:03
,,,,,,,Tại sao ta cần quan tâm tới Thiết kế trải nghiệm người dùng ,16:50
,,,,,,Phần 2: Hiểu được các yếu tố của trải nghiệm người dùng,,
,,,,,,,Các yếu tố của trải nghiệm người dùng,10:06
,,,,,,,Khám phá các yếu tố của trải nghiệm người dùng,16:02
,,,,,,,Cách các yếu tố làm việc với nhau,11:07
,,,,,,Phần 3: Sử dụng các yếu tố - Chiến lược,,
,,,,,,,Sử dụng các yếu tố: Chiến lược,1:47
,,,,,,,Quá trình nghiên cứu,9:29
,,,,,,,Xác định mục tiêu kinh doanh,5:05
,,,,,,,Xác định nhu cầu người dùng giao dịch giữa các cơ sở kinh doanh,5:42
,,,,,,,Xác định nhu cầu người dùng giao dịch giữa cơ sở kinh doanh và khách hàng,7:34
,,,,,,,Ba câu hỏi quan trọng,8:03
,,,,,,,"Những câu hỏi ""dùng lần đầu""",3:26
,,,,,,,Khái niệm cơ bản về chiến lược ,3:15
,,,,,,,Chiến lược tập thể dục phòng thí nghiệm,6:04
,,,,,,Phần 4: Sử dụng các yếu tố - Phạm vi,,
,,,,,,,Sử dụng các yếu tố: Phạm vi,3:49
,,,,,,,Định nghĩa phạm vi,40:57:00
,,,,,,,Thông số kỹ thuật hoạt động,24:44:00
,,,,,,,Yêu cầu nội dung,31:39:00
,,,,,,,Tạo yêu cầu hiệu quả,27:55:00
,,,,,,,Ưu tiên thông số kỹ thuật & Yêu cầu,7:07
,,,,,,,Khái niệm cơ bản phạm vi ,3:22
,,,,,,,Bài tập phạm vi phòng thì nghiệm,4:34
,,,,,,Phần 5: Sử dụng các yếu tố - Cấu trúc,,
,,,,,,,Sử dụng các yếu tố: Cơ cấu,2:06
,,,,,,,Xác định cấu trúc,9:42
,,,,,,,Thiết kế tương tác,35:16:00
,,,,,,,Kiến trúc thông tin,9:56
,,,,,,,Tổ chức các nguyên tắc,4:59
,,,,,,,Vai trò và quy trình,6:24
,,,,,,,Khái niệm cơ bản cấu trúc,1:49
,,,,,,,Bài tập cấu trúc phòng thí nghiệm,1:59
,,,,,,Phần 6: Sử dụng các yếu tố - khung xương cốt lõi,,
,,,,,,,Sử dụng các yếu tố: khung xương cốt lõi,3:42
,,,,,,,Xác định khung xương cốt lõi,10:59
,,,,,,,Thiết kế giao diện,21:39
,,,,,,,Thiết kế tương tác người dùng,20:16
,,,,,,,Quy luật thông thường và phép ẩn dụ,14:51
,,,,,,,Thiết kế thông tin,32:03:00
,,,,,,,Wireframes,27:53:00
,,,,,,,Khái niệm cơ bản về khung xương cốt lõi ,1:55
,,,,,,,Bài tập phòng thí nghiệm về khung xương cốt lõi,2:13
,,,,,,Phần 7: Sử dụng các yếu tố - bề mặt,,
,,,,,,,Sử dụng các yếu tố: bề mặt,3:24
,,,,,,,Xác định bề mặt,21:13
,,,,,,,Nguyên tắc thiết kế trực quan,33:03:00
,,,,,,,ĐI theo đôi mắt ,7:59
