Name,Sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Thiết kế hấp dẫn - Học cách thiết kế để thu hút con người,Học cách áp dụng tâm lý học để tạo ra các sản phẩm thu hút qua đó khiến người xem làm điều mà bạn muốn,"HƠN 5500 HỌC VIÊN THÀNH CÔNG ĐÃ HỌC QUA KHÓA HỌC NÀY
Bạn sẽ học được mọi thứ cần thiết về con người, cách họ suy nghĩ, quyết định, ghi nhớ và động lực của họ là gì. Bạn sẽ học cách áp dụng tâm lý học với thiết kế trang web, ứng dụng và sản phẩm để cho chúng hấp dẫn, thu hút người khác làm điều mà bạn muốn.
Về khóa học này:
Hơn 5000 học viên hài lòng
Hàng tá đánh giá 5 sao từ học viên hài lòng
Cam kết hoàn tiền vô điều kiện trong 30 ngày đầu từ Udemy
Đi kèm mọi nâng cấp và khóa học trong tương lai miễn phí.
Bạn sẽ học:
Cách sử dụng khao khát hòa nhập của con người để khiến họ làm theo ý mình
Cái gì khiến ý tưởng và sản phẩm trở nên đại trà
Tại sao video trên mạng lại hấp dẫn vậy
Cách con người suy nghĩ và quyết định
Bao nhiêu thông tin mà một người có thể nhớ
Cách trình bày thông tin khiến khách hàng muốn hơn nữa
Cách phông chữ và độ dài của dòng ảnh hưởng tới cách con người đọc
Tại sao phần thưởng không phải lúc nào cũng tốt
Cách sử dụng những câu chuyện về bản thân là ai làm gì mà con người hay tự kể với họ để khiến họ làm việc. 
Tại sao nỗi sợ thất bại lại là một động lực mạnh mẽ và cách sử dụng nó
 câu hỏi vấn đáp suốt khóa học để kiểm tra kiến thức
Thực hành suốt khóa học để luyện những gì đã học
và còn nhiều nhiều nữa!
Ấn nút ""Học khóa này"" ở góc phải trang web và bắt đầu ngay. Bạn không muốn trì hoãn học cách tạo ra những sản phẩm hấp dẫn khiến người khác MUỐN mua, sử dụng và khiến họ có động lực để bắt đầu","Bạn quen thuộc với trang web, ứng dụng và sản phẩm công nghệ","Hơn 83 bài giảng và 4.5 tiếng nội dung
Hiểu được yếu tố tâm lý áp dụng cho hành vi sử dụng trang web, ứng dụng và sản phẩm công nghệ của con người
Học cách tạo ra thiết kế hấp dẫn sử dụng những quy luật tâm lý này
Hiểu cái gì thật sự tạo động lực khiến con người hành động","Chuyên gia User Experience (UX), nhà thiết kế, phát triển trang web, chuyên gia thiết kế thân thiện sử dụng và quản lý sản phẩm.",Phần 1: Giới thiệu khóa học,,
,,,,,,,Chào mừng tới giới thiệu khóa học Thiết kế hấp dẫn,1:38
,,,,,,,Giới thiệu giáo viên,1:39
,,,,,,,Giới thiệu khóa học sẽ bao gồm những gì,2:50
,,,,,,Phần 2: Nhu cầu muốn hòa nhập,,
,,,,,,,Giới thiệu về nhu cầu hòa nhập,1:59
,,,,,,,Xã hội công nhận,4:29
,,,,,,,Sự có đi có lại giữa con người,3:25
,,,,,,,Nghiên cứu về sự có đi có lại giữa con người,2:12
,,,,,,,nhượng bộ,3:17
,,,,,,,Tin tưởng,3:30
,,,,,,,Giới thiệu: Danh từ và động từ,1:57
,,,,,,,Cạnh tranh,2:41
,,,,,,,Trở thành nổi tiếng,3:04
,,,,,,,Ví dụ về nhu cầu hòa nhập ,7:32
,,,,,,,Bài tập về nhu cầu hòa nhập,1:06
,,,,,,,Vấn đáp nhu cầu hòa nhập,10 questions
,,,,,,Phần 3: Bản năng,,
,,,,,,,Giới thiệu về bản năng,3:15
,,,,,,,Những lựa chọn,2:52
,,,,,,,Nghiên cứu về nỗi sợ thất bại,5:54
,,,,,,,Nỗi sợ thua cuộc,2:46
,,,,,,,Chất dopamine,2:55
,,,,,,,Ví dụ về bản năng,5:03
,,,,,,,Thực hành về bản năng,1:03
,,,,,,,Vấn đáp bản năng,6 questions
,,,,,,Phần 4: Đọc và tầm nhìn,,
,,,,,,,Giới thiệu về sự am hiểu và tầm nhìn,0:51
,,,,,,,Sự tầm nhìn và bộ não,1:34
,,,,,,,Sự thật về mọi chữ in hoa,1:45
,,,,,,,Tiêu đề,1:25
,,,,,,,Mọi thứ về phông chữ,2:12
,,,,,,,Độ dài của dòng,2:05
,,,,,,,Trình độ đọc,2:37
,,,,,,,Phần hình thoi trên mặt,2:23
,,,,,,,Chromosteropsis (những màu nào không nên đi với nhau),1:17
,,,,,,,Mù màu,7:03
,,,,,,,Màu sắc và văn hóa,2:38
,,,,,,,Đồ vật với đường cong,1:20
,,,,,,,Ví dụ thực tiễn về cách đọc và độ nhạy bén,10:52
,,,,,,,Luyện tập nhạy bén và cách đọc,1:22
,,,,,,,Vấn đáp đọc và nhạy bén,10 questions
,,,,,,Phần 5: nhận thức và trí nhớ,,
,,,,,,,Suy nghĩ của hệ thống 1 và hệ thống 2,3:40
,,,,,,,Công bố sự tiến bộ,2:07
,,,,,,,Bí ẩn của +7 và -2,2:18
,,,,,,,Nhân tố con người,5:31
,,,,,,,GIới hạn của trí nhớ,5:16
,,,,,,,Sự tương quan ,3:28
,,,,,,,Giới thiệu tại sao video trên mạng lại hấp dẫn vậy,5:10
,,,,,,,Quan hệ giữa chúng ta với công nghệ,3:37
,,,,,,,Ví dụ thực tiễn về bộ phận nhận thức và trí nhớ,9:31
,,,,,,,Bài tập nhận thức và trí nhớ,0:31
,,,,,,,Vấn đáp nhận thức và trí nhớ,9 questions
,,,,,,Phần 6: áp dụng quy luật thu hút với sản phẩm của bạn,,
,,,,,,,Giới thiệu về áp dụng các quy luật,0:51
,,,,,,,Bước 1: Ai là đối tượng hướng tới,4:08
,,,,,,,Bước 2: Đối tượng hướng tới của bạn muốn làm gì,2:10
,,,,,,,Bước 3: Bạn muốn đối tượng hướng tới làm gì,2:40
,,,,,,,Bước 4: Chọn những quy luật áp dụng được cho tất cả mọi người,3:56
,,,,,,,Bước 5: Áp dụng quy luật chi tiết cho mỗi hoàn cảnh,3:20
,,,,,,,Áp dụng quy luật thu hút để tái thiết kế,3:58
,,,,,,,Áp dụng quy luật thu hút tới một dự án từ lúc khởi đầu,2:55
,,,,,,,Bài tập về áp dụng quy luật thu hút,0:30
,,,,,,,Vấn đáp quy luật thu hút,7 questions
,,,,,,Phần 7: sức manh của câu chuyện,,
,,,,,,,Giới thiệu về câu chuyện,2:10
,,,,,,,Câu chuyện và bộ não,6:28
,,,,,,,Sử dụng câu chuyện về bản thân để xúi giục hành động,5:29
,,,,,,,Câu chuyện gợi ý,3:24
,,,,,,,Cam kết ,4:13
,,,,,,,Ví dụ điển hình về câu chuyện,8:43
,,,,,,,Thực hành sức mạnh của câu chuyện,0:45
,,,,,,,Vấn đáp sức mạnh của câu chuyện,5 questions
,,,,,,Phần 8: Thói quen,,
,,,,,,,Giới thiệu về thói quen,2:43
,,,,,,,Khoa học thói quen,3:10
,,,,,,,3 bí mật của thói quen,6:52
,,,,,,,Ví dụ thực tiễn về thói quen,7:21
,,,,,,,Vấn đáp thói quen,5 questions
,,,,,,Phần 9: Trò lừa của bộ não,,
,,,,,,,"Giới thiệu về bài giảng ""trò lừa của bộ não""",0:54
,,,,,,,Hiệu ứng hối hận,0:49
,,,,,,,Cảm xúc và hành động,2:03
,,,,,,,Cái tên và biểu tượng cụ thể vs trừu tượng ,0:46
,,,,,,,Kinh nghiệm và sự sở hữu,2:12
,,,,,,,Hiệu ứng phơi bày,1:31
,,,,,,,Điểm tựa,4:44
,,,,,,,Hiệu ứng của nhắc đến tiền,2:16
,,,,,,,Hiệu ứng của nhắc đến cái chết,2:59
,,,,,,,Ví dụ thực tiễn về Trò lừa của bộ não,4:59
,,,,,,,Bài tập trò lừa của bộ não,0:40
,,,,,,,Vấn đáp trò lừa của bộ não,10 questions
,,,,,,Phần 10: Khát vọng trở nên tinh thông,,
,,,,,,,Giới thiệu về khát vọng tinh thông,1:04
,,,,,,,Tự do ý chí,2:47
,,,,,,,Giới thiệu về trạng thái trôi,1:56
,,,,,,,Vai trò của góp ý,1:53
,,,,,,,Ví dụ thực tiễn về khát vọng tinh thông,5:06
,,,,,,,Bài tập về khát vọng tinh thông,0:32
,,,,,,,Vấn đáp về khát vọng tinh thông,7 questions
,,,,,,Phần 11: Cám ơn,,
,,,,,,,Cám ơn đã tham gia khóa học,0:35
