Alias,Title,Subtitle,Promo Video,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
khoa-hoc-ly-thuyet-marketing-can-ban,Khóa học lý thuyết marketing căn bản,Trang bị cho bạn những kiến thức nền tảng về marketing,https://youtu.be/qELLtqfa1fI?list=PL-xa1TEVfkucpMZQekrwXfXNz58JyuwC0,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương 1,,,,
,,,,Bạn có biết: 50% THÔNG TIN TUYỂN DỤNG HIỆN NAY là cho các vị trí trong lĩnh vực marketing & bán hàng?,Những người yêu thích và đam mê Marketing,Khóa học sẽ trang bị cho bạn những kiến thức cơ bản nhất về Marketing để bạn có thể tự tìm hiểu và nghiên cứu sâu về lĩnh vực này,Tất cả những người có nhu cầu tìm hiểu về Marketing,,Bản chất Marketing - Phần 1,9:00,Video,https://www.youtube.com/watch?v=Kft0twsh6B8&list=PL-xa1TEVfkucpMZQekrwXfXNz58JyuwC0&index=1
,,,,"Khóa học ""Lý thuyết marketing căn bản"" sẽ mang đến cho bạn một góc nhìn đầy đủ, toàn diện về một trong những ngành nghề HOT nhất hiện nay. Khóa học sẽ bao gồm các nội dung:",,,,,Bản chất Marketing - Phần 2,9:00,Video,https://www.youtube.com/watch?v=pYFr9pAssnY&list=PL-xa1TEVfkucpMZQekrwXfXNz58JyuwC0&index=2
,,,,- Bản chất của marketing: Marketing là gì?,,,,Chương 2,,,,
,,,,- Nghiên cứu thị trường: Phân tích môi trường marketing & hành vi người dùng.,,,,,Hệ thống thông tin và nghiên cứu Marketing,12:00,Video,https://www.youtube.com/watch?v=W52cqSPkKVo&index=3&list=PL-xa1TEVfkucpMZQekrwXfXNz58JyuwC0
,,,,- Các dạng chiến lược marketing,,,,Chương 3,,,,
,,,,- Chiến lược marketing hỗn hợp,,,,,Phân tích môi trường Marketing - Phần 1,10:00,Video,https://www.youtube.com/watch?v=Kdp_-qgZ9Ck&index=4&list=PL-xa1TEVfkucpMZQekrwXfXNz58JyuwC0
,,,,....,,,,,Phân tích môi trường Marketing - Phần 2,7:00,Video,https://www.youtube.com/watch?v=vWTmoEDpZ2E&list=PL-xa1TEVfkucpMZQekrwXfXNz58JyuwC0&index=5
,,,,"Học marketing chưa bao giờ lại dễ dàng đến như vậy đối với bạn. Kho tài liệu khổng lồ, bài giảng sinh động, nội dung chuyên sâu...bạn có thể tự thiết lập thời gian học của mình, làm bài tập, chia sẻ chuyên môn với các chuyên gia hàng đầu...Hãy tham gia chương trình học marketing miễn phí của SPT GROUP.",,,,Chương 4,,,,
,,,,,,,,,Hành vi người tiêu dùng - Phần 1,11:00,Video,https://www.youtube.com/watch?v=UnGoFYzoC-A&index=6&list=PL-xa1TEVfkucpMZQekrwXfXNz58JyuwC0
,,,,,,,,,Hành vi người tiêu dùng - Phần 2,7:00,Video,https://www.youtube.com/watch?v=HkbgZZw1k28&list=PL-xa1TEVfkucpMZQekrwXfXNz58JyuwC0&index=7
,,,,,,,,Chương 5,,,,
,,,,,,,,,Định vị thị trường - Phần 1,14:00,Video,https://www.youtube.com/watch?v=OVAN-2-aFFM&index=8&list=PL-xa1TEVfkucpMZQekrwXfXNz58JyuwC0
,,,,,,,,,Định vị thị trường - Phần 2,9:00,Video,https://www.youtube.com/watch?v=fNMTBYfkOyk&index=9&list=PL-xa1TEVfkucpMZQekrwXfXNz58JyuwC0
,,,,,,,,Chương 6,,,,
,,,,,,,,,Các dạng chiến lược Marketing - Phần 1,8:00,Video,https://www.youtube.com/watch?v=tE5y8O2q_yc&list=PL-xa1TEVfkucpMZQekrwXfXNz58JyuwC0&index=10
,,,,,,,,,Các dạng chiến lược Marketing - Phần 2,14:00,Video,https://www.youtube.com/watch?v=n-S8ZJmBurQ&index=11&list=PL-xa1TEVfkucpMZQekrwXfXNz58JyuwC0
,,,,,,,,Chương 7,,,,
,,,,,,,,,Các quyết định về sản phẩm - Phần 1,16:00,Video,https://www.youtube.com/watch?v=9gbTREsMPe0&list=PL-xa1TEVfkucpMZQekrwXfXNz58JyuwC0&index=12
,,,,,,,,,Các quyết định về sản phẩm - Phần 2,12:00,Video,https://www.youtube.com/watch?v=auGDlbmxVHE&index=13&list=PL-xa1TEVfkucpMZQekrwXfXNz58JyuwC0
,,,,,,,,Chương 8,,,,
,,,,,,,,,Chính sách giá - Phần 1,13:00,Video,https://www.youtube.com/watch?v=ZqC9dL8l9io&list=PL-xa1TEVfkucpMZQekrwXfXNz58JyuwC0&index=14
,,,,,,,,,Chính sách giá - Phần 2,12:00,Video,https://www.youtube.com/watch?v=jEiI3O-jK34&index=15&list=PL-xa1TEVfkucpMZQekrwXfXNz58JyuwC0
,,,,,,,,Chương 9,,,,
,,,,,,,,,Quyết định về phân phối - Phần 1,11:00,Video,https://www.youtube.com/watch?v=fk0IvOUAMI0&list=PL-xa1TEVfkucpMZQekrwXfXNz58JyuwC0&index=16
,,,,,,,,,Quyết định về phân phối - Phần 2,7:00,Video,https://www.youtube.com/watch?v=5rxxWQak5dk&index=17&list=PL-xa1TEVfkucpMZQekrwXfXNz58JyuwC0
,,,,,,,,Chương 10,,,,
,,,,,,,,,Chiến lược xúc tiến hỗn hợp - Phần 1,10:00,Video,https://www.youtube.com/watch?v=QZ-kj69mk6M&list=PL-xa1TEVfkucpMZQekrwXfXNz58JyuwC0&index=18
,,,,,,,,,Chiến lược xúc tiến hỗn hợp - Phần 2,10:00,Video,https://www.youtube.com/watch?v=wlddod-HwQE&list=PL-xa1TEVfkucpMZQekrwXfXNz58JyuwC0&index=19
