Alias,Title,Subtitle,Promo Video,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
5-ky-nang-de-thanh-cong-trong-moi-truong-toan-cau,5 kỹ năng để thành công trong môi trường toàn cầu,"Học và ÁP DỤNG NGAY những KỸ NĂNG QUAN TRỌNG để thành công hơn trong môi trường làm việc, kinh doanh và học tập toàn cầu. Hãy bắt đầu NGAY BÂY GIỜ!",https://youtu.be/emTFyd0YUKA?list=PL-xa1TEVfkuebSYBjPwnlxqF05jnfo2iz,,,,,Phần 1: 5 kỹ năng để thành công trong môi trường toàn cầu by Victoria Quỳnh Giang,,,,
,,,,"Series 5 KỸ NĂNG QUAN TRỌNG ĐỂ THÀNH CÔNG TRONG MÔI TRƯỜNG TOÀN CẦU của VinaQueens giúp bạn năm vững được kĩ năng mềm quan trọng mà trường đại học không thể dạy bạn. Có thể nói ngày nay, bên cạnh các kĩ năng cứng, các kiến thức cơ bản thì các kĩ năng mềm chính là yếu tố quyết định thành công của một cá nhân. Không chỉ dừng lại ở môi trường hạn hẹp, các kĩ năng được giới thiệu trong khóa học còn dựa trên nghiên cứu về các yêu cầu trong bối cảnh hội nhập kinh tế thế giới hiện nay của Việt Nam, là cơ hội để người Việt thay đổi cái nhìn của bạn bè quốc tế, trở thành người có hiểu biết, khôn khéo, bản lĩnh và tự tin.",- Mở mang tâm trí.,- Phá tan niềm tin hạn chế của bạn.,"- Nếu như bạn đã chán với việc là người bình thường, muốn nhiều hơn từ cuộc sống nhưng không biết phải làm thế nào để mọi chuyện khác biệt, hãy tham gia khóa học.",,Kỹ năng #1: TẦM NHÌN - Phần 1,21:01,video,https://www.youtube.com/watch?v=UzwUB5LrU94&list=PL-xa1TEVfkuebSYBjPwnlxqF05jnfo2iz
,,,,,- Tiếp thu kiến thức.,- Cảm thấy có động lực và khát khao.,- Bạn nên tham gia khóa học này nếu như bạn muốn thiết kế cuộc đời thay vì để hoàn cảnh kiểm soát nó.,,Kỹ năng #1: TẦM NHÌN - Phần 2,21:06,video,https://www.youtube.com/watch?v=L2ED80B_KUI&index=2&list=PL-xa1TEVfkuebSYBjPwnlxqF05jnfo2iz
,,,,,- Thực hiện các bài tập và bắt đấu thay đổi suy nghĩ của bạn.,- Tìm hiểu những chiến lược vững chắc và ký thuật hữu ích.,- Bạn không nên tham gia khóa học này nếu như bạn không tin vào việc tự cải thiện.,,Kỹ năng #1: TẦM NHÌN - Phần 3,21:14,video,https://www.youtube.com/watch?v=jsjPmV4xgnk&index=3&list=PL-xa1TEVfkuebSYBjPwnlxqF05jnfo2iz
,,,,,,- Tìm hiểu làm thế nào để xác định tầm nhìn hấp dẫn.,,,Kỹ năng #2: HƯỚNG NGHIỆP - Phần 1,30:21,video,https://www.youtube.com/watch?v=uzAxC1ouQ00&list=PL-xa1TEVfkuebSYBjPwnlxqF05jnfo2iz&index=4
,,,,,,- Khám phá lý do tại sao mục tiêu trung bình không hoạt động.,,,Kỹ năng #2: HƯỚNG NGHIỆP - Phần 2,13:11,video,https://www.youtube.com/watch?v=cyP1loqUybM&index=5&list=PL-xa1TEVfkuebSYBjPwnlxqF05jnfo2iz
,,,,,,- Trở nên tự tin hơn.,,,Kỹ năng #2: HƯỚNG NGHIỆP - Phần 3,44:33,video,https://www.youtube.com/watch?v=zOIe9vwzMb8&index=6&list=PL-xa1TEVfkuebSYBjPwnlxqF05jnfo2iz
,,,,,,...và tự tin hơn nữa.,,,Kỹ năng #3: QUẢN LÝ THỜI GIAN - Phần 1,11:49,video,https://www.youtube.com/watch?v=5JGue1J7tgo&list=PL-xa1TEVfkuebSYBjPwnlxqF05jnfo2iz&index=7
,,,,,,,,,Kỹ năng #3: QUẢN LÝ THỜI GIAN - Phần 2,15:14,video,https://www.youtube.com/watch?v=QYK0OwWRHlk&list=PL-xa1TEVfkuebSYBjPwnlxqF05jnfo2iz&index=8
,,,,,,,,,Kỹ năng #4: QUẢN LÝ TÀI CHÍNH,26:07,video,https://www.youtube.com/watch?v=8U1_ZQHWlxc&list=PL-xa1TEVfkuebSYBjPwnlxqF05jnfo2iz&index=9
,,,,,,,,,Kỹ năng #5: CHĂM SÓC BẢN THÂN,34:35,video,https://www.youtube.com/watch?v=p8OM3gak5Tk&index=10&list=PL-xa1TEVfkuebSYBjPwnlxqF05jnfo2iz
