Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
chung-chi-amazon-web-services,Chứng chỉ Amazon Web Services (AWS),Bạn muốn vượt qua kỳ thi lấy chứng chỉ kiến trúc sư AWS? Bạn muốn trở thành Nhà cung cấp dịch vụ web Amazon? Hãy tham gia khóa học này!,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Giới thiệu về khóa học,,,,
,,,"Chứng chỉ của AWS đang nhanh chóng trở thành chứng chỉ cần phải có đối với bất kỳ chuyên gia CNTT nào đang làm việc cùng với AWS. Khóa học này được thiết kế để giúp bạn vượt qua các kỳ thi lấy chứng chỉ Kiến trúc sư giải pháp (CSA) của AWS. Ngay cả khi bạn chưa bao giờ đăng nhập vào hệ thống AWS trước đó, vào cuối khóa đào tạo lấy chứng chỉ AWS của chúng tôi, bạn sẽ có thể tham dự kỳ thi CSA. Không yêu cầu kiến ​​thức lập trình và cũng không đòi hỏi có kinh nghiệm về AWS trước đó. Trên hành trang của bạn, cùng với chứng chỉ AWS này (và sau khi hoàn thành khóa học Nhà phát triển AWS đã được chứng nhận 2015 của chúng tôi  - cũng có sẵn trên Tudemy), nhiều nhà tuyển dụng sẽ yêu thích bạn. Chính vì thế, chắc chắn bạn sẽ có thể yêu cầu một mức lương cao.","Bạn sẽ cần phải thiết lập một tài khoản trên AWS (bạn có thể được quyền sử dụng các lớp miễn phí của khóa học này)
",- Hơn 68 bài giảng và 10 giờ nội dung!,- AWS hoàn toàn dành cho những người mới bắt đầu. Không yêu cầu kinh nghiệm về AWS.,,Giới thiệu và khái quát,10:36,Video,
,,,"Chúng ta sẽ bắt đầu khóa học này với cái nhìn tổng quan về nền tảng của AWS và sau đó đi sâu vào các yếu tố riêng của AWS. Bạn sẽ khám phá Route53, EC2, S3, Autoscaling, Load Balancing, RDS, RedShift, DynamoDB, EMR, VPC...",,- Vượt qua các kỳ thi lấy chứng chỉ AWS Certified Solutions Architect - Associate,- Các kiến trúc giải pháp được tạo sẵn,,Diễn đàn trò chuyện trên AWS của các bậc thầy về Điện toán đám mây,2:45,Video,
,,,"Khi mua khóa học này, bạn sẽ nhận được một mã mua hàng để tham gia vào khóa học Developers trị giá $19 và một phiếu giảm giá học khóa Quản trị SysOps có giá $ 24 USD.",,- Thiết kế các Websites nổi trội và có khả năng nâng cấp cao trên AWS,- Các lập trình viên quan tâm đến các ứng dụng khai triển trên AWS,,Kiểm tra bản thiết kế chi tiết,9:44,Video,
,,,Hãy đọc những nhận xét tuyệt vời về khóa học của chúng tôi!,,- Trở nên thành thạo về hệ AWS,"- Những người quan tâm đến khả năng mở rộng lưu trữ cao, các ứng dụng chịu lỗi (như Wordpress và Joomla) trên đám mây AWS",,Bắt đầu khóa học - Những thứ bạn sẽ cần,5:18,Video,
,,,"An miêu tả về khóa học này như là ""khóa học tốt nhất hiện có""",,- Trở thành thành viên Amazon được công nhận,,,Các ứng dụng Android/iPhone tùy chọn,2:23,Video,
,,,"Thành Khôi cho rằng khóa học này là ""của trời cho""",,- Trở thành một Bậc thầy về Cloud,,Phần 2: Cái nhìn khái quát chung nhất về AWS,,,,
,,,"Còn Anh Khoa nhận xét rằng ""Nếu bạn đang luyện thi thì bạn nhất định phải tham gia vào khóa học này""",,,,,Lịch sử cho đến nay,5:02,Video,
,,,"AWS liên tục phát triển nền tảng của các khóa học, trong năm 2014 đã có hơn 500 sản phẩm phát hành. Bởi vì trong tiến trình năm 2015 chúng tôi sẽ liên tục cập nhật các khóa học này với nội dung mới, do vậy bạn sẽ không phải lo lắng sẽ bỏ lỡ hay thi trượt bài kiểm tra chứng chỉ AWS.",,,,,Các khái niệm và những bộ phận cấu thành - Phần 1,10:05,Video,
,,,"Hầu hết các bài giảng kéo dài từ 5 đến 12 phút, và hầu như không bài giảng nào dài quá 20 phút. Tôi là một nhà Quản trị hệ thống, Nhà phát triển, và người đã nhận được chứng chỉ AWS Certified Solutions Architect. Tôi đang sống ở Luân Đôn với hơn 17 năm kinh nghiệm trong lĩnh vực CNTT. Khóa học này rẻ hơn so với các khóa học khác bởi vì tôi không có ý định làm công việc này như một công việc toàn thời gian, mà còn hơn thế, bởi vì tôi yêu thích việc dạy về Điện toán đám mây. Vì vậy, tham gia cùng với tôi để trở thành Bậc thầy về đám mây điện toán ngay hôm nay và nhận chứng chỉ AWS Certified Solutions Architect Associate qua việc hoàn thành khóa học trực tuyến trên AWS của chúng tôi ngay hôm nay!",,,,,Các khái niệm và những bộ phận cấu thành - Phần 2,14:34,Video,
