Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
oracle-sql,Oracle SQL (Ngôn ngữ truy vấn có cấu trúc - Structured Query Language),Khám phá các kỹ thuật SQL cần thiết với khóa học của chúng tôi! Bạn có thể trở thành nhà phát triển SQL kiếm được hơn 70k đô la trong ngành công nghiệp CNTT.,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,,Chào mừng bạn đến với khóa học!,5:45,,
,,,"Đến với khóa học của chúng tôi, bạn có thể trở thành nhà phát triển SQL và có thể kiếm được tiền chỉ trong 7 tuần.
",Bất kỳ sinh viên có kiến thức điều khiển máy tính thì đều đủ điều kiện để tham gia khóa học này,Hơn 111 bài giảng và 5.5 giờ nội dung!,"Khoá học SQL này rất hữu ích cho người mới bắt đầu, những người không quen sử dụng các cú pháp SQL. Ngoài ra, khóa học cũng rất phù hợp với các bạn sinh viên, những người đang tìm kiếm một lớp học nâng cao về SQL và một số khái niệm cơ sở dữ liệu quan trọng. Kiến thức lập trình không yêu cầu phải có.",,Bí quyết giúp bạn tận dụng khóa học tốt nhất,1 trang,,
,,,"Khóa học hiệu quả, dễ dàng và nhanh chóng này sẽ giúp bạn từ người không có kỹ năng gì trong kỹ năng viết SQL có thể kiếm được tiền như một nhà phát triển SQL chuyên nghiệp.",,Hiểu thuật ngữ Cơ sở dữ liệu,,Phần 1: Cài đặt phần mềm,,,,
,,,"Khóa học này sẽ dạy cho bạn tất cả mọi thứ bạn cần biết về SQL, từ học các khái niệm cơ sở dữ liệu đến viết SQL để tương tác với cơ sở dữ liệu.",,Đọc dữ liệu từ cơ sở dữ liệu,,,Cài đặt Oracle,4:07,,
,,,"Trong suốt khóa học, tôi sẽ sử dụng các phương pháp dưới đây để giúp bạn tư duy và giúp đỡ bạn trong việc hình thành các câu lệnh SQL.",,Tạo dữ liệu trong cơ sở dữ liệu,,,Cài đặt Java SDK,2:20,,
,,,Nhu cầu kinh doanh:,,Giải quyết các hạn chế về kiểu dữ liệu được lưu trữ,,,Cài đặt Nhà phát triển SQL,3:21,,
,,,Nhà quản lý của bạn đưa cho bạn một báo cáo về tổng khối lượng bán hàng trong tháng Một theo Ngày và ở các Thành phố khác nhau:,,Nâng cao hiệu suất sử dụng Index,,,Chạy các tập lệnh cần thiết cho khóa học,2:12,,
,,,Các câu hỏi sẽ phải xuất hiện trong đầu của bạn để bạn có thể xây dựng truy vấn:,,,,,Các tập lệnh cho các bài tập thực hành,4 trang,,
,,,Câu hỏi Câu trả lời,,,,Phần 2: Các khái niệm Cơ sở dữ liệu,,,,
,,,Chọn? SELECT,,,,,Tập tin là gì?,2:05,,
,,,"Những cột gì? DAY, CITY",,,,,Bảng là gì?,2:23,,
,,,Tổng? SUM (VOLUME),,,,,Cơ sở dữ liệu là gì?,3:15,,
,,,Giới từ? FROM,,,,,Cơ sở dữ liệu quan hệ (RDBMS) là gì?,1:47,,
,,,Bảng dữ liệu các đơn đặt hàng là bảng nào? SALES,,,,,Giao dịch là gì?,2:27,,
,,,Lọc? WHERE SALES_DATE BETWEEN ’01-JAN-2015’ and ’31-JAN-2015’,,,,,"Bốn thuộc tính Tính nguyên tố (Atomicity), Tính nhất quán (Consistency), Tính tách biệt (Isolation), Tính bền vững (Durability) (ACID) là gì ??",2:40,,
,,,"Gộp nhóm? GROUP BY DAY, CITY",,,,,Nhà cung cấp RDBMS,1:17,,
,,,Kết hợp các câu trả lời ở trên để tạo thành các SQL dưới đây,,,,,Quy tắc CODD,2 slides,,
,,,"SELECT day, city, SUM(volume) CHỌN ngày, thành phố, TỔNG (thể tích)",,,,Phần 3: Cách truy cập Rồng (Cơ sở dữ liệu),,,,
,,,FROM việc kinh doanh,,,,,Bạn hiểu như thế nào về Cơ sở dữ liệu?,1:59,,
,,,WHERE kinh doanh_ngày GIỮA ’01-JAN-2015’ VÀ ’31-JAN-2015’,,,,,Các lệnh cơ bản là gì?,2:43,,
,,,"GROUP BY ngày, thành phố;",,,,,Chúng ta có thể lưu trữ loại Dữ liệu nào?,3:12,,
