Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
tang-nang-suat-lam-viec-cho-nguoi-dung-may-mac-len-10-lan,Tăng năng suất làm việc cho người dùng máy Mac lên 10 lần,Các phím tắt và công cụ giúp tăng năng suất của bạn lên 10 lần trên máy Mac.,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,"Phần 1: Các phím tắt cơ bản
",,,,
,,,Đã từng bao giờ bạn cảm thấy mình đang lãng phí quá nhiều thời gian để hoàn thành những tác vụ đơn giản trên máy tính? Giống như có những ngày bạn dành ra hàng giờ chỉ để hoàn thành một phần mười những gì bạn mong đợi khi thức dậy vào sáng hôm ấy?,- Những ai dùng Mac sẽ được lợi nhiều nhất từ khóa học này.,"- Hơn 19 bài giảng và 1,5 giờ nội dung.",- Khóa học này dành cho những người muốn tăng hiệu suất làm việc với máy tính.,,"Giới thiệu
Giới thiệu về khóa học tăng hiệu năng sử dụng Mac. Chỉ trong 60 phút, bạn sẽ học được cách làm thế nào để tăng từ 3 tới 5 lần hiệu quả sử dụng Mac của bạn",2:08,Video,
,,,"Đó không phải là cảm giác vui vẻ gì nhưng đối với rất nhiều người trong số chúng ta, thật ra đúng là như vậy.","- Nếu bạn là một người dùng PC, rất tiếc khóa học này không dành cho bạn rồi.","- Đến cuối khóa học, bạn sẽ nhận thấy mình sử dụng ít thời gian hơn hẳn để hoàn thành những tác vụ đơn giản trên máy tính, làm chủ các phím tắt trên bàn phím, tăng tốc độ hoàn thành danh sách các nhiệm vụ và có một bộ công cụ cao cấp giúp bạn làm việc hiệu quả hơn.",- Tất cả mọi người - từ người mới dùng máy tính tới các chuyên gia về Mac - đều sẽ học được những điều bổ ích từ lớp học.,,Phần thêm,Văn bản,Text,
,,,Tại sao lại thế? Bởi rất nhiều người trong chúng ta không làm chủ được công cụ mà mình sử dụng nhiều nhất - chiếc máy tính.,- Máy tính có kết nối Internet.,"- Trong khóa học này, bạn sẽ học được cách sử dụng máy tính hiệu quả hơn để tăng hiệu suất làm việc và có kết quả tốt hơn.",,,"Câu lệnh, Tùy chọn và Kiểm soát
Ở bài này, tôi sẽ nói về những biểu tượng khác nhau được Apple sử dụng để biểu thị các phím (như phím shift, câu lệnh...) bạn sẽ sử dụng chúng trong suốt khóa học này.
Xem bên dưới để nhận bảng tổng hợp cho những biểu tượng này.",1:35,Video,
,,,"Chúng ta đều đã nghe câu chuyện về người đốn củi luôn cố gắng mài lưỡi cưa của mình để đốn được nhiều cây hơn. Vậy có bao nhiêu người trong số chúng ta dành rất nhiều thời gian làm việc với máy tính mà vẫn không biết những mẹo và thủ thuật để sử dụng nó hiệu quả hơn? Và kết quả là đã lãng phí thời gian mà đáng ra ta có thể nghỉ ngơi, kiếm nhiều tiền hơn hoặc đi chơi với bạn bè và gia đình.",- Một máy tính của Apple.,,,,"Thao tác thành thạo với văn bản
Trong bài này, tôi giới thiệu cách giúp bạn thao tác nhanh chóng và dễ dàng với văn bản. Có thể sao chép, cắt dán và điều khiến các đoạn văn bản nhanh chóng và cực kì hữu ích nếu - giống như rất nhiều người trong chúng ta - bạn tiêu tốn rất nhiều thời gian vào email và Microsoft word mỗi ngày.",6:04,Video,
,,,"Khóa học này sẽ thay đổi điều đó. Qua nhiều năm, tôi đã học được những công cụ và phím tắt để tăng gấp 10 lần hiệu suất làm việc trên máy Mac. Cùng với đó, những thủ thuật tăng hiệu suất làm việc này cũng giúp tôi viết nhanh hơn, duyệt mail nhanh hơn, sử dụng Microsoft Office nhanh gấp 5 lần và làm được nhiều việc hơn.",,,,,"Điều hướng phím tắt
Trong khóa học này, tôi đề cập đến cách làm thế nào để chuyển hướng nhanh chóng giữa các ứng dụng khác nhau sử dụng phím tab, câu lệnh và phím tilda.",2:38,Video,
,,,"Một nghiên cứu gần đây thống kê được rằng việc sử dụng máy tính chậm sẽ làm lãng phí trung bình 8 NGÀY/ năm/người. Đơn giản bởi họ không biết làm thế nào để sử dụng máy tính một cách hiệu quả. Ngay cả nếu bạn đã làm việc quen trên máy tính, tôi đảm bảo khóa học này sẽ chỉ cho bạn cách sử dụng máy Mac như một chuyên gia.",,,,,"Điều hướng phím nóng phần 2
Trong bài này, tôi chỉ cho bạn cách mở và đóng các chương trình nhanh chóng trên máy Mac của bạn bằng phím nóng và công cụ tìm kiếm.
",1:36,Video,
,,,Và... tin tốt là bạn không cần phải quá thành thạo với máy tính để có thể làm được điều đó. Tôi đã giúp mẹ tôi (bà 50 tuổi) làm việc nhanh hơn để thoát khỏi chiếc máy tính bà ghét và dành thời gian cho gia đình nhiều hơn.,,,,,"Nghỉ ngơi ngắn
Nếu bạn đã học được gì đó rồi thì hãy dành vài giây để nhận xét khóa học. Tôi rất biết ơn điều này.",0:58,Video,
,,,"Ở cuối khóa học, bạn sẽ học được những bí mật chưa ai biết của Macbook để tăng hiệu suất làm việc (thật ra chỉ có một vài phù thủy của Apple biết được thôi).",,,,"Phần 2: Làm chủ các ứng dụng- Word, Gmail và hơn thế nữa",,,,
,,,Các con đường tắt và công cụ giúp cắt giảm thời gian mà bạn sử dụng cho Microsoft Office xuống 60%,,,,,"Thao tác với Microsoft Word 
Trong bài giảng này, tôi sẽ chỉ ra làm thế nào bạn có thể dùng phím tắt để sử dụng Microsoft Word nhanh hơn. Đối với nhiều người, viết một trong giấy hoặc viết nháp một lá thư cần trỏ chuột và kích chuột rất nhiều, tốn rất nhiều thời gian. Tôi sẽ cho bạn thấy làm thế nào để tránh sử dụng chuột trong Word và thực hiện công việc nhanh hơn.",7:16,Video,
,,,Một thủ thuật đơn giản để lấy lại những phút giây bị lãng phí giữa các chương trình mỗi ngày.,,,,,"Thủ thuật tăng hiệu quả sử dụng Gmail
Trong bài giảng này, tôi sẽ cho bạn thấy cách sử dụng Gmail nhanh chóng và hiệu quả. Chúng ta sẽ học về các phím tắt trong Gmail, làm thế nào để tùy biến các phím tắt của riêng bạn và làm thế nào để thiết lập một vài tính năng nâng cao bằng cài đặt Gmail và Labs
",10:43,Video,
,,,Làm thế nào để xử lý văn bản như một CHUYÊN GIA và không cần dùng chuột nữa?,,,,,"Chinh phục Google Chrome
Trong bài này, chúng ta sẽ tìm hiểu cách sử dụng Google Chrome nhanh chóng và hiệu quả. Tôi sẽ chỉ cho bạn cách làm chủ một trong những công cụ phổ được sử dụng biến nhất - trình duyệt web",14:46,Video,
