Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
microsoft-excel-2010-khoa-dao-tao-cho-trinh-do-so-cap-va-trung-cap,Microsoft Excel 2010: Khóa đào tạo cho trình độ sơ cấp và trung cấp,Học cách làm chủ và khai thác sức mạnh của Microsoft Excel theo từng bước đơn giản.,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Làm quen,,,,
,,,"Trong khóa học đào tạo Excel này, bạn sẽ học bằng cách xem tác giả thực sự thực hiện các tác vụ mà ông đang hướng dẫn, bởi ông giải thích từng bước làm thế nào để thực hiện các chức năng này. Việc đào tạo tiếp cận Microsoft Excel 2010 bắt đầu với những điều cơ bản nhất, như tạo ra bảng tính của bạn.",,"- Hơn 127 bài giảng và 9,5 giờ nội dung.","- Thích hợp cho cả người mới bắt đầu đến người dùng trình độ cao, lý tưởng cho những người dùng có thể tiếp thu nhanh hơn khi được hướng dẫn trực quan.",,Các tập tin thực hành - Trước tiên hãy tải xuống,Văn bản,Text,
,,,"Ông chậm rãi nâng cao trình độ của bạn thông qua việc học các chức năng khác nhau của chương trình hữu dụng này, và bao gồm từ công thức và chức năng cơ bản đến nâng cao.",,- Được học Microsoft Excel 2010 từ một giảng viên chuyên nghiệp từ ngay tại bàn của bạn.,"- Phương pháp đào tạo trực quan, giúp cho người học tăng khả năng ghi nhớ và đẩy nhanh tiến độ của việc học.",,Tổng quan về Excel 2010,6:16,Video,
,,,Một chương về cách để kết nối với Microsoft Web Apps cũng được đề cập.,,"- 126 bài giảng (với 9,5 giờ nội dung) hướng dẫn bạn tất cả từ cơ bản đến nâng cao về chương trình hùng mạnh này.",- Biến ngay cả những ứng dụng phức tạp nhất trở thành các bước cực kỳ đơn giản.,,Làm thế nào để đạt được Chứng nhận hoàn thành khóa học,Văn bản,Text,
,,,Khóa học cũng trình bày cách để sử dụng SkyDrive của bạn để lưu trữ và chia sẻ các dự án Microsoft Excel.,,,,,Danh sách tập tin mới trong Excel 2010,5:09,Video,
,,,"Là một học viên của khóa học này, bạn cũng có thể tải về các tập tin cho phép bạn làm việc cùng với các tác giả khi ông dạy bạn cách sử dụng Microsoft Excel 2010.",,,,,Tìm hiểu qua về Workbook (tập hợp các trang tính) trong Excel,2:25,Video,
,,,,,,,,Tôi có thể làm được gì sau khóa học này?,3:53,Video,
,,,,,,,,Tùy biến thanh công cụ truy cập nhanh,2:52,Video,
,,,,,,,,Làm việc với thanh ribbon,3:46,Video,
,,,,,,,,Cách sử dụng các tập tin đính kèm trong khóa học,0:33,Video,
,,,,,,,Phần 2: Làm việc với một trang tính trong Excel ,,,,
,,,,,,,,Tạo ra một workbook mới,1:36,Video,
,,,,,,,,Lưu lại một workbook ,2:25,Video,
,,,,,,,,Lưu trữ ở những định dạng khác,3:04,Video,
,,,,,,,,Mở một workbook có sẵn,1:45,Video,
,,,,,,,,Xác định một workbook trong excel,5:17,Video,
,,,,,,,Phần 3. Chọn và nhập dữ liệu,,,,
,,,,,,,,Nhập văn bản và chữ số,3:00,Video,
,,,,,,,,Nhập số dưới dạng text,3:47,Video,
,,,,,,,,Nhập ngày giờ,4:03,Video,
,,,,,,,,Chỉnh sửa nội dung trong một ô,2:08,Video,
,,,,,,,,Sử dụng tính năng cắt dán,6:47,Video,
,,,,,,,,Sử dụng bộ lọc,7:05,Video,
,,,,,,,,Sử dụng undo và redo,3:03,Video,
,,,,,,,,Đường tắt để chọn các ô,5:12,Video,
,,,,,,,,"Chèn thêm ô, cột và hàng",5:17,Video,
,,,,,,,,"Xóa ô, cột và hàng",3:21,Video,
,,,,,,,,Thay đổi độ rộng của cột và chiều cao của hàng,4:06,Video,
,,,,,,,,Ẩn và hiện một cột hoặc hàng,5:09,Video,
,,,,,,,,Tìm một giá trị trong worksheet,5:34,Video,
,,,,,,,Phần 4. Phát triển workbook,,,,
,,,,,,,,Định dạng và đặt tên cho các thẻ trong trang tính,3:41,Video,
,,,,,,,,Di chuyển các trang tính trong và giữa các workbook,4:49,Video,
,,,,,,,,Sao chép các bảng tính trong workbook,3:17,Video,
,,,,,,,,Thêm và xóa các trang tính,3:33,Video,
,,,,,,,,Xem nhiều hơn một trang tính ,4:34,Video,
,,,,,,,, Ẩn và hiện các trang tính,2:02,Video,
,,,,,,,Phần 5: In và thiết lập trang,,,,
,,,,,,,,Sử dụng lệnh in khu vực để kiểm soát những gì excel in ra,4:03,Video,
,,,,,,,,Căn lề giấy và hướng giấy,3:29,Video,
,,,,,,,,Tạo ra Header và Footer,4:48,Video,
