Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
phat-trien-kinh-doanh-danh-cho-cac-cong-ty-khoi-nghiep-va-cong-ty-cong-nghe-cao,Phát triển kinh doanh dành cho các công ty khởi nghiệp và công ty công nghệ cao,"Mở khóa tăng trưởng mạnh bằng cách sử dụng các kênh phát triển kinh doanh. Tìm hiểu việc trình bày và bảo vệ ý tưởng kinh doanh (pitching), chiến lược phát triển kinh doanh, gửi email không báo trước, và chốt thoả thuận",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,,,,,
,,,Các công ty sẽ bùng nổ nếu họ giải được mật mã để phát triển kinh doanh,Không yêu cầu kiến thức từ trước hay sự vận dụng bổ sung nào.,- Hơn 58 bài giảng và 30.5 giờ nội dung!,Tất cả những công ty hay cá nhân đang tìm cách làm chủ về phát triển kinh doanh. Tất cả mọi người từ các doanh nghiệp có kinh nghiệm đến những cá nhân chưa từng có kinh nghiệm nào trước đây sẽ được hưởng lợi từ khoá học này.,Phần 1: Giới thiệu và các phương pháp tư duy,,,,
,,,Bản thân tôi đã hiểu được điều này sau khi công ty cuối cùng mà tôi phát triển kinh doanh cho đã bán được với 100 triệu đô trong vòng 3 năm thành lập,,"- Đến cuối khoá học, bạn sẽ được trang bị với tất cả những gì mình cần để vượt trội về phát triển kinh doanh.",,,Chào mừng,1:45,Video,
,,,"Thử thách chính là khi chỉ có một số ít những người thực sự biết được họ đang làm gì khi công ty dần đạt được mức phát triển ồ ạt, thậm chí có thể mở rộng hơn thông qua việc phát triển kinh doanh",,"- Bạn sẽ học được các chiến thuật, cold emailing, cold calling, pitching, bán hàng, làm thế nào để chốt giao dịch, xây dựng mạng lưới, quản lý các đối tác, tạo mối và còn nhiều điều hơn thế, bao gồm cả tâm lý con người đằng sau tất cả những điều này.",,,Bố cục của khoá học,7:01,Video,
,,,"Thậm chí là tồi tệ hơn khi hầu như không có tài liệu nào đào tạo toàn diện về nó. Trong thực tế, việc cố vấn và đào tạo chỉ có tác dụng qua nhiều năm làm việc cùng với các chuyên gia tư vấn tốt nhất hoặc cao cấp với giá hàng trăm đô la một giờ.",,,,,Giới thiệu về phát triển kinh doanh,15:40,Video,
,,,"Sự mất kết nối này là lý do tại sao rất nhiều công ty đang không thể đạt đến mức tăng trưởng ồ ạt và hầu hết các ""nhà phát triển kinh doanh"" không thể thực hiện được những điều mà họ đã hứa.",,,,,Nền tảng thiết yếu và các cách tư duy để thành công,11:27,Video,
,,,Khoá học này được tạo ra để thay đổi điều đó và nó đã từng chỉ khả dụng kín trong nhóm các chuyên gia phát triển kinh doanh ưu tú cho đến bây giờ ...,,,,Phần 2: Chiến lược phát triển kinh doanh,,,,
,,,Đây không phải một trong những chương trình đào tạo cung cấp cho bạn những lý thuyết cơ bản và đẩy bạn ra thương trường chỉ tốt hơn một chút so với khi bạn bắt đầu...,,,,,Phát triển kinh doanh có phải điều đúng đắn cho công ty khởi nghiệp của tôi hay không?,6:40,Video,
,,,"Đến khi kết thúc khoá học này, bạn sẽ được trang bị với những chiến thuật phát triển kinh doanh khéo léo đặc biệt và một kho các chiến thuật khác đã được chuẩn bị cho mọi tình huống bạn sẽ phải đối mặt.",,,,,Quyết định chiến lược phát triển kinh doanh tốt nhất cho công ty của bạn,23:18,Video,
,,,Cần giữ vững lập trường chiến lược phát triển kinh doanh và không biết nên bắt đầu từ đâu? - Bạn sẽ được giải quyết trong khoá học này,,,,,Mài dũa chiến lược giao dịch đầu tiên của bạn,20:38,Video,
,,,Không thể có được các cuộc họp với các khách hàng tiềm năng? - Bạn sẽ được giải quyết trong khoá học này,,,,Phần 3: Tìm đến và tiếp cận đối tác,,,,
,,,Khách hàng tiềm năng không đón nhận hay trở lại với bạn? - Bạn sẽ được giải quyết trong khoá học này,,,,,Xây dựng đường truyền ban đầu của bạn,45:06:00,Video,
,,,"Không thể chốt được một thỏa thuận nào? - Bùm, bạn sẽ được tìm hiểu làm thế nào để xoá bỏ được điều đó",,,,,Tìm địa chỉ email của bất cứ ai,13:51,Video,
,,,"Khoá học này bao gồm toàn bộ các cách phát triển kinh doanh, từ việc cung cấp khung mẫu để bạn lên chiến lược, đến việc tạo nên những chiến lược gửi email và gọi điện không báo trước (cold email & calling) mà bạn có thể sử dụng để có được các cuộc họp với bất cứ ai. Bạn cũng sẽ được tìm hiểu làm thế nào để trình bày ý tưởng kinh doanh một cách mạnh mẽ và đẩy giao dịch qua vạch kết thúc một cách ổn định và đều đặn.",,,,,Cách tiếp cận ban đầu và giới thiệu về email,16:48,Video,
,,,Khoá đào tạo cao cấp này là hoàn hảo và đã mang lại nhiều kết quả cho:,,,,,Cold emailing,59:47:00,Video,
,,,Các công ty muốn mở khóa tăng trưởng ở mức độ cao hơn bằng cách tạo quan hệ đối tác phát triển kinh doanh và các mối quan hệ tăng trưởng,,,,,Chuyển đổi từ email đến cuộc họp,36:23:00,Video,
,,,Các chuyên gia phát triển kinh doanh kì cựu đang tìm cách để mài vót lưỡi giáo của mình với những chiến thuật độc đáo và đã được chứng minh,,,,,Cold calling,42:24:00,Video,
,,,Những nhà quản lý mong muốn tiết kiệm thời gian và cung cấp cho đội ngũ của mình sự đào tạo về phát triển kinh doanh tốt nhất hiện nay.,,,,,Tiếp cận có nhịp điệu,15:03,Video,
,,,Những người bắt đầu làm quen với phát triển kinh doanh hay muốn làm việc ở vị trí này và đang cố gắng có lợi thế hơn những người khác,,,,,BONUS! Khoá học bổ sung,1:58,Video,
,,,"Sau khi hoàn thành xong khóa học này, bạn sẽ nắm trong tay một cấp độ xuất sắc mới ...đi kèm với những phần thưởng lớn mà cá nhân bạn xứng đáng nhận được",,,,Phần 4: Pitching một cách mạnh mẽ,,,,
,,,"Dưới đây bạn có thể tìm thấy chương trình đào tạo được bố trí như thế nào, còn đây là tóm tắt ngắn gọn:",,,,,Nhập môn pitching,6:58,Video,
,,,Giới thiệu và phát triển một tư duy tấn công - Hiểu được các công dụng của phát triển kinh doanh và phát triển những tư duy cho thành công,,,,,Điều hướng những buổi họp đầu tiên,22:56,Video,
,,,"Chiến lược - Thực hiện kiểm toán đòn bẩy, chiến lược chọn lựa, lựa chọn chiến lược của bạn, lựa chọn chiến lược thoả thuận đầu tiên",,,,,Định vị,13:46,Video,
,,,"Tiếp cận gần gơn - Cô lập các bên liên quan mật thiết, gửi email và gọi điện không báo trước, và làm chủ các tình huống bác bỏ trong cuộc họp",,,,,Xây dựng bài pitching của bạn,30:29:00,Video,
,,,"Tóm gọn và xúc tiến các tổ chức quyền lực - Những cuộc họp đầu tiên, định vị, xúc tiến sàn xây dựng, thi hành việc xúc tiến, chiến thuật trước bán hàng (nâng cao)",,,,,Thực hiện việc xúc tiến của bạn,25:25:00,Video,
,,,"Thương lượng thành công - Sự phản đối, đối thoại liên tục, xây dựng mối quan hệ, đạt được thoả thuận, điều khoản đàm phán, thương lượng, chiến thuật chốt",,,,,Trước khi bán hàng,20:55,Video,
,,,Thực hiện và inbound opportunities - Thực hiện và mở rộng các giao dịch ký kết; Chiến lược để tạo inbound opportunities (cơ hội mang nhà đầu tư tự đến),,,,Phần 5: Đạt được thỏa thuận,,,,
,,,"Hãy tin tôi đi, đây chỉ là một phần nhỏ về những gì bạn sẽ học được cho đến lúc hoàn thành khoá học. Kết thúc khóa học, bạn sẽ có mọi công cụ cần thiết để khai thác toàn bộ tiềm năng phát triển doanh nghiệp của mình.",,,,,Đối phó với sự phản đối,16:12,Video,
,,,"Tôi sẽ tự trả lời bất kỳ câu hỏi nào mà bạn có thể gặp phải khi bạn xem xét các tài liệu học. Vì thế, bạn không cần lo lắng nếu không chắc chắn phải làm thế nào để áp dụng tất cả các thông tin này vào doanh nghiệp của mình.",,,,,Đối thoại liên tục,14:51,Video,
,,,VÀ bạn sẽ có quyền truy cập vào tất cả các tài liệu này cũng như những gì mới nhất mà tôi chia sẻ với tất cả học viên của khoá học này suốt đời!,,,,,Xây dựng mối quan hệ,12:23,Video,
,,,"LƯU Ý: đây là khoá học không có nguy cơ rủi ro với chính sách 30 ngày hoàn tiền của Tudemy. Không có gì để mất cả, bạn sẽ đạt được mọi thứ.",,,,,Đạt được thoả thuận từ những người quyết định,3:08,Video,
,,,Hy vọng sẽ được thấy bạn tham dự khoá học.,,,,,Điều khoản đàm phán và thương lượng,10:09,Video,
,,,"Nhân đây xin nói - Khoá đào tạo này là những thứ tôi đã giữ kín ngoại trừ trên web cộng đồng riêng của tôi trong một thời gian dài vì lo lắng quá nhiều về việc rò rỉ các bí mật thương mại. Cuối cùng sau khi bị thuyết phục bởi một số sinh viên rằng nhiều người phải thấy được những thứ này hơn, tôi quyết định công khai nó. Tôi không thể đảm bảo rằng tôi sẽ tiếp tục bán nó mãi mãi vì những mối lo lắng ban đầu của mình, nên hãy nắm lấy khi bạn còn có thể.",,,,,Chiến thuật chốt thỏa thuận,20:51,Video,
,,,,,,,Phần 6: Thực hiện và inbound opportunities,,,,
,,,,,,,,Thực hiện,9:52,Video,
,,,,,,,,Quản lý và gia tăng các inbound opportunities,11:13,Video,
,,,,,,,,Các thông tin chi tiết thêm và nguồn tài liệu miễn phí,4:23,Video,
,,,,,,,Mục 7: Nội dung khóa học (dưới dạng PDF),,,,
,,,,,,,,Chào mừng,1 slide,Slide,
,,,,,,,,Giới thiệu về phát triển kinh doanh,32 slides,Slide,
,,,,,,,,Tư duy phát triển kinh doanh hiệu quả,50 slides,Slide,
,,,,,,,,Phát triển kinh doanh có phải điều đúng đắn cho công ty khởi nghiệp của tôi hay không?,17 slides,Slide,
,,,,,,,,Quyết định chiến lược phát triển kinh doanh tốt nhất cho công ty của bạn,45 slides,Slide,
,,,,,,,,Mài dũa chiến lược giao dịch đầu tiên của bạn,52 slides,Slide,
,,,,,,,,Xây dựng đường truyền ban đầu của bạn,83 slides,Slide,
,,,,,,,,Tìm địa chỉ email của bất cứ ai,35 slides,Slide,
,,,,,,,,Cách tiếp cận ban đầu và giới thiệu về email,38 slides,Slide,
,,,,,,,,Cold emailing,106 slides,Slide,
,,,,,,,,Chuyển đổi từ email đến cuộc họp,75 slides,Slide,
,,,,,,,,Cold calling,93 slides,Slide,
,,,,,,,,Tiếp cận có nhịp điệu,25 slides,Slide,
,,,,,,,,Nhập môn pitching,24 slides,Slide,
,,,,,,,,Điều hướng những buổi họp đầu tiên,54 slides,Slide,
,,,,,,,,Định vị,39 slides,Slide,
,,,,,,,,Xây dựng bài pitching của bạn,106 slides,Slide,
,,,,,,,,Thực hiện việc xúc tiến của bạn,64 slides,Slide,
,,,,,,,,Trước khi bán hàng,58 slides,Slide,
,,,,,,,,Đối phó với sự phản đối,65 slides,Slide,
,,,,,,,,Đối thoại liên tục,29 slides,Slide,
,,,,,,,,Xây dựng mối quan hệ,60 slides,Slide,
,,,,,,,,Đạt được thoả thuận từ những người quyết định,10 slides,Slide,
,,,,,,,,Điều khoản đàm phán và thương lượng,36 slides,Slide,
,,,,,,,,Chiến thuật chốt thỏa thuận,58 slides,Slide,
,,,,,,,,Thực hiện,21 slides,Slide,
,,,,,,,,Quản lý và gia tăng các inbound opportunities,25 slides,Slide,
,,,,,,,,Các thông tin chi tiết thêm và nguồn tài liệu miễn phí,1 slide,Slide,
