Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
dau-tu-bat-dong-san-mot-cach-sang-tao,Đầu tư bất động sản một cách sáng tạo,"Điều mà hầu hết mọi người sẽ không bao giờ biết về việc đầu tư bất động sản một cách sáng tạo (không cần tiền mặt hoặc thẻ tín dụng) và ""flip"" nhà *mua nhà cũ và sửa chữa để bán).",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Bắt đầu,,,,
,,,"Việc đầu tư bất động sản và ""flip"" nhà thực sự có lợi nhuận như bạn thấy trên TV ... hay chỉ là quảng cáo phóng đại?",- Cởi mở,- Hơn 68 bài giảng và 13 giờ nội dung!,- Người mới bắt đầu,,Giới thiệu,10:55,Video,
,,,Liệu bạn có thể mua một ngôi nhà mà không sử dụng tiền mặt hoặc thẻ tín dụng?,- Thái Độ Tốt,- Cách bạn có thể kiếm nhiều tiền nhờ vào đầu tư vào -bất động sản,- Các nhà đầu tư trung và cao cấp có tư duy cởi mở,, Từ nhà ổ chuột đến căn hộ cao cấp,11:09,Video,
,,,Liệu có kẻ ăn mày nào có thể trở nên giàu có nhờ vào bất động sản?,- Kỹ năng nghe tốt,- Những điều không ai cho bạn biết về đầu tư,,,Điều gì có thể xảy ra với bất động sản,18:25,Video,
,,,"Được chuyên gia hàng đầu về đầu tư bất động sản sáng tạo tại Bắc Mỹ, Phil Pustejovsky, khóa học này sẽ tiết lộ cách để bạn có thể đầu tư thành công vào bất động sản, bất kể tình hình tài chính hiện tại của bạn, trên thị trường hiện nay, ngay trên sân sau nhà bạn""",,- Liệu bất động sản có phù hợp với bạn?,,,Tại sao nên trở thành một nhà đầu tư bất động sản?,15:29,Video,
,,,"Bạn sẽ khám phá ra câu chuyện có thật đáng kinh ngạc của Phil khi từ khởi đầu khiêm tốn, vô gia cư và phải sống ngoài chiếc xe tải của mình ông đã đến sống trong một biệt thự bên bờ sông tại Florida.",,"- Điều tốt, xấu và ngớ ngẩn của ""flip"" nhà",,,Cách để nghĩ như một nhà đầu tư thành công,12:57,Video,
,,,"Bạn sẽ học thứ mà hầu hết mọi người sẽ không bao giờ biết về đầu tư bất động sản sáng tạo và ""flip"" nhà, những gì hiệu quả và những gì thì không.",,- Cách mua với nhà với tiền mặt hoặc thẻ tín dụng,,,Kiểm tra chỉ số IQ của nhà đầu tư,10 câu hỏi,Quiz,
,,,Bạn sẽ có thể xác định xem đầu tư sáng tạo vào bất động sản có phù hợp cho bạn hay không.,,- Xác định giá trị của tài sản một cách nhanh chóng và dễ dàng,,,Giải thích đáp án bài kiểm tra chỉ số IQ của nhà đầu tư,văn bản,Text,
,,,"Hơn hết, bạn sẽ được giải trí và truyền cảm hứng trong suốt khóa học. Ví dụ như Phil sẽ hăng hái và nhiệt tình chia sẻ những bí mật mà ông đã học được khi góp phần tham gia vào hơn 1.000 giao dịch bất động sản trong suốt thập kỷ qua. Bạn sẽ thấy nhận xét vô cùng truyền cảm hứng của Freedom Mentor (một trang web tư vấn về đầu tư bất động sản). Bạn sẽ khám phá ra chi phí của Freedom Mentor. Hơn nữa, bạn sẽ nhận được một bản sao miễn phí của cuốn sách bán chạy nhất của ông ấy: ""Làm thế nào để trở thành một nhà đầu tư bất động sản"" ngay sau khi bạn đăng ký như một phần thưởng đặc biệt. Bạn còn chờ gì nữa? Hãy bắt đầu học ngay bây giờ!",,,,Phần 2: Đầu tư Bất động sản Truyền thống và Sáng tạo ,,,,
,,,,,,,,Bất động sản thực sự và ảo tưởng,10:07,Video,
