Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
lam-the-nao-de-phac-thao-mot-ke-hoach-kinh-doanh,Làm thế nào để phác thảo một kế hoạch kinh doanh?,Phương pháp đơn giản để phác thảo một bản kế hoạch trong vòng ít hơn 2 giờ,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,,,,,
,,,Khóa học được dành cho những người muốn lên một bản kế hoạch xây dựng ý tưởng một cách nhanh chóng và tiết kiệm và tạo sự liên kết bên trong đội của họ.,"- ""Chịu đựng"" được giảng viên",- Hơn 11 bài giảng và 1 giờ nội dung!,- Công ty mới khởi nghiệp muốn định hướng đúng,Phần 1: Giới thiệu,,,,
,,,"Khóa học thực sự lý tưởng cho những ai muốn định hướng việc kinh doanh của mình mà không muốn (hoặc không cần) dành hàng tháng phát triển 1 kế hoạch hoàn chỉnh, ví dụ như:",,- Lên bản phác thảo một kế hoạch kinh doanh,- Doanh nghiệp hiện tại muốn phát triển,,Giới thiệu,4:44,Video,
,,,- Lao động tự do,,- Xây dựng ý tưởng,"- Chủ doanh nghiệp dựa trên phong cách sống (lifestyle business) (người làm nghề tự do, doanh nghiệp một thành viên ...)",,Mẫu,5 trang,Document,
,,,"- Các nhà doanh nhân hiện tại tìm kiếm sự phát triển,",,- Tạo ra sự liên kết trong nhóm của bạn,- Những người muốn đánh giá ý tưởng kinh doanh,,Liên hệ truyền thông cộng đồng,1 trang,Document,
,,,- Những người khởi nghiệp về công nghệ với ít yêu cầu về vốn,,,- Những người quản lý công ty đa quốc gia cần làm việc về một vấn đề kinh doanh,Phần 2: Phần chính - mô hình chiến lược ATHENASIA,,,,
,,,Các lợi ích chính như:,,,,,Người làm chủ (Entrepreneur(s)),2:56,Video,
,,,- Xây dựng ý tưởng,,,,,Phân tích,12:11,Video,
,,,- Vạch ra một hướng đi rõ ràng,,,,,Cơ hội,2:21,Video,
,,,- Tạo ra sự liên kết trong nhóm của bạn,,,,,Kế hoạch,19:40,Video,
,,,Chúng tôi sử dụng phương pháp trực quan với việc lên ý tưởng và đăng tải nó,,,,,Rủi ro,3:09,Video,
,,,Khóa học được xây dựng với 5 khối:,,,,Phần 3: Kế hoạch chiến lược đơn giản và mô hình tài chính,,,,
,,,- Doanh nhân: Tìm hiểu đặc điểm mà một doanh nhân phải có để thành công,,,,,Kế hoạch chiến lược đơn giản và mô hình tài chính với excel,17:57,Video,
,,,"- Phân tích: Trong phần này chúng ta sẽ thực hiện một phân tích đơn giản về các yếu tố ngoại cảnh, cụ thể là môi trường, công nghiệp, thị trường, khách hàng",,,,Phần 4: Tổng kết,,,,
,,,"- Cơ hội: Sau khi phân tích, chúng ta sẽ xác định cơ hội",,,,,Tạo bản thảo cuối cùng,4:17,Video,
,,,"- Kế hoạch: Trong phần kế hoạch, chúng tôi sẽ chỉ ra rõ những yếu tố khác nhau cấu thành một kế hoạch",,,,,Bước tiếp theo,1:05,Video,
,,,- Rủi ro: Cuối cùng chúng ta sẽ xác định rủi ro và xây dựng các chiến lược giảm thiểu rủi ro,,,,,,,,
,,,"Vào cuối khóa học này, bạn sẽ có một ý tưởng rõ ràng hơn về những gì bạn muốn làm gì với doanh nghiệp của bạn. Bạn cũng sẽ có thể soạn thảo một bài thuyết trình DECK đơn giản để thảo luận về kế hoạch của bạn.",,,,,,,,
,,,"Chú ý. Tôi từng có chút nhầm lẫn trước đây. Dưới đây là định nghĩa ""phác thảo"" được sử dụng như một động từ (tham khảo từ 1 từ điển miễn phí), cũng là từ tôi sử dụng:",,,,,,,,
,,,- Vẽ lên một bản phác thảo hoặc sơ thảo cho một bài phát biểu,,,,,,,,
,,,- Chuẩn bị một bản kế hoạch hoặc thiết kế,,,,,,,,
,,,"Nếu bạn muốn viết một kế hoạch và tiếp cận các nhà đầu tư, bạn có thể muốn sử dụng khóa học này để tạo ra một bản thảo đầu tiên nhưng chúng tôi khuyên bạn nên tham dự khoá học khác của chúng tôi về cách ""Tạo ra một kế hoạch kinh doanh thực sự tốt ?!"", phù hợp hơn cho mục đích này.",,,,,,,,
