Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
tieu-chuan-quoc-te-isodis-90012015,Tiêu chuẩn quốc tế (Draft international stardard)  - ISO/DIS 9001:2015,Khóa huấn luyện ISO/DIS 9001:2015 - So sánh giữa dự thảo tiêu chuẩn quốc tế DIS và ISO 9001:2008,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1 : giới thiệu,,,,
,,,ISO 9001:2008 là tiêu chuẩn về hệ thống quản lý chất lượng hiện thời. Tiêu chuẩn này sắp được thay thế bởi một tiêu chuẩn sửa đổi mới có tên ISO 9001: 2015 từ tháng 9 năm 2015. Sửa đổi tiêu chuẩn ISO 9001 là một quá trình dài. Nhiều bản dự thảo được đưa ra trong quá trình này trước khi đi tới bản sửa đổi thống nhất cuối cùng. Hiện tại đang là giai đoạn của bản dự thảo tiêu chuẩn quốc tế DIS. Sẽ có thêm hai bước nữa được thực hiện trước khi tiêu chuẩn cuối cùng được công bố. Tham gia khóa học này nếu ban muốn tìm hiểu về :,- Yêu cầu hiểu biết cơ bản về hệ thống quản lý chất lượng hiện có,- Trải qua 16 bài giảng với thời lượng kiến thức trong 1h,- Những nhân viên đang nỗ lực nâng cấp tiêu chuẩn quản lý chất lượng (QMS) từ ISO 9001: 2008 sang ISO 9001:2015,,Ai là người sửa đổi tiêu chuẩn ISO 9001?,3:22,Video,
,,,Tiêu chuẩn này do ai tạo ra?,- Hiểu biết cơ bản về ISO 9001:2008,- Hiểu biết về quá trình phát triển của ISO 9001:2015,- Các đại diện quản lý,,Tại sao quá trình sửa đổi lại diễn ra?,4:44,Video,
,,,Bao gồm những giai đoạn nào?,,- Hiểu về các giai đoạn trong quá trình phát triển tiêu chuẩn,- Các nhà quản lý chất lượng,,Sẽ có những thay đổi nào?,3:24,Video,
,,,những thay đổi căn bản trong tiêu chuẩn mới là gì?,,"- Hiểu được những thay đổi, sự khác biệt giữa ISO/DIS 9001:2015 và ISO 9001: 2008",- Bất cứ ai muốn tìm hểu về những phát triển mới nhất trong lĩnh vực quản lý chất lượng,,Cấu trúc cấp cao (HLS)  trong ISO 9001,8:06,Video,
,,,Cấu trúc cấp cao ( HLS) trong ISO 9001 là gì?,,- Hiểu những gì bạn cần làm để sẵn sàng với tiêu chuẩn mới được sửa đổi,,,Xem lại dòng thời gian,4:24,Video,
,,,Khi nào thì bản tiêu chuẩn mới có hiệu lực bắt buộc?,,,,Phần 2 : Những thay đổi ,,,,
,,,Chứng chỉ hoàn thành khóc học được cung cấp,,,,,Những thay đổi từ phiên bản ISO 9001:2008,1:30,Video,
,,,Diễn đàn thảo luận phía bên phải của khóa học được sử dụng để thảo luận về các vấn đề cụ thể liên quan,,,,,Những điều khoản không loại trừ,4:08,Video,
,,,Nhấn vào nút màu xanh phía trên bên phải của trang để tham gia khóa học,,,,,Các sản phẩm và dịch vụ,4:02,Video,
,,,Sau đó làm theo các hướng dẫn để đăng ký và nộp học phí,,,,,Hành động ngăn chặn,3:49,Video,
,,,,,,,,Tư duy dựa trên rủi ro,2:52,Video,
,,,,,,,,Sổ tay chất lượng,3:57,Video,
,,,,,,,,Quy trình chất lượng,2:07,Video,
,,,,,,,,Không cần Đại diện quản lý chất lượng,3:42,Video,
,,,,,,,Phần 3 : Chuyển đổi sang ISO 9001:2015,,,,
,,,,,,,,Dòng thời gian chuyển tiếp,4:56,Video,
,,,,,,,Phần 4 : Các nguồn tài liệu,,,,
,,,,,,,,Thông tin chi tiết về tiêu chuẩn ISO 9001:2015,Văn bản,Text,
,,,,,,,Phần 5 : Chứng chỉ hoàn thành hóa khọc,,,,
,,,,,,,,Chứng chỉ hoàn thành khóa học,8:38,Video,
