Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
viet-thu-xin-tai-tro-chia-khoa-cho-mot-loi-de-nghi-thanh-cong,Viết thư xin tài trợ: Chìa khóa cho một lời đề nghị thành công,"Xây dựng lý lịch bản thân của bạn hay đơn giản là hành nghề tự do, học các kĩ năng viết thư xin tài trợ và khám phá những cách sáng tạo để gây quỹ cho dự án hay chương trình của bạn ",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,,Chào mừng đến với khóa học!,2:58,Video,
,,,TÓM TẮT KHÓA HỌC,"Không cần điều kiện tiên quyết, tất cả tài liệu được cung cấp.",- Hơn 21 bài giảng với nội dung kéo dài trong thời lượng 2h,"Cho bất kì ai muốn viết đề xuất, bất kể cho một tổ chức hay một đơn vị tự do",Phần 1: Những nét cơ bản trong soạn thảo đề xuất,,,,
,,,"""Làm thế nào để xây dựng một bàn đề cương hiệu quả"" là phương pháp tuyệt vời giúp bạn xây dựng hồ sơ xin việc và học những kỹ năng quý giá. Thuê một người chuyên viết đề cương tài trợ có thể tốn đến 35 đến 150 đô la mỗi giờ. Bất kể bạn đang làm việc cho một tổ chức có nhu cầu vốn hay tự tìm kiếm nguồn vốn mà không tốn phí chi phí, đừng trả tiền cho việc này trong khi bạn có thể tự mình soạn thảo một bản đề xuất tài trợ hiệu quả trong vòng 2 giờ.",,- Học những nguyên lý cơ bản để soạn thảo một bản đề xuất hiệu quả,,,Hệ thống,4:53,Video,
,,,"Khóa học tùy thuộc vào sức học của bạn và có thể thực hiện ngay tại nhà, công sở hay ngay trên đường. Khóa học bao gồm chuỗi các bài giảng ngắn, một bài kiểm tra nhỏ, tập trung vào 3 mục tiêu học tập chính;",,- Khám phá cách sử dụng các cơ sở dữ liệu và tiến hành nghiên cứu qua mạng,,,Những nguyên lý cơ bản,7:01,Video,
,,,Những nét cơ bản viết thư xin tài trợ,,- Học quy trình 8 bước cơ bản đề soạn thảo một bản đề xuất hiệu quả,,,Những vấn đề liên quan đến soạn thảo : Xem trước,5:33,Video,
,,,Làm thế nào để viết một bức thư xin tài trợ,,,,Phần 2: Làm thế nào để viết một bản đề xuất xin tài trợ,,,,
,,,Tìm kiếm nguồn vốn,,,,,Tổng quan - quy trình soạn thảo đề xuất,5:43,Video,
,,,"Khóa học bao gồm những vấn đề liên quan đến việc soạn thảo đề xuất, làm thế nào để tập trung vào các nhà tài trợ, một quá trình gồm 8 bước đơn giản để phát triển bản đề xuất của bạn, tìm kiếm nguồn vốn từ đâu, làm thế nào để tiến hành nghiên cứu và được cập nhật về các cơ hội tài trợ từ cả các cơ sở và các chương trình chính phủ. Cấp chứng chỉ hoàn thành khóa học",,,,,Các từ viết tắt và cụm từ phổ biến,Văn bản,Text,
,,,,,,,,giới thiệu về tổ chức xin tài trợ,3:38,Video,
,,,,,,,,Báo cáo vấn đề,7:51,Video,
,,,,,,,,Các phương pháp,8:39,Video,
,,,,,,,,Kết quả chương trình,10:08,Video,
,,,,,,,,Kế hoạch đánh giá,4:35,Video,
,,,,,,,,Tài trợ trong tương lai,3:19,Video,
,,,,,,,,Ngân sách,14:07,Video,
,,,,,,,,Viết phần tóm tắt,3:37,Video,
,,,,,,,Phần 3: Tìm kiếm nguồn vốn,,,,
,,,,,,,,Các nhà tài trợ tư nhân,10:57,Video,
,,,,,,,,Qũy tài trợ từ chính phù,9:15,Video,
,,,,,,,,Phương tiện truyền thông xã hội,4:24,Video,
,,,,,,,,Sử dụng công cụ theo dõi Google Alerts,7:11,Video,
,,,,,,,Phần 4: Kết thúc khóa học,,,,
,,,,,,,,Bắt đầu -  viết những bàn đề xuất đầu tiên,2 trang,Document,
,,,,,,,,Học được gì từ sự từ chối,1 trang,Document,
,,,,,,,,Tổng quan khóa học,20 câu hỏi,Quiz,
