Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
khoa-hoc-ve-quan-ly-du-an-chuyen-nghiep-pmp,Khóa học về quản lý dự án chuyên nghiệp (PMP),"Tự tin tham gia kì thi PMP sau khi tham dự khóa học toàn diện, thuận tiện và tiết kiệm chi phí sau 35 giờ đào tạo.",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Giới thiệu: PMP là gì và làm cách nào để tham gia kì thi PMP?,,,,
,,,Đừng lãng phí thời gian và tiền của bạn! Hãy đăng kí khóa đào tạo PMP® trực tuyến toàn diện nhất.,- Không có bất kỳ yêu cầu cho khóa học này.,- Hơn 297 bài giảng và 36 giờ nội dung!,- Các chuyên gia quản lý dự án,,Tài liệu cho Phần 1 - Giới thiệu,49 trang,Document,
,,,Khóa học này có ĐÁNH GIÁ XẾP HẠNG TRUNG BÌNH CAO NHẤT trong các khóa học PMP® trong Tudemy! Chỉ cần kiểm tra các đánh giá.,- Bất kì ai muốn có PMP hoặc tìm hiểu các khái niệm về quản lý dự án đều có thể tham dự khoá học này.,- Đạt được 35 PDU bắt buộc (Giờ Liên hệ) của PMI để đủ điều kiện thi PMP,- Các nhà quản lý dự án,,PMP là gì?,2:19,Video,
,,,Đảm bảo HOÀN LẠI TOÀN BỘ học phí 30 ngày nếu bạn không hài lòng về khóa học này,,- Tìm hiểu các khái niệm lý thuyết với những ví dụ dự án thực tế,- Chuyên gia muốn lấy chứng chỉ PMP,,Các yêu cầu của chứng chỉ PMP,3:27,Video,
,,,"Thời gian truy cập khóa học là KHÔNG GIỚI HẠN. Vì vậy, bạn có thể xem lại khóa học bất cứ lúc nào.",,- Tìm hiểu làm thế nào để nộp đơn thi PMP mà không cần sát hạch PMI!,- Bất cứ ai muốn tìm hiểu các khái niệm về Quản lý dự án,,Làm thế nào để đăng kí thi PMP?,2:01,Video,
,,,"Khi tham gia khóa học này, bạn sẽ có thể:",,- Tự kiểm tra với bài kiểm tra toàn diện PMP vào cuối khóa học,- Ứng viên PMP và PRINCE2,,Đăng kí thi trực tuyến - Tạo hồ sơ,1:25,Video,
,,,- Đáp ứng được yêu cầu có 35 PDU (Giờ Đào tạo) của PMI để ghi danh thi PMP,,- Nhận câu trả lời nhanh chóng và hỗ trợ từ các giảng viên trong vòng 24 giờ!,,,Đăng kí thi trực tuyến - Thông tin cá nhân ,2:27,Video,
,,,- Tìm hiểu các khái niệm lý thuyết với những ví dụ về dự án thực tế,,- Thực hành với hơn 600 câu hỏi,,,Đăng kí thi trực tuyến - Trình độ giáo dục,1:53,Video,
,,,- Tìm hiểu làm thế nào để đăng kí thi PMP mà không cần một kiểm toán PMI!,,- Tham gia vào các cuộc thảo luận tích cực với các ứng cử viên PMP khác & người tham gia đã trở thành PMP,,,Đăng kí thi trực tuyến - Kinh nghiệm PM,5:15,Video,
,,,- Tự kiểm tra với một bài thi PMP ĐẦY ĐỦ vào cuối khóa học,,- Nhận tài liệu phát tay tải về và các tài liệu khác trong suốt khóa học,,,Đăng kí thi trực tuyến - Giáo dục PM,2:13,Video,
,,,- Nhận câu trả lời và sự hỗ trợ nhanh chóng từ giảng viên trong vòng 24 giờ!,,,,,Đăng kí thi trực tuyến - Xem lại và nộp đơn,2:50,Video,
,,,- Luyện tập với hơn 600 câu hỏi,,,,,Email thông báo đơn đăng kí PMP đã được xem xét,2 trang,Document,
,,,- Tham gia vào các cuộc thảo luận sôi nổi với các ứng cử viên PMP khác & thành viên PMP.,,,,,Quy trình sát hạch PMP,2:31,Video,
,,,- Tải tài liệu dễ dàng trong suốt khóa học,,,,,Nội dung kiểm tra PMP,2:10,Video,
,,,- Nhận ưu đãi đặc biệt từ các khóa học khác của tôi,,,,Phần 2: Vòng quay dự án và những sự ảnh hưởng mang tính tổ chức,,,,
,,,"Bạn không cần tốn nhiều tiền cho việc đào tạo PMP. Bằng cách tham gia khóa học này, bạn sẽ được truy cập không giới hạn vào khóa học PMP và được tham gia vào khóa học tùy theo quỹ thời gian của bạn tại bất cứ nơi nào và bất cứ khi nào bạn muốn.",,,,,Tài liệu cho Phần 2 - Trình bày,86 trang,Document,
,,,Bạn sẽ đáp ứng được tiêu chuẩn 35 giờ PDU bắt buộc của PMI để đạt được chứng nhận PMP,,,,,Nội dung phần học,1:35,Video,
,,,"Khóa học này bao gồm các khái niệm về quản lý dự án. Khi tham gia khóa học này, bạn sẽ được trang bị tốt cho kì thi PMP (Project Management Professional). Khóa học này đưa ra cụ thể các khái niệm lý thuyết về quản lý dự án giống như các khóa học PMP khác. Điểm khác biệt của khóa học này với các khóa học PMP khác là các khái niệm đưa ra trong khóa học đều đi kèm với những ví dụ thực tiễn.",,,,,Định nghĩa của dự án,4:14,Video,
,,,BẠN SẼ HIỂU ĐƯỢC KHÁI NIỆM QUẢN LÝ DỰ ÁN MỘT CÁCH DỄ DÀNG VỚI NHỮNG VÍ DỤ THỰC TẾ.,,,,,Công việc vận hành,0:42,Video,
,,,Mỗi mục bao gồm nội dung và định nghĩa của các chủ đề cùng những ví dụ dự án thực tế để minh họa cho các khái niệm đó.,,,,,Quản lý dự án là gì?,1:20,Video,
,,,Mỗi phần bao gồm ít nhất 10 câu hỏi. Những câu hỏi này được trả lời và giải thích trong video.,,,,,Định nghĩa của Chương trình & Portfolio,1:41,Video,
,,,Khóa học này bao gồm 10 lĩnh vực quản lý dự án và 5 nhóm quản lý quy trình theo quy định của Viện Quản lý dự án (PMI) và phù hợp với Khối kiến thức về Quản lý dự án (PMBOK5).,,,,,"Mối tương quan của các dự án, chương trình và danh mục đầu tư",4:21,Video,
,,,BẠN SẼ HIỂU ĐƯỢC KHÁI NIỆM QUẢN LÝ DỰ ÁN MỘT CÁCH DỄ DÀNG VỚI NHỮNG VÍ DỤ THỰC TẾ.,,,,,Văn phòng Quản lý dự án (PMO),4:04,Video,
,,,Mỗi mục bao gồm nội dung và định nghĩa của các chủ đề cùng những ví dụ dự án thực tế để minh họa cho các khái niệm đó.,,,,,Quản Lý Dự Án,4:38,Video,
,,,Mỗi phần bao gồm ít nhất 10 câu hỏi. Những câu hỏi này được trả lời và giải thích trong video.,,,,,Mục tiêu và quản lý bằng mục tiêu (MBO),3:15,Video,
,,,Khóa học này bao gồm 10 lĩnh vực quản lý dự án và 5 nhóm quy trình quản lý theo quy định của Viện Quản lý dự án (PMI) và phù hợp với Khối kiến thức về Quản lý dự án (PMBOK5).,,,,,Những ràng buộc,1:49,Video,
,,,5 Nhóm Quy trình quản lý dự án:,,,,,Tài sản quy trình tổ chức,0:43,Video,
,,,- Nhóm quy trình thiết lập quy trìn,,,,,Các yếu tố môi trường doanh nghiệp,1:33,Video,
,,,- Nhóm quy trình lập kế hoạch quy trình,,,,,Những bên liên quan,2:58,Video,
,,,- Nhóm quy trình tiến hành quy trình,,,,,Quản trị dự án,0:29,Video,
,,,- Nhóm quy trình theo dõi & kiểm soát quy trình,,,,,Nhóm Dự Án,0:28,Video,
,,,- Nhóm quy trình kết thúc quy trình,,,,,Cơ Cấu Tổ Chức,7:33,Video,
,,,10 Lĩnh vực Khối kiến thức:,,,,,Ưu điểm và nhược điểm của các kết cấu tổ chức khác nhau,5:59,Video,
,,,- Quản lý tích hợp,,,,,Tổng quan so sánh về các cơ cấu tổ chức khác nhau,2:45,Video,
,,,- Quản lý phạm vi,,,,,Vòng Đời,9:54,Video,
,,,- Quản Lý Thời Gian,,,,,Nhóm quy trình quản lí dự án,3:19,Video,
,,,- Quản lý chi phí,,,,,Bài học kinh nghiệm,2:02,Video,
,,,- Quản Lý Chất Lượng,,,,,Các câu hỏi và câu trả lời liên quan đến phần 2,10:20,Video,
,,,- Quản Lý Nguồn Nhân Lực,,,,,Trắc nghiệm Phần 2: Vòng quay dự án và những sự ảnh hưởng mang tính tổ chức,31 câu hỏi,Quiz,
,,,- Quản lý Truyền thông,,,,Phần 3: Những quy trình quản lí dự án,,,,
,,,- Quản Lý Rủi Ro,,,,,Tài liệu phát tay cho Phần 3 - Thuyết trình,65 trang,Document,
,,,- Quản lý mua hàng,,,,,Nội dung,1:08,Video,
,,,- Quản lý các bên liên quan,,,,,Nhóm quy trình quản lí dự án,6:37,Video,
,,,"Bên cạnh đó, khóa học cũng cung cấp các mẹo để vượt qua kì thi PMP",,,,,Hoạt động nhóm quy trình khởi xướng,6:08,Video,
,,,"Mặc dù khóa học được thiết kế để giúp bạn vượt qua các kỳ thi PMP, tuy nhiên bất cứ ai muốn thành thạo trong quản lý dự án đều có thể tham dự khoá học này. Nội dung khóa học cũng có ích trong việc chuẩn bị và vượt qua PRINCE2.",,,,,Hoạt động nhóm quy trình kế hoạch,13:27,Video,
,,,"Khóa học này đáp ứng đủ tiêu chuẩn của chương trình ""Tín dụng giáo dục liên tục"" (Continuing Education Credit) bởi AAPM",,,,,Hoạt động nhóm tiến hành dự án,7:01,Video,
,,,Dưới đây là một số ý kiến từ những học viên đã tham gia vào khóa học này. (Nhấp vào đánh giá để xem danh sách đầy đủ của đánh giá),,,,,Hoạt động nhóm giám sát & Kiểm soát quá trình hoạt động,6:02,Video,
,,,CÁC ĐÁNH GIÁ,,,,,Hoạt động nhóm kết thúc dự án,2:08,Video,
,,,"""Thật là tuyệt khi nhận thấy tác giả muốn mọi học viên tận dụng tất cả những gì mà ông ấy đã cung cấp. Tôi thực sự thích cách phản ứng của ông khi bạn trao đổi với ông ấy và sau đó tương tác với các câu hỏi."" - Khánh Linh",,,,,Tổng quan về Nhóm quy trình khởi xướng,3:45,Video,
,,,"""Resit dạy các khái niệm lý thuyết về quản lý dự án theo một cách dễ dàng và dễ hiểu hơn! Ông đưa ra ví dụ dự án thực tế và cho phép bạn hiểu khái niệm rõ ràng. Câu hỏi và giải pháp của chúng ở cuối mỗi phần hoàn chỉnh các khái niệm được đề cập trong phần đó . TÔI THỰC SỰ KHUYÊN BẠN THAM GIA KHÓA HỌC NÀY TRÊN HÀNH TRÌNH ĐẾN VỚI PMP! ""- Hồng Nhung",,,,,Tổng quan về Nhóm quy trình kế hoạch,4:49,Video,
,,,"""Một bài giảng được tổ chức rất chi tiết. Bài giảng rất cụ thể và rõ ràng. Đối với mỗi phần đơn lẻ, ông giải thích các chủ đề với các ví dụ thực tế. Khóa học này cung cấp cho bạn một mô tả tuyệt vời về khái niệm quản lý dự án và các ví dụ được đề cập đều lấy từ thực tế cuộc sống nhờ kinh nghiệm. Cám ơn thầy giáo vì khóa đào tạo tuyệt vời này. Tôi đánh giá cao nỗ lực của ông. ""- Hà My",,,,,Tôổng quan về Nhóm quy trình tiến hành,1:42,Video,
,,,"""Bố cục gọn gàng và chặt chẽ. Tôi đã trải qua nhiều bài học và thấy nó được thiết kế tập trung vào những gì là cần thiết cho một kỳ thi. Người huấn luyện đưa kịch bản dựa trên thực tế để giải thích một chủ đề, thật là tuyệt vời và cũng giải thích các câu trả lời đúng trong phần câu hỏi và trả lời. Tôi vẫn đang xem lại khóa học và muốn giới thiệu cho những ai đang tìm kiếm chứng chỉ PMP. ""- Bích Ngọc",,,,,Tổng quan về Nhóm quy trình giám sát & kiểm soát,3:51,Video,
,,,"""Một khóa học tuyệt vời. Đó là một khóa học kỳ diệu đã giúp tôi hiểu làm thế nào tổ chức hành vi và văn hóa ảnh hưởng đến kết quả các dự án mà không cần biết nó rất khó để quản lý và cung cấp các dự án. Có phần Hỏi-đáp ở cuối mỗi phần học để kiểm tra các Khối kiến thức thu được. Cảm ơn. ""-Enkhbayar Oidov",,,,,Tổng quan về Nhóm kết thúc dự án,3:47,Video,
,,,"Đính chính: PMI, PMBOK, và PMP là các thương hiệu đã được đăng kí của Viện Quản lý dự án.",,,,,Bản đồ của Quy trình kiến thưc đến nhóm quy trình,6:30,Video,
,,,,,,,,Các câu hỏi và câu trả lời liên quan đến phần 3,9:09,Video,
,,,,,,,,Trắc nghiệm Phần 3: Những quy trình quản lý dự án,20 câu hỏi,Quiz,
,,,,,,,Phần 4: Khối kiến thức về quản lý tổng thể,,,,
,,,,,,,,Tài liệu phát tay tay cho Phần 4 - Thuyết trình,118 trang,Document,
,,,,,,,,Nội dung,1:49,,
,,,,,,,,Tổng quan về quản lý tổng thể,1:51,Video,
,,,,,,,,Quy trình quản lý tổng thể,0:59,Video,
,,,,,,,,Xây dựng quy trình project charter (hiến chương dự án),10:36,Video,
,,,,,,,,Lợi ích của project charter,2:59,Video,
,,,,,,,,Các phương pháp khác nhau để lựa chọn dự án,1:38,Video,
,,,,,,,,Giá trị hiện tại (PV),5:11,Video,
,,,,,,,,Giá trị hiện tại thuần (NPV),4:39,Video,
,,,,,,,,Tỉ suất hoàn vốn nội bộ (IRR),1:03,Video,
,,,,,,,,Thời gian hoàn vốn,0:38,Video,
,,,,,,,,Tỷ lệ lợi ích chi phí (BCR),1:13,Video,
,,,,,,,,Giá trị kinh tế tăng thêm (EVA),0:28,Video,
,,,,,,,,Chi phí cơ hội,0:58,Video,
,,,,,,,,Chi phí chìm,0:55,Video,
,,,,,,,,Quy luật lợi ích giảm dần,1:36,Video,
,,,,,,,,Điều khoản tài chính trong các dự án (vốn lưu động và khấu hao),2:08,Video,
,,,,,,,,Bảng kê công việc (SOW),0:55,Video,
,,,,,,,,Điều lệ hợp đồng làm việc,0:58,Video,
,,,,,,,,Xây dựng Quy trình Kế hoạch Quản lý dự án,6:17,Video,
,,,,,,,,Kế hoạch gốc (baseline),5:08,Video,
,,,,,,,,Kế hoạch Quản lý yêu cầu,0:51,Video,
,,,,,,,,Thủ tục đệ trình yêu cầu thay đổi (change control system),2:21,Video,
,,,,,,,,Thay đổi hệ thống điều khiển,0:29,Video,
,,,,,,,,Kế hoạch quản lý cấu hình,1:06,Video,
,,,,,,,,Hệ thống quản lý cấu hình,0:51,Video,
,,,,,,,,Kế hoạch cải thiện quá trình,1:09,Video,
