Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
bi-quyet-de-tro-thanh-mot-nha-van,Bí quyết để trở thành một nhà văn,"Nguyên lý và chiến chuật để làm blog, bài luận và bài viết kinh doanh của bạn trở nên sắc sảo",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1 : Giới thiệu,,,,
,,,"MỘT TRONG CÁC KHÓA HỌC BÁN CHẠY NHẤT VỚI HƠN 17,000 SINH VIÊN VÀ 145 ĐÁNH GIÁ NĂM SAO","1 quyển sổ ghi chép và 1 cái bút, hoặc máy tính cho việc luyện tập.",- Hơn 31 bài thuyết giảng và 3.5 tiếng nội dung.,- Người viết đại chúng,,Thế giới viết chuyên nghiệp,3:35,,
,,,"""Nếu bạn đang tìm kiếm một khóa học viết nổi bật, không cần tìm thêm nữa..."" -- Trà My, HỌC VIÊN",,- Bạn sẽ cải thiện đáng kể chất lượng bài viết của mình trong chỉ vài ngày hoặc vài tuần.,- Chuyên gia truyền thông,,Nước sốt bí mật của sự tinh tế,11:35,,
,,,"""Tốt hơn bất kỳ khóa học nào tôi học ở trường đại học..."" -- Ngọc Diệp, HỌC VIÊN",,"- Bài viết của bạn sẽ nổi bật hơn những bạn bè đồng trang lứa, đồng nghiệp và cả các đối thủ.",- Chuyên gia marketing,Phần 2 : Sự đơn giản,,,,
,,,"""Lớp học hoàn toàn đáng ngạc nhiên..."" -- Thái Duy, HỌC VIÊN",,- Các trang mạng cá nhân của bạn trông sẽ mượt mà và chuyên nghiệp hơn.,- Cơ quan chính phủ và phi chính phủ,,Kinh tế,20:43,,
,,,"""Sẵn sàng cho một vài điều khai ngộ..."" -- Bình Lê, HỌC VIÊN",,,- Sinh viên đại học và cao đẳng,,Sự lặp lại,7:17,,
,,,"""Giúp tinh chỉnh bài viết của bạn và đem nó lên một cấp độ khác..."" - Hải Yến, HỌC VIÊN""",,,- Blogger,,Phức tạp hóa vấn đề,9:25,,
,,,"""Khóa học viết tốt nhất mà tôi từng học. Đáng giá mười lần giá thành..."" -- HARBANS, HỌC VIÊN",,,- Người tìm việc,,Giản dị hơn sẽ tốt hơn,4:12,,
,,,"""Shani dễ dàng viết một cách xuất sắc sau khóa học này..."" -- Ngọc Hà, HỌC VIÊN",,,- Các nhà báo,,Quá nhiều thông tin,3:49,,
,,,"""Là một trong những khóa học hữu ích nhất mà tôi từng được học..."" -- Dung Hà, HỌC VIÊN",,,"- Các doanh nghiệp nhỏ, vừa và lớn",,Các từ thừa,9:20,,
,,,"""Đã cải thiện bài viết của tôi theo cách không thể nói bằng lời..."" -- Đình Quý,",,,- Người viết sách,,Suy nghĩ thái quá,6:20,,
,,,"""HỌC VIÊN đã ngừng viết theo kiểu tẻ nhạt..."" -- Vũ Khuê, HỌC VIÊN",,,,,Chủ động vs bị động,4:35,,
,,,"""Một luồng gió mới cho văn phong của tôi..."" -- Đạt Nguyễn, HỌC VIÊN",,,,,Đảo ngược cấu trúc câu,7:59,,
,,,"""Cách truyền tải và diễn đạt ý đã thực sự hoàn hảo..."" -- Eehee, HỌC VIÊN",,,,,Nghi lễ không cần thiết,3:49,,
,,,"""Sẽ cải thiện kĩ năng viết của bạn dù chỉ là viết một bản ghi chú..."" -- Ngọc Tống, HỌC VIÊN",,,,Phần 3 : Sự rõ ràng,,,,
,,,"'Đã thúc đẩy sự chuyển biến từ phong cách viết luận dài dòng của tôi sang kiểu viết súc tích như trên web..."" -- Khôi Nguyễn, HỌC VIÊN""",,,,,Tư duy hỗn loạn,8:35,,
,,,Bạn có muốn trở thành một nhà văn đáng kinh ngạc mà tác phẩm của bạn trở nên nổi bật so với các tác phẩm khác trong công ty hay giữa các doanh nghiệp đối thủ?,,,,,Biệt ngữ,8:40,,
,,,"Và bạn sẽ được học từ một giảng viên dạy các nhà báo hàng đầu cách cải thiện bài viết của họ và đã làm việc cho các tổ chức tin tức lớn nhất của thế giới, bao gồm The Economist, The Financial Times và Bloomberg News?",,,,,Sự mơ hồ,6:18,,
,,,Viết không chỉ là một kỹ năng thông thường. Nó là một trong những cái quan trọng nhất bạn cần để truyền tải một hình ảnh chuyên nghiệp và leo những nấc thang nghề nghiệp.,,,,,Phân biệt sắc nét,5:14,,
,,,"Nhưng trong khi nhiều người có thể viết, rất ít người lại thành thạo ngón nghề viết với phong cách và sự tinh tế. Các nhà báo hàng đầu nằm trong số những người đó. Họ biết hàng đống mánh khóe, chiến thuật và nguyên lý để khiến bài viết của họ nổi bật và gây chú ý đến đám đông.",,,,,Loại bỏ sự lộn xộn,5:55,,
,,,"Tôi sẽ tiết lộ những bí mật viết cho bạn ở đây. Một khi bạn học nó, bạn sẽ nhận ra viết lách thật dễ bằng việc hiểu một vài nguyên lý chủ chốt và sau đó áp dụng chúng.",,,,,Trộn lẫn các thì,4:15,,
,,,"Cuối cùng, bạn sẽ biết chính xác cách làm cho bài viết của mình một lợi thế to lớn hơn tác phẩm của đồng nghiệp hay đối thủ cạnh tranh.",,,,,Đặt nhầm từ bổ nghĩa,3:25,,
,,,"""Các kỹ năng trong khóa học này sẽ giúp:",,,,,Các câu phức tạp,5:19,,
,,,Làm cho bài viết kinh doanh của bạn sáng hơn bài viết của bạn bè,,,,,Đây và Đó,12:43,,
,,,Làm cho khách hàng tương lai của bạn ngay lập tức 'đón nhận' sản phẩm của bạn,,,,,"""Nó"" và ""Họ""",2:07,,
,,,Thu hút nhiều người đọc trung thành cho blog của bạn hơn,,,,Phần 4 : Sự tinh tế,,,,
,,,Nhận nhiều kích chuột (và tỉ lệ chuyển đổi cao) trên trang web của bạn,,,,,Quy tắc hành văn,8:13,,
,,,Đưa CV của bạn lên đầu nhiều cuộc phỏng vấn tối quan trọng,,,,,Những tiêu đề khó coi,1:49,,
,,,"Làm cho bài luận của bạn mượt mà nhất trong lớp""",,,,,Những đoạn thô,7:46,,
,,,"Viết thông minh là một kỹ năng bạn hoàn toàn phải gây ấn tượng mạnh trong bất kỳ lĩnh vực gì bạn làm. Có khả năng viết với sự rõ ràng, chính xác và trang nhã cũng sẽ giúp bạn tiến xa hơn trong cuộc sống. Trái lại, bài viết tồi có thể kìm sự nghiệp của bạn hàng thập niên và làm nhơ hình ảnh của công ty bạn.",,,,,Lặp từ,4:07,,
,,,"Rất ít người có thể viết với sự tinh tế, cách mà các nhà báo hàng đầu dành nhiều năm nhận được đào tạo khắc nghiệt để giúp họ rũ bỏ điều sai lầm trong bài viết, làm cho nó mượt mà đẹp đẽ, và thể hiện bản thân với sự rõ ràng như pha lê.",,,,,Các từ thay thế,5:36,,
,,,Đây là một cơ hội hiếm hoi để khám phá cách họ làm điều họ say mê và làm cho bài viết kinh doanh của bạn sắc sảo hơn bằng việc kết hợp các chiến thuật của họ.,,,,,Ý tưởng song song,2:28,,
,,,"Các kỹ thuật xuất sắc sẽ làm mạnh hơn các thư xin việc, thông cáo báo chí, bài viết marketing và email bán hàng của bạn. Blog của bạn sẽ trông rõ ràng và sắc sảo hơn một ngàn lần.",,,,,Sự tường thuật khéo léo,6:41,,
,,,"Nhiều người không nhận ra rằng viết có phong cách và sự tinh tế là một ngón nghề mà bạn có thể học dễ dàng từ một người thầy giỏi, hơn là một kỹ năng thiên bẩm không phải ai cũng sở hữu.",,,,Phần 5 : Kết luận,,,,
