Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
ke-hoach-ra-mat-kindle-1400-trong-30-ngay-va-amazon-bestseller,Kế hoạch ra mắt Kindle: $1400 trong 30 ngày và Amazon Bestseller,Khám phá một quy trình đã được chứng minh tính hiệu quả: Làm thế nào để đưa một cuốn sách Non-fiction (không - giả - tưởng) từ ý tưởng đến vị trí đầu bảng của Amazon.,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Tiền khai trương: Đặt nền tảng,,,,
,,,"Bạn luôn mơ ước viết được một quyển sách bán chạy nhất? Đó chính là cách tốt nhất để bạn có thể lan truyền thông điệp của mình, giúp đỡ người khác, gây dựng uy tín trong ngành và thậm chí thu được phí bản quyền để bù đắp cho những nỗ lực mà bạn đã bỏ ra.","Nếu bạn đã có ý tưởng về cuốn sách trong đầu, tôi sẽ chỉ cho bạn thấy làm thế nào để biến nó thành cuốn sách bán chạy nhất.",- Hơn 36 Phần giảng và 3.5 giờ nội dung,"- Khóa học này dành cho những tác giả Kindle không-viết-thể-loại-giả-tưởng, những người không có một nền tảng khách hàng lớn để bán nhưng vẫn muốn sách của họ có tầm ảnh hưởng, sự nổi tiếng và lượng tiêu thụ tối đa.",,"Tại sao lại là Amazon? Thiết lập một gian hàng trong cửa hàng lớn nhất thế giới
(Bản xem trước)",2:39,Video,
,,,"Nhưng đối với rất nhiều người, điều đó giống như một giấc mơ vậy. Nó sẽ kết thúc và khi thức dậy, họ lại trở về với cuộc sống thực tế đầy khó khăn của mình.",,"- Cách ra mắt một ""Cuốn sách bán chạy nhất trên Amazon"".",- Các tiểu thuyết gia và những tác giả đã có vô số fan hâm mộ nhưng không thu được nhiều lợi nhuận.,,"Các bước lập kế hoạch: Không lập kế hoạch chính là lập kế hoạch cho thất bại
(Bản xem trước)",1:21,Video,
,,,"Họ không biết phải bắt đầu từ đâu, làm thế nào để xuất bản được tác phẩm của mình, làm cách nào để họ có thể thu hút sự chú ý trong biển 3 triệu đầu sách đang cạnh tranh ngoài kia.",,,,,"Tìm hiểu thị trường: Thông tin về Cung, Cầu, và Cơ hội
(Bản xem trước)",2:32,Video,
,,,Khóa học này sẽ giúp bạn giải quyết triệt để những câu hỏi trên và chia sẻ cho bạn một cách làm mang tính hệ thống đã được chứng minh hiệu quả. Đây là cách để có thể đưa một cuốn sách từ ý tưởng trở thành một cuốn sách bán chạy nhất trên Amazon.,,,,,"Tìm hiểu về những tiêu đề có tính cạnh tranh: Những điểm tốt, xấu",3:09,Video,
,,,"Tôi đã tự biến ước mơ của mình thành hiện thực - với một quyển sách mà tôi còn không dùng bất cứ kỹ thuật đặc biệt nào để viết. Vì vậy, tôi tin rằng bạn cũng có thể thực hiện được ước mơ của chính mình. Cuốn sách này đã đem lại cho tôi hơn $1400 tiền bản quyền tác giả trong tháng đầu tiên và tiếp tục tạo nên doanh số bán hàng mỗi ngày sau đó!",,,,,Viết một cuốn sách: Tìm một quá trình viết lách có hiệu quả,5:23,Video,
,,,"Chúng tôi sẽ hướng dẫn bạn từng bước để đưa cuốn sách của bạn lên top bảng xếp hạng Amazon, khởi đầu từ vị trí thấp nhất và từng bước thăng hạng.",,,,,Họ là khách hàng của bạn hay của Amazon? Phần thưởng thêm cho người đọc,6:49,Video,
,,,"Khóa học này đặc biệt dành cho những người KHÔNG CÓ ""khán giả"" sẵn trong danh sách email đăng ký hoặc KHÔNG CÓ số lượng lớn người theo dõi trên các phương tiện truyền thông.",,,,,Các thủ thuật về nội dung để tăng sự xuất hiện trên Amazon,2:47,Video,
,,,Bạn sẽ học cách làm thế nào để:,,,,,"Xây dựng tin đồn: Dự đoán, Đại sứ và Tình thần trách nhiệm ",2:50,Video,
,,,Nghiên cứu đối thủ cạnh tranh,,,,,Hiệu đính và biên tập: Xây dụng một sản phẩm hoàn thiện chuyên nghiệp,3:18,Video,
