Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
cach-dua-ra-thong-diep-hieu-qua-nhat-de-gioi-thieu-y-tuong-doanh-nghiep-cua-ban-elevator-pitch,Cách đưa ra thông điệp hiệu quả nhất để giới thiệu ý tưởng/doanh nghiệp của bạn! (Elevator Pitch),Bạn có thể đưa ra một ý tưởng cũng như việc cho phép người nào đó một lí do để gặp bạn trong vòng 30 giây,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Tổng quan,,,,
,,,"Hãy tưởng tượng bạn đang muốn chuyển tải một ý tưởng hay tới ngài giám đốc - người đang nắm giữ tương lai cho những ước mơ của bạn. Ngài giám đốc đáp lại: ""Có vẻ thú vị, xin vui lòng gọi cho văn phòng của tôi và lên lịch một cuộc họp. Tôi muốn nói chuyện với bạn một cách sâu hơn về ý tưởng này."" Điều đó có tuyệt không khi biết rằng bạn có thể lôi kéo bất cứ ai, làm cho họ muốn gặp bạn chỉ sau cuộc nói chuyện 30 giây?","Học viên cần tự thu hình mình đang nói bằng điện thoại hoặc webcam
",- Hơn 14 Phần giảng với 1 giờ nội dung,- Doanh nhân,,Giới thiêu,1:40,Video,
,,,Trong khóa học cách chuyển tải ý tưởng này bạn sẽ học những điều sau:,,- Đưa ra lời giới thiệu về bản thân hay và thu cuốn hút người xem,- Người đang tìm kiếm việc làm,,Mục tiêu,1:28,Video,
,,,Làm sao tạo ra một cách bán hàng chặt chẽ và tập trung,,- Luyện và sử dụng hiệu quả các video,- Chuyên gia,Phần 2: Qui trình,,,,
,,,Làm sao để diễn tập cho 1 đoạn phim,,- Tạo ra điểm hấp dẫn cho bất kì lời mời chào nào,,,Ý tưởng lớn,4:07,Video,
,,,Làm sao để tạo ra sự tự tin và sự thoải mái,,- Tránh những sự hiểu lầm thường gặp khi giới thiệu sản phẩm,,,Làm đơn giản hóa,2:56,Video,
,,,Làm sao để chắc rằng thông điệp của bạn thú vị và dễ nhớ,,,,,Hình mẫu,2:06,Video,
,,,"Khóa học này được phân chia thành các học phần giảng dạy bằng video bởi vì kĩ năng mà bạn học liên quan đến việc giao tiếp - nói, nên nó sẽ chỉ có ý nghĩa và hiệu quả khi bạn học bằng cách lắng nghe người khác nói.",,,,,2 câu hỏi mấu chốt,3:37,Video,
,,,"Kĩ năng bạn sẽ học trong lớp học này không chỉ có lí thuyết hay học thuật, mà còn học cả kĩ năng về sức khỏe. Đó là lí do vì sao bạn được yêu cầu tham gia một số học phần. Ở đó bạn phải ghi lại hình ảnh khi bạn nói và tự xem lại chúng. Học các kĩ năng thuyết trình cũng giống như học đi xe đạp. Đơn giản bạn chỉ cần luyện tập nhiều lần và vượt qua sự loạng choạng vấp ngã ban đầu cho tới khi thuần thục.",,,,,Tặng thêm,3:40,Video,
,,,Khóa học này chứa nhiều Phần giảng dạy bằng video cộng thêm danh sách các bài tập để bạn thực hành,,,,Phần 3: Thực hành,,,,
,,,"TJ Walker là một giảng viên và nhà đào tạo con người về kĩ năng thuyết trình được 30 năm. Hiện giờ, nhờ vào sức mạnh trực tuyến của Tudemy,, ông ấy có thể tạo ra những Khóa đào tạo chất lượng giống như khóa học dành cho các tổng giám đốc, hay cho 500 chuyên gia, thậm chí cả cho các vị tổng thống của nhiều nước. Bạn thấy đấy, chỉ có bạn mới may mắn được đào tạo chỉ với một khoản chi phí nhỏ so với giá thông thường của đào tạo dành riêng cho một người.",,,,,Đánh giá video đầu tiên,3:02,Video,
,,,"Thời gian kéo dài bao lâu là tùy thuộc vào bạn. Phần dài nhất của khóa học bao gồm phần bạn tự ghi hình mình, tự bình luận về bản thân bạn. Bạn có thể làm đi làm lại như vậy cho tới khi bạn cảm thấy hài lòng. Tuy nhiên, tới khi bạn đạt tới thời điểm mà bạn cảm thấy yêu thích bề ngoài và cách diễn đạt của chính mình khi thuyết trình thì thành quả ấy hoàn toàn xứng đáng với thời gian bạn đã bỏ ra. Kĩ năng này sẽ giúp bạn tiết kiệm thời gian cho những Phần thuyết trình trong tương lai của bạn.",,,,,Đánh giá video thứ 2,2:35,Video,
,,,"Bạn có thể bắt đầu trau dồi kĩ năng thuyết trình ngay bâu giờ. Bạn có cơ hội để thể hiện kỹ năng nói của bạn ngay ngày mai, vì thế vì tại sao phải lãng phí một ngày để lo lắng về việc kĩ năng thuyết trình của bạn không đủ tốt. Hãy đăng kí ngay",,,,,Đánh giá video thứ 3,6:03,Video,
,,,,,,,Phần 4: Lời kết,,,,
,,,,,,,,Xem những lời tự giới thiệu không đạt,3:17,Video,
,,,,,,,,Kết luận,1:26,Video,
,,,,,,,,Nhận xét,2:40,Video,
,,,,,,,Phần 5: Đọc thêm,,,,
,,,,,,,,Thành công trong thuyết trình,31 trang,Document,
