Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
google-analytics-cho-nguoi-moi-su-dung,Google Analytics cho người mới sử dụng,Học cách dùng Google Analytics nhằm phát hiện các dữ liệu có thể sử dụng và phát triển việc kinh doanh online,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Bắt đầu,,,,
,,,Bạn có biết khách hàng tiềm năng của mình đến từ đâu và làm sao để tìm ra họ? Và làm sao để nhận biết những cơ hội chưa được khai thác với khách hàng mới?,Có tài khoản Google Analytics,Hơn 44 Phần giảng với nội dung kéo dài 3 giờ,Doanh nghiệp,,Giới thiệu,0:39,Video,
,,,Không ư?,,Trở thành người sử dụng tốt Google Analytics,Chuyên viên marketing,Phần 2: Trình quản lý google Analytics,,,,
,,,Dưới đây là khóa học dành cho bạn. Sau khi tham gia khóa học này bạn sẽ nhanh chóng đạt được kỹ năng cần thiết để trở thành người dùng Google Analytics thông minh,,Học cách tạo 1 báo cáo phân tích,Sinh viên,,Cài đặt tài khoản,5:14,Video,
,,,Google Analytics cho người mới bắt đầu sẽ giới thiệu tới bạn tất cả các báo cáo tìm thấy trên tài khoản Google Analytics của bạn. Chúng ta sẽ nghiên cứu kỹ càng vấn đề này trong khi tôi giải thích từng mẫu báo cáo thật chi tiết và cho bạn thấy cách sử dụng thông tin đó để phát triển việc kinh doanh của mình,,Học cách tạo đưa ra quyết định định hướng dữ liệu.,Bất cứ ai muốn học về Google Analytics,,Cài đặt các thuộc tính,7:43,Video,
,,,"Đây là khóa học ""cầm tay chỉ việc"" - sử dụng hình ảnh của tài khoản Google Analytics vẫn hoạt động, từ đó bạn có thể theo dõi liên tục tài khoản của mình. Đây không phải 1 Phần học dài và buồn chán trên powerpoint, mỗi Phần học rất đơn giản và nhấn mạnh vào trọng điểm.",,,,,Cài đặt phần xem phân tích,10:36,Video,
,,,Vậy bạn sẽ học được gì?,,,,Phần 3: Sử dụng báo cáo GA,,,,
,,,"Ai - Khách hàng bao gồm nhân chủng học, sở thích và thiết bị mà họ sử dụng",,,,,Báo cáo hàng ngày,1:35,Video,
,,,Cái gì? - Họ thích xem phần nào trên web bạn và họ sẽ mua gì (hoặc không),,,,,Xuất dữ liệu,1:07,Video,
,,,Khi nào - Lần thăm đầu tiên của họ và khi nào họ quay lại,,,,,Tổng quan về biểu đồ,1:36,Video,
,,,Ở đâu - Họ đến từ đâu và sử dụng ngôn ngữ gì,,,,,Thay đổi thời gian xem,1:02,Video,
,,,"Làm thế nào - Họ đến web của bạn bằng cách nào? ( truyền thông xã hội, từ website khác hay từ tìm kiếm google",,,,,Tạo chú thích cho báo cáo,1:40,Video,
,,,"Nếu bạn có câu hỏi nào về khóa học, bạn có thể gửi email cho tôi bất cứ lúc nào",,,,,Xem báo cáo đầy đủ,2:14,Video,
,,,,,,,,Sử dụng tab mở rộng,1:10,Video,
,,,,,,,,Biểu đồ dữ liệu,1:57,Video,
,,,,,,,,Báo cáo dạng biểu đồ tròn,1:14,Video,
,,,,,,,,Hiệu suất đồ thị,1:19,Video,
,,,,,,,,Biểu đồ trung bình trang web,1:41,Video,
,,,,,,,,Bảng Pivot,2:34,Video,
,,,,,,,,Báo cáo tìm kiếm và phân loại,2:29,Video,
,,,,,,,Phần 4: Toàn bộ về Báo cáo,,,,
,,,,,,,,Tạo và chỉnh sửa bảng điều khiến,4:35,Video,
,,,,,,,,Thêm các phím tắt vào báo cáo,2:08,Video,
,,,,,,,,Sử dụng sự kiện thông minh,3:15,Video,
,,,,,,,Phần 5: Toàn bộ về báo cáo khách hàng,,,,
,,,,,,,,Báo cáo về Nhân khẩu học và sở thích,5:20,Video,
,,,,,,,,Báo cáo về địa lý ( ngôn ngữ và địa điểm),6:38,Video,
,,,,,,,,Báo cáo hành vi,4:22,Video,
,,,,,,,,Báo cáo về công nghệ và di động,7:09,Video,
,,,,,,,,Báo cáo lưu lượng người dùng,3:38,Video,
,,,,,,,Phần 6: Toàn bộ về báo cáo nghiệm thu,,,,
,,,,,,,,Tổng quan về kênh và lượt truy cập,4:26,Video,
,,,,,,,,Báo cáo giới thiệu và báo cáo chiến dịch,5:03,Video,
,,,,,,,,Báo cáo từ khóa,4:03,Video,
,,,,,,,,Báo cáo Adwords,7:54,Video,
,,,,,,,,Báo cáo kênh xã hội,3:59,Video,
,,,,,,,,Báo cáo SEO (Tối ưu hóa các công cụ tìm kiếm),5:45,Video,
,,,,,,,,Công cụ google webmaster,3:43,Video,
,,,,,,,Phần 7: Toàn bộ về Báo cáo hành vi,,,,
,,,,,,,,Tổng quan về báo cáo dòng hành vi,2:46,Video,
,,,,,,,,Báo cáo nội dung trang,8:55,Video,
,,,,,,,,Báo cáo tốc độ trang,5:14,Video,
,,,,,,,,Báo cáo tìm kiếm và sự kiện trang,3:39,Video,
,,,,,,,,Phân tích Adsense và in-page,4:57,Video,
,,,,,,,Phần 8: Toàn bộ về báo cáo chuyển đổi,,,,
,,,,,,,,Mục tiêu,4:13,Video,
,,,,,,,,Thương mại điện tử,7:29,Video,
,,,,,,,,Kênh multilchanel,6:54,Video,
,,,,,,,,Chỉ định,6:37,Video,
,,,,,,,Phần 9: Toàn bộ về báo các khách hàng,,,,
,,,,,,,,Thêm và chỉnh sửa báo cáo khách hàng,7:42,Video,
,,,,,,,Phần 10: Tổng kết,,,,
,,,,,,,,Tổng kết,1:06,Video,
,,,,,,,,Gắn thẻ URL,3:47,Video,
