Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
toan-tap-ve-chien-luoc-dao-tao-seo,Chiến lược SEO thành công - Thúc đẩy Doanh thu và Gia tăng hình ảnh thương hiệu trên Google,"Những bí mật về cách tư duy SEO, tối ưu hóa, sáng tạo nội dung để có nội dung website vượt trội. Tăng gấp đôi tỷ lệ đặt hàng trên website và lên Top Google ngay khi học xong khóa học này.",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Hướng dẫn đầy đủ về SEO,,,,
,,,"Đây là khóa học đầu tiên và duy nhất tại trang web của chúng tôi cam kết hoàn tiền lại 120%. Nếu sau khi hoàn thành khóa học, bạn không đầu tư tiền của mình dựa trên những chiến lược học được tại đây, tôi sẽ hoàn thêm toàn bộ tiền học phí, công thêm 20% số tiền đó đầu tư đó cho bạn",Học viên sẽ cần blog có nền tảng wordpress hoặc trang web để sử dụng 1 vài plugins trong khóa học,"Hơn 107 bài giảng và 5,5 giờ nội dung",Khóa học này cho bất cứ ai quan tâm tới việc thăng hạng website của mình trên các trang tìm kiếm.,,Hướng dẫn đầy đủ về SEO: Tại sao khóa học này cần thiết,4:37,Video,
,,,Cùng xem những học sinh nói gì về khóa học SEO 2015 hoàn chỉnh.,,Tăng tỷ lệ chuyển đổi 100% bằng việc tăng tốc độ của website,Khóa học dành cho bất cứ ai có website.,Phần 2: Phân tích website,,,,
,,,"""Đây là khóa học QUÁ TUYỆT VỜI, dễ hiểu và bất cứ ai cũng có thể học được - MIỄN PHÍ. Không từ nào có thể diễn tả được những điều thú vị về khóa học này. Cảm ơn rất nhiều.""",,Tăng mạnh tỷ lệ nhấp chuột bằng những kĩ thuật hiếm khi được dùng,Nếu bạn muốn thăng hạng cho web của một ai khác (ví dụ sếp của bạn),,23 cách tăng tốc độ website và thứ hạng tìm kiếm ngay lập tức: giới thiệu,1:39,Video,
,,,"Ồ, tôi đã có rất nhiều những lời khuyên về SEO nhưng đây là những điều tốt nhất.",,"Tôí ưu hóa tất cả những bài viết, trang dẫn trong website để được Google đánh giá cao về chất lượng và sự hữu ích của thông tin.",Nếu bạn muốn học kỹ năng cần thiết để tối ưu trang web cho Google.,Phần 3: Tốc độ trang web,,,,
,,,"Không nghi ngờ gì nữa, đây là khóa học tuyệt vời nhất về SEO tôi từng thấy. Những khóa học tôi đã tham gia trước đây không được bằng như vậy.",,Luôn đẩy đường dẫn và web lên trang đầu tiên của kết quả tìm kiếm Google.,Khóa học này không dành cho những cao thủ về SEO.,,Tại sao chỉ tăng tốc độ trang hơn 2 giây lại có thể dẫn đến tăng 100% tỉ lệ chuyển đổi?,2:01,Video,
,,,"Bản thân là một chuyên gia về SEO, để tôi nói với bạn, Tôi đã học được RẤT RẤT NHIỀU từ đây. Đây là khóa học với mức giá tốt nhất cho cả những người làm SEO chuyên nghiệp cũng như người mới bắt đầu.",,Tạo viral với 2 plugins tuyệt vời và một chiến lược rõ ràng.,,,1 cách rất đơn giản để làm cho website của bạn nhanh hơn,3:38,Video,
,,,Trong khóa học này tôi đã học được:,,"Làm cho website của bạn được nhắc đến trên những trang có tỷ lệ truy cập cao (CNN, NY time).",,,Làm cách nào để tìm và loại bỏ hơn 1200 file đang làm trang web của tôi chạy chậm lại,1:57,Video,
,,,Tăng tỷ lệ chuyển đổi 100% bằng việc tăng tốc độ của website,,Tạo hơn 240 backlink đến trang web cho doanh nghiệp,,,Làm website tải nhanh hơn cho tất cả mọi người trên thế giới,2:34,Video,
,,,Làm cho website thân thiện hơn với các nền tảng di động (nhiều người sử dụng smartphone hơn máy tính để bàn),,Dẫn dắt khách hàng của bạn đi từ việc đọc các bài thông tin đến việc mua hàng.,,,Dịch vụ miễn phí để bảo vệ website và tăng tốc độ trang của bạn,4:31,Video,
,,,"Tôí ưu hóa tất cả những bài viết, trang dẫn trong website để được Google đánh giá cao về chất lượng và sự hữu ích của thông tin.",,Làm cho website thân thiện hơn với các nền tảng di động (nhiều người sử dụng smartphone hơn máy tính để bàn).,,,Giữ website của bạn nhẹ nhàng bằng một vài thủ thuật nhỏ,Text,Text,
,,,Tăng số lượng thời gian người dùng ở lại website của bạn.,,Tăng số lượng thời gian người dùng ở lại website,,,Như cookies cho website nhưng còn tốt hơn thế,5:15,Video,
,,,Tăng mạnh tỷ lệ nhấp chuột bằng những kĩ thuật hiếm khi được dùng.,,Xây dựng đường dãn từ các trang web có tỷ lệ SEO cao.,,,Điều này sẽ làm giảm đáng kể thời gian tải trang của bạn,1:39,Video,
,,,Xây dựng đường dẫn từ các trang web có tỷ lệ SEO cao,,,,,Nhìn xem trang của bạn đã nhanh hơn thế nào,4:21,Video,
,,,Luôn đẩy đường dẫn và web lên trang đầu tiên của kết quả tìm kiếm Google.,,,,,Làm trang web sách và nhanh hơn chỉ trong 3 phút.,2:54,Video,
,,,Dẫn dắt khách hàng của bạn đi từ việc đọc cái bài thông tin đến việc mua hàng.,,,,,Cái nào mất nhiều thời gian để tải nhất? Tìm ra tại đây.,2:39,Video,
